Exit stations,Entry stations->,,SUNDAY,,,Feb 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	46 , 	66 , 	42 , 	134 , 	66 , 	61 , 	33 , 	56 , 	26 , 	60 , 	51 , 	16 , 	17 , 	20 , 	9 , 	7 , 	21 , 	20 , 	6 , 	9 , 	5 , 	2 , 	10 , 	20 , 	112 , 	61 , 	220 , 	84 , 	72 , 	77 , 	21 , 	31 , 	27 , 	9 , 	4 , 	7 , 	2 , 	32 , 	5 , 	7 , 	19 , 	10 , 	3 ," 	1,611 ",,,Eastbay," 	28,668 ",,SF CBD," 	75,684 ",57.9%,,,
EN, 	66 , 	14 , 	51 , 	45 , 	219 , 	86 , 	91 , 	64 , 	100 , 	38 , 	68 , 	97 , 	26 , 	31 , 	29 , 	13 , 	14 , 	34 , 	20 , 	10 , 	19 , 	6 , 	2 , 	19 , 	29 , 	181 , 	141 , 	516 , 	185 , 	71 , 	95 , 	35 , 	55 , 	45 , 	19 , 	6 , 	13 , 	4 , 	30 , 	11 , 	17 , 	60 , 	16 , 	5 ," 	2,687 ",,,Westbay," 	37,969 ",,non-CBD," 	49,827 ",38.1%,,,
EP, 	66 , 	49 , 	5 , 	41 , 	234 , 	58 , 	49 , 	48 , 	61 , 	32 , 	32 , 	38 , 	10 , 	9 , 	10 , 	5 , 	10 , 	20 , 	7 , 	5 , 	14 , 	6 , 	3 , 	23 , 	11 , 	122 , 	93 , 	254 , 	113 , 	52 , 	33 , 	20 , 	13 , 	13 , 	3 , 	3 , 	6 , 	1 , 	7 , 	3 , 	5 , 	49 , 	10 , 	2 ," 	1,645 ",,,Transbay," 	65,560 ",,,,,,,
NB, 	43 , 	43 , 	42 , 	12 , 	74 , 	46 , 	53 , 	51 , 	59 , 	32 , 	42 , 	52 , 	17 , 	21 , 	25 , 	7 , 	9 , 	36 , 	11 , 	14 , 	22 , 	9 , 	9 , 	16 , 	10 , 	194 , 	148 , 	353 , 	226 , 	109 , 	95 , 	35 , 	23 , 	18 , 	6 , 	6 , 	7 , 	3 , 	12 , 	3 , 	5 , 	74 , 	25 , 	6 ," 	2,098 ",,,,,,,,,,,
BK, 	147 , 	205 , 	230 , 	80 , 	25 , 	179 , 	172 , 	179 , 	229 , 	79 , 	123 , 	154 , 	48 , 	52 , 	43 , 	22 , 	53 , 	181 , 	36 , 	39 , 	59 , 	31 , 	20 , 	31 , 	39 , 	420 , 	243 , 	906 , 	420 , 	224 , 	220 , 	77 , 	43 , 	75 , 	12 , 	25 , 	53 , 	9 , 	22 , 	13 , 	12 , 	192 , 	94 , 	17 ," 	5,527 ",,,,,,,,,,,
AS, 	75 , 	81 , 	60 , 	41 , 	138 , 	12 , 	82 , 	98 , 	98 , 	49 , 	66 , 	61 , 	30 , 	26 , 	25 , 	13 , 	13 , 	31 , 	12 , 	6 , 	14 , 	9 , 	6 , 	11 , 	23 , 	153 , 	110 , 	280 , 	218 , 	161 , 	119 , 	34 , 	23 , 	26 , 	6 , 	6 , 	13 , 	3 , 	22 , 	5 , 	7 , 	47 , 	20 , 	3 ," 	2,329 ",,,,,,,,,,,
MA, 	75 , 	89 , 	50 , 	48 , 	171 , 	84 , 	18 , 	66 , 	77 , 	32 , 	95 , 	105 , 	31 , 	46 , 	36 , 	21 , 	17 , 	38 , 	36 , 	22 , 	30 , 	16 , 	17 , 	37 , 	40 , 	308 , 	200 , 	597 , 	386 , 	243 , 	213 , 	61 , 	38 , 	29 , 	10 , 	10 , 	12 , 	8 , 	70 , 	6 , 	9 , 	96 , 	21 , 	6 ," 	3,614 ",,,,,,,,,,,
19, 	39 , 	61 , 	45 , 	51 , 	160 , 	87 , 	60 , 	10 , 	16 , 	15 , 	55 , 	60 , 	35 , 	43 , 	32 , 	17 , 	17 , 	31 , 	29 , 	19 , 	38 , 	11 , 	15 , 	46 , 	29 , 	199 , 	150 , 	383 , 	266 , 	171 , 	124 , 	34 , 	27 , 	30 , 	10 , 	4 , 	15 , 	7 , 	38 , 	5 , 	9 , 	52 , 	17 , 	6 ," 	2,564 ",,,,,,,,,,,
12, 	57 , 	76 , 	54 , 	54 , 	199 , 	94 , 	70 , 	15 , 	17 , 	17 , 	59 , 	98 , 	56 , 	86 , 	53 , 	28 , 	34 , 	44 , 	30 , 	23 , 	49 , 	19 , 	17 , 	53 , 	45 , 	277 , 	202 , 	632 , 	271 , 	137 , 	135 , 	42 , 	48 , 	46 , 	15 , 	10 , 	23 , 	6 , 	41 , 	9 , 	18 , 	89 , 	28 , 	4 ," 	3,375 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	31 , 	38 , 	30 , 	32 , 	87 , 	50 , 	30 , 	18 , 	15 , 	8 , 	123 , 	77 , 	96 , 	97 , 	53 , 	27 , 	33 , 	45 , 	10 , 	8 , 	9 , 	9 , 	7 , 	20 , 	28 , 	183 , 	169 , 	440 , 	234 , 	142 , 	138 , 	36 , 	50 , 	40 , 	6 , 	43 , 	47 , 	2 , 	11 , 	6 , 	5 , 	20 , 	12 , 	15 ," 	2,573 ",,,Dtwn SF," 	1,305 "," 	6,277 "," 	10,283 "," 	5,359 "," 	4,841 "," 	5,820 "," 	3,487 "," 	37,372 "
