Exit stations,Entry stations->,,WEEKDAY,,,Mar 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	8 , 	126 , 	112 , 	98 , 	407 , 	116 , 	172 , 	155 , 	182 , 	50 , 	109 , 	82 , 	43 , 	31 , 	46 , 	20 , 	20 , 	39 , 	35 , 	18 , 	30 , 	12 , 	10 , 	25 , 	29 , 	237 , 	271 , 	363 , 	263 , 	117 , 	133 , 	35 , 	61 , 	73 , 	16 , 	8 , 	14 , 	11 , 	44 , 	10 , 	16 , 	29 , 	26 , 	7 ," 	3,708 ",,,Eastbay," 	84,116 ",,SF CBD," 	230,469 ",63.4%,,,
EN, 	147 , 	16 , 	113 , 	102 , 	932 , 	157 , 	279 , 	498 , 	612 , 	151 , 	146 , 	160 , 	67 , 	61 , 	87 , 	33 , 	41 , 	86 , 	52 , 	26 , 	37 , 	14 , 	15 , 	38 , 	48 , 	806 , 	928 , 	801 , 	616 , 	155 , 	146 , 	58 , 	106 , 	159 , 	29 , 	11 , 	35 , 	9 , 	42 , 	28 , 	37 , 	70 , 	55 , 	13 ," 	8,020 ",,,Westbay," 	102,682 ",,non-CBD," 	124,830 ",34.4%,,,
EP, 	115 , 	94 , 	8 , 	64 , 	726 , 	87 , 	136 , 	267 , 	300 , 	103 , 	70 , 	70 , 	26 , 	17 , 	32 , 	9 , 	14 , 	46 , 	22 , 	14 , 	30 , 	12 , 	15 , 	34 , 	17 , 	494 , 	596 , 	377 , 	353 , 	83 , 	58 , 	23 , 	33 , 	52 , 	6 , 	8 , 	18 , 	4 , 	13 , 	6 , 	8 , 	47 , 	29 , 	7 ," 	4,542 ",,,Transbay," 	181,258 ",,,,,,,
NB, 	92 , 	88 , 	64 , 	10 , 	205 , 	62 , 	98 , 	210 , 	263 , 	81 , 	83 , 	58 , 	30 , 	20 , 	25 , 	9 , 	13 , 	32 , 	15 , 	22 , 	32 , 	12 , 	11 , 	21 , 	19 , 	648 , 	697 , 	397 , 	401 , 	140 , 	95 , 	32 , 	32 , 	46 , 	6 , 	7 , 	14 , 	6 , 	18 , 	4 , 	10 , 	70 , 	34 , 	5 ," 	4,232 ",,,,,,,,,,,
BK, 	424 , 	966 , 	718 , 	231 , 	29 , 	427 , 	503 , 	560 , 	577 , 	308 , 	319 , 	268 , 	177 , 	152 , 	150 , 	98 , 	142 , 	300 , 	141 , 	159 , 	143 , 	87 , 	67 , 	72 , 	90 , 	877 , 	865 , 	920 , 	732 , 	362 , 	340 , 	134 , 	111 , 	159 , 	42 , 	53 , 	125 , 	47 , 	94 , 	27 , 	37 , 	213 , 	163 , 	50 ," 	12,458 ",,,,,,,,,,,
AS, 	107 , 	132 , 	76 , 	65 , 	355 , 	12 , 	109 , 	230 , 	248 , 	82 , 	117 , 	100 , 	43 , 	39 , 	45 , 	25 , 	30 , 	74 , 	29 , 	21 , 	34 , 	11 , 	10 , 	17 , 	35 , 	511 , 	632 , 	412 , 	436 , 	190 , 	122 , 	34 , 	45 , 	58 , 	11 , 	11 , 	28 , 	7 , 	28 , 	5 , 	12 , 	46 , 	28 , 	8 ," 	4,671 ",,,,,,,,,,,
MA, 	185 , 	293 , 	135 , 	94 , 	480 , 	113 , 	17 , 	200 , 	246 , 	100 , 	211 , 	200 , 	118 , 	124 , 	148 , 	71 , 	72 , 	164 , 	159 , 	136 , 	129 , 	56 , 	44 , 	74 , 	78 , 	908 ," 	1,035 ", 	831 , 	764 , 	340 , 	219 , 	86 , 	96 , 	118 , 	34 , 	36 , 	71 , 	48 , 	216 , 	22 , 	31 , 	93 , 	53 , 	21 ," 	8,667 ",,,,,,,,,,,
19, 	165 , 	499 , 	259 , 	234 , 	514 , 	231 , 	178 , 	15 , 	66 , 	50 , 	161 , 	195 , 	230 , 	204 , 	214 , 	169 , 	183 , 	422 , 	313 , 	327 , 	276 , 	155 , 	96 , 	168 , 	71 , 	872 , 	951 , 	727 , 	779 , 	312 , 	260 , 	141 , 	122 , 	163 , 	68 , 	71 , 	220 , 	155 , 	256 , 	65 , 	54 , 	54 , 	106 , 	79 ," 	10,847 ",,,,,,,,,,,
12, 	189 , 	585 , 	297 , 	272 , 	497 , 	257 , 	236 , 	62 , 	24 , 	54 , 	225 , 	350 , 	349 , 	351 , 	323 , 	207 , 	242 , 	455 , 	311 , 	366 , 	330 , 	178 , 	130 , 	195 , 	94 , 	986 ," 	1,014 ", 	924 , 	805 , 	287 , 	275 , 	163 , 	167 , 	189 , 	107 , 	111 , 	270 , 	165 , 	290 , 	78 , 	85 , 	94 , 	135 , 	113 ," 	12,836 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	45 , 	142 , 	110 , 	79 , 	300 , 	85 , 	101 , 	49 , 	53 , 	13 , 	183 , 	241 , 	297 , 	270 , 	186 , 	112 , 	132 , 	173 , 	44 , 	31 , 	37 , 	13 , 	13 , 	37 , 	50 , 	621 , 	669 , 	575 , 	453 , 	172 , 	120 , 	47 , 	81 , 	132 , 	10 , 	107 , 	184 , 	18 , 	54 , 	11 , 	18 , 	25 , 	18 , 	60 ," 	6,169 ",,,Dtwn SF,"5,074","16,593","31,886","12,842","19,596","22,463","9,580","118,034"
FV, 	100 , 	145 , 	72 , 	85 , 	316 , 	123 , 	212 , 	181 , 	248 , 	180 , 	14 , 	266 , 	241 , 	286 , 	260 , 	119 , 	94 , 	155 , 	61 , 	34 , 	55 , 	25 , 	33 , 	64 , 	127 , 	792 , 	838 , 	807 , 	681 , 	250 , 	175 , 	63 , 	108 , 	117 , 	18 , 	66 , 	123 , 	12 , 	67 , 	14 , 	20 , 	52 , 	27 , 	56 ," 	7,780 ",,,OAK,"16,626","2,043","4,203","6,297","4,958","8,482","1,039","43,648"
