Exit stations,Entry stations->,,SATURDAY,,,Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	10 , 	77 , 	78 , 	52 , 	258 , 	88 , 	79 , 	55 , 	73 , 	19 , 	83 , 	66 , 	24 , 	32 , 	30 , 	12 , 	11 , 	25 , 	23 , 	11 , 	12 , 	9 , 	6 , 	14 , 	24 , 	127 , 	92 , 	265 , 	126 , 	89 , 	99 , 	24 , 	45 , 	32 , 	10 , 	4 , 	10 , 	5 , 	28 , 	6 , 	12 , 	23 , 	15 , 	3 ," 	2,179 ",,,Eastbay," 	45,266 ",,SF CBD," 	111,641 ",59.0%,,,
EN, 	90 , 	13 , 	76 , 	64 , 	454 , 	117 , 	147 , 	96 , 	143 , 	45 , 	111 , 	151 , 	43 , 	46 , 	45 , 	17 , 	43 , 	48 , 	31 , 	14 , 	24 , 	6 , 	8 , 	28 , 	31 , 	282 , 	232 , 	662 , 	215 , 	92 , 	112 , 	37 , 	76 , 	59 , 	25 , 	10 , 	12 , 	3 , 	34 , 	14 , 	16 , 	49 , 	19 , 	10 ," 	3,844 ",,,Westbay," 	57,407 ",,non-CBD," 	71,993 ",38.1%,,,
EP, 	75 , 	71 , 	10 , 	49 , 	440 , 	76 , 	69 , 	73 , 	108 , 	29 , 	50 , 	87 , 	13 , 	15 , 	15 , 	10 , 	6 , 	25 , 	10 , 	8 , 	16 , 	11 , 	6 , 	24 , 	12 , 	193 , 	129 , 	354 , 	150 , 	60 , 	56 , 	20 , 	12 , 	19 , 	3 , 	8 , 	7 , 	2 , 	10 , 	3 , 	8 , 	44 , 	13 , 	3 ," 	2,398 ",,,Transbay," 	88,928 ",,,,,,,
NB, 	53 , 	63 , 	53 , 	13 , 	117 , 	54 , 	58 , 	84 , 	95 , 	30 , 	63 , 	83 , 	21 , 	20 , 	15 , 	4 , 	14 , 	27 , 	13 , 	14 , 	21 , 	8 , 	5 , 	21 , 	14 , 	237 , 	185 , 	394 , 	240 , 	130 , 	101 , 	29 , 	23 , 	23 , 	4 , 	7 , 	11 , 	4 , 	11 , 	3 , 	7 , 	70 , 	22 , 	2 ," 	2,460 ",,,,,,,,,,,
BK, 	260 , 	457 , 	484 , 	157 , 	27 , 	286 , 	334 , 	290 , 	301 , 	126 , 	234 , 	247 , 	99 , 	118 , 	87 , 	59 , 	110 , 	289 , 	71 , 	85 , 	106 , 	61 , 	45 , 	45 , 	67 , 	674 , 	385 ," 	1,230 ", 	599 , 	297 , 	230 , 	107 , 	85 , 	124 , 	27 , 	36 , 	92 , 	20 , 	72 , 	16 , 	22 , 	132 , 	114 , 	29 ," 	8,731 ",,,,,,,,,,,
AS, 	92 , 	115 , 	61 , 	56 , 	231 , 	9 , 	116 , 	136 , 	134 , 	48 , 	88 , 	113 , 	32 , 	43 , 	32 , 	11 , 	15 , 	33 , 	20 , 	7 , 	14 , 	8 , 	4 , 	17 , 	41 , 	205 , 	143 , 	376 , 	244 , 	193 , 	133 , 	24 , 	21 , 	17 , 	3 , 	8 , 	13 , 	3 , 	27 , 	5 , 	6 , 	36 , 	20 , 	5 ," 	2,953 ",,,,,,,,,,,
MA, 	99 , 	129 , 	80 , 	63 , 	287 , 	120 , 	16 , 	106 , 	114 , 	34 , 	139 , 	156 , 	52 , 	70 , 	51 , 	24 , 	19 , 	39 , 	46 , 	34 , 	51 , 	26 , 	16 , 	56 , 	60 , 	393 , 	288 , 	718 , 	417 , 	306 , 	180 , 	40 , 	47 , 	33 , 	12 , 	13 , 	22 , 	14 , 	84 , 	6 , 	9 , 	73 , 	25 , 	7 ," 	4,571 ",,,,,,,,,,,
19, 	64 , 	91 , 	70 , 	86 , 	263 , 	149 , 	101 , 	12 , 	23 , 	17 , 	86 , 	121 , 	55 , 	63 , 	46 , 	26 , 	53 , 	53 , 	34 , 	31 , 	45 , 	21 , 	17 , 	85 , 	49 , 	239 , 	234 , 	524 , 	346 , 	231 , 	150 , 	50 , 	37 , 	35 , 	13 , 	9 , 	20 , 	11 , 	46 , 	7 , 	13 , 	43 , 	22 , 	7 ," 	3,693 ",,,,,,,,,,,
12, 	75 , 	132 , 	98 , 	90 , 	259 , 	138 , 	109 , 	17 , 	16 , 	16 , 	102 , 	141 , 	88 , 	114 , 	92 , 	40 , 	50 , 	83 , 	72 , 	54 , 	71 , 	35 , 	29 , 	76 , 	59 , 	334 , 	268 , 	680 , 	330 , 	174 , 	117 , 	49 , 	71 , 	59 , 	19 , 	15 , 	27 , 	19 , 	71 , 	14 , 	17 , 	62 , 	42 , 	8 ," 	4,431 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	14 , 	42 , 	28 , 	30 , 	133 , 	57 , 	35 , 	14 , 	19 , 	10 , 	111 , 	150 , 	135 , 	163 , 	59 , 	35 , 	52 , 	76 , 	13 , 	11 , 	13 , 	10 , 	7 , 	14 , 	26 , 	214 , 	209 , 	544 , 	263 , 	138 , 	104 , 	34 , 	49 , 	42 , 	5 , 	65 , 	62 , 	3 , 	14 , 	5 , 	7 , 	28 , 	9 , 	36 ," 	3,083 ",,,Dtwn SF," 	2,171 "," 	8,307 "," 	17,156 "," 	8,128 "," 	7,407 "," 	9,684 "," 	5,019 "," 	57,871 "
