Exit stations,Entry stations->,,SUNDAY,,,May 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	6 , 	43 , 	51 , 	46 , 	141 , 	69 , 	65 , 	38 , 	54 , 	31 , 	61 , 	52 , 	16 , 	15 , 	19 , 	7 , 	7 , 	17 , 	22 , 	4 , 	14 , 	6 , 	3 , 	11 , 	21 , 	105 , 	66 , 	205 , 	104 , 	82 , 	76 , 	22 , 	28 , 	30 , 	8 , 	3 , 	10 , 	4 , 	29 , 	6 , 	9 , 	22 , 	14 , 	3 ," 	1,640 ",,,Eastbay," 	30,615 ",,SF CBD," 	95,518 ",60.4%,,,
EN, 	57 , 	13 , 	57 , 	48 , 	227 , 	88 , 	93 , 	52 , 	100 , 	43 , 	78 , 	122 , 	34 , 	33 , 	28 , 	13 , 	21 , 	38 , 	25 , 	10 , 	17 , 	8 , 	5 , 	18 , 	23 , 	283 , 	155 , 	451 , 	207 , 	114 , 	101 , 	29 , 	46 , 	41 , 	22 , 	6 , 	11 , 	2 , 	34 , 	6 , 	16 , 	63 , 	21 , 	3 ," 	2,855 ",,,Westbay," 	51,327 ",,non-CBD," 	56,424 ",35.7%,,,
EP, 	57 , 	51 , 	8 , 	29 , 	226 , 	57 , 	46 , 	44 , 	53 , 	34 , 	32 , 	73 , 	9 , 	13 , 	11 , 	5 , 	7 , 	19 , 	8 , 	7 , 	13 , 	8 , 	3 , 	19 , 	13 , 	165 , 	99 , 	233 , 	135 , 	81 , 	60 , 	16 , 	11 , 	16 , 	3 , 	5 , 	8 , 	2 , 	6 , 	4 , 	5 , 	52 , 	11 , 	3 ," 	1,757 ",,,Transbay," 	78,463 ",,,,,,,
NB, 	46 , 	42 , 	32 , 	8 , 	62 , 	39 , 	53 , 	57 , 	67 , 	35 , 	39 , 	83 , 	14 , 	19 , 	12 , 	6 , 	10 , 	33 , 	8 , 	13 , 	21 , 	11 , 	5 , 	15 , 	12 , 	260 , 	170 , 	336 , 	276 , 	131 , 	99 , 	27 , 	23 , 	15 , 	4 , 	4 , 	11 , 	2 , 	15 , 	3 , 	4 , 	73 , 	27 , 	3 ," 	2,220 ",,,,,,,,,,,
BK, 	153 , 	219 , 	230 , 	73 , 	28 , 	155 , 	168 , 	167 , 	180 , 	89 , 	117 , 	178 , 	45 , 	50 , 	41 , 	29 , 	34 , 	144 , 	35 , 	27 , 	55 , 	26 , 	18 , 	26 , 	39 , 	427 , 	271 , 	838 , 	538 , 	241 , 	133 , 	45 , 	36 , 	63 , 	9 , 	19 , 	38 , 	8 , 	21 , 	7 , 	12 , 	212 , 	82 , 	12 ," 	5,332 ",,,,,,,,,,,
AS, 	71 , 	78 , 	55 , 	39 , 	124 , 	12 , 	69 , 	90 , 	81 , 	52 , 	70 , 	90 , 	22 , 	40 , 	23 , 	9 , 	12 , 	31 , 	14 , 	9 , 	20 , 	5 , 	5 , 	14 , 	33 , 	210 , 	135 , 	282 , 	267 , 	181 , 	112 , 	25 , 	20 , 	12 , 	4 , 	5 , 	18 , 	2 , 	18 , 	4 , 	4 , 	57 , 	16 , 	5 ," 	2,438 ",,,,,,,,,,,
MA, 	71 , 	87 , 	45 , 	42 , 	153 , 	74 , 	16 , 	49 , 	73 , 	30 , 	85 , 	133 , 	38 , 	48 , 	42 , 	18 , 	15 , 	40 , 	48 , 	21 , 	37 , 	16 , 	16 , 	37 , 	35 , 	345 , 	218 , 	500 , 	433 , 	293 , 	167 , 	35 , 	34 , 	31 , 	6 , 	9 , 	15 , 	10 , 	73 , 	5 , 	12 , 	96 , 	19 , 	7 ," 	3,571 ",,,,,,,,,,,
19, 	35 , 	42 , 	44 , 	54 , 	131 , 	83 , 	55 , 	11 , 	14 , 	13 , 	51 , 	96 , 	34 , 	40 , 	28 , 	14 , 	14 , 	25 , 	25 , 	22 , 	33 , 	12 , 	8 , 	41 , 	32 , 	214 , 	153 , 	359 , 	296 , 	192 , 	110 , 	29 , 	20 , 	20 , 	4 , 	5 , 	14 , 	8 , 	33 , 	4 , 	9 , 	56 , 	19 , 	5 ," 	2,499 ",,,,,,,,,,,
12, 	52 , 	78 , 	55 , 	56 , 	144 , 	78 , 	65 , 	14 , 	12 , 	10 , 	62 , 	144 , 	50 , 	64 , 	46 , 	29 , 	32 , 	50 , 	41 , 	33 , 	49 , 	20 , 	19 , 	42 , 	45 , 	303 , 	208 , 	552 , 	271 , 	148 , 	100 , 	29 , 	39 , 	42 , 	12 , 	9 , 	15 , 	7 , 	38 , 	7 , 	11 , 	128 , 	30 , 	6 ," 	3,239 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	33 , 	41 , 	31 , 	30 , 	78 , 	54 , 	35 , 	16 , 	17 , 	8 , 	119 , 	118 , 	90 , 	97 , 	47 , 	31 , 	35 , 	50 , 	13 , 	7 , 	10 , 	7 , 	11 , 	15 , 	34 , 	224 , 	177 , 	435 , 	279 , 	190 , 	131 , 	33 , 	48 , 	29 , 	5 , 	36 , 	55 , 	2 , 	15 , 	4 , 	7 , 	27 , 	9 , 	20 ," 	2,749 ",,,Dtwn SF," 	1,745 "," 	6,674 "," 	14,072 "," 	6,168 "," 	6,604 "," 	8,580 "," 	5,242 "," 	49,085 "
FV, 	65 , 	75 , 	28 , 	43 , 	116 , 	79 , 	88 , 	66 , 	69 , 	108 , 	13 , 	161 , 	94 , 	183 , 	125 , 	48 , 	38 , 	70 , 	28 , 	15 , 	23 , 	12 , 	14 , 	27 , 	70 , 	278 , 	174 , 	515 , 	307 , 	216 , 	147 , 	30 , 	49 , 	45 , 	6 , 	36 , 	57 , 	7 , 	53 , 	11 , 	9 , 	38 , 	14 , 	32 ," 	3,679 ",,,OAK," 	6,595 ", 	730 ," 	2,298 "," 	1,711 ", 	814 ," 	2,152 ", 	514 ," 	14,813 "
CL, 	59 , 	113 , 	62 , 	71 , 	139 , 	83 , 	119 , 	84 , 	127 , 	90 , 	150 , 	10 , 	102 , 	143 , 	118 , 	63 , 	71 , 	192 , 	65 , 	75 , 	86 , 	44 , 	30 , 	67 , 	57 , 	323 , 	177 , 	486 , 	231 , 	105 , 	105 , 	49 , 	39 , 	53 , 	11 , 	60 , 	354 , 	24 , 	99 , 	14 , 	15 , 	46 , 	27 , 	87 ," 	4,519 ",,,CM line," 	13,065 "," 	2,375 "," 	6,208 "," 	1,989 "," 	1,480 "," 	2,368 "," 	2,601 "," 	30,086 "
SL, 	22 , 	31 , 	10 , 	14 , 	47 , 	20 , 	44 , 	37 , 	56 , 	92 , 	93 , 	101 , 	9 , 	76 , 	65 , 	32 , 	26 , 	44 , 	13 , 	5 , 	16 , 	4 , 	2 , 	9 , 	22 , 	180 , 	113 , 	291 , 	141 , 	71 , 	58 , 	12 , 	20 , 	37 , 	5 , 	22 , 	24 , 	2 , 	24 , 	3 , 	5 , 	30 , 	7 , 	22 ," 	1,952 ",,,RM line," 	6,215 "," 	1,897 "," 	1,963 "," 	2,736 ", 	665 ," 	2,009 ", 	729 ," 	16,213 "
BF, 	16 , 	32 , 	19 , 	17 , 	46 , 	37 , 	50 , 	49 , 	81 , 	96 , 	194 , 	161 , 	73 , 	10 , 	88 , 	58 , 	66 , 	101 , 	16 , 	7 , 	7 , 	4 , 	2 , 	8 , 	23 , 	189 , 	108 , 	338 , 	122 , 	76 , 	60 , 	18 , 	29 , 	32 , 	7 , 	42 , 	83 , 	5 , 	19 , 	7 , 	7 , 	17 , 	7 , 	67 ," 	2,490 ",,,WP line," 	6,691 ", 	922 ," 	1,523 ", 	710 ," 	2,366 "," 	1,171 ", 	924 ," 	14,307 "
HY, 	26 , 	29 , 	9 , 	11 , 	44 , 	19 , 	46 , 	35 , 	42 , 	42 , 	113 , 	127 , 	69 , 	93 , 	10 , 	50 , 	70 , 	94 , 	12 , 	5 , 	9 , 	4 , 	3 , 	5 , 	13 , 	127 , 	48 , 	162 , 	74 , 	48 , 	43 , 	10 , 	16 , 	18 , 	3 , 	11 , 	26 , 	4 , 	22 , 	4 , 	7 , 	16 , 	6 , 	19 ," 	1,637 ",,,FT/ED line," 	8,686 "," 	2,200 "," 	2,230 "," 	1,941 "," 	1,118 "," 	6,605 ", 	564 ," 	23,343 "
