Exit stations,Entry stations->,,WEEKDAY,,,May 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	127 , 	121 , 	108 , 	408 , 	121 , 	174 , 	159 , 	192 , 	49 , 	112 , 	83 , 	42 , 	32 , 	51 , 	23 , 	19 , 	34 , 	34 , 	18 , 	36 , 	14 , 	10 , 	25 , 	32 , 	258 , 	275 , 	371 , 	268 , 	134 , 	136 , 	40 , 	61 , 	59 , 	16 , 	7 , 	16 , 	11 , 	44 , 	12 , 	18 , 	31 , 	25 , 	7 ," 	3,823 ",,,Eastbay," 	86,076 ",,SF CBD," 	236,258 ",63.6%,,,
EN, 	146 , 	15 , 	118 , 	115 , 	888 , 	156 , 	298 , 	508 , 	611 , 	138 , 	154 , 	166 , 	71 , 	64 , 	96 , 	34 , 	44 , 	90 , 	51 , 	26 , 	41 , 	13 , 	15 , 	35 , 	48 , 	872 , 	905 , 	823 , 	626 , 	168 , 	162 , 	63 , 	99 , 	136 , 	27 , 	8 , 	35 , 	9 , 	47 , 	27 , 	41 , 	78 , 	51 , 	15 ," 	8,130 ",,,Westbay," 	104,793 ",,non-CBD," 	126,571 ",34.1%,,,
EP, 	125 , 	105 , 	8 , 	69 , 	675 , 	89 , 	135 , 	277 , 	298 , 	83 , 	72 , 	87 , 	26 , 	17 , 	37 , 	12 , 	16 , 	49 , 	24 , 	16 , 	28 , 	12 , 	14 , 	34 , 	16 , 	513 , 	587 , 	389 , 	343 , 	88 , 	64 , 	23 , 	35 , 	50 , 	6 , 	9 , 	19 , 	5 , 	12 , 	8 , 	7 , 	54 , 	27 , 	7 ," 	4,568 ",,,Transbay," 	185,786 ",,,,,,,
NB, 	91 , 	102 , 	70 , 	10 , 	175 , 	69 , 	109 , 	216 , 	266 , 	74 , 	82 , 	83 , 	31 , 	26 , 	27 , 	9 , 	12 , 	34 , 	15 , 	21 , 	33 , 	13 , 	11 , 	24 , 	21 , 	670 , 	694 , 	426 , 	393 , 	142 , 	95 , 	36 , 	36 , 	42 , 	5 , 	8 , 	18 , 	6 , 	19 , 	4 , 	8 , 	85 , 	32 , 	3 ," 	4,347 ",,,,,,,,,,,
BK, 	438 , 	922 , 	670 , 	205 , 	29 , 	363 , 	474 , 	550 , 	571 , 	258 , 	303 , 	269 , 	164 , 	145 , 	152 , 	108 , 	134 , 	287 , 	138 , 	159 , 	140 , 	85 , 	58 , 	61 , 	78 , 	906 , 	868 , 	979 , 	698 , 	362 , 	312 , 	131 , 	105 , 	139 , 	36 , 	53 , 	114 , 	46 , 	96 , 	26 , 	36 , 	193 , 	151 , 	45 ," 	12,056 ",,,,,,,,,,,
AS, 	120 , 	132 , 	78 , 	70 , 	305 , 	11 , 	106 , 	240 , 	260 , 	77 , 	120 , 	113 , 	45 , 	45 , 	51 , 	25 , 	31 , 	72 , 	28 , 	20 , 	28 , 	11 , 	8 , 	16 , 	36 , 	564 , 	641 , 	438 , 	427 , 	192 , 	134 , 	37 , 	48 , 	49 , 	12 , 	12 , 	28 , 	6 , 	30 , 	6 , 	11 , 	52 , 	29 , 	10 ," 	4,775 ",,,,,,,,,,,
MA, 	172 , 	293 , 	135 , 	105 , 	439 , 	114 , 	17 , 	210 , 	266 , 	91 , 	212 , 	218 , 	132 , 	125 , 	149 , 	74 , 	73 , 	166 , 	157 , 	141 , 	138 , 	52 , 	51 , 	72 , 	88 , 	945 ," 	1,052 ", 	865 , 	760 , 	358 , 	224 , 	89 , 	96 , 	102 , 	28 , 	37 , 	74 , 	49 , 	218 , 	21 , 	31 , 	98 , 	53 , 	18 ," 	8,808 ",,,,,,,,,,,
19, 	170 , 	507 , 	265 , 	235 , 	494 , 	231 , 	188 , 	19 , 	59 , 	42 , 	177 , 	226 , 	235 , 	205 , 	221 , 	176 , 	180 , 	403 , 	305 , 	335 , 	280 , 	158 , 	102 , 	170 , 	68 , 	926 , 	979 , 	793 , 	777 , 	329 , 	269 , 	138 , 	121 , 	157 , 	66 , 	77 , 	215 , 	150 , 	271 , 	65 , 	56 , 	61 , 	110 , 	82 ," 	11,093 ",,,,,,,,,,,
12, 	202 , 	597 , 	301 , 	278 , 	492 , 	260 , 	245 , 	52 , 	24 , 	50 , 	236 , 	367 , 	335 , 	350 , 	316 , 	205 , 	228 , 	435 , 	316 , 	368 , 	318 , 	173 , 	128 , 	187 , 	89 ," 	1,020 "," 	1,009 ", 	947 , 	807 , 	294 , 	285 , 	164 , 	166 , 	178 , 	109 , 	115 , 	245 , 	158 , 	287 , 	70 , 	82 , 	107 , 	142 , 	109 ," 	12,842 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	48 , 	127 , 	86 , 	74 , 	246 , 	80 , 	91 , 	44 , 	46 , 	11 , 	192 , 	251 , 	286 , 	286 , 	192 , 	118 , 	139 , 	178 , 	50 , 	32 , 	33 , 	13 , 	11 , 	37 , 	43 , 	667 , 	672 , 	614 , 	469 , 	177 , 	125 , 	55 , 	81 , 	113 , 	9 , 	111 , 	189 , 	17 , 	56 , 	13 , 	16 , 	27 , 	19 , 	72 ," 	6,215 ",,,Dtwn SF,"5,027","17,162","32,360","13,197","20,118","23,062","10,046","120,972"
