Exit stations,Entry stations->,,SATURDAY,,,Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	74 , 	86 , 	60 , 	211 , 	92 , 	89 , 	50 , 	81 , 	17 , 	83 , 	73 , 	25 , 	31 , 	25 , 	17 , 	9 , 	20 , 	22 , 	8 , 	16 , 	5 , 	6 , 	19 , 	23 , 	127 , 	97 , 	281 , 	136 , 	100 , 	95 , 	25 , 	36 , 	30 , 	16 , 	7 , 	10 , 	4 , 	30 , 	9 , 	12 , 	27 , 	18 , 	4 ," 	2,216 ",,,Eastbay," 	42,945 ",,SF CBD," 	120,726 ",60.4%,,,
EN, 	89 , 	15 , 	76 , 	68 , 	377 , 	122 , 	139 , 	97 , 	145 , 	34 , 	120 , 	174 , 	36 , 	49 , 	46 , 	22 , 	22 , 	51 , 	31 , 	20 , 	24 , 	8 , 	9 , 	23 , 	26 , 	315 , 	230 , 	694 , 	279 , 	104 , 	101 , 	42 , 	56 , 	58 , 	48 , 	11 , 	15 , 	4 , 	38 , 	16 , 	20 , 	58 , 	24 , 	8 ," 	3,944 ",,,Westbay," 	63,527 ",,non-CBD," 	72,585 ",36.3%,,,
EP, 	82 , 	82 , 	8 , 	51 , 	358 , 	72 , 	68 , 	68 , 	94 , 	22 , 	53 , 	72 , 	14 , 	16 , 	15 , 	8 , 	6 , 	27 , 	14 , 	5 , 	22 , 	9 , 	6 , 	24 , 	14 , 	198 , 	142 , 	347 , 	163 , 	84 , 	56 , 	13 , 	13 , 	18 , 	21 , 	7 , 	8 , 	2 , 	9 , 	5 , 	4 , 	41 , 	13 , 	7 ," 	2,363 ",,,Transbay," 	96,104 ",,,,,,,
NB, 	67 , 	69 , 	48 , 	12 , 	118 , 	49 , 	64 , 	70 , 	87 , 	23 , 	63 , 	66 , 	20 , 	19 , 	14 , 	5 , 	11 , 	28 , 	14 , 	15 , 	20 , 	9 , 	6 , 	18 , 	12 , 	270 , 	196 , 	394 , 	259 , 	161 , 	95 , 	21 , 	20 , 	18 , 	23 , 	7 , 	10 , 	4 , 	15 , 	5 , 	6 , 	76 , 	21 , 	2 ," 	2,531 ",,,,,,,,,,,
BK, 	224 , 	372 , 	373 , 	134 , 	32 , 	261 , 	257 , 	256 , 	280 , 	97 , 	188 , 	186 , 	74 , 	82 , 	61 , 	38 , 	56 , 	183 , 	43 , 	45 , 	77 , 	40 , 	34 , 	41 , 	49 , 	640 , 	363 ," 	1,121 ", 	559 , 	355 , 	216 , 	64 , 	56 , 	67 , 	23 , 	26 , 	69 , 	14 , 	39 , 	12 , 	15 , 	192 , 	103 , 	24 ," 	7,439 ",,,,,,,,,,,
AS, 	100 , 	122 , 	70 , 	52 , 	190 , 	14 , 	92 , 	122 , 	116 , 	44 , 	98 , 	89 , 	33 , 	44 , 	32 , 	13 , 	15 , 	33 , 	19 , 	9 , 	20 , 	9 , 	6 , 	19 , 	45 , 	236 , 	144 , 	362 , 	273 , 	221 , 	130 , 	21 , 	23 , 	16 , 	10 , 	6 , 	17 , 	2 , 	24 , 	5 , 	5 , 	45 , 	21 , 	9 ," 	2,976 ",,,,,,,,,,,
MA, 	96 , 	132 , 	74 , 	60 , 	253 , 	101 , 	16 , 	87 , 	110 , 	28 , 	122 , 	165 , 	56 , 	72 , 	58 , 	25 , 	22 , 	47 , 	45 , 	36 , 	53 , 	25 , 	19 , 	47 , 	55 , 	424 , 	293 , 	701 , 	468 , 	362 , 	187 , 	43 , 	44 , 	31 , 	40 , 	11 , 	21 , 	10 , 	81 , 	6 , 	9 , 	82 , 	24 , 	8 ," 	4,649 ",,,,,,,,,,,
19, 	60 , 	85 , 	61 , 	69 , 	231 , 	131 , 	82 , 	7 , 	21 , 	10 , 	72 , 	103 , 	47 , 	66 , 	39 , 	26 , 	20 , 	48 , 	36 , 	35 , 	47 , 	32 , 	22 , 	63 , 	46 , 	235 , 	221 , 	486 , 	317 , 	226 , 	125 , 	36 , 	28 , 	26 , 	17 , 	13 , 	21 , 	13 , 	51 , 	8 , 	8 , 	41 , 	25 , 	4 ," 	3,361 ",,,,,,,,,,,
12, 	70 , 	132 , 	93 , 	77 , 	231 , 	117 , 	103 , 	18 , 	14 , 	14 , 	106 , 	148 , 	86 , 	114 , 	68 , 	41 , 	42 , 	83 , 	70 , 	40 , 	69 , 	33 , 	23 , 	68 , 	66 , 	378 , 	264 , 	672 , 	340 , 	171 , 	122 , 	48 , 	60 , 	49 , 	34 , 	9 , 	20 , 	16 , 	66 , 	13 , 	16 , 	73 , 	46 , 	8 ," 	4,331 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	38 , 	20 , 	20 , 	95 , 	40 , 	35 , 	9 , 	18 , 	12 , 	81 , 	134 , 	123 , 	154 , 	61 , 	29 , 	49 , 	79 , 	12 , 	7 , 	12 , 	6 , 	8 , 	19 , 	23 , 	242 , 	231 , 	550 , 	251 , 	175 , 	103 , 	33 , 	39 , 	28 , 	15 , 	63 , 	65 , 	1 , 	12 , 	4 , 	7 , 	24 , 	8 , 	30 ," 	2,980 ",,,Dtwn SF," 	2,472 "," 	8,613 "," 	18,616 "," 	8,290 "," 	8,308 "," 	10,892 "," 	5,928 "," 	63,119 "
FV, 	80 , 	111 , 	51 , 	58 , 	184 , 	108 , 	128 , 	85 , 	122 , 	63 , 	19 , 	208 , 	140 , 	249 , 	158 , 	78 , 	55 , 	97 , 	39 , 	18 , 	39 , 	19 , 	20 , 	34 , 	104 , 	330 , 	255 , 	665 , 	390 , 	194 , 	142 , 	38 , 	58 , 	40 , 	26 , 	54 , 	86 , 	8 , 	55 , 	8 , 	15 , 	38 , 	19 , 	40 ," 	4,727 ",,,OAK," 	8,143 ", 	963 ," 	2,557 "," 	2,477 "," 	1,140 "," 	2,913 ", 	463 ," 	18,656 "
CL, 	80 , 	171 , 	78 , 	64 , 	220 , 	107 , 	160 , 	123 , 	171 , 	119 , 	194 , 	18 , 	165 , 	236 , 	187 , 	102 , 	121 , 	282 , 	101 , 	91 , 	111 , 	77 , 	66 , 	82 , 	73 , 	320 , 	175 , 	508 , 	302 , 	102 , 	95 , 	53 , 	57 , 	71 , 	22 , 	109 , 	520 , 	51 , 	147 , 	16 , 	20 , 	43 , 	37 , 	136 ," 	5,979 ",,,CM line," 	17,782 "," 	2,705 "," 	6,762 "," 	2,519 "," 	1,956 "," 	2,295 "," 	2,854 "," 	36,872 "
SL, 	28 , 	42 , 	16 , 	19 , 	78 , 	34 , 	56 , 	58 , 	93 , 	124 , 	141 , 	164 , 	8 , 	110 , 	97 , 	46 , 	37 , 	50 , 	13 , 	11 , 	13 , 	5 , 	5 , 	13 , 	29 , 	206 , 	145 , 	416 , 	167 , 	70 , 	52 , 	21 , 	27 , 	30 , 	17 , 	34 , 	43 , 	3 , 	24 , 	7 , 	8 , 	32 , 	12 , 	31 ," 	2,633 ",,,RM line," 	7,827 "," 	2,582 "," 	2,458 "," 	4,238 ", 	901 ," 	2,656 ", 	752 ," 	21,415 "
BF, 	27 , 	43 , 	21 , 	17 , 	76 , 	40 , 	75 , 	69 , 	128 , 	123 , 	243 , 	228 , 	104 , 	11 , 	132 , 	85 , 	80 , 	129 , 	16 , 	10 , 	9 , 	4 , 	5 , 	9 , 	34 , 	206 , 	135 , 	374 , 	151 , 	57 , 	39 , 	21 , 	33 , 	24 , 	11 , 	60 , 	89 , 	7 , 	24 , 	4 , 	9 , 	13 , 	8 , 	70 ," 	3,050 ",,,WP line," 	8,023 "," 	1,263 "," 	1,950 ", 	963 ," 	3,228 "," 	1,526 ", 	858 ," 	17,810 "
HY, 	37 , 	48 , 	13 , 	16 , 	74 , 	33 , 	61 , 	48 , 	64 , 	56 , 	149 , 	192 , 	105 , 	150 , 	10 , 	85 , 	89 , 	154 , 	17 , 	11 , 	11 , 	3 , 	3 , 	8 , 	20 , 	138 , 	81 , 	251 , 	111 , 	37 , 	32 , 	13 , 	26 , 	25 , 	5 , 	19 , 	45 , 	3 , 	23 , 	4 , 	8 , 	12 , 	11 , 	24 ," 	2,322 ",,,FT/ED line," 	10,531 "," 	2,980 "," 	2,332 "," 	2,827 "," 	1,512 "," 	9,574 ", 	605 ," 	30,361 "
SH, 	17 , 	22 , 	8 , 	8 , 	34 , 	14 , 	22 , 	25 , 	42 , 	24 , 	78 , 	82 , 	48 , 	91 , 	81 , 	5 , 	45 , 	86 , 	9 , 	4 , 	6 , 	3 , 	2 , 	7 , 	11 , 	93 , 	81 , 	157 , 	84 , 	30 , 	24 , 	7 , 	11 , 	12 , 	7 , 	17 , 	26 , 	1 , 	15 , 	4 , 	4 , 	8 , 	7 , 	12 ," 	1,374 ",,,SFIA," 	5,301 ", 	461 ," 	2,822 ", 	713 , 	786 , 	527 , 	990 ," 	11,600 "
UC, 	13 , 	24 , 	9 , 	10 , 	64 , 	19 , 	25 , 	27 , 	47 , 	42 , 	60 , 	120 , 	38 , 	96 , 	94 , 	39 , 	12 , 	96 , 	11 , 	7 , 	9 , 	3 , 	2 , 	6 , 	10 , 	172 , 	103 , 	280 , 	101 , 	31 , 	25 , 	14 , 	17 , 	27 , 	11 , 	13 , 	22 , 	3 , 	15 , 	6 , 	4 , 	19 , 	6 , 	15 ," 	1,768 ",,,Entries," 	60,079 "," 	19,566 "," 	37,497 "," 	22,026 "," 	17,831 "," 	30,384 "," 	12,450 "," 	199,834 "
FM, 	24 , 	53 , 	28 , 	35 , 	237 , 	38 , 	50 , 	64 , 	82 , 	64 , 	99 , 	271 , 	56 , 	141 , 	150 , 	92 , 	114 , 	21 , 	17 , 	18 , 	14 , 	8 , 	9 , 	19 , 	11 , 	347 , 	209 , 	520 , 	216 , 	72 , 	43 , 	22 , 	30 , 	46 , 	21 , 	26 , 	60 , 	5 , 	32 , 	6 , 	5 , 	45 , 	10 , 	25 ," 	3,452 ",,,,,,,,,,,
CN, 	29 , 	22 , 	12 , 	15 , 	47 , 	17 , 	53 , 	40 , 	78 , 	13 , 	33 , 	100 , 	13 , 	13 , 	14 , 	9 , 	8 , 	20 , 	18 , 	61 , 	213 , 	76 , 	24 , 	51 , 	7 , 	254 , 	147 , 	319 , 	165 , 	47 , 	46 , 	23 , 	28 , 	29 , 	39 , 	5 , 	14 , 	20 , 	230 , 	8 , 	12 , 	75 , 	16 , 	6 ," 	2,467 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	10 , 	16 , 	5 , 	15 , 	47 , 	13 , 	40 , 	38 , 	44 , 	8 , 	21 , 	89 , 	13 , 	9 , 	7 , 	2 , 	7 , 	15 , 	57 , 	19 , 	102 , 	28 , 	20 , 	59 , 	5 , 	369 , 	196 , 	356 , 	157 , 	55 , 	34 , 	21 , 	16 , 	24 , 	68 , 	4 , 	7 , 	12 , 	66 , 	8 , 	10 , 	93 , 	14 , 	2 ," 	2,200 ",,,Dtwn SF," 	2,472 ",,,,,,,
WC, 	21 , 	22 , 	21 , 	20 , 	83 , 	23 , 	60 , 	50 , 	61 , 	12 , 	33 , 	114 , 	18 , 	9 , 	11 , 	8 , 	8 , 	20 , 	237 , 	120 , 	12 , 	53 , 	30 , 	108 , 	12 , 	498 , 	280 , 	446 , 	243 , 	77 , 	50 , 	22 , 	22 , 	30 , 	119 , 	4 , 	6 , 	27 , 	122 , 	6 , 	10 , 	121 , 	24 , 	3 ," 	3,275 ",,,OAK," 	16,757 ", 	963 ,,,,,,
LF, 	9 , 	6 , 	7 , 	11 , 	45 , 	7 , 	24 , 	31 , 	35 , 	4 , 	21 , 	70 , 	4 , 	5 , 	4 , 	4 , 	2 , 	7 , 	91 , 	32 , 	47 , 	12 , 	13 , 	55 , 	3 , 	269 , 	173 , 	254 , 	169 , 	42 , 	27 , 	12 , 	7 , 	15 , 	78 , 	2 , 	3 , 	7 , 	29 , 	4 , 	4 , 	67 , 	9 , 	1 ," 	1,720 ",,,CM line," 	36,397 "," 	5,261 "," 	6,762 ",,,,,
