Exit stations,Entry stations->,,SUNDAY,,,Aug 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	5 , 	47 , 	56 , 	40 , 	147 , 	65 , 	68 , 	26 , 	57 , 	29 , 	58 , 	59 , 	12 , 	20 , 	18 , 	14 , 	9 , 	22 , 	17 , 	7 , 	10 , 	8 , 	3 , 	12 , 	20 , 	99 , 	57 , 	201 , 	96 , 	56 , 	56 , 	14 , 	24 , 	16 , 	9 , 	4 , 	9 , 	1 , 	25 , 	5 , 	6 , 	24 , 	10 , 	2 ," 	1,539 ",,,Eastbay," 	33,679 ",,SF CBD," 	85,766 ",59.0%,,,
EN, 	51 , 	11 , 	52 , 	41 , 	239 , 	78 , 	89 , 	60 , 	138 , 	46 , 	73 , 	144 , 	27 , 	31 , 	31 , 	16 , 	13 , 	46 , 	23 , 	11 , 	24 , 	5 , 	6 , 	15 , 	23 , 	202 , 	127 , 	452 , 	143 , 	65 , 	51 , 	29 , 	45 , 	33 , 	15 , 	8 , 	12 , 	2 , 	28 , 	7 , 	14 , 	64 , 	14 , 	3 ," 	2,605 ",,,Westbay," 	45,894 ",,non-CBD," 	53,413 ",36.7%,,,
EP, 	60 , 	52 , 	6 , 	38 , 	254 , 	63 , 	54 , 	46 , 	84 , 	32 , 	33 , 	82 , 	14 , 	12 , 	11 , 	5 , 	9 , 	32 , 	8 , 	11 , 	14 , 	9 , 	4 , 	23 , 	10 , 	116 , 	88 , 	250 , 	116 , 	41 , 	31 , 	17 , 	9 , 	13 , 	5 , 	4 , 	6 , 	1 , 	7 , 	2 , 	5 , 	58 , 	10 , 	3 ," 	1,745 ",,,Transbay," 	67,911 ",,,,,,,
NB, 	50 , 	38 , 	43 , 	9 , 	70 , 	46 , 	50 , 	51 , 	83 , 	36 , 	40 , 	84 , 	15 , 	15 , 	16 , 	7 , 	8 , 	29 , 	13 , 	10 , 	21 , 	10 , 	6 , 	20 , 	16 , 	230 , 	131 , 	307 , 	219 , 	89 , 	89 , 	27 , 	17 , 	18 , 	4 , 	4 , 	9 , 	2 , 	13 , 	2 , 	4 , 	100 , 	15 , 	4 ," 	2,063 ",,,,,,,,,,,
BK, 	157 , 	235 , 	263 , 	75 , 	30 , 	156 , 	180 , 	199 , 	202 , 	97 , 	131 , 	194 , 	52 , 	60 , 	47 , 	29 , 	48 , 	190 , 	45 , 	35 , 	56 , 	37 , 	40 , 	32 , 	43 , 	497 , 	281 , 	935 , 	494 , 	220 , 	146 , 	51 , 	60 , 	66 , 	13 , 	14 , 	41 , 	9 , 	28 , 	10 , 	15 , 	242 , 	100 , 	18 ," 	5,868 ",,,,,,,,,,,
AS, 	74 , 	83 , 	60 , 	46 , 	128 , 	11 , 	73 , 	88 , 	104 , 	46 , 	61 , 	89 , 	23 , 	27 , 	20 , 	8 , 	14 , 	29 , 	13 , 	8 , 	18 , 	6 , 	3 , 	10 , 	24 , 	163 , 	116 , 	280 , 	234 , 	137 , 	87 , 	20 , 	17 , 	13 , 	4 , 	5 , 	10 , 	4 , 	23 , 	4 , 	4 , 	60 , 	19 , 	3 ," 	2,263 ",,,,,,,,,,,
MA, 	73 , 	82 , 	52 , 	45 , 	168 , 	76 , 	8 , 	54 , 	131 , 	39 , 	90 , 	146 , 	40 , 	44 , 	38 , 	19 , 	21 , 	39 , 	41 , 	28 , 	39 , 	18 , 	14 , 	41 , 	48 , 	291 , 	182 , 	539 , 	369 , 	206 , 	140 , 	32 , 	42 , 	29 , 	10 , 	7 , 	10 , 	8 , 	68 , 	8 , 	10 , 	117 , 	18 , 	7 ," 	3,483 ",,,,,,,,,,,
19, 	31 , 	49 , 	43 , 	46 , 	155 , 	73 , 	52 , 	10 , 	17 , 	19 , 	53 , 	101 , 	33 , 	42 , 	28 , 	14 , 	16 , 	37 , 	27 , 	17 , 	31 , 	13 , 	9 , 	50 , 	31 , 	168 , 	139 , 	340 , 	244 , 	153 , 	87 , 	27 , 	22 , 	18 , 	5 , 	5 , 	13 , 	6 , 	36 , 	4 , 	10 , 	61 , 	15 , 	5 ," 	2,349 ",,,,,,,,,,,
12, 	57 , 	118 , 	74 , 	71 , 	206 , 	100 , 	125 , 	18 , 	15 , 	21 , 	92 , 	180 , 	94 , 	106 , 	76 , 	39 , 	52 , 	76 , 	49 , 	34 , 	52 , 	27 , 	31 , 	98 , 	47 , 	270 , 	221 , 	558 , 	273 , 	127 , 	85 , 	47 , 	57 , 	44 , 	12 , 	13 , 	24 , 	13 , 	54 , 	11 , 	16 , 	114 , 	39 , 	7 ," 	3,834 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	36 , 	47 , 	36 , 	34 , 	96 , 	53 , 	45 , 	15 , 	25 , 	8 , 	120 , 	144 , 	98 , 	111 , 	52 , 	33 , 	38 , 	55 , 	13 , 	11 , 	14 , 	6 , 	10 , 	23 , 	31 , 	175 , 	153 , 	424 , 	233 , 	128 , 	98 , 	38 , 	40 , 	34 , 	4 , 	52 , 	52 , 	3 , 	11 , 	4 , 	7 , 	36 , 	10 , 	23 ," 	2,670 ",,,Dtwn SF," 	1,774 "," 	6,019 "," 	12,001 "," 	5,585 "," 	5,651 "," 	7,252 "," 	5,095 "," 	43,375 "
