Exit stations,Entry stations->,,WEEKDAY,,,Oct 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	11 , 	135 , 	119 , 	113 , 	456 , 	113 , 	186 , 	161 , 	195 , 	59 , 	117 , 	105 , 	44 , 	35 , 	54 , 	23 , 	22 , 	42 , 	32 , 	19 , 	28 , 	17 , 	15 , 	26 , 	36 , 	274 , 	299 , 	459 , 	319 , 	142 , 	151 , 	35 , 	72 , 	85 , 	18 , 	9 , 	22 , 	9 , 	41 , 	11 , 	20 , 	34 , 	33 , 	7 ," 	4,205 ",,,Eastbay," 	93,894 ",,SF CBD," 	261,663 ",63.8%,,,
EN, 	144 , 	17 , 	121 , 	116 ," 	1,063 ", 	165 , 	321 , 	524 , 	650 , 	162 , 	164 , 	220 , 	75 , 	61 , 	113 , 	36 , 	43 , 	96 , 	48 , 	27 , 	44 , 	13 , 	16 , 	41 , 	53 , 	897 , 	999 , 	975 , 	728 , 	190 , 	173 , 	66 , 	135 , 	220 , 	29 , 	12 , 	40 , 	9 , 	42 , 	31 , 	44 , 	83 , 	57 , 	13 ," 	9,077 ",,,Westbay," 	116,328 ",,non-CBD," 	139,611 ",34.0%,,,
EP, 	120 , 	105 , 	9 , 	72 , 	751 , 	93 , 	139 , 	267 , 	293 , 	95 , 	66 , 	112 , 	30 , 	19 , 	36 , 	11 , 	18 , 	47 , 	27 , 	18 , 	30 , 	12 , 	15 , 	38 , 	18 , 	530 , 	630 , 	439 , 	409 , 	101 , 	61 , 	30 , 	54 , 	76 , 	6 , 	6 , 	21 , 	4 , 	16 , 	8 , 	8 , 	57 , 	29 , 	7 ," 	4,929 ",,,Transbay," 	206,710 ",,,,,,,
NB, 	106 , 	99 , 	72 , 	13 , 	208 , 	68 , 	103 , 	231 , 	269 , 	81 , 	76 , 	113 , 	34 , 	23 , 	32 , 	11 , 	18 , 	35 , 	16 , 	21 , 	29 , 	12 , 	14 , 	22 , 	21 , 	687 , 	737 , 	470 , 	465 , 	152 , 	91 , 	36 , 	50 , 	63 , 	8 , 	9 , 	18 , 	4 , 	18 , 	4 , 	13 , 	83 , 	32 , 	4 ," 	4,667 ",,,,,,,,,,,
BK, 	486 ," 	1,091 ", 	760 , 	233 , 	35 , 	421 , 	533 , 	615 , 	619 , 	327 , 	357 , 	323 , 	214 , 	176 , 	185 , 	115 , 	149 , 	322 , 	176 , 	177 , 	145 , 	107 , 	70 , 	69 , 	96 , 	998 , 	971 ," 	1,022 ", 	848 , 	396 , 	357 , 	154 , 	143 , 	195 , 	41 , 	64 , 	134 , 	59 , 	115 , 	39 , 	48 , 	182 , 	174 , 	61 ," 	13,800 ",,,,,,,,,,,
AS, 	116 , 	138 , 	80 , 	70 , 	344 , 	13 , 	112 , 	260 , 	268 , 	94 , 	122 , 	132 , 	49 , 	48 , 	52 , 	25 , 	32 , 	62 , 	29 , 	21 , 	33 , 	11 , 	8 , 	19 , 	38 , 	586 , 	680 , 	485 , 	498 , 	213 , 	131 , 	38 , 	52 , 	75 , 	9 , 	11 , 	27 , 	9 , 	35 , 	8 , 	16 , 	49 , 	33 , 	12 ," 	5,142 ",,,,,,,,,,,
MA, 	197 , 	314 , 	139 , 	96 , 	487 , 	112 , 	22 , 	205 , 	266 , 	112 , 	203 , 	294 , 	134 , 	142 , 	162 , 	88 , 	95 , 	159 , 	179 , 	154 , 	150 , 	64 , 	67 , 	80 , 	88 ," 	1,016 "," 	1,136 ", 	963 , 	882 , 	376 , 	241 , 	84 , 	113 , 	141 , 	33 , 	38 , 	75 , 	55 , 	246 , 	26 , 	37 , 	109 , 	64 , 	31 ," 	9,674 ",,,,,,,,,,,
19, 	165 , 	530 , 	263 , 	242 , 	565 , 	253 , 	203 , 	22 , 	62 , 	47 , 	172 , 	259 , 	238 , 	223 , 	238 , 	175 , 	197 , 	405 , 	312 , 	355 , 	285 , 	170 , 	111 , 	187 , 	76 , 	968 ," 	1,063 ", 	867 , 	856 , 	369 , 	283 , 	154 , 	149 , 	174 , 	71 , 	87 , 	211 , 	175 , 	264 , 	70 , 	59 , 	68 , 	110 , 	92 ," 	11,845 ",,,,,,,,,,,
12, 	202 , 	628 , 	286 , 	280 , 	523 , 	261 , 	242 , 	55 , 	29 , 	60 , 	239 , 	398 , 	341 , 	364 , 	331 , 	195 , 	255 , 	406 , 	322 , 	352 , 	292 , 	180 , 	123 , 	193 , 	101 ," 	1,071 "," 	1,064 "," 	1,021 ", 	854 , 	293 , 	288 , 	167 , 	182 , 	214 , 	114 , 	105 , 	240 , 	161 , 	298 , 	74 , 	82 , 	115 , 	145 , 	117 ," 	13,263 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	57 , 	150 , 	105 , 	81 , 	340 , 	97 , 	114 , 	50 , 	56 , 	14 , 	201 , 	337 , 	300 , 	296 , 	213 , 	126 , 	126 , 	191 , 	49 , 	31 , 	39 , 	18 , 	14 , 	38 , 	52 , 	680 , 	748 , 	685 , 	510 , 	194 , 	138 , 	61 , 	101 , 	160 , 	12 , 	116 , 	186 , 	20 , 	61 , 	11 , 	17 , 	31 , 	19 , 	81 ," 	6,924 ",,,Dtwn SF,"5,752","18,665","35,475","14,712","22,285","25,791","11,723","134,403"
