Exit stations,Entry stations->,,SUNDAY,,,Dec 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	8 , 	41 , 	50 , 	42 , 	123 , 	49 , 	57 , 	28 , 	41 , 	18 , 	42 , 	72 , 	12 , 	16 , 	17 , 	9 , 	8 , 	15 , 	16 , 	5 , 	11 , 	8 , 	3 , 	11 , 	17 , 	71 , 	51 , 	226 , 	78 , 	53 , 	58 , 	17 , 	22 , 	19 , 	7 , 	3 , 	6 , 	2 , 	22 , 	3 , 	9 , 	28 , 	10 , 	3 ," 	1,408 ",,,Eastbay," 	31,086 ",,SF CBD," 	79,075 ",59.3%,,,
EN, 	48 , 	13 , 	52 , 	35 , 	201 , 	69 , 	86 , 	54 , 	77 , 	22 , 	67 , 	214 , 	26 , 	30 , 	26 , 	14 , 	12 , 	31 , 	21 , 	10 , 	23 , 	7 , 	5 , 	16 , 	22 , 	139 , 	116 , 	528 , 	133 , 	52 , 	53 , 	26 , 	37 , 	26 , 	13 , 	4 , 	10 , 	2 , 	32 , 	8 , 	11 , 	63 , 	16 , 	4 ," 	2,454 ",,,Westbay," 	43,272 ",,non-CBD," 	48,902 ",36.7%,,,
EP, 	55 , 	53 , 	10 , 	33 , 	222 , 	44 , 	49 , 	47 , 	44 , 	26 , 	34 , 	78 , 	10 , 	14 , 	7 , 	4 , 	7 , 	20 , 	8 , 	7 , 	14 , 	6 , 	3 , 	24 , 	9 , 	86 , 	78 , 	288 , 	100 , 	41 , 	30 , 	19 , 	18 , 	11 , 	5 , 	4 , 	7 , 	1 , 	9 , 	1 , 	7 , 	47 , 	8 , 	5 ," 	1,592 ",,,Transbay," 	60,985 ",,,,,,,
NB, 	45 , 	35 , 	32 , 	9 , 	76 , 	33 , 	45 , 	43 , 	59 , 	29 , 	30 , 	66 , 	16 , 	19 , 	8 , 	4 , 	6 , 	19 , 	9 , 	5 , 	11 , 	8 , 	4 , 	19 , 	12 , 	137 , 	119 , 	344 , 	158 , 	77 , 	59 , 	27 , 	24 , 	13 , 	5 , 	4 , 	7 , 	1 , 	8 , 	3 , 	5 , 	79 , 	16 , 	4 ," 	1,734 ",,,,,,,,,,,
BK, 	132 , 	192 , 	228 , 	84 , 	27 , 	145 , 	155 , 	149 , 	153 , 	67 , 	111 , 	122 , 	45 , 	47 , 	43 , 	21 , 	32 , 	110 , 	34 , 	39 , 	51 , 	28 , 	26 , 	27 , 	43 , 	234 , 	192 , 	769 , 	253 , 	139 , 	110 , 	49 , 	43 , 	51 , 	11 , 	11 , 	43 , 	6 , 	19 , 	6 , 	9 , 	147 , 	45 , 	9 ," 	4,256 ",,,,,,,,,,,
AS, 	49 , 	69 , 	46 , 	37 , 	123 , 	14 , 	60 , 	80 , 	72 , 	32 , 	57 , 	91 , 	23 , 	24 , 	18 , 	9 , 	10 , 	24 , 	8 , 	10 , 	15 , 	7 , 	4 , 	11 , 	23 , 	97 , 	102 , 	304 , 	170 , 	107 , 	80 , 	20 , 	17 , 	14 , 	2 , 	4 , 	9 , 	3 , 	12 , 	3 , 	4 , 	53 , 	11 , 	5 ," 	1,932 ",,,,,,,,,,,
MA, 	62 , 	77 , 	52 , 	42 , 	161 , 	69 , 	17 , 	50 , 	79 , 	31 , 	75 , 	166 , 	32 , 	51 , 	32 , 	14 , 	11 , 	28 , 	34 , 	17 , 	38 , 	17 , 	12 , 	37 , 	50 , 	196 , 	171 , 	557 , 	287 , 	174 , 	115 , 	35 , 	42 , 	22 , 	5 , 	9 , 	9 , 	7 , 	62 , 	7 , 	8 , 	102 , 	16 , 	7 ," 	3,082 ",,,,,,,,,,,
19, 	30 , 	44 , 	43 , 	45 , 	130 , 	73 , 	50 , 	11 , 	14 , 	10 , 	50 , 	87 , 	28 , 	32 , 	31 , 	20 , 	17 , 	32 , 	20 , 	18 , 	34 , 	15 , 	14 , 	49 , 	30 , 	136 , 	123 , 	379 , 	192 , 	118 , 	91 , 	27 , 	24 , 	18 , 	4 , 	8 , 	10 , 	7 , 	31 , 	2 , 	6 , 	55 , 	15 , 	3 ," 	2,176 ",,,,,,,,,,,
12, 	40 , 	64 , 	34 , 	46 , 	114 , 	66 , 	60 , 	14 , 	19 , 	12 , 	63 , 	128 , 	42 , 	72 , 	46 , 	22 , 	26 , 	34 , 	33 , 	23 , 	38 , 	16 , 	14 , 	41 , 	45 , 	168 , 	170 , 	502 , 	210 , 	89 , 	70 , 	27 , 	42 , 	32 , 	11 , 	5 , 	11 , 	6 , 	39 , 	5 , 	10 , 	89 , 	18 , 	3 ," 	2,616 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	26 , 	26 , 	29 , 	60 , 	31 , 	30 , 	11 , 	13 , 	11 , 	77 , 	135 , 	63 , 	80 , 	33 , 	21 , 	27 , 	42 , 	9 , 	6 , 	11 , 	6 , 	6 , 	14 , 	30 , 	124 , 	146 , 	484 , 	187 , 	102 , 	66 , 	23 , 	35 , 	28 , 	3 , 	36 , 	44 , 	1 , 	9 , 	5 , 	4 , 	26 , 	8 , 	23 ," 	2,175 ",,,Dtwn SF," 	1,893 "," 	5,531 "," 	11,725 "," 	4,586 "," 	5,066 "," 	6,619 "," 	4,622 "," 	40,042 "
