Exit stations,Entry stations->,,WEEKDAY,,,Dec 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	122 , 	104 , 	104 , 	365 , 	100 , 	163 , 	150 , 	177 , 	47 , 	97 , 	86 , 	41 , 	37 , 	43 , 	21 , 	19 , 	33 , 	28 , 	19 , 	25 , 	18 , 	11 , 	20 , 	32 , 	237 , 	272 , 	425 , 	262 , 	136 , 	137 , 	32 , 	57 , 	66 , 	19 , 	6 , 	18 , 	8 , 	47 , 	13 , 	23 , 	32 , 	31 , 	4 ," 	3,692 ",,,Eastbay," 	80,726 ",,SF CBD," 	240,072 ",65.0%,,,
EN, 	136 , 	15 , 	112 , 	108 , 	829 , 	147 , 	295 , 	479 , 	573 , 	110 , 	147 , 	180 , 	73 , 	57 , 	80 , 	30 , 	43 , 	92 , 	43 , 	25 , 	43 , 	14 , 	13 , 	39 , 	49 , 	823 , 	900 ," 	1,009 ", 	647 , 	174 , 	166 , 	58 , 	101 , 	168 , 	25 , 	10 , 	36 , 	11 , 	44 , 	28 , 	42 , 	71 , 	55 , 	15 ," 	8,116 ",,,Westbay," 	106,527 ",,non-CBD," 	120,738 ",32.7%,,,
EP, 	108 , 	98 , 	10 , 	65 , 	603 , 	81 , 	137 , 	243 , 	261 , 	61 , 	56 , 	70 , 	26 , 	18 , 	28 , 	10 , 	15 , 	42 , 	22 , 	16 , 	37 , 	11 , 	14 , 	41 , 	16 , 	479 , 	574 , 	510 , 	339 , 	101 , 	57 , 	28 , 	38 , 	60 , 	6 , 	8 , 	20 , 	3 , 	20 , 	7 , 	10 , 	51 , 	28 , 	7 ," 	4,432 ",,,Transbay," 	187,838 ",,,,,,,
NB, 	98 , 	84 , 	61 , 	10 , 	183 , 	65 , 	102 , 	202 , 	235 , 	56 , 	69 , 	70 , 	30 , 	22 , 	25 , 	11 , 	14 , 	34 , 	16 , 	20 , 	27 , 	11 , 	11 , 	23 , 	21 , 	599 , 	673 , 	556 , 	386 , 	141 , 	88 , 	30 , 	36 , 	50 , 	6 , 	8 , 	14 , 	4 , 	15 , 	5 , 	11 , 	76 , 	30 , 	5 ," 	4,227 ",,,,,,,,,,,
BK, 	399 , 	854 , 	605 , 	201 , 	26 , 	352 , 	446 , 	508 , 	504 , 	207 , 	275 , 	223 , 	156 , 	126 , 	138 , 	79 , 	107 , 	239 , 	129 , 	128 , 	125 , 	82 , 	56 , 	62 , 	78 , 	755 , 	783 ," 	1,082 ", 	635 , 	304 , 	271 , 	117 , 	105 , 	141 , 	29 , 	49 , 	106 , 	50 , 	95 , 	25 , 	34 , 	146 , 	122 , 	44 ," 	10,997 ",,,,,,,,,,,
AS, 	101 , 	126 , 	73 , 	64 , 	304 , 	11 , 	105 , 	240 , 	230 , 	64 , 	103 , 	105 , 	45 , 	44 , 	44 , 	21 , 	26 , 	64 , 	26 , 	18 , 	37 , 	12 , 	8 , 	17 , 	45 , 	511 , 	613 , 	528 , 	411 , 	191 , 	130 , 	34 , 	42 , 	57 , 	9 , 	8 , 	25 , 	6 , 	30 , 	6 , 	16 , 	53 , 	33 , 	10 ," 	4,643 ",,,,,,,,,,,
MA, 	179 , 	294 , 	128 , 	95 , 	408 , 	105 , 	16 , 	196 , 	258 , 	77 , 	182 , 	218 , 	128 , 	129 , 	136 , 	74 , 	89 , 	147 , 	144 , 	131 , 	146 , 	52 , 	44 , 	70 , 	87 , 	892 ," 	1,014 ", 	975 , 	791 , 	348 , 	222 , 	83 , 	87 , 	115 , 	30 , 	34 , 	65 , 	47 , 	228 , 	24 , 	35 , 	100 , 	57 , 	26 ," 	8,706 ",,,,,,,,,,,
19, 	157 , 	493 , 	245 , 	220 , 	464 , 	234 , 	183 , 	17 , 	66 , 	42 , 	196 , 	216 , 	214 , 	209 , 	216 , 	157 , 	176 , 	362 , 	278 , 	312 , 	260 , 	148 , 	100 , 	172 , 	81 , 	876 , 	965 , 	850 , 	744 , 	321 , 	261 , 	134 , 	122 , 	144 , 	61 , 	79 , 	198 , 	151 , 	253 , 	65 , 	55 , 	62 , 	99 , 	81 ," 	10,737 ",,,,,,,,,,,
12, 	193 , 	570 , 	252 , 	253 , 	440 , 	231 , 	240 , 	56 , 	24 , 	45 , 	224 , 	344 , 	313 , 	328 , 	302 , 	172 , 	224 , 	356 , 	284 , 	319 , 	275 , 	165 , 	115 , 	177 , 	96 , 	972 , 	964 ," 	1,001 ", 	769 , 	273 , 	272 , 	148 , 	159 , 	179 , 	108 , 	100 , 	221 , 	141 , 	275 , 	70 , 	76 , 	94 , 	133 , 	98 ," 	12,052 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	45 , 	104 , 	64 , 	56 , 	196 , 	66 , 	82 , 	40 , 	44 , 	11 , 	153 , 	233 , 	242 , 	241 , 	161 , 	106 , 	108 , 	154 , 	39 , 	27 , 	25 , 	16 , 	9 , 	30 , 	42 , 	603 , 	666 , 	710 , 	451 , 	168 , 	118 , 	49 , 	79 , 	123 , 	9 , 	106 , 	163 , 	14 , 	50 , 	10 , 	16 , 	28 , 	19 , 	65 ," 	5,742 ",,,Dtwn SF,"6,103","17,425","32,723","13,418","20,605","23,436","10,094","123,803"
FV, 	100 , 	141 , 	58 , 	76 , 	273 , 	113 , 	187 , 	218 , 	231 , 	160 , 	18 , 	313 , 	231 , 	304 , 	261 , 	106 , 	86 , 	156 , 	50 , 	36 , 	52 , 	25 , 	33 , 	54 , 	123 , 	756 , 	823 , 	976 , 	697 , 	237 , 	182 , 	61 , 	94 , 	134 , 	14 , 	69 , 	142 , 	13 , 	61 , 	11 , 	25 , 	60 , 	35 , 	61 ," 	7,851 ",,,OAK,"17,223","2,012","4,122","5,740","4,633","7,941","1,049","42,720"
CL, 	94 , 	187 , 	72 , 	80 , 	311 , 	119 , 	231 , 	249 , 	377 , 	214 , 	316 , 	16 , 	193 , 	253 , 	228 , 	121 , 	141 , 	290 , 	93 , 	77 , 	102 , 	46 , 	34 , 	73 , 	122 , 	567 , 	514 , 	648 , 	430 , 	136 , 	132 , 	64 , 	69 , 	149 , 	18 , 	88 , 	266 , 	31 , 	127 , 	26 , 	35 , 	44 , 	44 , 	117 ," 	7,544 ",,,CM line,"31,548","3,954","8,308","2,962","2,284","3,487","3,128","55,670"
SL, 	44 , 	72 , 	29 , 	31 , 	148 , 	48 , 	139 , 	223 , 	319 , 	247 , 	251 , 	194 , 	16 , 	128 , 	155 , 	88 , 	86 , 	127 , 	35 , 	21 , 	31 , 	12 , 	14 , 	19 , 	41 , 	641 , 	574 , 	616 , 	406 , 	104 , 	77 , 	40 , 	54 , 	95 , 	10 , 	46 , 	89 , 	12 , 	45 , 	13 , 	18 , 	37 , 	19 , 	49 ," 	5,462 ",,,RM line,"14,008","5,833","3,209","6,732","1,574","3,720",946,"36,021"
BF, 	31 , 	56 , 	17 , 	28 , 	124 , 	38 , 	137 , 	211 , 	330 , 	232 , 	305 , 	247 , 	127 , 	14 , 	195 , 	130 , 	147 , 	240 , 	31 , 	15 , 	20 , 	8 , 	5 , 	17 , 	56 , 	538 , 	550 , 	593 , 	341 , 	97 , 	72 , 	26 , 	53 , 	92 , 	11 , 	75 , 	201 , 	7 , 	25 , 	8 , 	16 , 	21 , 	13 , 	115 ," 	5,611 ",,,WP line,"20,669","4,685","2,425","1,581","5,486","1,810","1,201","37,857"
HY, 	50 , 	80 , 	30 , 	26 , 	134 , 	47 , 	133 , 	220 , 	293 , 	149 , 	260 , 	227 , 	159 , 	214 , 	12 , 	121 , 	200 , 	332 , 	35 , 	25 , 	20 , 	10 , 	5 , 	19 , 	40 , 	401 , 	381 , 	370 , 	254 , 	72 , 	50 , 	24 , 	40 , 	56 , 	11 , 	33 , 	84 , 	12 , 	51 , 	10 , 	17 , 	21 , 	8 , 	52 ," 	4,785 ",,,FT/ED line,"22,858","7,937","3,591","3,880","1,887","13,238",827,"54,219"
SH, 	22 , 	33 , 	10 , 	10 , 	79 , 	24 , 	69 , 	157 , 	163 , 	92 , 	98 , 	115 , 	83 , 	129 , 	114 , 	8 , 	69 , 	168 , 	20 , 	12 , 	12 , 	3 , 	3 , 	10 , 	16 , 	397 , 	343 , 	288 , 	202 , 	55 , 	41 , 	15 , 	22 , 	57 , 	8 , 	22 , 	42 , 	4 , 	17 , 	6 , 	6 , 	12 , 	9 , 	26 ," 	3,090 ",,,SFIA,"9,963","1,122","3,337","1,174","1,264",811,"1,323","18,994"
UC, 	22 , 	40 , 	18 , 	15 , 	107 , 	29 , 	85 , 	177 , 	220 , 	108 , 	89 , 	137 , 	94 , 	156 , 	205 , 	81 , 	14 , 	184 , 	18 , 	15 , 	21 , 	5 , 	3 , 	14 , 	15 , 	663 , 	574 , 	429 , 	235 , 	64 , 	28 , 	17 , 	26 , 	74 , 	5 , 	21 , 	61 , 	6 , 	19 , 	4 , 	7 , 	22 , 	6 , 	30 ," 	4,166 ",,,Entries,"122,371","42,967","57,716","35,486","37,732","54,443","18,569","369,284"
FM, 	38 , 	99 , 	44 , 	34 , 	245 , 	71 , 	141 , 	364 , 	348 , 	163 , 	163 , 	281 , 	133 , 	246 , 	352 , 	185 , 	183 , 	32 , 	36 , 	33 , 	37 , 	12 , 	9 , 	28 , 	24 ," 	1,380 "," 	1,150 ", 	728 , 	391 , 	93 , 	44 , 	27 , 	43 , 	107 , 	10 , 	36 , 	90 , 	13 , 	49 , 	8 , 	11 , 	54 , 	7 , 	31 ," 	7,574 ",,,,,,,,,,,
CN, 	29 , 	42 , 	24 , 	16 , 	127 , 	27 , 	147 , 	279 , 	294 , 	37 , 	50 , 	86 , 	35 , 	31 , 	35 , 	20 , 	19 , 	36 , 	16 , 	109 , 	360 , 	104 , 	40 , 	91 , 	19 , 	773 , 	785 , 	553 , 	384 , 	86 , 	78 , 	36 , 	47 , 	94 , 	26 , 	8 , 	13 , 	58 , 	371 , 	19 , 	26 , 	100 , 	27 , 	4 ," 	5,563 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
