Muni Fast Pass Adult/Clipper OD,,,,,,Jan 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,23,92,111,396,757,667,938,"3,023"
MT,32,45,54,102,503,940,867,"1,676","4,220"
PL,140,83,37,67,408,614,473,"1,268","3,090"
CC,84,83,66,26,214,407,337,745,"1,962"
16,348,397,486,233,15,117,151,349,"2,095"
24,571,708,737,407,134,16,107,349,"3,031"
GP,567,645,599,316,149,119,15,80,"2,490"
BP,804,995,"1,705",692,334,352,77,40,"5,000"
Entries,"2,586","2,981","3,775","1,955","2,154","3,323","2,695","5,443","24,912"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,12,7,34,26,130,174,113,263,758
MT,5,9,20,17,160,211,201,705,"1,328"
PL,43,19,33,27,346,526,375,"1,014","2,382"
CC,18,9,32,19,149,222,110,272,830
16,116,92,390,152,14,101,100,233,"1,196"
24,154,135,545,230,97,18,89,229,"1,497"
GP,94,117,453,108,89,89,20,39,"1,008"
BP,236,270,"1,261",230,196,198,39,35,"2,464"
Entries,677,658,"2,767",809,"1,179","1,538","1,045","2,790","11,463"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,3,19,16,73,110,69,166,470
MT,2,11,12,11,88,125,129,483,859
PL,22,9,44,21,256,361,260,686,"1,658"
CC,17,6,20,27,111,156,84,221,642
16,76,53,306,121,15,78,81,166,895
24,110,83,429,174,74,24,59,167,"1,118"
GP,76,68,372,92,72,64,22,25,790
BP,168,179,"1,039",182,163,153,22,40,"1,946"
Entries,484,411,"2,241",642,851,"1,070",725,"1,955","8,377"
