Exit stations,Entry stations->,,WEEKDAY,,,Feb 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	134 , 	113 , 	125 , 	453 , 	107 , 	175 , 	163 , 	195 , 	57 , 	112 , 	86 , 	50 , 	36 , 	47 , 	23 , 	22 , 	33 , 	32 , 	18 , 	24 , 	18 , 	12 , 	23 , 	31 , 	257 , 	289 , 	405 , 	288 , 	146 , 	144 , 	35 , 	68 , 	85 , 	18 , 	8 , 	20 , 	8 , 	50 , 	12 , 	24 , 	28 , 	29 , 	4 ," 	4,015 ",,,Eastbay," 	89,242 ",,SF CBD," 	247,241 ",63.6%,,,
EN, 	143 , 	16 , 	118 , 	120 ," 	1,081 ", 	153 , 	314 , 	529 , 	629 , 	147 , 	160 , 	153 , 	74 , 	58 , 	106 , 	34 , 	40 , 	88 , 	46 , 	24 , 	42 , 	11 , 	13 , 	37 , 	48 , 	840 , 	958 , 	873 , 	697 , 	184 , 	177 , 	61 , 	129 , 	194 , 	29 , 	11 , 	38 , 	10 , 	46 , 	30 , 	45 , 	69 , 	54 , 	16 ," 	8,644 ",,,Westbay," 	108,882 ",,non-CBD," 	133,257 ",34.3%,,,
EP, 	114 , 	104 , 	8 , 	71 , 	798 , 	89 , 	135 , 	259 , 	293 , 	93 , 	71 , 	61 , 	31 , 	18 , 	35 , 	10 , 	17 , 	48 , 	24 , 	18 , 	30 , 	10 , 	13 , 	37 , 	19 , 	524 , 	629 , 	400 , 	377 , 	100 , 	62 , 	29 , 	48 , 	74 , 	6 , 	7 , 	21 , 	4 , 	16 , 	6 , 	8 , 	49 , 	29 , 	8 ," 	4,802 ",,,Transbay," 	196,567 ",,,,,,,
NB, 	117 , 	102 , 	67 , 	11 , 	210 , 	68 , 	112 , 	236 , 	272 , 	78 , 	78 , 	69 , 	33 , 	23 , 	28 , 	12 , 	17 , 	32 , 	20 , 	18 , 	31 , 	12 , 	14 , 	24 , 	20 , 	657 , 	745 , 	454 , 	461 , 	151 , 	90 , 	35 , 	43 , 	55 , 	7 , 	9 , 	16 , 	3 , 	15 , 	5 , 	13 , 	72 , 	33 , 	4 ," 	4,572 ",,,,,,,,,,,
BK, 	492 ," 	1,097 ", 	799 , 	241 , 	34 , 	426 , 	551 , 	647 , 	639 , 	362 , 	347 , 	279 , 	217 , 	175 , 	177 , 	107 , 	151 , 	317 , 	162 , 	165 , 	144 , 	100 , 	73 , 	67 , 	103 , 	958 , 	977 , 	960 , 	852 , 	413 , 	368 , 	150 , 	150 , 	187 , 	40 , 	69 , 	134 , 	61 , 	112 , 	35 , 	46 , 	158 , 	153 , 	53 ," 	13,750 ",,,,,,,,,,,
AS, 	113 , 	129 , 	83 , 	69 , 	367 , 	11 , 	116 , 	274 , 	274 , 	110 , 	118 , 	97 , 	49 , 	46 , 	47 , 	24 , 	29 , 	74 , 	31 , 	20 , 	35 , 	12 , 	7 , 	18 , 	46 , 	596 , 	690 , 	475 , 	481 , 	217 , 	133 , 	37 , 	54 , 	67 , 	11 , 	13 , 	24 , 	8 , 	34 , 	7 , 	14 , 	42 , 	35 , 	12 ," 	5,147 ",,,,,,,,,,,
MA, 	193 , 	308 , 	131 , 	106 , 	505 , 	120 , 	18 , 	206 , 	271 , 	120 , 	212 , 	213 , 	132 , 	132 , 	147 , 	84 , 	90 , 	152 , 	150 , 	134 , 	151 , 	59 , 	49 , 	68 , 	86 , 	962 ," 	1,130 ", 	896 , 	855 , 	370 , 	232 , 	82 , 	112 , 	130 , 	33 , 	39 , 	64 , 	52 , 	225 , 	23 , 	37 , 	81 , 	60 , 	28 ," 	9,249 ",,,,,,,,,,,
19, 	161 , 	537 , 	256 , 	250 , 	608 , 	276 , 	193 , 	19 , 	68 , 	59 , 	185 , 	213 , 	232 , 	218 , 	235 , 	173 , 	191 , 	403 , 	303 , 	358 , 	289 , 	160 , 	108 , 	195 , 	87 ," 	1,008 "," 	1,112 ", 	840 , 	855 , 	366 , 	294 , 	152 , 	146 , 	166 , 	73 , 	90 , 	214 , 	169 , 	273 , 	68 , 	61 , 	53 , 	117 , 	98 ," 	11,935 ",,,,,,,,,,,
12, 	204 , 	622 , 	291 , 	292 , 	570 , 	276 , 	257 , 	57 , 	26 , 	58 , 	241 , 	373 , 	345 , 	350 , 	332 , 	188 , 	251 , 	400 , 	311 , 	346 , 	293 , 	182 , 	126 , 	207 , 	110 ," 	1,071 "," 	1,090 ", 	964 , 	879 , 	317 , 	296 , 	173 , 	190 , 	208 , 	120 , 	108 , 	256 , 	156 , 	288 , 	82 , 	81 , 	94 , 	157 , 	110 ," 	13,347 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	57 , 	145 , 	94 , 	82 , 	348 , 	111 , 	116 , 	57 , 	62 , 	12 , 	210 , 	286 , 	307 , 	302 , 	198 , 	127 , 	130 , 	179 , 	44 , 	28 , 	35 , 	17 , 	12 , 	48 , 	59 , 	693 , 	766 , 	641 , 	526 , 	192 , 	134 , 	53 , 	109 , 	146 , 	10 , 	113 , 	192 , 	15 , 	56 , 	11 , 	16 , 	25 , 	20 , 	72 ," 	6,852 ",,,Dtwn SF,"5,393","18,401","33,704","14,041","20,923","23,900","10,298","126,662"
FV, 	108 , 	157 , 	69 , 	87 , 	339 , 	130 , 	211 , 	205 , 	252 , 	210 , 	14 , 	325 , 	265 , 	296 , 	300 , 	110 , 	91 , 	170 , 	54 , 	34 , 	53 , 	22 , 	35 , 	57 , 	130 , 	777 , 	882 , 	850 , 	783 , 	259 , 	201 , 	67 , 	115 , 	152 , 	14 , 	72 , 	142 , 	10 , 	62 , 	11 , 	27 , 	52 , 	33 , 	62 ," 	8,299 ",,,OAK,"18,422","2,279","4,689","6,812","5,061","8,783","1,090","47,136"
CL, 	85 , 	146 , 	60 , 	71 , 	276 , 	106 , 	222 , 	245 , 	395 , 	261 , 	319 , 	16 , 	144 , 	219 , 	229 , 	112 , 	116 , 	221 , 	74 , 	60 , 	79 , 	35 , 	22 , 	66 , 	120 , 	536 , 	501 , 	533 , 	415 , 	138 , 	129 , 	59 , 	73 , 	142 , 	18 , 	60 , 	174 , 	26 , 	121 , 	21 , 	28 , 	38 , 	31 , 	75 ," 	6,820 ",,,CM line,"32,500","4,507","9,446","3,528","2,430","3,753","3,182","59,346"
