Muni Fast Pass Adult/Clipper OD,,,,,,Sep 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,21,81,111,384,701,636,925,"2,897"
MT,24,35,45,89,466,899,877,"1,721","4,156"
PL,124,69,40,61,366,627,472,"1,283","3,041"
CC,87,85,64,26,204,393,353,841,"2,051"
16,337,366,446,221,12,105,145,380,"2,012"
24,550,666,735,393,110,19,110,370,"2,954"
GP,567,651,614,317,143,115,13,84,"2,503"
BP,807,"1,038","1,754",779,364,388,80,42,"5,252"
Entries,"2,533","2,931","3,778","1,995","2,048","3,247","2,686","5,646","24,866"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,8,36,28,136,198,138,293,857
MT,8,11,14,15,145,208,201,714,"1,315"
PL,42,15,40,27,310,469,371,"1,006","2,279"
CC,19,12,33,21,147,202,113,271,818
16,116,90,357,147,14,93,102,217,"1,136"
24,164,132,513,224,87,20,77,198,"1,415"
GP,103,115,443,108,90,66,13,39,976
BP,236,285,"1,275",226,185,182,37,29,"2,455"
Entries,707,667,"2,711",795,"1,115","1,438","1,051","2,766","11,250"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,3,17,19,74,102,83,190,509
MT,4,14,7,15,91,112,123,447,813
PL,20,10,47,16,217,327,227,630,"1,494"
CC,15,10,22,27,109,149,104,222,658
16,84,49,259,109,21,58,66,156,803
24,116,76,431,160,58,25,49,120,"1,035"
GP,80,77,337,94,75,50,13,29,754
BP,181,185,985,199,131,127,23,35,"1,865"
Entries,521,423,"2,104",639,775,950,688,"1,829","7,931"
