Exit stations,Entry stations->,,SUNDAY,,,Oct 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	33 , 	39 , 	33 , 	120 , 	40 , 	43 , 	30 , 	39 , 	26 , 	41 , 	65 , 	16 , 	16 , 	10 , 	7 , 	6 , 	15 , 	10 , 	3 , 	11 , 	5 , 	2 , 	7 , 	15 , 	64 , 	42 , 	147 , 	82 , 	51 , 	45 , 	16 , 	22 , 	14 , 	8 , 	3 , 	8 , 	3 , 	23 , 	5 , 	7 , 	21 , 	9 , 	2 ," 	1,205 ",,,Eastbay," 	29,162 ",,SF CBD," 	62,901 ",55.8%,,,
EN, 	38 , 	8 , 	38 , 	28 , 	221 , 	69 , 	55 , 	44 , 	70 , 	30 , 	54 , 	246 , 	23 , 	24 , 	18 , 	7 , 	10 , 	32 , 	17 , 	10 , 	16 , 	6 , 	4 , 	18 , 	19 , 	142 , 	110 , 	332 , 	135 , 	60 , 	52 , 	19 , 	45 , 	19 , 	13 , 	3 , 	9 , 	2 , 	25 , 	7 , 	7 , 	51 , 	9 , 	4 ," 	2,146 ",,,Westbay," 	32,701 ",,non-CBD," 	44,848 ",39.8%,,,
EP, 	47 , 	39 , 	4 , 	26 , 	209 , 	39 , 	36 , 	39 , 	45 , 	34 , 	21 , 	94 , 	9 , 	8 , 	5 , 	5 , 	6 , 	15 , 	6 , 	4 , 	8 , 	7 , 	3 , 	18 , 	7 , 	86 , 	65 , 	183 , 	109 , 	40 , 	21 , 	14 , 	16 , 	10 , 	4 , 	2 , 	5 , 	1 , 	8 , 	2 , 	4 , 	44 , 	10 , 	3 ," 	1,356 ",,,Transbay," 	52,553 ",,,,,,,
NB, 	28 , 	35 , 	24 , 	12 , 	78 , 	31 , 	36 , 	43 , 	46 , 	23 , 	26 , 	70 , 	8 , 	9 , 	10 , 	2 , 	6 , 	15 , 	5 , 	6 , 	11 , 	5 , 	8 , 	12 , 	7 , 	135 , 	85 , 	217 , 	183 , 	70 , 	48 , 	14 , 	19 , 	12 , 	3 , 	3 , 	5 , 	1 , 	5 , 	3 , 	3 , 	69 , 	19 , 	2 ," 	1,447 ",,,,,,,,,,,
BK, 	124 , 	218 , 	207 , 	86 , 	28 , 	130 , 	137 , 	157 , 	140 , 	59 , 	104 , 	196 , 	45 , 	41 , 	44 , 	24 , 	45 , 	192 , 	26 , 	36 , 	46 , 	31 , 	22 , 	41 , 	43 , 	314 , 	189 , 	604 , 	391 , 	171 , 	114 , 	51 , 	42 , 	47 , 	12 , 	10 , 	39 , 	3 , 	20 , 	8 , 	10 , 	204 , 	91 , 	13 ," 	4,551 ",,,,,,,,,,,
AS, 	45 , 	67 , 	36 , 	28 , 	130 , 	9 , 	57 , 	70 , 	61 , 	38 , 	56 , 	96 , 	19 , 	18 , 	17 , 	9 , 	8 , 	28 , 	8 , 	8 , 	9 , 	5 , 	5 , 	10 , 	26 , 	130 , 	90 , 	228 , 	211 , 	123 , 	71 , 	17 , 	15 , 	15 , 	5 , 	5 , 	8 , 	3 , 	12 , 	3 , 	2 , 	60 , 	11 , 	2 ," 	1,867 ",,,,,,,,,,,
MA, 	50 , 	53 , 	32 , 	34 , 	140 , 	47 , 	11 , 	42 , 	55 , 	31 , 	61 , 	165 , 	23 , 	34 , 	22 , 	11 , 	12 , 	35 , 	26 , 	18 , 	30 , 	10 , 	9 , 	38 , 	33 , 	207 , 	143 , 	409 , 	327 , 	179 , 	107 , 	25 , 	28 , 	21 , 	8 , 	8 , 	12 , 	7 , 	48 , 	3 , 	9 , 	91 , 	15 , 	6 ," 	2,668 ",,,,,,,,,,,
19, 	28 , 	46 , 	34 , 	41 , 	131 , 	66 , 	42 , 	7 , 	10 , 	12 , 	45 , 	99 , 	34 , 	35 , 	26 , 	11 , 	14 , 	36 , 	21 , 	17 , 	41 , 	12 , 	13 , 	54 , 	22 , 	156 , 	129 , 	320 , 	249 , 	128 , 	90 , 	33 , 	26 , 	20 , 	5 , 	5 , 	13 , 	6 , 	27 , 	4 , 	4 , 	51 , 	16 , 	4 ," 	2,176 ",,,,,,,,,,,
12, 	33 , 	58 , 	42 , 	42 , 	117 , 	63 , 	46 , 	11 , 	11 , 	10 , 	61 , 	189 , 	33 , 	54 , 	34 , 	15 , 	22 , 	38 , 	31 , 	23 , 	26 , 	13 , 	13 , 	35 , 	44 , 	182 , 	144 , 	390 , 	213 , 	94 , 	71 , 	28 , 	44 , 	26 , 	14 , 	2 , 	13 , 	7 , 	34 , 	6 , 	11 , 	88 , 	25 , 	3 ," 	2,450 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	29 , 	31 , 	34 , 	23 , 	58 , 	42 , 	31 , 	12 , 	16 , 	7 , 	88 , 	182 , 	70 , 	79 , 	40 , 	20 , 	22 , 	39 , 	11 , 	10 , 	12 , 	5 , 	5 , 	12 , 	24 , 	155 , 	140 , 	340 , 	232 , 	109 , 	78 , 	22 , 	46 , 	24 , 	6 , 	34 , 	53 , 	2 , 	10 , 	4 , 	4 , 	23 , 	6 , 	23 ," 	2,209 ",,,Dtwn SF," 	1,149 "," 	5,079 "," 	8,582 "," 	4,198 "," 	3,973 "," 	5,488 "," 	3,536 "," 	32,005 "
