Exit stations,Entry stations->,,SUNDAY,,,Nov 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	41 , 	59 , 	37 , 	155 , 	57 , 	59 , 	39 , 	46 , 	29 , 	51 , 	94 , 	18 , 	17 , 	15 , 	6 , 	6 , 	22 , 	14 , 	6 , 	10 , 	6 , 	4 , 	9 , 	18 , 	100 , 	57 , 	218 , 	95 , 	63 , 	68 , 	19 , 	25 , 	18 , 	9 , 	2 , 	9 , 	3 , 	28 , 	5 , 	7 , 	24 , 	12 , 	2 ," 	1,589 ",,,Eastbay," 	38,716 ",,SF CBD," 	80,113 ",55.5%,,,
EN, 	52 , 	12 , 	53 , 	40 , 	281 , 	84 , 	77 , 	63 , 	109 , 	37 , 	76 , 	303 , 	20 , 	27 , 	26 , 	10 , 	18 , 	33 , 	19 , 	12 , 	24 , 	3 , 	4 , 	16 , 	24 , 	179 , 	140 , 	468 , 	128 , 	74 , 	66 , 	29 , 	53 , 	28 , 	16 , 	4 , 	19 , 	3 , 	27 , 	12 , 	13 , 	60 , 	16 , 	6 ," 	2,758 ",,,Westbay," 	42,396 ",,non-CBD," 	58,469 ",40.5%,,,
EP, 	62 , 	47 , 	12 , 	32 , 	272 , 	56 , 	56 , 	55 , 	61 , 	32 , 	34 , 	120 , 	11 , 	12 , 	8 , 	4 , 	8 , 	20 , 	8 , 	8 , 	14 , 	8 , 	3 , 	22 , 	8 , 	115 , 	70 , 	247 , 	142 , 	40 , 	34 , 	15 , 	12 , 	12 , 	3 , 	3 , 	12 , 	1 , 	10 , 	2 , 	3 , 	49 , 	19 , 	5 ," 	1,761 ",,,Transbay," 	65,694 ",,,,,,,
NB, 	38 , 	43 , 	30 , 	17 , 	91 , 	44 , 	50 , 	70 , 	64 , 	34 , 	35 , 	84 , 	15 , 	18 , 	10 , 	3 , 	8 , 	22 , 	12 , 	11 , 	24 , 	8 , 	3 , 	9 , 	13 , 	188 , 	115 , 	284 , 	168 , 	88 , 	66 , 	22 , 	22 , 	17 , 	3 , 	8 , 	8 , 	1 , 	10 , 	4 , 	4 , 	90 , 	19 , 	4 ," 	1,872 ",,,,,,,,,,,
BK, 	180 , 	261 , 	281 , 	101 , 	35 , 	155 , 	175 , 	222 , 	195 , 	83 , 	140 , 	194 , 	62 , 	66 , 	62 , 	32 , 	53 , 	213 , 	41 , 	42 , 	69 , 	41 , 	32 , 	38 , 	65 , 	438 , 	243 , 	846 , 	377 , 	206 , 	147 , 	75 , 	55 , 	79 , 	12 , 	21 , 	58 , 	7 , 	38 , 	8 , 	13 , 	216 , 	105 , 	20 ," 	5,796 ",,,,,,,,,,,
AS, 	59 , 	78 , 	56 , 	48 , 	136 , 	12 , 	70 , 	107 , 	99 , 	42 , 	78 , 	120 , 	29 , 	26 , 	24 , 	13 , 	11 , 	35 , 	11 , 	9 , 	13 , 	5 , 	4 , 	15 , 	37 , 	164 , 	100 , 	272 , 	190 , 	136 , 	102 , 	20 , 	19 , 	16 , 	4 , 	7 , 	11 , 	1 , 	19 , 	6 , 	5 , 	62 , 	18 , 	5 ," 	2,290 ",,,,,,,,,,,
MA, 	73 , 	74 , 	53 , 	38 , 	160 , 	76 , 	18 , 	64 , 	91 , 	45 , 	96 , 	199 , 	42 , 	42 , 	34 , 	15 , 	23 , 	34 , 	35 , 	23 , 	34 , 	16 , 	13 , 	39 , 	42 , 	252 , 	179 , 	489 , 	327 , 	224 , 	140 , 	33 , 	33 , 	30 , 	9 , 	12 , 	11 , 	5 , 	57 , 	5 , 	8 , 	107 , 	21 , 	10 ," 	3,329 ",,,,,,,,,,,
19, 	34 , 	51 , 	50 , 	66 , 	206 , 	104 , 	70 , 	15 , 	18 , 	20 , 	62 , 	122 , 	37 , 	45 , 	28 , 	19 , 	18 , 	37 , 	26 , 	23 , 	36 , 	16 , 	14 , 	58 , 	36 , 	244 , 	184 , 	449 , 	344 , 	225 , 	171 , 	43 , 	27 , 	33 , 	7 , 	7 , 	15 , 	7 , 	33 , 	5 , 	10 , 	72 , 	23 , 	5 ," 	3,113 ",,,,,,,,,,,
12, 	50 , 	82 , 	57 , 	57 , 	169 , 	91 , 	65 , 	17 , 	22 , 	19 , 	74 , 	219 , 	46 , 	74 , 	48 , 	23 , 	30 , 	51 , 	40 , 	26 , 	40 , 	17 , 	18 , 	47 , 	62 , 	235 , 	194 , 	518 , 	258 , 	123 , 	103 , 	27 , 	42 , 	37 , 	16 , 	8 , 	14 , 	8 , 	41 , 	10 , 	15 , 	103 , 	27 , 	5 ," 	3,226 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	33 , 	47 , 	31 , 	30 , 	81 , 	51 , 	41 , 	17 , 	15 , 	9 , 	119 , 	201 , 	95 , 	88 , 	45 , 	21 , 	32 , 	50 , 	8 , 	7 , 	12 , 	8 , 	4 , 	16 , 	30 , 	190 , 	166 , 	447 , 	241 , 	145 , 	110 , 	28 , 	45 , 	31 , 	4 , 	40 , 	55 , 	2 , 	20 , 	4 , 	3 , 	28 , 	10 , 	30 ," 	2,686 ",,,Dtwn SF," 	1,584 "," 	6,271 "," 	11,365 "," 	5,119 "," 	4,766 "," 	6,857 "," 	4,465 "," 	40,425 "
FV, 	56 , 	65 , 	40 , 	40 , 	149 , 	73 , 	85 , 	64 , 	75 , 	109 , 	18 , 	367 , 	100 , 	176 , 	109 , 	44 , 	37 , 	73 , 	24 , 	13 , 	25 , 	10 , 	9 , 	21 , 	80 , 	224 , 	158 , 	544 , 	277 , 	127 , 	120 , 	32 , 	55 , 	34 , 	7 , 	34 , 	48 , 	4 , 	43 , 	5 , 	7 , 	43 , 	18 , 	31 ," 	3,666 ",,,OAK," 	6,263 ", 	892 ," 	2,056 "," 	1,918 ", 	810 ," 	2,515 ", 	530 ," 	14,982 "
CL, 	98 , 	317 , 	116 , 	76 , 	165 , 	124 , 	177 , 	122 , 	243 , 	175 , 	348 , 	15 , 	438 , 	449 , 	238 , 	142 , 	192 , 	577 , 	113 , 	141 , 	137 , 	87 , 	60 , 	73 , 	99 , 	346 , 	230 , 	698 , 	269 , 	85 , 	99 , 	54 , 	63 , 	84 , 	20 , 	202 , 	893 , 	70 , 	197 , 	19 , 	24 , 	73 , 	45 , 	230 ," 	8,417 ",,,CM line," 	11,633 "," 	1,997 "," 	4,216 "," 	1,604 "," 	1,078 "," 	1,718 "," 	2,132 "," 	24,377 "
SL, 	18 , 	28 , 	12 , 	17 , 	74 , 	31 , 	42 , 	47 , 	59 , 	87 , 	89 , 	442 , 	8 , 	82 , 	73 , 	31 , 	22 , 	42 , 	7 , 	6 , 	7 , 	5 , 	2 , 	12 , 	25 , 	127 , 	88 , 	310 , 	103 , 	36 , 	42 , 	11 , 	27 , 	19 , 	5 , 	23 , 	31 , 	2 , 	19 , 	3 , 	6 , 	23 , 	10 , 	26 ," 	2,176 ",,,RM line," 	5,338 "," 	2,036 "," 	1,669 "," 	3,023 ", 	719 ," 	2,469 ", 	770 ," 	16,024 "
