Exit stations,Entry stations->,,WEEKDAY,,,Nov 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	118 , 	107 , 	119 , 	471 , 	105 , 	158 , 	143 , 	192 , 	53 , 	115 , 	87 , 	44 , 	37 , 	46 , 	19 , 	18 , 	42 , 	29 , 	15 , 	21 , 	15 , 	12 , 	24 , 	31 , 	284 , 	304 , 	431 , 	275 , 	147 , 	153 , 	42 , 	72 , 	87 , 	17 , 	5 , 	17 , 	6 , 	39 , 	12 , 	27 , 	31 , 	29 , 	5 ," 	4,011 ",,,Eastbay," 	85,540 ",,SF CBD," 	250,507 ",64.5%,,,
EN, 	128 , 	22 , 	119 , 	128 ," 	1,014 ", 	155 , 	287 , 	488 , 	620 , 	130 , 	145 , 	149 , 	67 , 	59 , 	100 , 	30 , 	38 , 	97 , 	37 , 	23 , 	42 , 	9 , 	13 , 	40 , 	48 , 	831 , 	996 , 	969 , 	735 , 	193 , 	193 , 	67 , 	120 , 	181 , 	33 , 	10 , 	36 , 	10 , 	50 , 	34 , 	46 , 	83 , 	56 , 	18 ," 	8,649 ",,,Westbay," 	107,744 ",,non-CBD," 	129,100 ",33.2%,,,
EP, 	113 , 	103 , 	10 , 	72 , 	775 , 	82 , 	128 , 	270 , 	292 , 	80 , 	62 , 	62 , 	27 , 	19 , 	40 , 	10 , 	15 , 	48 , 	24 , 	14 , 	28 , 	9 , 	12 , 	39 , 	15 , 	506 , 	637 , 	415 , 	388 , 	103 , 	61 , 	28 , 	41 , 	61 , 	7 , 	5 , 	21 , 	5 , 	15 , 	11 , 	8 , 	60 , 	25 , 	11 ," 	4,756 ",,,Transbay," 	201,614 ",,,,,,,
NB, 	114 , 	112 , 	71 , 	15 , 	209 , 	72 , 	102 , 	217 , 	251 , 	65 , 	79 , 	82 , 	25 , 	25 , 	39 , 	12 , 	17 , 	32 , 	23 , 	18 , 	35 , 	9 , 	11 , 	26 , 	17 , 	692 , 	760 , 	486 , 	473 , 	156 , 	104 , 	36 , 	42 , 	51 , 	8 , 	11 , 	20 , 	7 , 	15 , 	6 , 	11 , 	82 , 	35 , 	7 ," 	4,677 ",,,,,,,,,,,
BK, 	478 ," 	1,006 ", 	779 , 	226 , 	36 , 	405 , 	477 , 	579 , 	599 , 	295 , 	339 , 	267 , 	210 , 	151 , 	164 , 	105 , 	163 , 	290 , 	157 , 	158 , 	152 , 	96 , 	67 , 	69 , 	111 , 	982 ," 	1,004 "," 	1,032 ", 	798 , 	382 , 	343 , 	149 , 	129 , 	165 , 	35 , 	65 , 	125 , 	60 , 	105 , 	34 , 	42 , 	175 , 	165 , 	55 ," 	13,223 ",,,,,,,,,,,
AS, 	100 , 	137 , 	75 , 	72 , 	343 , 	17 , 	101 , 	239 , 	258 , 	83 , 	120 , 	99 , 	42 , 	45 , 	49 , 	29 , 	36 , 	69 , 	26 , 	20 , 	34 , 	12 , 	7 , 	22 , 	42 , 	644 , 	729 , 	510 , 	500 , 	226 , 	134 , 	38 , 	52 , 	65 , 	13 , 	13 , 	22 , 	7 , 	34 , 	4 , 	17 , 	44 , 	34 , 	10 ," 	5,173 ",,,,,,,,,,,
MA, 	168 , 	282 , 	120 , 	102 , 	440 , 	109 , 	19 , 	176 , 	245 , 	92 , 	191 , 	194 , 	123 , 	137 , 	124 , 	62 , 	85 , 	153 , 	137 , 	124 , 	132 , 	54 , 	45 , 	73 , 	71 , 	891 ," 	1,064 ", 	906 , 	824 , 	364 , 	232 , 	80 , 	100 , 	105 , 	30 , 	32 , 	69 , 	51 , 	208 , 	21 , 	32 , 	91 , 	63 , 	31 ," 	8,648 ",,,,,,,,,,,
19, 	159 , 	475 , 	267 , 	227 , 	536 , 	244 , 	170 , 	21 , 	52 , 	53 , 	167 , 	199 , 	224 , 	212 , 	214 , 	156 , 	198 , 	362 , 	288 , 	343 , 	273 , 	151 , 	109 , 	165 , 	83 ," 	1,025 "," 	1,119 ", 	875 , 	858 , 	362 , 	300 , 	142 , 	134 , 	158 , 	69 , 	84 , 	181 , 	173 , 	248 , 	65 , 	53 , 	61 , 	116 , 	80 ," 	11,451 ",,,,,,,,,,,
12, 	195 , 	590 , 	285 , 	274 , 	525 , 	249 , 	237 , 	47 , 	28 , 	53 , 	239 , 	348 , 	333 , 	339 , 	304 , 	178 , 	230 , 	370 , 	322 , 	311 , 	265 , 	161 , 	104 , 	172 , 	112 ," 	1,024 "," 	1,123 ", 	961 , 	872 , 	306 , 	291 , 	159 , 	184 , 	195 , 	110 , 	116 , 	234 , 	167 , 	306 , 	76 , 	81 , 	104 , 	137 , 	117 ," 	12,834 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	50 , 	121 , 	86 , 	67 , 	295 , 	82 , 	88 , 	46 , 	50 , 	15 , 	200 , 	269 , 	298 , 	275 , 	197 , 	114 , 	126 , 	176 , 	35 , 	31 , 	36 , 	15 , 	9 , 	45 , 	54 , 	733 , 	803 , 	690 , 	552 , 	215 , 	139 , 	63 , 	101 , 	133 , 	7 , 	112 , 	181 , 	19 , 	57 , 	10 , 	16 , 	28 , 	22 , 	80 ," 	6,741 ",,,Dtwn SF,"5,554","18,617","32,819","14,363","21,318","24,635","10,545","127,852"
FV, 	105 , 	137 , 	67 , 	84 , 	341 , 	123 , 	208 , 	184 , 	246 , 	194 , 	17 , 	302 , 	240 , 	284 , 	281 , 	100 , 	95 , 	156 , 	61 , 	31 , 	43 , 	23 , 	33 , 	56 , 	121 , 	799 , 	888 , 	933 , 	757 , 	276 , 	212 , 	63 , 	111 , 	155 , 	17 , 	64 , 	127 , 	11 , 	56 , 	12 , 	30 , 	53 , 	30 , 	51 ," 	8,174 ",,,OAK,"18,694","2,036","4,591","6,213","4,779","8,278","1,091","45,682"
CL, 	87 , 	152 , 	65 , 	88 , 	384 , 	116 , 	204 , 	251 , 	377 , 	252 , 	303 , 	15 , 	151 , 	216 , 	233 , 	105 , 	121 , 	228 , 	77 , 	70 , 	79 , 	43 , 	28 , 	72 , 	118 , 	585 , 	572 , 	628 , 	498 , 	144 , 	134 , 	67 , 	75 , 	152 , 	20 , 	69 , 	187 , 	23 , 	123 , 	26 , 	33 , 	51 , 	36 , 	85 ," 	7,342 ",,,CM line,"31,646","4,437","8,570","3,421","2,459","3,738","3,218","57,490"
SL, 	46 , 	76 , 	29 , 	28 , 	206 , 	42 , 	134 , 	241 , 	349 , 	285 , 	253 , 	160 , 	13 , 	131 , 	189 , 	88 , 	84 , 	135 , 	49 , 	22 , 	26 , 	14 , 	10 , 	26 , 	39 , 	676 , 	655 , 	556 , 	456 , 	106 , 	88 , 	41 , 	61 , 	97 , 	9 , 	51 , 	89 , 	14 , 	46 , 	10 , 	20 , 	38 , 	20 , 	45 ," 	5,748 ",,,RM line,"15,380","6,370","3,732","7,917","1,697","4,216","1,070","40,382"
BF, 	35 , 	56 , 	18 , 	26 , 	159 , 	43 , 	129 , 	220 , 	342 , 	273 , 	279 , 	225 , 	130 , 	16 , 	210 , 	107 , 	137 , 	267 , 	29 , 	14 , 	17 , 	7 , 	5 , 	16 , 	54 , 	589 , 	598 , 	544 , 	380 , 	108 , 	83 , 	25 , 	55 , 	93 , 	11 , 	73 , 	205 , 	6 , 	25 , 	9 , 	18 , 	20 , 	11 , 	120 ," 	5,788 ",,,WP line,"21,827","4,860","2,715","1,714","5,680","1,833","1,287","39,917"
HY, 	47 , 	95 , 	40 , 	41 , 	161 , 	52 , 	123 , 	219 , 	302 , 	180 , 	290 , 	232 , 	199 , 	233 , 	13 , 	124 , 	210 , 	388 , 	43 , 	27 , 	24 , 	11 , 	6 , 	22 , 	44 , 	450 , 	452 , 	375 , 	287 , 	82 , 	67 , 	30 , 	53 , 	59 , 	10 , 	29 , 	81 , 	18 , 	69 , 	10 , 	13 , 	18 , 	9 , 	52 ," 	5,289 ",,,FT/ED line,"24,584","8,360","3,919","4,477","1,868","13,127",825,"57,160"
SH, 	21 , 	32 , 	10 , 	13 , 	98 , 	30 , 	63 , 	152 , 	170 , 	108 , 	96 , 	96 , 	84 , 	100 , 	122 , 	9 , 	77 , 	188 , 	18 , 	9 , 	11 , 	4 , 	3 , 	8 , 	16 , 	365 , 	350 , 	266 , 	223 , 	66 , 	50 , 	12 , 	23 , 	55 , 	7 , 	21 , 	45 , 	7 , 	15 , 	8 , 	7 , 	13 , 	5 , 	25 ," 	3,098 ",,,SFIA,"10,523","1,195","3,495","1,274","1,329",800,"1,373","19,989"
UC, 	19 , 	37 , 	16 , 	20 , 	170 , 	39 , 	84 , 	200 , 	230 , 	120 , 	91 , 	118 , 	83 , 	141 , 	216 , 	77 , 	18 , 	196 , 	17 , 	13 , 	17 , 	4 , 	6 , 	13 , 	15 , 	807 , 	708 , 	415 , 	269 , 	63 , 	31 , 	15 , 	24 , 	83 , 	8 , 	21 , 	51 , 	4 , 	24 , 	10 , 	6 , 	24 , 	5 , 	30 ," 	4,557 ",,,Entries,"128,209","45,874","59,842","39,379","39,130","56,628","19,410","388,472"
FM, 	45 , 	95 , 	48 , 	36 , 	363 , 	75 , 	153 , 	374 , 	368 , 	180 , 	158 , 	225 , 	141 , 	274 , 	412 , 	211 , 	201 , 	38 , 	37 , 	39 , 	33 , 	15 , 	12 , 	34 , 	29 ," 	1,634 "," 	1,297 ", 	674 , 	405 , 	107 , 	46 , 	32 , 	40 , 	113 , 	9 , 	41 , 	100 , 	10 , 	43 , 	6 , 	10 , 	48 , 	9 , 	36 ," 	8,257 ",,,,,,,,,,,
CN, 	34 , 	37 , 	24 , 	26 , 	154 , 	28 , 	140 , 	294 , 	330 , 	30 , 	59 , 	74 , 	48 , 	29 , 	46 , 	19 , 	18 , 	36 , 	18 , 	123 , 	333 , 	123 , 	50 , 	93 , 	28 , 	815 , 	875 , 	533 , 	456 , 	100 , 	85 , 	43 , 	48 , 	109 , 	30 , 	5 , 	12 , 	68 , 	396 , 	20 , 	32 , 	98 , 	24 , 	7 ," 	5,949 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	17 , 	21 , 	15 , 	17 , 	154 , 	23 , 	126 , 	323 , 	309 , 	31 , 	26 , 	67 , 	21 , 	13 , 	26 , 	9 , 	16 , 	38 , 	120 , 	15 , 	127 , 	50 , 	29 , 	113 , 	15 ," 	1,465 "," 	1,432 ", 	633 , 	480 , 	103 , 	60 , 	77 , 	42 , 	104 , 	17 , 	4 , 	7 , 	30 , 	122 , 	16 , 	28 , 	140 , 	23 , 	3 ," 	6,505 ",,,Dtwn SF,"5,554",,,,,,,
WC, 	25 , 	43 , 	31 , 	34 , 	153 , 	38 , 	141 , 	277 , 	281 , 	34 , 	45 , 	83 , 	25 , 	19 , 	22 , 	15 , 	17 , 	33 , 	359 , 	137 , 	17 , 	69 , 	49 , 	175 , 	21 ," 	1,200 "," 	1,219 ", 	601 , 	401 , 	99 , 	69 , 	50 , 	40 , 	81 , 	25 , 	8 , 	8 , 	73 , 	265 , 	23 , 	24 , 	166 , 	28 , 	4 ," 	6,528 ",,,OAK,"37,312","2,036",,,,,,
LF, 	16 , 	10 , 	11 , 	11 , 	96 , 	10 , 	55 , 	156 , 	160 , 	15 , 	23 , 	41 , 	11 , 	5 , 	11 , 	3 , 	4 , 	14 , 	143 , 	68 , 	70 , 	12 , 	18 , 	88 , 	5 , 	874 , 	830 , 	347 , 	244 , 	47 , 	25 , 	22 , 	11 , 	28 , 	6 , 	3 , 	2 , 	12 , 	47 , 	6 , 	10 , 	87 , 	13 , 	1 ," 	3,670 ",,,CM line,"64,465","9,028","8,570",,,,,
OR, 	9 , 	15 , 	12 , 	9 , 	61 , 	8 , 	47 , 	104 , 	107 , 	10 , 	29 , 	27 , 	11 , 	4 , 	8 , 	3 , 	5 , 	11 , 	55 , 	35 , 	47 , 	20 , 	17 , 	74 , 	6 , 	726 , 	685 , 	260 , 	210 , 	42 , 	25 , 	28 , 	16 , 	28 , 	5 , 	1 , 	3 , 	7 , 	29 , 	6 , 	7 , 	68 , 	11 , 	1 ," 	2,887 ",,,RM line,"29,744","12,582","7,153","7,917",,,,
RR, 	24 , 	35 , 	39 , 	26 , 	77 , 	19 , 	75 , 	185 , 	206 , 	47 , 	59 , 	55 , 	25 , 	18 , 	24 , 	8 , 	11 , 	34 , 	90 , 	120 , 	179 , 	82 , 	74 , 	18 , 	39 ," 	1,157 "," 	1,250 ", 	706 , 	616 , 	207 , 	113 , 	62 , 	55 , 	50 , 	5 , 	5 , 	13 , 	28 , 	53 , 	7 , 	12 , 	126 , 	23 , 	6 ," 	6,061 ",,,WP line,"43,145","9,639","5,174","3,411","5,680",,,
OW, 	27 , 	48 , 	15 , 	17 , 	117 , 	44 , 	66 , 	76 , 	121 , 	43 , 	125 , 	118 , 	42 , 	55 , 	44 , 	19 , 	15 , 	27 , 	22 , 	16 , 	19 , 	4 , 	4 , 	39 , 	16 ," 	1,430 "," 	1,263 ", 	982 , 	701 , 	262 , 	157 , 	43 , 	74 , 	65 , 	10 , 	8 , 	23 , 	7 , 	40 , 	14 , 	26 , 	53 , 	23 , 	8 ," 	6,325 ",,,FT/ED line,"49,219","16,639","7,658","8,694","3,702","13,127",,
EM, 	312 , 	836 , 	580 , 	730 ," 	1,155 ", 	816 ," 	1,014 "," 	1,288 "," 	1,327 ", 	865 , 	923 , 	618 , 	835 , 	719 , 	541 , 	450 , 	911 ," 	1,821 ", 	972 ," 	1,776 "," 	1,433 ", 	973 , 	773 ," 	1,159 "," 	1,632 ", 	159 , 	142 , 	562 , 	514 ," 	1,025 "," 	1,626 "," 	1,185 "," 	1,503 "," 	1,222 ", 	781 , 	567 ," 	1,743 ", 	546 , 	770 , 	619 , 	550 , 	491 , 	979 , 	807 ," 	40,249 ",,,SFIA,"21,068","2,286","6,713","2,344","2,616","1,624","1,373","388,472"
MT, 	330 , 	908 , 	626 , 	670 , 	959 , 	779 ," 	1,071 "," 	1,103 "," 	1,121 ", 	825 , 	925 , 	540 , 	661 , 	629 , 	490 , 	376 , 	723 ," 	1,312 ", 	881 ," 	1,445 "," 	1,135 ", 	748 , 	636 ," 	1,076 "," 	1,350 ", 	146 , 	144 , 	214 , 	507 ," 	1,402 "," 	2,297 "," 	1,738 "," 	2,702 "," 	1,730 "," 	1,020 ", 	475 ," 	1,309 ", 	498 , 	691 , 	790 , 	659 , 	495 ," 	1,358 ", 	607 ," 	40,099 ",,,,,,,,,,,
PL, 	354 , 	695 , 	327 , 	405 , 	919 , 	433 , 	744 , 	791 , 	880 , 	557 , 	736 , 	567 , 	458 , 	437 , 	318 , 	223 , 	328 , 	577 , 	418 , 	509 , 	490 , 	272 , 	203 , 	537 , 	872 , 	842 , 	340 , 	151 , 	429 ," 	1,493 "," 	1,930 "," 	1,257 "," 	2,506 "," 	1,321 ", 	662 , 	224 , 	641 , 	250 , 	488 , 	452 , 	421 ," 	1,303 ", 	761 , 	302 ," 	28,819 ",,,,,,,,,,,
