Muni Fast Pass Adult/Clipper OD,,,,,,Feb 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,25,72,106,372,707,601,906,"2,835"
MT,28,42,46,89,491,982,873,"1,693","4,245"
PL,127,76,49,61,359,602,473,"1,270","3,016"
CC,90,79,65,25,198,410,364,807,"2,039"
16,321,389,450,222,13,112,144,363,"2,014"
24,551,708,715,385,119,20,105,350,"2,953"
GP,517,649,576,329,147,117,18,81,"2,433"
BP,780,"1,004","1,706",741,359,364,85,45,"5,085"
Entries,"2,460","2,970","3,679","1,959","2,058","3,314","2,664","5,516","24,621"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,10,6,37,29,118,162,113,251,726
MT,9,11,17,19,133,197,195,658,"1,237"
PL,47,23,32,41,312,428,331,901,"2,113"
CC,28,18,37,22,127,199,109,245,784
16,108,83,343,140,12,101,99,197,"1,082"
24,144,128,515,199,96,19,74,188,"1,361"
GP,96,118,405,111,84,80,16,32,942
BP,226,285,"1,170",231,180,178,29,28,"2,326"
Entries,666,672,"2,556",791,"1,061","1,364",965,"2,498","10,572"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,2,21,7,70,87,70,168,437
MT,3,13,10,9,76,116,112,419,758
PL,21,7,46,17,220,294,215,600,"1,418"
CC,9,5,22,24,97,144,81,190,571
16,77,57,244,105,18,59,66,141,766
24,88,83,359,157,62,22,43,131,944
GP,66,70,305,84,62,51,15,20,672
BP,171,192,885,174,134,122,21,26,"1,724"
Entries,447,427,"1,891",576,737,895,622,"1,695","7,289"
