Exit stations,Entry stations->,,SATURDAY,,,Feb 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	8 , 	67 , 	67 , 	42 , 	260 , 	77 , 	87 , 	56 , 	74 , 	12 , 	79 , 	81 , 	24 , 	28 , 	22 , 	10 , 	8 , 	25 , 	10 , 	11 , 	14 , 	7 , 	7 , 	18 , 	19 , 	130 , 	92 , 	295 , 	112 , 	81 , 	100 , 	15 , 	34 , 	22 , 	9 , 	5 , 	9 , 	2 , 	26 , 	6 , 	7 , 	21 , 	8 , 	4 ," 	2,084 ",,,Eastbay," 	45,225 ",,SF CBD," 	118,434 ",60.7%,,,
EN, 	72 , 	14 , 	66 , 	65 , 	463 , 	119 , 	126 , 	102 , 	159 , 	33 , 	94 , 	192 , 	40 , 	41 , 	33 , 	14 , 	22 , 	43 , 	16 , 	17 , 	25 , 	8 , 	6 , 	31 , 	31 , 	288 , 	290 , 	707 , 	220 , 	93 , 	117 , 	39 , 	59 , 	48 , 	22 , 	10 , 	15 , 	2 , 	25 , 	10 , 	20 , 	52 , 	18 , 	4 ," 	3,866 ",,,Westbay," 	59,304 ",,non-CBD," 	71,322 ",36.6%,,,
EP, 	80 , 	74 , 	8 , 	49 , 	419 , 	77 , 	75 , 	78 , 	100 , 	32 , 	51 , 	67 , 	15 , 	18 , 	13 , 	6 , 	11 , 	22 , 	9 , 	13 , 	17 , 	8 , 	6 , 	30 , 	16 , 	164 , 	175 , 	357 , 	159 , 	64 , 	46 , 	18 , 	15 , 	18 , 	5 , 	6 , 	7 , 	3 , 	8 , 	8 , 	3 , 	42 , 	17 , 	2 ," 	2,405 ",,,Transbay," 	93,451 ",,,,,,,
NB, 	55 , 	70 , 	53 , 	13 , 	140 , 	48 , 	57 , 	100 , 	90 , 	33 , 	59 , 	72 , 	20 , 	20 , 	18 , 	7 , 	11 , 	28 , 	6 , 	14 , 	12 , 	8 , 	7 , 	17 , 	12 , 	224 , 	237 , 	433 , 	258 , 	121 , 	106 , 	24 , 	22 , 	17 , 	4 , 	8 , 	12 , 	3 , 	11 , 	7 , 	4 , 	54 , 	21 , 	5 ," 	2,534 ",,,,,,,,,,,
BK, 	266 , 	449 , 	440 , 	165 , 	42 , 	275 , 	279 , 	335 , 	397 , 	106 , 	205 , 	179 , 	111 , 	105 , 	74 , 	46 , 	79 , 	207 , 	41 , 	105 , 	103 , 	58 , 	47 , 	51 , 	89 , 	642 , 	514 ," 	1,246 ", 	587 , 	312 , 	249 , 	89 , 	86 , 	88 , 	12 , 	28 , 	66 , 	14 , 	37 , 	18 , 	16 , 	128 , 	100 , 	31 ," 	8,511 ",,,,,,,,,,,
AS, 	73 , 	112 , 	67 , 	48 , 	245 , 	13 , 	96 , 	149 , 	138 , 	43 , 	96 , 	95 , 	25 , 	37 , 	33 , 	11 , 	14 , 	26 , 	12 , 	19 , 	15 , 	10 , 	6 , 	17 , 	46 , 	215 , 	221 , 	385 , 	292 , 	189 , 	127 , 	29 , 	24 , 	24 , 	5 , 	5 , 	10 , 	3 , 	16 , 	4 , 	5 , 	40 , 	15 , 	7 ," 	3,059 ",,,,,,,,,,,
MA, 	94 , 	127 , 	70 , 	50 , 	261 , 	115 , 	17 , 	105 , 	131 , 	42 , 	123 , 	154 , 	53 , 	64 , 	51 , 	24 , 	22 , 	41 , 	34 , 	43 , 	47 , 	23 , 	19 , 	47 , 	59 , 	340 , 	330 , 	659 , 	439 , 	293 , 	197 , 	39 , 	47 , 	33 , 	11 , 	10 , 	23 , 	9 , 	69 , 	7 , 	12 , 	59 , 	22 , 	11 ," 	4,419 ",,,,,,,,,,,
19, 	55 , 	105 , 	73 , 	97 , 	312 , 	158 , 	100 , 	24 , 	28 , 	18 , 	90 , 	129 , 	69 , 	60 , 	60 , 	26 , 	29 , 	69 , 	31 , 	52 , 	72 , 	33 , 	28 , 	101 , 	56 , 	319 , 	293 , 	581 , 	422 , 	270 , 	186 , 	60 , 	56 , 	51 , 	12 , 	14 , 	37 , 	10 , 	37 , 	8 , 	12 , 	30 , 	37 , 	16 ," 	4,318 ",,,,,,,,,,,
12, 	67 , 	133 , 	102 , 	89 , 	355 , 	147 , 	123 , 	25 , 	20 , 	20 , 	102 , 	170 , 	87 , 	116 , 	87 , 	36 , 	48 , 	74 , 	43 , 	59 , 	64 , 	28 , 	27 , 	76 , 	77 , 	308 , 	324 , 	707 , 	359 , 	192 , 	156 , 	47 , 	80 , 	47 , 	22 , 	17 , 	29 , 	13 , 	54 , 	16 , 	21 , 	52 , 	36 , 	11 ," 	4,661 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	13 , 	31 , 	30 , 	28 , 	102 , 	42 , 	38 , 	14 , 	19 , 	6 , 	98 , 	153 , 	138 , 	142 , 	53 , 	31 , 	40 , 	72 , 	11 , 	9 , 	14 , 	6 , 	4 , 	20 , 	28 , 	256 , 	277 , 	575 , 	282 , 	163 , 	100 , 	27 , 	42 , 	31 , 	4 , 	50 , 	70 , 	1 , 	10 , 	6 , 	3 , 	19 , 	8 , 	29 ," 	3,091 ",,,Dtwn SF," 	2,845 "," 	9,297 "," 	17,549 "," 	8,664 "," 	7,461 "," 	10,336 "," 	5,711 "," 	61,863 "
