Muni Fast Pass Adult/Clipper OD,,,,,,Apr 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,49,23,72,97,380,727,601,931,"2,880"
MT,23,42,47,85,516,984,901,"1,654","4,252"
PL,117,73,48,55,365,613,462,"1,241","2,976"
CC,91,77,57,34,197,405,370,812,"2,043"
16,329,404,445,221,14,108,150,358,"2,030"
24,555,692,729,381,106,18,112,326,"2,918"
GP,515,650,595,335,147,125,16,76,"2,459"
BP,803,"1,010","1,690",730,336,342,80,38,"5,028"
Entries,"2,482","2,972","3,682","1,939","2,061","3,321","2,691","5,435","24,585"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,3,33,26,136,173,114,282,785
MT,6,13,13,15,145,208,195,704,"1,298"
PL,40,13,37,23,335,475,390,"1,001","2,314"
CC,22,7,27,22,147,224,124,278,849
16,124,82,359,156,18,99,121,227,"1,186"
24,150,131,533,220,97,18,91,217,"1,456"
GP,100,105,429,121,100,92,15,36,997
BP,235,287,"1,277",254,191,193,39,26,"2,502"
Entries,694,641,"2,707",836,"1,167","1,482","1,089","2,770","11,386"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,3,18,15,71,110,72,183,491
MT,2,15,7,9,82,120,115,445,795
PL,19,8,48,19,228,310,222,638,"1,491"
CC,11,9,17,32,110,158,114,255,705
16,86,58,244,125,22,53,77,160,825
24,114,79,396,166,59,29,65,148,"1,054"
GP,73,71,324,99,81,63,14,21,747
BP,201,191,976,223,144,144,24,34,"1,937"
Entries,526,433,"2,029",686,798,986,703,"1,884","8,044"
