Exit stations,Entry stations->,,SUNDAY,,,Apr 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	46 , 	50 , 	43 , 	171 , 	58 , 	65 , 	29 , 	55 , 	16 , 	60 , 	82 , 	14 , 	18 , 	17 , 	10 , 	8 , 	13 , 	11 , 	4 , 	10 , 	5 , 	4 , 	10 , 	18 , 	95 , 	73 , 	200 , 	98 , 	64 , 	62 , 	23 , 	29 , 	16 , 	9 , 	6 , 	7 , 	2 , 	22 , 	5 , 	8 , 	24 , 	7 , 	2 ," 	1,573 ",,,Eastbay," 	34,725 ",,SF CBD," 	80,853 ",57.0%,,,
EN, 	50 , 	14 , 	50 , 	52 , 	274 , 	88 , 	79 , 	46 , 	84 , 	35 , 	71 , 	169 , 	23 , 	24 , 	23 , 	10 , 	15 , 	38 , 	17 , 	8 , 	27 , 	6 , 	6 , 	11 , 	24 , 	228 , 	139 , 	437 , 	171 , 	68 , 	59 , 	28 , 	39 , 	33 , 	16 , 	5 , 	15 , 	3 , 	29 , 	13 , 	11 , 	68 , 	15 , 	4 ," 	2,622 ",,,Westbay," 	41,488 ",,non-CBD," 	55,014 ",38.8%,,,
EP, 	62 , 	46 , 	15 , 	39 , 	249 , 	52 , 	53 , 	51 , 	57 , 	22 , 	28 , 	111 , 	11 , 	13 , 	10 , 	5 , 	9 , 	21 , 	7 , 	6 , 	14 , 	7 , 	6 , 	17 , 	10 , 	119 , 	78 , 	189 , 	116 , 	45 , 	37 , 	16 , 	8 , 	11 , 	4 , 	3 , 	4 , 	2 , 	9 , 	4 , 	3 , 	55 , 	13 , 	2 ," 	1,630 ",,,Transbay," 	67,851 ",,,,,,,
NB, 	50 , 	45 , 	43 , 	18 , 	76 , 	45 , 	49 , 	57 , 	59 , 	31 , 	36 , 	105 , 	17 , 	16 , 	15 , 	3 , 	7 , 	28 , 	9 , 	11 , 	21 , 	7 , 	3 , 	14 , 	10 , 	183 , 	118 , 	270 , 	196 , 	95 , 	72 , 	21 , 	20 , 	12 , 	4 , 	6 , 	8 , 	3 , 	10 , 	3 , 	3 , 	87 , 	23 , 	1 ," 	1,907 ",,,,,,,,,,,
BK, 	196 , 	250 , 	248 , 	91 , 	31 , 	176 , 	183 , 	220 , 	223 , 	91 , 	135 , 	262 , 	53 , 	68 , 	60 , 	30 , 	55 , 	216 , 	33 , 	36 , 	46 , 	32 , 	28 , 	26 , 	68 , 	438 , 	277 , 	807 , 	464 , 	243 , 	173 , 	73 , 	56 , 	68 , 	11 , 	13 , 	52 , 	10 , 	29 , 	12 , 	14 , 	210 , 	89 , 	18 ," 	5,909 ",,,,,,,,,,,
AS, 	66 , 	81 , 	47 , 	38 , 	130 , 	13 , 	75 , 	111 , 	102 , 	51 , 	91 , 	119 , 	27 , 	27 , 	29 , 	14 , 	10 , 	37 , 	10 , 	11 , 	13 , 	6 , 	4 , 	9 , 	34 , 	180 , 	109 , 	280 , 	230 , 	143 , 	89 , 	26 , 	16 , 	13 , 	5 , 	8 , 	11 , 	3 , 	18 , 	4 , 	5 , 	72 , 	18 , 	6 ," 	2,386 ",,,,,,,,,,,
MA, 	78 , 	76 , 	48 , 	51 , 	177 , 	73 , 	14 , 	56 , 	87 , 	37 , 	99 , 	183 , 	34 , 	43 , 	31 , 	15 , 	19 , 	37 , 	39 , 	24 , 	34 , 	12 , 	14 , 	39 , 	46 , 	258 , 	170 , 	422 , 	359 , 	207 , 	155 , 	27 , 	40 , 	23 , 	5 , 	12 , 	17 , 	7 , 	61 , 	3 , 	10 , 	102 , 	22 , 	8 ," 	3,267 ",,,,,,,,,,,
19, 	34 , 	51 , 	46 , 	48 , 	189 , 	94 , 	54 , 	12 , 	15 , 	13 , 	61 , 	133 , 	38 , 	37 , 	42 , 	16 , 	16 , 	47 , 	36 , 	30 , 	36 , 	17 , 	16 , 	66 , 	37 , 	210 , 	161 , 	362 , 	303 , 	181 , 	119 , 	31 , 	30 , 	29 , 	6 , 	7 , 	13 , 	6 , 	35 , 	6 , 	8 , 	75 , 	15 , 	11 ," 	2,788 ",,,,,,,,,,,
12, 	56 , 	79 , 	53 , 	55 , 	185 , 	89 , 	76 , 	14 , 	18 , 	13 , 	83 , 	154 , 	55 , 	63 , 	48 , 	20 , 	26 , 	47 , 	39 , 	31 , 	37 , 	16 , 	15 , 	42 , 	48 , 	252 , 	176 , 	468 , 	298 , 	143 , 	96 , 	35 , 	54 , 	41 , 	16 , 	9 , 	14 , 	17 , 	46 , 	7 , 	12 , 	105 , 	29 , 	5 ," 	3,182 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	24 , 	35 , 	23 , 	32 , 	88 , 	55 , 	41 , 	12 , 	16 , 	11 , 	104 , 	199 , 	100 , 	94 , 	50 , 	26 , 	26 , 	58 , 	11 , 	9 , 	12 , 	8 , 	6 , 	20 , 	31 , 	221 , 	173 , 	435 , 	270 , 	134 , 	103 , 	29 , 	43 , 	32 , 	6 , 	47 , 	53 , 	3 , 	10 , 	3 , 	5 , 	31 , 	8 , 	29 ," 	2,720 ",,,Dtwn SF," 	1,391 "," 	6,182 "," 	10,836 "," 	5,290 "," 	4,986 "," 	7,575 "," 	4,348 "," 	40,606 "
FV, 	58 , 	70 , 	33 , 	44 , 	139 , 	92 , 	91 , 	65 , 	81 , 	106 , 	15 , 	230 , 	113 , 	153 , 	106 , 	51 , 	33 , 	75 , 	26 , 	12 , 	25 , 	7 , 	10 , 	30 , 	80 , 	285 , 	175 , 	502 , 	325 , 	127 , 	108 , 	31 , 	43 , 	36 , 	11 , 	29 , 	56 , 	3 , 	40 , 	6 , 	10 , 	43 , 	12 , 	31 ," 	3,613 ",,,OAK," 	6,101 ", 	809 ," 	1,996 "," 	1,878 ", 	873 ," 	2,447 ", 	521 ," 	14,624 "
CL, 	78 , 	176 , 	101 , 	94 , 	207 , 	110 , 	145 , 	126 , 	160 , 	163 , 	235 , 	17 , 	211 , 	246 , 	181 , 	89 , 	150 , 	447 , 	76 , 	90 , 	106 , 	67 , 	51 , 	74 , 	96 , 	304 , 	196 , 	526 , 	291 , 	112 , 	109 , 	73 , 	67 , 	120 , 	15 , 	138 , 	455 , 	31 , 	92 , 	24 , 	29 , 	41 , 	34 , 	188 ," 	6,338 ",,,CM line," 	11,504 "," 	2,033 "," 	4,360 "," 	1,675 "," 	1,144 "," 	1,833 "," 	2,194 "," 	24,743 "
SL, 	23 , 	24 , 	13 , 	18 , 	56 , 	29 , 	37 , 	45 , 	61 , 	102 , 	98 , 	225 , 	11 , 	79 , 	80 , 	28 , 	30 , 	44 , 	11 , 	7 , 	8 , 	4 , 	3 , 	15 , 	25 , 	161 , 	107 , 	291 , 	127 , 	35 , 	35 , 	13 , 	18 , 	30 , 	4 , 	23 , 	26 , 	2 , 	18 , 	5 , 	6 , 	24 , 	5 , 	29 ," 	2,030 ",,,RM line," 	5,492 "," 	2,004 "," 	1,704 "," 	3,008 ", 	629 ," 	2,393 ", 	764 ," 	15,994 "
