Muni Fast Pass Adult/Clipper OD,,,,,,Jun 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,36,24,76,115,401,725,601,903,"2,881"
MT,25,37,53,106,528,989,897,"1,597","4,232"
PL,137,85,41,63,359,603,469,"1,152","2,909"
CC,101,96,65,23,189,386,364,745,"1,969"
16,342,425,458,216,11,100,134,328,"2,014"
24,563,723,714,375,110,14,104,263,"2,867"
GP,530,663,588,327,142,111,15,59,"2,436"
BP,786,995,"1,565",641,309,270,61,32,"4,659"
Entries,"2,522","3,048","3,560","1,866","2,048","3,198","2,645","5,078","23,966"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,5,31,28,125,184,121,301,812
MT,10,15,16,14,133,210,198,672,"1,267"
PL,42,19,41,38,330,472,380,"1,012","2,334"
CC,17,8,40,20,156,205,132,300,877
16,123,89,341,174,18,86,112,229,"1,171"
24,144,129,531,216,86,22,70,219,"1,417"
GP,98,103,442,127,93,88,15,34,997
BP,244,279,"1,239",260,188,202,32,32,"2,476"
Entries,696,646,"2,681",876,"1,128","1,467","1,060","2,798","11,352"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,3,21,19,77,115,77,183,519
MT,4,14,11,11,85,125,123,400,773
PL,26,7,43,25,218,304,228,663,"1,514"
CC,22,8,27,26,127,160,122,259,750
16,87,50,259,112,17,57,66,147,796
24,104,87,377,164,56,24,56,130,998
GP,64,69,329,115,68,61,14,26,746
BP,188,200,973,226,126,122,24,28,"1,886"
Entries,518,438,"2,041",698,774,967,710,"1,835","7,982"
