Exit stations,Entry stations->,,SATURDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	9 , 	67 , 	76 , 	57 , 	299 , 	70 , 	84 , 	51 , 	71 , 	22 , 	74 , 	82 , 	31 , 	26 , 	26 , 	17 , 	13 , 	28 , 	19 , 	8 , 	16 , 	7 , 	8 , 	16 , 	23 , 	154 , 	113 , 	314 , 	125 , 	104 , 	121 , 	28 , 	36 , 	28 , 	12 , 	6 , 	7 , 	2 , 	32 , 	8 , 	18 , 	29 , 	17 , 	5 ," 	2,354 ",,,Eastbay," 	51,184 ",,SF CBD," 	124,890 ",59.1%,,,
EN, 	77 , 	13 , 	89 , 	71 , 	695 , 	112 , 	124 , 	109 , 	166 , 	40 , 	123 , 	167 , 	36 , 	47 , 	44 , 	17 , 	22 , 	52 , 	29 , 	8 , 	26 , 	12 , 	6 , 	22 , 	35 , 	344 , 	289 , 	738 , 	285 , 	127 , 	121 , 	37 , 	66 , 	64 , 	23 , 	8 , 	12 , 	3 , 	38 , 	13 , 	16 , 	60 , 	25 , 	8 ," 	4,415 ",,,Westbay," 	60,786 ",,non-CBD," 	79,990 ",37.9%,,,
EP, 	77 , 	86 , 	14 , 	57 , 	619 , 	77 , 	76 , 	88 , 	110 , 	31 , 	44 , 	81 , 	17 , 	17 , 	11 , 	7 , 	15 , 	35 , 	10 , 	7 , 	14 , 	12 , 	8 , 	29 , 	12 , 	179 , 	134 , 	351 , 	161 , 	68 , 	60 , 	21 , 	17 , 	15 , 	4 , 	8 , 	10 , 	3 , 	13 , 	7 , 	4 , 	45 , 	21 , 	5 ," 	2,677 ",,,Transbay," 	102,770 ",,,,,,,
NB, 	64 , 	65 , 	58 , 	21 , 	229 , 	55 , 	68 , 	102 , 	98 , 	35 , 	63 , 	79 , 	20 , 	16 , 	17 , 	9 , 	13 , 	27 , 	13 , 	11 , 	19 , 	11 , 	11 , 	22 , 	18 , 	306 , 	210 , 	414 , 	274 , 	137 , 	104 , 	29 , 	24 , 	20 , 	7 , 	8 , 	14 , 	3 , 	12 , 	1 , 	5 , 	66 , 	17 , 	6 ," 	2,794 ",,,,,,,,,,,
BK, 	321 , 	722 , 	646 , 	255 , 	45 , 	343 , 	334 , 	366 , 	377 , 	179 , 	267 , 	224 , 	161 , 	146 , 	115 , 	54 , 	105 , 	363 , 	96 , 	123 , 	175 , 	117 , 	111 , 	73 , 	105 , 	902 , 	520 ," 	1,319 ", 	711 , 	389 , 	273 , 	115 , 	80 , 	181 , 	24 , 	55 , 	136 , 	25 , 	75 , 	24 , 	34 , 	126 , 	154 , 	60 ," 	11,021 ",,,,,,,,,,,
AS, 	75 , 	112 , 	75 , 	51 , 	277 , 	13 , 	90 , 	150 , 	143 , 	49 , 	101 , 	115 , 	31 , 	31 , 	32 , 	17 , 	14 , 	38 , 	13 , 	10 , 	19 , 	9 , 	6 , 	15 , 	45 , 	248 , 	174 , 	387 , 	288 , 	196 , 	126 , 	28 , 	23 , 	22 , 	5 , 	9 , 	14 , 	5 , 	27 , 	6 , 	6 , 	33 , 	17 , 	7 ," 	3,147 ",,,,,,,,,,,
MA, 	96 , 	135 , 	69 , 	69 , 	322 , 	97 , 	15 , 	91 , 	135 , 	46 , 	140 , 	173 , 	48 , 	62 , 	45 , 	18 , 	23 , 	50 , 	44 , 	32 , 	49 , 	32 , 	23 , 	60 , 	57 , 	389 , 	285 , 	628 , 	447 , 	286 , 	194 , 	37 , 	47 , 	40 , 	9 , 	11 , 	16 , 	12 , 	92 , 	8 , 	11 , 	80 , 	25 , 	15 ," 	4,558 ",,,,,,,,,,,
19, 	61 , 	105 , 	84 , 	93 , 	359 , 	155 , 	109 , 	25 , 	22 , 	24 , 	102 , 	112 , 	70 , 	72 , 	57 , 	27 , 	36 , 	70 , 	51 , 	43 , 	60 , 	38 , 	27 , 	96 , 	55 , 	347 , 	297 , 	607 , 	459 , 	283 , 	196 , 	65 , 	53 , 	56 , 	16 , 	16 , 	31 , 	14 , 	53 , 	8 , 	13 , 	51 , 	36 , 	17 ," 	4,565 ",,,,,,,,,,,
12, 	74 , 	146 , 	107 , 	95 , 	331 , 	159 , 	129 , 	24 , 	25 , 	20 , 	106 , 	189 , 	97 , 	115 , 	84 , 	45 , 	55 , 	114 , 	70 , 	64 , 	75 , 	40 , 	29 , 	100 , 	90 , 	469 , 	336 , 	770 , 	423 , 	214 , 	176 , 	58 , 	71 , 	72 , 	23 , 	14 , 	24 , 	23 , 	69 , 	20 , 	23 , 	71 , 	47 , 	12 ," 	5,291 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	42 , 	30 , 	34 , 	180 , 	51 , 	35 , 	19 , 	19 , 	14 , 	119 , 	186 , 	161 , 	179 , 	64 , 	37 , 	51 , 	75 , 	11 , 	14 , 	17 , 	7 , 	6 , 	25 , 	36 , 	354 , 	297 , 	642 , 	311 , 	190 , 	127 , 	37 , 	47 , 	48 , 	5 , 	72 , 	84 , 	4 , 	17 , 	2 , 	9 , 	21 , 	13 , 	41 ," 	3,748 ",,,Dtwn SF," 	2,463 "," 	9,994 "," 	17,337 "," 	9,300 "," 	8,286 "," 	11,264 "," 	6,475 "," 	65,118 "
FV, 	75 , 	107 , 	45 , 	65 , 	248 , 	108 , 	130 , 	98 , 	116 , 	91 , 	23 , 	271 , 	174 , 	221 , 	152 , 	73 , 	49 , 	102 , 	40 , 	18 , 	26 , 	17 , 	22 , 	39 , 	95 , 	400 , 	319 , 	811 , 	419 , 	183 , 	182 , 	42 , 	64 , 	53 , 	10 , 	54 , 	76 , 	8 , 	46 , 	12 , 	20 , 	49 , 	24 , 	56 ," 	5,227 ",,,OAK," 	9,578 "," 	1,210 "," 	2,908 "," 	3,125 "," 	1,391 "," 	3,397 ", 	532 ," 	22,140 "
CL, 	84 , 	173 , 	74 , 	81 , 	229 , 	109 , 	186 , 	129 , 	214 , 	144 , 	274 , 	18 , 	186 , 	251 , 	172 , 	104 , 	126 , 	266 , 	88 , 	92 , 	98 , 	52 , 	47 , 	76 , 	104 , 	341 , 	214 , 	497 , 	248 , 	110 , 	107 , 	45 , 	60 , 	63 , 	8 , 	126 , 	467 , 	40 , 	122 , 	8 , 	19 , 	41 , 	32 , 	176 ," 	6,096 ",,,CM line," 	16,796 "," 	2,972 "," 	6,372 "," 	2,759 "," 	1,499 "," 	2,265 "," 	2,541 "," 	35,204 "
SL, 	30 , 	39 , 	20 , 	19 , 	158 , 	32 , 	48 , 	70 , 	99 , 	154 , 	176 , 	187 , 	14 , 	116 , 	107 , 	48 , 	37 , 	60 , 	20 , 	14 , 	13 , 	6 , 	6 , 	23 , 	28 , 	230 , 	170 , 	452 , 	189 , 	65 , 	54 , 	21 , 	34 , 	32 , 	7 , 	42 , 	37 , 	3 , 	28 , 	8 , 	9 , 	31 , 	14 , 	39 ," 	2,984 ",,,RM line," 	8,938 "," 	3,198 "," 	2,730 "," 	5,989 "," 	1,343 "," 	3,369 ", 	751 ," 	26,317 "
