Exit stations,Entry stations->,,SUNDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	45 , 	67 , 	42 , 	181 , 	60 , 	64 , 	38 , 	48 , 	35 , 	59 , 	97 , 	17 , 	19 , 	20 , 	8 , 	9 , 	15 , 	13 , 	6 , 	9 , 	6 , 	4 , 	9 , 	14 , 	111 , 	87 , 	229 , 	104 , 	70 , 	82 , 	21 , 	21 , 	16 , 	10 , 	4 , 	12 , 	2 , 	25 , 	6 , 	12 , 	31 , 	12 , 	4 ," 	1,747 ",,,Eastbay," 	40,148 ",,SF CBD," 	90,553 ",57.0%,,,
EN, 	53 , 	13 , 	67 , 	49 , 	281 , 	80 , 	86 , 	67 , 	91 , 	59 , 	69 , 	264 , 	26 , 	33 , 	22 , 	12 , 	13 , 	48 , 	23 , 	8 , 	19 , 	8 , 	5 , 	16 , 	32 , 	254 , 	153 , 	474 , 	207 , 	96 , 	61 , 	31 , 	42 , 	40 , 	20 , 	4 , 	10 , 	2 , 	31 , 	14 , 	12 , 	74 , 	15 , 	6 ," 	2,981 ",,,Westbay," 	45,526 ",,non-CBD," 	61,452 ",38.7%,,,
EP, 	74 , 	59 , 	12 , 	45 , 	279 , 	61 , 	60 , 	55 , 	75 , 	51 , 	31 , 	135 , 	16 , 	17 , 	13 , 	4 , 	9 , 	24 , 	7 , 	9 , 	11 , 	11 , 	5 , 	25 , 	13 , 	142 , 	97 , 	243 , 	142 , 	50 , 	35 , 	16 , 	13 , 	16 , 	3 , 	4 , 	11 , 	3 , 	12 , 	4 , 	4 , 	65 , 	12 , 	4 ," 	1,970 ",,,Transbay," 	75,887 ",,,,,,,
NB, 	48 , 	49 , 	41 , 	18 , 	89 , 	39 , 	55 , 	79 , 	77 , 	97 , 	45 , 	129 , 	16 , 	13 , 	15 , 	6 , 	11 , 	26 , 	9 , 	13 , 	19 , 	17 , 	5 , 	11 , 	11 , 	219 , 	149 , 	292 , 	218 , 	96 , 	70 , 	24 , 	23 , 	21 , 	7 , 	6 , 	9 , 	5 , 	11 , 	4 , 	4 , 	99 , 	16 , 	4 ," 	2,210 ",,,,,,,,,,,
BK, 	202 , 	284 , 	281 , 	86 , 	32 , 	137 , 	176 , 	216 , 	202 , 	135 , 	132 , 	211 , 	58 , 	61 , 	51 , 	29 , 	59 , 	230 , 	37 , 	34 , 	49 , 	32 , 	32 , 	26 , 	59 , 	466 , 	271 , 	747 , 	431 , 	216 , 	144 , 	71 , 	56 , 	70 , 	10 , 	21 , 	60 , 	8 , 	29 , 	11 , 	14 , 	215 , 	102 , 	22 ," 	5,811 ",,,,,,,,,,,
AS, 	62 , 	85 , 	55 , 	45 , 	131 , 	14 , 	70 , 	110 , 	102 , 	85 , 	90 , 	124 , 	27 , 	27 , 	17 , 	9 , 	13 , 	35 , 	14 , 	8 , 	15 , 	9 , 	4 , 	8 , 	35 , 	177 , 	115 , 	264 , 	256 , 	156 , 	98 , 	24 , 	21 , 	17 , 	5 , 	4 , 	15 , 	3 , 	18 , 	3 , 	6 , 	82 , 	18 , 	5 ," 	2,477 ",,,,,,,,,,,
MA, 	66 , 	86 , 	55 , 	54 , 	166 , 	71 , 	18 , 	63 , 	95 , 	57 , 	91 , 	197 , 	37 , 	48 , 	28 , 	20 , 	17 , 	36 , 	30 , 	23 , 	32 , 	19 , 	17 , 	36 , 	38 , 	278 , 	186 , 	463 , 	412 , 	231 , 	152 , 	36 , 	36 , 	23 , 	11 , 	10 , 	15 , 	7 , 	66 , 	5 , 	9 , 	126 , 	22 , 	9 ," 	3,493 ",,,,,,,,,,,
19, 	40 , 	69 , 	53 , 	75 , 	187 , 	108 , 	63 , 	18 , 	14 , 	25 , 	70 , 	151 , 	39 , 	42 , 	43 , 	19 , 	23 , 	56 , 	28 , 	23 , 	39 , 	14 , 	18 , 	61 , 	44 , 	254 , 	215 , 	469 , 	431 , 	217 , 	144 , 	47 , 	38 , 	35 , 	7 , 	11 , 	22 , 	13 , 	41 , 	7 , 	12 , 	90 , 	27 , 	7 ," 	3,402 ",,,,,,,,,,,
12, 	52 , 	82 , 	64 , 	58 , 	184 , 	89 , 	68 , 	13 , 	22 , 	18 , 	75 , 	220 , 	50 , 	71 , 	47 , 	28 , 	31 , 	64 , 	38 , 	36 , 	49 , 	21 , 	15 , 	59 , 	53 , 	313 , 	248 , 	563 , 	319 , 	156 , 	104 , 	38 , 	48 , 	37 , 	17 , 	9 , 	9 , 	11 , 	47 , 	10 , 	19 , 	147 , 	46 , 	7 ," 	3,648 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	34 , 	58 , 	57 , 	105 , 	135 , 	106 , 	55 , 	20 , 	16 , 	8 , 	134 , 	238 , 	107 , 	91 , 	52 , 	26 , 	42 , 	104 , 	11 , 	15 , 	18 , 	12 , 	11 , 	38 , 	31 , 	268 , 	217 , 	507 , 	332 , 	173 , 	127 , 	53 , 	50 , 	50 , 	3 , 	50 , 	73 , 	3 , 	16 , 	4 , 	8 , 	39 , 	14 , 	28 ," 	3,535 ",,,Dtwn SF," 	1,626 "," 	7,504 "," 	11,842 "," 	5,898 "," 	5,714 "," 	8,302 "," 	5,223 "," 	46,109 "
