Exit stations,Entry stations->,,SATURDAY,,,Oct 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	5 , 	78 , 	70 , 	45 , 	300 , 	70 , 	85 , 	51 , 	82 , 	25 , 	69 , 	70 , 	27 , 	31 , 	23 , 	12 , 	10 , 	23 , 	14 , 	6 , 	11 , 	3 , 	7 , 	16 , 	27 , 	172 , 	112 , 	329 , 	132 , 	107 , 	133 , 	27 , 	37 , 	31 , 	11 , 	5 , 	5 , 	4 , 	27 , 	6 , 	14 , 	39 , 	17 , 	3 , 	-   , 	-   ," 	2,368 ",,,Eastbay," 	47,492 ",,SF CBD," 	140,310 ",62.6%,,,
EN, 	86 , 	17 , 	91 , 	65 , 	727 , 	122 , 	116 , 	107 , 	164 , 	42 , 	111 , 	135 , 	36 , 	49 , 	37 , 	16 , 	25 , 	52 , 	27 , 	13 , 	23 , 	8 , 	7 , 	18 , 	38 , 	451 , 	293 , 	775 , 	276 , 	123 , 	119 , 	35 , 	67 , 	56 , 	23 , 	7 , 	16 , 	5 , 	36 , 	12 , 	19 , 	65 , 	24 , 	10 , 	-   , 	-   ," 	4,538 ",,,Westbay," 	65,195 ",,non-CBD," 	77,391 ",34.5%,,,
EP, 	69 , 	91 , 	10 , 	52 , 	649 , 	67 , 	80 , 	72 , 	107 , 	31 , 	44 , 	47 , 	17 , 	19 , 	11 , 	7 , 	13 , 	31 , 	13 , 	9 , 	15 , 	7 , 	8 , 	32 , 	12 , 	250 , 	164 , 	350 , 	167 , 	74 , 	66 , 	19 , 	20 , 	17 , 	6 , 	8 , 	10 , 	1 , 	10 , 	5 , 	5 , 	60 , 	20 , 	5 , 	-   , 	-   ," 	2,764 ",,,Transbay," 	115,074 ",,,,,,,
NB, 	59 , 	68 , 	57 , 	11 , 	254 , 	52 , 	65 , 	79 , 	90 , 	36 , 	49 , 	50 , 	18 , 	17 , 	17 , 	9 , 	15 , 	25 , 	8 , 	13 , 	16 , 	10 , 	7 , 	19 , 	16 , 	331 , 	215 , 	452 , 	324 , 	155 , 	113 , 	33 , 	23 , 	23 , 	8 , 	6 , 	13 , 	2 , 	12 , 	3 , 	6 , 	72 , 	24 , 	5 , 	-   , 	-   ," 	2,873 ",,,,,,,,,,,
BK, 	326 , 	742 , 	675 , 	283 , 	55 , 	350 , 	363 , 	359 , 	414 , 	167 , 	304 , 	241 , 	171 , 	160 , 	135 , 	69 , 	115 , 	419 , 	111 , 	159 , 	201 , 	140 , 	118 , 	69 , 	96 ," 	1,024 ", 	635 ," 	1,556 ", 	996 , 	430 , 	313 , 	153 , 	104 , 	196 , 	24 , 	59 , 	156 , 	28 , 	137 , 	30 , 	37 , 	133 , 	190 , 	59 , 	-   , 	-   ," 	12,499 ",,,,,,,,,,,
AS, 	88 , 	111 , 	66 , 	46 , 	284 , 	19 , 	79 , 	130 , 	128 , 	41 , 	106 , 	73 , 	31 , 	26 , 	32 , 	13 , 	13 , 	34 , 	15 , 	13 , 	17 , 	8 , 	5 , 	15 , 	47 , 	282 , 	193 , 	428 , 	369 , 	220 , 	145 , 	29 , 	28 , 	18 , 	4 , 	6 , 	10 , 	5 , 	20 , 	6 , 	6 , 	43 , 	19 , 	4 , 	-   , 	-   ," 	3,273 ",,,,,,,,,,,
MA, 	97 , 	134 , 	71 , 	59 , 	360 , 	89 , 	23 , 	98 , 	134 , 	40 , 	133 , 	126 , 	49 , 	63 , 	45 , 	23 , 	24 , 	48 , 	45 , 	32 , 	51 , 	26 , 	24 , 	57 , 	55 , 	501 , 	309 , 	686 , 	541 , 	340 , 	209 , 	48 , 	49 , 	36 , 	10 , 	10 , 	23 , 	13 , 	89 , 	5 , 	13 , 	73 , 	21 , 	18 , 	-   , 	-   ," 	4,893 ",,,,,,,,,,,
19, 	57 , 	111 , 	69 , 	84 , 	368 , 	135 , 	96 , 	18 , 	23 , 	17 , 	88 , 	93 , 	59 , 	75 , 	47 , 	29 , 	28 , 	46 , 	38 , 	40 , 	46 , 	34 , 	19 , 	102 , 	48 , 	369 , 	301 , 	588 , 	469 , 	292 , 	184 , 	44 , 	50 , 	42 , 	13 , 	13 , 	21 , 	12 , 	56 , 	9 , 	10 , 	53 , 	29 , 	14 , 	-   , 	-   ," 	4,333 ",,,,,,,,,,,
12, 	77 , 	159 , 	104 , 	92 , 	378 , 	140 , 	112 , 	18 , 	21 , 	15 , 	113 , 	155 , 	94 , 	120 , 	88 , 	43 , 	57 , 	96 , 	69 , 	68 , 	76 , 	35 , 	28 , 	81 , 	93 , 	523 , 	338 , 	762 , 	457 , 	212 , 	161 , 	57 , 	72 , 	56 , 	21 , 	17 , 	35 , 	14 , 	75 , 	11 , 	24 , 	83 , 	51 , 	12 , 	-   , 	-   ," 	5,310 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	43 , 	30 , 	28 , 	146 , 	49 , 	39 , 	17 , 	23 , 	12 , 	96 , 	115 , 	161 , 	170 , 	62 , 	37 , 	55 , 	71 , 	9 , 	13 , 	19 , 	6 , 	6 , 	28 , 	32 , 	387 , 	306 , 	627 , 	380 , 	211 , 	125 , 	40 , 	40 , 	39 , 	5 , 	72 , 	85 , 	3 , 	15 , 	4 , 	7 , 	24 , 	12 , 	43 , 	-   , 	-   ," 	3,703 ",,,Dtwn SF," 	2,744 "," 	11,291 "," 	18,910 "," 	11,017 "," 	9,968 "," 	12,974 "," 	7,007 "," 	73,909 "
