Muni Fast Pass Adult/Clipper OD,,,,,,Nov 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,37,23,79,107,372,700,605,932,"2,854"
MT,32,43,53,99,479,966,870,"1,761","4,303"
PL,133,81,43,65,365,603,494,"1,299","3,083"
CC,90,91,66,23,179,400,374,778,"2,001"
16,311,386,448,201,11,94,146,373,"1,969"
24,546,678,749,383,107,20,98,348,"2,930"
GP,524,645,631,336,147,114,16,84,"2,496"
BP,802,"1,095","1,754",712,344,364,88,37,"5,196"
Entries,"2,474","3,042","3,822","1,926","2,004","3,261","2,692","5,612","24,834"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,2,30,19,124,154,102,265,712
MT,8,15,11,12,116,181,166,649,"1,159"
PL,41,16,51,25,303,441,351,929,"2,157"
CC,16,9,26,23,122,160,107,233,696
16,114,77,336,111,19,77,85,194,"1,012"
24,143,110,496,179,79,20,64,192,"1,284"
GP,89,105,415,99,68,71,17,30,894
BP,213,293,"1,199",197,167,173,32,36,"2,309"
Entries,641,626,"2,564",665,997,"1,278",924,"2,529","10,224"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,3,21,14,71,95,69,162,454
MT,3,11,10,11,78,116,110,405,744
PL,24,8,44,16,227,325,241,665,"1,549"
CC,12,4,19,20,98,125,81,203,562
16,79,45,258,85,15,56,73,149,760
24,107,80,399,138,55,28,51,145,"1,003"
GP,70,68,327,81,57,55,15,17,690
BP,176,192,968,179,131,134,20,35,"1,834"
Entries,490,411,"2,045",545,732,933,660,"1,780","7,597"
