Exit stations,Entry stations->,,SATURDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	8 , 	73 , 	74 , 	46 , 	271 , 	72 , 	72 , 	53 , 	78 , 	17 , 	68 , 	57 , 	20 , 	20 , 	19 , 	12 , 	10 , 	20 , 	14 , 	7 , 	13 , 	4 , 	6 , 	15 , 	17 , 	124 , 	110 , 	310 , 	113 , 	84 , 	112 , 	25 , 	38 , 	25 , 	10 , 	3 , 	8 , 	2 , 	24 , 	6 , 	17 , 	30 , 	10 , 	3 , 	3 , 	-   ," 	2,120 ",,,Eastbay," 	45,267 ",,SF CBD," 	115,174 ",59.6%,,,
EN, 	76 , 	15 , 	75 , 	59 , 	595 , 	102 , 	118 , 	108 , 	141 , 	32 , 	93 , 	113 , 	29 , 	38 , 	35 , 	18 , 	22 , 	36 , 	22 , 	9 , 	20 , 	7 , 	7 , 	19 , 	31 , 	278 , 	260 , 	767 , 	226 , 	114 , 	110 , 	39 , 	54 , 	47 , 	20 , 	9 , 	11 , 	4 , 	35 , 	17 , 	20 , 	66 , 	18 , 	8 , 	10 , 	-   ," 	3,934 ",,,Westbay," 	57,177 ",,non-CBD," 	71,751 ",37.1%,,,
EP, 	82 , 	76 , 	14 , 	53 , 	562 , 	64 , 	65 , 	79 , 	101 , 	28 , 	38 , 	55 , 	16 , 	17 , 	13 , 	4 , 	10 , 	28 , 	8 , 	8 , 	16 , 	8 , 	6 , 	25 , 	13 , 	158 , 	137 , 	381 , 	139 , 	66 , 	52 , 	19 , 	18 , 	14 , 	5 , 	6 , 	7 , 	1 , 	8 , 	5 , 	5 , 	55 , 	14 , 	5 , 	12 , 	-   ," 	2,495 ",,,Transbay," 	94,864 ",,,,,,,
NB, 	64 , 	60 , 	56 , 	15 , 	211 , 	47 , 	63 , 	77 , 	93 , 	31 , 	51 , 	53 , 	18 , 	19 , 	17 , 	6 , 	11 , 	28 , 	10 , 	12 , 	12 , 	8 , 	5 , 	15 , 	14 , 	223 , 	173 , 	375 , 	247 , 	128 , 	86 , 	30 , 	22 , 	19 , 	6 , 	7 , 	6 , 	3 , 	10 , 	3 , 	5 , 	82 , 	23 , 	5 , 	20 , 	-   ," 	2,469 ",,,,,,,,,,,
BK, 	299 , 	619 , 	574 , 	218 , 	52 , 	326 , 	356 , 	355 , 	314 , 	133 , 	219 , 	199 , 	134 , 	140 , 	104 , 	51 , 	135 , 	402 , 	88 , 	105 , 	171 , 	101 , 	94 , 	65 , 	96 , 	742 , 	498 ," 	1,310 ", 	689 , 	336 , 	258 , 	133 , 	82 , 	156 , 	21 , 	47 , 	168 , 	24 , 	93 , 	20 , 	39 , 	178 , 	223 , 	49 , 	75 , 	-   ," 	10,491 ",,,,,,,,,,,
AS, 	72 , 	92 , 	65 , 	49 , 	259 , 	21 , 	86 , 	137 , 	125 , 	39 , 	89 , 	72 , 	30 , 	33 , 	29 , 	14 , 	14 , 	36 , 	13 , 	12 , 	16 , 	5 , 	6 , 	16 , 	39 , 	214 , 	170 , 	392 , 	290 , 	186 , 	115 , 	29 , 	21 , 	17 , 	6 , 	4 , 	16 , 	5 , 	15 , 	5 , 	6 , 	57 , 	16 , 	6 , 	14 , 	-   ," 	2,952 ",,,,,,,,,,,
MA, 	83 , 	114 , 	65 , 	59 , 	336 , 	96 , 	22 , 	90 , 	125 , 	37 , 	127 , 	131 , 	46 , 	64 , 	44 , 	21 , 	23 , 	45 , 	42 , 	31 , 	48 , 	27 , 	17 , 	49 , 	51 , 	344 , 	250 , 	675 , 	405 , 	288 , 	189 , 	43 , 	50 , 	31 , 	7 , 	11 , 	18 , 	10 , 	92 , 	5 , 	12 , 	96 , 	21 , 	13 , 	19 , 	-   ," 	4,372 ",,,,,,,,,,,
19, 	55 , 	116 , 	84 , 	80 , 	355 , 	133 , 	99 , 	24 , 	20 , 	15 , 	86 , 	106 , 	57 , 	57 , 	47 , 	23 , 	35 , 	62 , 	43 , 	48 , 	62 , 	43 , 	29 , 	97 , 	49 , 	351 , 	298 , 	625 , 	469 , 	324 , 	197 , 	71 , 	54 , 	46 , 	11 , 	12 , 	27 , 	15 , 	55 , 	9 , 	19 , 	73 , 	38 , 	13 , 	19 , 	-   ," 	4,553 ",,,,,,,,,,,
12, 	76 , 	139 , 	103 , 	88 , 	287 , 	123 , 	124 , 	20 , 	22 , 	16 , 	99 , 	153 , 	97 , 	117 , 	78 , 	31 , 	49 , 	76 , 	65 , 	63 , 	72 , 	36 , 	23 , 	78 , 	86 , 	349 , 	286 , 	703 , 	359 , 	187 , 	146 , 	61 , 	69 , 	49 , 	19 , 	16 , 	31 , 	19 , 	70 , 	15 , 	26 , 	80 , 	48 , 	12 , 	9 , 	-   ," 	4,676 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	35 , 	28 , 	29 , 	132 , 	43 , 	42 , 	11 , 	13 , 	12 , 	97 , 	169 , 	123 , 	163 , 	58 , 	30 , 	36 , 	64 , 	12 , 	7 , 	11 , 	5 , 	4 , 	19 , 	32 , 	287 , 	244 , 	620 , 	287 , 	172 , 	107 , 	28 , 	34 , 	32 , 	4 , 	57 , 	75 , 	3 , 	15 , 	2 , 	8 , 	23 , 	11 , 	37 , 	16 , 	-   ," 	3,257 ",,,Dtwn SF," 	2,344 "," 	9,225 "," 	16,819 "," 	8,643 "," 	7,306 "," 	10,048 "," 	5,516 "," 	59,901 "
FV, 	67 , 	86 , 	41 , 	51 , 	218 , 	97 , 	127 , 	87 , 	108 , 	80 , 	17 , 	201 , 	139 , 	200 , 	135 , 	70 , 	54 , 	85 , 	37 , 	9 , 	25 , 	15 , 	13 , 	36 , 	87 , 	374 , 	296 , 	782 , 	389 , 	181 , 	156 , 	39 , 	54 , 	41 , 	12 , 	47 , 	76 , 	7 , 	54 , 	9 , 	17 , 	50 , 	14 , 	52 , 	8 , 	-   ," 	4,741 ",,,OAK," 	8,868 "," 	1,132 "," 	2,750 "," 	2,865 "," 	1,289 "," 	2,938 ", 	573 ," 	20,415 "
CL, 	62 , 	114 , 	50 , 	53 , 	204 , 	83 , 	131 , 	121 , 	174 , 	158 , 	190 , 	12 , 	145 , 	187 , 	154 , 	69 , 	122 , 	257 , 	45 , 	47 , 	68 , 	32 , 	21 , 	56 , 	84 , 	334 , 	219 , 	570 , 	250 , 	98 , 	88 , 	57 , 	71 , 	121 , 	12 , 	70 , 	205 , 	18 , 	81 , 	21 , 	27 , 	26 , 	35 , 	96 , 	14 , 	-   ," 	5,051 ",,,CM line," 	16,344 "," 	2,801 "," 	5,868 "," 	2,559 "," 	1,400 "," 	2,143 "," 	2,426 "," 	33,540 "
SL, 	25 , 	34 , 	20 , 	18 , 	132 , 	30 , 	48 , 	65 , 	95 , 	129 , 	142 , 	151 , 	7 , 	100 , 	93 , 	35 , 	34 , 	59 , 	19 , 	9 , 	10 , 	6 , 	3 , 	19 , 	29 , 	174 , 	143 , 	459 , 	135 , 	58 , 	57 , 	17 , 	23 , 	27 , 	7 , 	37 , 	35 , 	3 , 	21 , 	5 , 	10 , 	30 , 	13 , 	41 , 	3 , 	-   ," 	2,612 ",,,RM line," 	8,326 "," 	2,911 "," 	2,502 "," 	5,417 "," 	1,193 "," 	2,984 ", 	920 ," 	24,252 "
