Exit stations,Entry stations->,,WEEKDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	13 , 	141 , 	111 , 	122 , 	505 , 	127 , 	165 , 	161 , 	220 , 	60 , 	100 , 	99 , 	45 , 	40 , 	47 , 	25 , 	23 , 	42 , 	28 , 	14 , 	30 , 	11 , 	9 , 	22 , 	28 , 	326 , 	380 , 	485 , 	347 , 	177 , 	184 , 	42 , 	72 , 	94 , 	17 , 	7 , 	13 , 	8 , 	45 , 	12 , 	31 , 	40 , 	30 , 	7 , 	2 , 	-   ," 	4,506 ",,,Eastbay," 	90,425 ",,SF CBD," 	271,150 ",65.1%,,,
EN, 	156 , 	20 , 	121 , 	130 ," 	1,052 ", 	162 , 	294 , 	492 , 	613 , 	153 , 	157 , 	182 , 	73 , 	57 , 	95 , 	39 , 	37 , 	89 , 	41 , 	25 , 	50 , 	14 , 	14 , 	45 , 	48 , 	906 ," 	1,079 "," 	1,037 ", 	777 , 	247 , 	199 , 	77 , 	121 , 	165 , 	38 , 	9 , 	36 , 	11 , 	42 , 	30 , 	49 , 	94 , 	72 , 	15 , 	7 , 	-   ," 	9,168 ",,,Westbay," 	114,274 ",,non-CBD," 	135,879 ",32.6%,,,
EP, 	119 , 	100 , 	11 , 	80 , 	785 , 	84 , 	143 , 	292 , 	309 , 	91 , 	58 , 	71 , 	32 , 	21 , 	32 , 	12 , 	14 , 	48 , 	22 , 	19 , 	24 , 	12 , 	11 , 	40 , 	18 , 	542 , 	668 , 	451 , 	386 , 	108 , 	60 , 	29 , 	37 , 	64 , 	7 , 	6 , 	21 , 	5 , 	18 , 	9 , 	16 , 	57 , 	32 , 	9 , 	6 , 	-   ," 	4,980 ",,,Transbay," 	220,064 ",,,,,,,
NB, 	122 , 	120 , 	82 , 	17 , 	207 , 	85 , 	107 , 	242 , 	255 , 	90 , 	75 , 	86 , 	34 , 	23 , 	34 , 	12 , 	20 , 	42 , 	20 , 	24 , 	28 , 	12 , 	12 , 	27 , 	22 , 	708 , 	813 , 	490 , 	526 , 	170 , 	96 , 	41 , 	42 , 	51 , 	9 , 	11 , 	18 , 	7 , 	16 , 	7 , 	14 , 	90 , 	39 , 	10 , 	6 , 	-   ," 	4,964 ",,,,,,,,,,,
BK, 	531 ," 	1,098 ", 	818 , 	231 , 	41 , 	427 , 	505 , 	586 , 	609 , 	328 , 	357 , 	281 , 	197 , 	152 , 	174 , 	104 , 	158 , 	307 , 	166 , 	163 , 	156 , 	88 , 	64 , 	62 , 	116 ," 	1,014 "," 	1,041 "," 	1,009 ", 	839 , 	374 , 	311 , 	154 , 	124 , 	155 , 	37 , 	56 , 	126 , 	55 , 	130 , 	38 , 	44 , 	171 , 	178 , 	63 , 	11 , 	-   ," 	13,645 ",,,,,,,,,,,
AS, 	117 , 	132 , 	77 , 	85 , 	381 , 	19 , 	101 , 	266 , 	278 , 	88 , 	129 , 	105 , 	46 , 	37 , 	52 , 	29 , 	41 , 	69 , 	30 , 	24 , 	24 , 	12 , 	8 , 	18 , 	36 , 	695 , 	803 , 	543 , 	556 , 	255 , 	140 , 	37 , 	47 , 	60 , 	13 , 	16 , 	29 , 	8 , 	31 , 	10 , 	16 , 	55 , 	44 , 	12 , 	4 , 	-   ," 	5,575 ",,,,,,,,,,,
MA, 	183 , 	290 , 	129 , 	104 , 	457 , 	102 , 	23 , 	198 , 	267 , 	106 , 	206 , 	206 , 	119 , 	127 , 	138 , 	71 , 	90 , 	139 , 	148 , 	142 , 	124 , 	59 , 	41 , 	75 , 	74 ," 	1,028 "," 	1,210 ", 	960 , 	913 , 	385 , 	240 , 	87 , 	109 , 	123 , 	26 , 	27 , 	70 , 	56 , 	234 , 	21 , 	38 , 	99 , 	72 , 	30 , 	5 , 	-   ," 	9,350 ",,,,,,,,,,,
19, 	183 , 	497 , 	296 , 	245 , 	568 , 	262 , 	191 , 	27 , 	53 , 	51 , 	180 , 	203 , 	215 , 	187 , 	215 , 	152 , 	214 , 	362 , 	323 , 	335 , 	282 , 	149 , 	109 , 	164 , 	81 ," 	1,213 "," 	1,342 ", 	965 , 	978 , 	432 , 	306 , 	157 , 	134 , 	160 , 	68 , 	89 , 	211 , 	182 , 	268 , 	70 , 	57 , 	71 , 	131 , 	95 , 	4 , 	-   ," 	12,476 ",,,,,,,,,,,
12, 	227 , 	614 , 	301 , 	269 , 	558 , 	273 , 	261 , 	46 , 	32 , 	55 , 	258 , 	395 , 	345 , 	353 , 	320 , 	185 , 	242 , 	379 , 	349 , 	339 , 	268 , 	153 , 	114 , 	185 , 	112 ," 	1,181 "," 	1,236 "," 	1,022 ", 	974 , 	350 , 	317 , 	178 , 	168 , 	199 , 	118 , 	113 , 	225 , 	174 , 	360 , 	90 , 	86 , 	114 , 	158 , 	119 , 	5 , 	-   ," 	13,820 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	64 , 	149 , 	93 , 	86 , 	312 , 	86 , 	106 , 	44 , 	55 , 	20 , 	210 , 	312 , 	317 , 	292 , 	207 , 	111 , 	137 , 	178 , 	41 , 	31 , 	38 , 	14 , 	10 , 	45 , 	53 , 	819 , 	945 , 	790 , 	619 , 	253 , 	150 , 	66 , 	96 , 	142 , 	15 , 	110 , 	180 , 	17 , 	65 , 	13 , 	17 , 	32 , 	26 , 	95 , 	4 , 	-   ," 	7,467 ",,,Dtwn SF,"6,000","21,134","34,852","15,668","22,927","27,062","11,422","139,065"
