Muni Fast Pass Adult/Clipper OD,,,,,,Dec 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,41,21,81,89,334,629,546,854,"2,595"
MT,30,44,55,78,388,814,753,"1,509","3,671"
PL,146,86,51,63,355,574,461,"1,169","2,905"
CC,74,76,63,24,160,349,323,663,"1,732"
16,293,312,423,170,16,82,123,295,"1,714"
24,486,590,713,345,93,30,77,274,"2,607"
GP,460,561,582,292,125,96,18,61,"2,195"
BP,720,946,"1,569",594,273,277,65,51,"4,495"
Entries,"2,251","2,635","3,538","1,655","1,743","2,851","2,365","4,876","21,915"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,34,22,126,163,111,265,744
MT,8,10,19,12,116,180,170,663,"1,176"
PL,46,22,42,31,334,517,407,"1,053","2,451"
CC,18,10,36,17,112,163,112,235,702
16,113,76,362,120,16,88,83,201,"1,057"
24,129,115,574,201,67,20,72,206,"1,383"
GP,82,102,477,109,72,73,12,25,952
BP,231,284,"1,294",213,164,176,35,31,"2,427"
Entries,643,624,"2,836",724,"1,007","1,379","1,002","2,678","10,892"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,3,22,12,70,100,68,176,465
MT,4,11,11,8,78,114,108,419,751
PL,25,14,48,18,251,369,282,709,"1,713"
CC,10,4,22,18,95,133,82,199,562
16,66,46,279,97,16,51,63,147,764
24,105,74,411,143,47,18,50,145,991
GP,74,67,356,77,60,53,13,21,721
BP,162,186,"1,036",176,131,118,24,24,"1,856"
Entries,461,403,"2,184",548,745,955,689,"1,838","7,823"
