Exit stations,Entry stations->,,SUNDAY,,,Jan 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	9 , 	53 , 	61 , 	40 , 	156 , 	54 , 	61 , 	34 , 	45 , 	26 , 	57 , 	42 , 	14 , 	18 , 	16 , 	11 , 	9 , 	15 , 	12 , 	5 , 	10 , 	3 , 	3 , 	10 , 	21 , 	90 , 	60 , 	217 , 	84 , 	58 , 	66 , 	24 , 	26 , 	17 , 	9 , 	1 , 	6 , 	1 , 	26 , 	9 , 	11 , 	29 , 	15 , 	2 , 	7 , 	-   ," 	1,538 ",,,Eastbay," 	27,967 ",,SF CBD," 	71,849 ",57.9%,,,
EN, 	49 , 	9 , 	61 , 	45 , 	242 , 	81 , 	76 , 	62 , 	83 , 	41 , 	64 , 	71 , 	21 , 	25 , 	23 , 	13 , 	15 , 	36 , 	15 , 	9 , 	19 , 	7 , 	6 , 	12 , 	25 , 	172 , 	139 , 	454 , 	132 , 	71 , 	57 , 	26 , 	31 , 	25 , 	12 , 	6 , 	12 , 	5 , 	24 , 	7 , 	13 , 	64 , 	16 , 	4 , 	30 , 	-   ," 	2,406 ",,,Westbay," 	38,428 ",,non-CBD," 	46,319 ",37.4%,,,
EP, 	71 , 	52 , 	5 , 	44 , 	258 , 	59 , 	43 , 	46 , 	64 , 	33 , 	28 , 	28 , 	14 , 	13 , 	8 , 	3 , 	6 , 	22 , 	6 , 	8 , 	11 , 	6 , 	5 , 	21 , 	8 , 	109 , 	79 , 	230 , 	109 , 	42 , 	34 , 	13 , 	13 , 	12 , 	6 , 	3 , 	6 , 	3 , 	7 , 	1 , 	6 , 	51 , 	11 , 	5 , 	26 , 	-   ," 	1,627 ",,,Transbay," 	59,501 ",,,,,,,
NB, 	41 , 	40 , 	46 , 	14 , 	82 , 	40 , 	50 , 	58 , 	71 , 	28 , 	42 , 	28 , 	16 , 	16 , 	13 , 	6 , 	9 , 	21 , 	13 , 	10 , 	16 , 	7 , 	6 , 	14 , 	11 , 	177 , 	112 , 	283 , 	177 , 	90 , 	71 , 	31 , 	21 , 	19 , 	4 , 	5 , 	8 , 	2 , 	9 , 	4 , 	4 , 	89 , 	21 , 	3 , 	39 , 	-   ," 	1,864 ",,,,,,,,,,,
BK, 	165 , 	254 , 	272 , 	79 , 	32 , 	160 , 	161 , 	174 , 	163 , 	91 , 	117 , 	87 , 	52 , 	56 , 	48 , 	19 , 	45 , 	143 , 	35 , 	47 , 	40 , 	32 , 	33 , 	33 , 	61 , 	343 , 	197 , 	628 , 	331 , 	188 , 	133 , 	54 , 	47 , 	52 , 	15 , 	18 , 	43 , 	8 , 	27 , 	11 , 	14 , 	343 , 	79 , 	16 , 	191 , 	-   ," 	5,130 ",,,,,,,,,,,
AS, 	61 , 	67 , 	52 , 	50 , 	142 , 	17 , 	76 , 	90 , 	97 , 	49 , 	80 , 	58 , 	23 , 	23 , 	19 , 	13 , 	17 , 	28 , 	11 , 	9 , 	13 , 	6 , 	3 , 	10 , 	39 , 	155 , 	103 , 	259 , 	182 , 	143 , 	97 , 	25 , 	22 , 	11 , 	4 , 	5 , 	10 , 	3 , 	19 , 	3 , 	5 , 	71 , 	10 , 	5 , 	38 , 	-   ," 	2,218 ",,,,,,,,,,,
MA, 	76 , 	81 , 	43 , 	55 , 	147 , 	73 , 	17 , 	65 , 	78 , 	32 , 	91 , 	72 , 	33 , 	46 , 	31 , 	15 , 	17 , 	36 , 	28 , 	24 , 	33 , 	19 , 	15 , 	49 , 	51 , 	234 , 	158 , 	423 , 	314 , 	215 , 	134 , 	33 , 	37 , 	20 , 	7 , 	12 , 	11 , 	6 , 	57 , 	4 , 	7 , 	106 , 	26 , 	11 , 	45 , 	-   ," 	3,080 ",,,,,,,,,,,
19, 	39 , 	48 , 	42 , 	55 , 	159 , 	78 , 	61 , 	15 , 	10 , 	15 , 	56 , 	61 , 	39 , 	38 , 	29 , 	15 , 	15 , 	35 , 	28 , 	20 , 	35 , 	20 , 	12 , 	56 , 	33 , 	211 , 	167 , 	369 , 	279 , 	192 , 	118 , 	38 , 	26 , 	24 , 	8 , 	7 , 	11 , 	6 , 	33 , 	7 , 	9 , 	72 , 	19 , 	5 , 	27 , 	-   ," 	2,638 ",,,,,,,,,,,
12, 	48 , 	80 , 	47 , 	62 , 	137 , 	91 , 	75 , 	14 , 	13 , 	15 , 	72 , 	97 , 	57 , 	67 , 	45 , 	24 , 	28 , 	42 , 	41 , 	32 , 	38 , 	17 , 	20 , 	53 , 	57 , 	240 , 	200 , 	477 , 	236 , 	146 , 	79 , 	36 , 	48 , 	34 , 	14 , 	5 , 	13 , 	5 , 	48 , 	9 , 	13 , 	97 , 	25 , 	6 , 	27 , 	-   ," 	3,024 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	26 , 	46 , 	30 , 	34 , 	81 , 	49 , 	37 , 	14 , 	12 , 	12 , 	119 , 	96 , 	96 , 	103 , 	43 , 	28 , 	27 , 	56 , 	10 , 	10 , 	11 , 	7 , 	6 , 	25 , 	31 , 	194 , 	175 , 	439 , 	239 , 	139 , 	111 , 	28 , 	49 , 	27 , 	2 , 	41 , 	59 , 	2 , 	14 , 	3 , 	8 , 	36 , 	7 , 	24 , 	34 , 	-   ," 	2,634 ",,,Dtwn SF," 	1,298 "," 	5,912 "," 	10,622 "," 	4,712 "," 	4,329 "," 	5,833 "," 	3,533 "," 	36,238 "
FV, 	57 , 	69 , 	31 , 	44 , 	126 , 	82 , 	88 , 	65 , 	74 , 	105 , 	14 , 	108 , 	108 , 	150 , 	93 , 	45 , 	34 , 	71 , 	22 , 	13 , 	22 , 	10 , 	12 , 	31 , 	62 , 	224 , 	174 , 	485 , 	280 , 	140 , 	118 , 	29 , 	41 , 	27 , 	11 , 	29 , 	56 , 	5 , 	40 , 	9 , 	12 , 	44 , 	10 , 	36 , 	14 , 	-   ," 	3,314 ",,,OAK," 	5,803 ", 	833 ," 	1,957 "," 	1,764 ", 	839 ," 	2,008 ", 	531 ," 	13,734 "
CL, 	45 , 	69 , 	25 , 	27 , 	82 , 	59 , 	75 , 	60 , 	100 , 	75 , 	96 , 	7 , 	84 , 	122 , 	83 , 	47 , 	59 , 	109 , 	20 , 	22 , 	23 , 	20 , 	10 , 	26 , 	57 , 	144 , 	100 , 	297 , 	140 , 	68 , 	69 , 	38 , 	32 , 	57 , 	9 , 	36 , 	84 , 	9 , 	47 , 	8 , 	17 , 	16 , 	17 , 	47 , 	27 , 	-   ," 	2,655 ",,,CM line," 	10,949 "," 	1,933 "," 	3,992 "," 	1,498 ", 	945 ," 	1,449 "," 	2,043 "," 	22,808 "
SL, 	18 , 	24 , 	20 , 	17 , 	54 , 	23 , 	36 , 	35 , 	68 , 	101 , 	115 , 	86 , 	7 , 	77 , 	72 , 	28 , 	20 , 	39 , 	14 , 	6 , 	11 , 	4 , 	4 , 	13 , 	17 , 	118 , 	85 , 	293 , 	105 , 	41 , 	45 , 	11 , 	18 , 	27 , 	3 , 	22 , 	25 , 	1 , 	18 , 	4 , 	4 , 	26 , 	5 , 	27 , 	11 , 	-   ," 	1,790 ",,,RM line," 	4,821 "," 	1,886 "," 	1,565 "," 	2,958 ", 	636 ," 	1,666 ", 	885 ," 	14,416 "
BF, 	17 , 	29 , 	14 , 	13 , 	52 , 	21 , 	43 , 	44 , 	72 , 	104 , 	158 , 	128 , 	73 , 	9 , 	98 , 	56 , 	53 , 	98 , 	14 , 	7 , 	12 , 	4 , 	4 , 	10 , 	29 , 	121 , 	105 , 	308 , 	81 , 	47 , 	26 , 	16 , 	21 , 	23 , 	7 , 	48 , 	76 , 	3 , 	23 , 	5 , 	8 , 	17 , 	6 , 	76 , 	11 , 	-   ," 	2,183 ",,,WP line," 	4,606 ", 	916 , 	971 , 	673 ," 	2,262 ", 	732 , 	889 ," 	11,047 "
HY, 	16 , 	26 , 	9 , 	11 , 	53 , 	16 , 	33 , 	35 , 	53 , 	41 , 	96 , 	87 , 	67 , 	103 , 	8 , 	48 , 	61 , 	103 , 	11 , 	4 , 	13 , 	3 , 	1 , 	9 , 	19 , 	58 , 	34 , 	147 , 	55 , 	23 , 	16 , 	10 , 	13 , 	12 , 	6 , 	15 , 	31 , 	2 , 	16 , 	2 , 	4 , 	24 , 	6 , 	35 , 	21 , 	-   ," 	1,451 ",,,FT/ED line," 	6,024 "," 	2,064 "," 	1,502 "," 	1,644 ", 	745 ," 	5,393 ", 	507 ," 	17,879 "
