Exit stations,Entry stations->,,SUNDAY,,,Feb 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	6 , 	47 , 	51 , 	44 , 	166 , 	59 , 	71 , 	36 , 	51 , 	23 , 	52 , 	43 , 	21 , 	12 , 	15 , 	10 , 	7 , 	15 , 	15 , 	3 , 	9 , 	3 , 	6 , 	8 , 	20 , 	82 , 	64 , 	209 , 	90 , 	60 , 	64 , 	20 , 	25 , 	19 , 	8 , 	2 , 	7 , 	1 , 	25 , 	4 , 	9 , 	27 , 	11 , 	2 , 	5 , 	-   ," 	1,521 ",,,Eastbay," 	27,063 ",,SF CBD," 	71,478 ",58.1%,,,
EN, 	50 , 	13 , 	50 , 	37 , 	275 , 	73 , 	72 , 	67 , 	85 , 	40 , 	69 , 	56 , 	24 , 	26 , 	20 , 	15 , 	14 , 	40 , 	16 , 	10 , 	20 , 	6 , 	7 , 	13 , 	19 , 	166 , 	136 , 	418 , 	129 , 	76 , 	55 , 	30 , 	31 , 	31 , 	15 , 	6 , 	10 , 	3 , 	28 , 	11 , 	12 , 	63 , 	14 , 	3 , 	25 , 	-   ," 	2,374 ",,,Westbay," 	37,656 ",,non-CBD," 	46,379 ",37.7%,,,
EP, 	65 , 	52 , 	10 , 	42 , 	277 , 	58 , 	47 , 	52 , 	61 , 	29 , 	28 , 	19 , 	15 , 	9 , 	7 , 	4 , 	5 , 	19 , 	7 , 	5 , 	12 , 	7 , 	5 , 	15 , 	10 , 	103 , 	89 , 	195 , 	100 , 	55 , 	37 , 	15 , 	12 , 	11 , 	2 , 	2 , 	7 , 	1 , 	8 , 	2 , 	4 , 	54 , 	10 , 	3 , 	24 , 	-   ," 	1,587 ",,,Transbay," 	60,190 ",,,,,,,
NB, 	44 , 	41 , 	48 , 	15 , 	81 , 	47 , 	52 , 	56 , 	76 , 	38 , 	35 , 	20 , 	21 , 	14 , 	15 , 	4 , 	8 , 	31 , 	13 , 	11 , 	17 , 	9 , 	7 , 	11 , 	13 , 	174 , 	115 , 	267 , 	188 , 	100 , 	72 , 	24 , 	21 , 	20 , 	5 , 	7 , 	8 , 	1 , 	12 , 	4 , 	3 , 	58 , 	19 , 	5 , 	29 , 	-   ," 	1,851 ",,,,,,,,,,,
BK, 	182 , 	265 , 	276 , 	94 , 	40 , 	169 , 	168 , 	191 , 	238 , 	93 , 	125 , 	67 , 	58 , 	44 , 	62 , 	21 , 	46 , 	198 , 	37 , 	41 , 	58 , 	24 , 	25 , 	31 , 	57 , 	453 , 	228 , 	736 , 	369 , 	228 , 	151 , 	59 , 	54 , 	62 , 	8 , 	18 , 	47 , 	10 , 	25 , 	11 , 	15 , 	178 , 	90 , 	33 , 	93 , 	-   ," 	5,473 ",,,,,,,,,,,
AS, 	63 , 	65 , 	51 , 	47 , 	152 , 	14 , 	65 , 	93 , 	91 , 	46 , 	72 , 	37 , 	26 , 	18 , 	20 , 	8 , 	16 , 	26 , 	13 , 	8 , 	15 , 	5 , 	5 , 	7 , 	29 , 	167 , 	107 , 	272 , 	199 , 	149 , 	109 , 	29 , 	19 , 	14 , 	4 , 	3 , 	10 , 	2 , 	17 , 	4 , 	5 , 	41 , 	14 , 	6 , 	34 , 	-   ," 	2,194 ",,,,,,,,,,,
MA, 	79 , 	73 , 	50 , 	50 , 	177 , 	71 , 	15 , 	64 , 	86 , 	32 , 	90 , 	66 , 	31 , 	34 , 	33 , 	12 , 	15 , 	40 , 	28 , 	24 , 	37 , 	21 , 	13 , 	40 , 	42 , 	260 , 	173 , 	405 , 	316 , 	232 , 	128 , 	38 , 	33 , 	20 , 	7 , 	10 , 	18 , 	6 , 	64 , 	5 , 	10 , 	80 , 	21 , 	10 , 	31 , 	-   ," 	3,090 ",,,,,,,,,,,
19, 	42 , 	58 , 	47 , 	54 , 	185 , 	88 , 	56 , 	17 , 	18 , 	13 , 	51 , 	49 , 	41 , 	28 , 	30 , 	14 , 	19 , 	45 , 	28 , 	24 , 	45 , 	24 , 	14 , 	68 , 	31 , 	243 , 	165 , 	355 , 	298 , 	214 , 	137 , 	48 , 	36 , 	34 , 	7 , 	11 , 	19 , 	5 , 	36 , 	7 , 	8 , 	63 , 	25 , 	6 , 	32 , 	-   ," 	2,835 ",,,,,,,,,,,
12, 	51 , 	68 , 	53 , 	64 , 	233 , 	80 , 	81 , 	13 , 	17 , 	17 , 	77 , 	81 , 	64 , 	51 , 	52 , 	21 , 	29 , 	50 , 	44 , 	35 , 	41 , 	17 , 	16 , 	50 , 	50 , 	275 , 	213 , 	481 , 	275 , 	152 , 	104 , 	40 , 	57 , 	37 , 	18 , 	9 , 	17 , 	7 , 	50 , 	10 , 	12 , 	79 , 	27 , 	8 , 	25 , 	-   ," 	3,245 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	22 , 	43 , 	30 , 	36 , 	93 , 	51 , 	39 , 	15 , 	17 , 	11 , 	106 , 	69 , 	90 , 	74 , 	43 , 	21 , 	29 , 	64 , 	9 , 	9 , 	14 , 	6 , 	8 , 	18 , 	28 , 	212 , 	185 , 	434 , 	238 , 	148 , 	110 , 	32 , 	45 , 	30 , 	4 , 	40 , 	53 , 	4 , 	13 , 	5 , 	8 , 	26 , 	10 , 	30 , 	25 , 	-   ," 	2,590 ",,,Dtwn SF," 	1,369 "," 	6,115 "," 	10,021 "," 	4,838 "," 	4,249 "," 	5,579 "," 	3,694 "," 	35,865 "
