Muni Fast Pass Adult/Clipper OD,,,,,,Mar 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,20,63,90,363,700,599,929,"2,805"
MT,32,49,46,81,453,902,821,"1,695","4,078"
PL,108,66,51,52,342,581,432,"1,193","2,823"
CC,74,78,54,22,182,379,356,725,"1,870"
16,327,375,416,191,18,99,129,362,"1,915"
24,554,667,682,374,103,27,98,333,"2,838"
GP,514,593,516,317,135,106,17,74,"2,270"
BP,804,"1,045","1,596",678,341,344,74,36,"4,917"
Entries,"2,452","2,892","3,422","1,805","1,936","3,137","2,525","5,346","23,516"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,12,7,34,22,132,172,113,291,783
MT,9,15,15,19,130,189,189,693,"1,259"
PL,46,21,36,24,299,471,343,932,"2,171"
CC,21,14,30,17,118,182,106,256,743
16,124,86,321,120,16,78,93,220,"1,057"
24,144,120,482,205,72,24,79,221,"1,346"
GP,96,120,389,105,85,75,16,33,918
BP,241,344,"1,188",223,189,198,32,31,"2,445"
Entries,693,726,"2,496",734,"1,040","1,388",969,"2,676","10,722"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,1,15,8,66,97,65,157,424
MT,4,11,6,9,73,103,101,350,658
PL,19,8,37,15,205,269,202,540,"1,295"
CC,11,6,17,23,80,102,77,197,513
16,76,48,233,78,18,52,65,121,690
24,100,72,348,134,48,28,51,117,898
GP,67,68,284,79,65,57,20,19,658
BP,156,177,839,160,130,106,16,32,"1,616"
Entries,449,391,"1,779",505,685,813,598,"1,532","6,753"
