Exit stations,Entry stations->,,SATURDAY,,,Mar 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	16 , 	70 , 	86 , 	56 , 	275 , 	86 , 	97 , 	64 , 	86 , 	26 , 	73 , 	56 , 	28 , 	23 , 	28 , 	14 , 	13 , 	31 , 	18 , 	13 , 	13 , 	5 , 	8 , 	13 , 	19 , 	157 , 	139 , 	347 , 	133 , 	106 , 	130 , 	29 , 	40 , 	35 , 	13 , 	6 , 	8 , 	3 , 	23 , 	7 , 	22 , 	35 , 	15 , 	3 , 	4 , 	-   ," 	2,465 ",,,Eastbay," 	45,629 ",,SF CBD," 	134,046 ",62.6%,,,
EN, 	74 , 	9 , 	80 , 	62 , 	458 , 	118 , 	122 , 	135 , 	155 , 	40 , 	126 , 	111 , 	34 , 	37 , 	32 , 	16 , 	21 , 	46 , 	26 , 	14 , 	22 , 	7 , 	4 , 	23 , 	31 , 	361 , 	323 , 	789 , 	274 , 	122 , 	127 , 	39 , 	61 , 	49 , 	24 , 	10 , 	14 , 	4 , 	39 , 	18 , 	22 , 	65 , 	21 , 	7 , 	23 , 	-   ," 	4,191 ",,,Westbay," 	64,306 ",,non-CBD," 	73,933 ",34.5%,,,
EP, 	81 , 	75 , 	12 , 	55 , 	428 , 	74 , 	70 , 	99 , 	125 , 	32 , 	52 , 	31 , 	18 , 	17 , 	11 , 	4 , 	10 , 	38 , 	7 , 	9 , 	16 , 	8 , 	6 , 	25 , 	16 , 	192 , 	201 , 	407 , 	211 , 	74 , 	51 , 	15 , 	19 , 	17 , 	3 , 	5 , 	7 , 	2 , 	8 , 	4 , 	7 , 	47 , 	20 , 	5 , 	16 , 	-   ," 	2,629 ",,,Transbay," 	109,530 ",,,,,,,
NB, 	60 , 	60 , 	60 , 	14 , 	138 , 	54 , 	64 , 	94 , 	99 , 	30 , 	61 , 	40 , 	26 , 	19 , 	15 , 	9 , 	11 , 	31 , 	16 , 	16 , 	17 , 	7 , 	6 , 	17 , 	18 , 	297 , 	259 , 	416 , 	317 , 	149 , 	104 , 	30 , 	22 , 	22 , 	5 , 	7 , 	8 , 	2 , 	10 , 	5 , 	8 , 	72 , 	15 , 	6 , 	23 , 	-   ," 	2,754 ",,,,,,,,,,,
BK, 	274 , 	478 , 	433 , 	158 , 	48 , 	303 , 	268 , 	329 , 	324 , 	118 , 	224 , 	134 , 	106 , 	128 , 	89 , 	38 , 	72 , 	216 , 	63 , 	82 , 	84 , 	48 , 	39 , 	44 , 	108 , 	737 , 	507 ," 	1,215 ", 	626 , 	344 , 	220 , 	88 , 	77 , 	90 , 	14 , 	36 , 	73 , 	19 , 	53 , 	10 , 	20 , 	306 , 	114 , 	35 , 	228 , 	-   ," 	9,015 ",,,,,,,,,,,
AS, 	91 , 	117 , 	70 , 	51 , 	239 , 	13 , 	100 , 	160 , 	144 , 	48 , 	117 , 	74 , 	33 , 	34 , 	28 , 	13 , 	18 , 	41 , 	14 , 	14 , 	19 , 	7 , 	6 , 	13 , 	42 , 	281 , 	213 , 	419 , 	312 , 	223 , 	148 , 	22 , 	28 , 	19 , 	7 , 	5 , 	12 , 	4 , 	19 , 	6 , 	8 , 	58 , 	19 , 	6 , 	20 , 	-   ," 	3,326 ",,,,,,,,,,,
MA, 	114 , 	138 , 	73 , 	59 , 	244 , 	105 , 	19 , 	94 , 	135 , 	35 , 	147 , 	102 , 	47 , 	59 , 	53 , 	23 , 	26 , 	53 , 	55 , 	38 , 	48 , 	31 , 	21 , 	56 , 	56 , 	428 , 	348 , 	713 , 	518 , 	320 , 	217 , 	45 , 	47 , 	31 , 	14 , 	13 , 	19 , 	12 , 	83 , 	7 , 	11 , 	74 , 	23 , 	12 , 	23 , 	-   ," 	4,784 ",,,,,,,,,,,
19, 	69 , 	154 , 	97 , 	104 , 	310 , 	171 , 	99 , 	20 , 	22 , 	17 , 	111 , 	96 , 	60 , 	67 , 	56 , 	29 , 	53 , 	66 , 	49 , 	51 , 	68 , 	44 , 	39 , 	103 , 	50 , 	405 , 	354 , 	650 , 	530 , 	330 , 	221 , 	74 , 	64 , 	50 , 	11 , 	13 , 	26 , 	15 , 	55 , 	13 , 	16 , 	58 , 	31 , 	15 , 	15 , 	-   ," 	4,947 ",,,,,,,,,,,
12, 	81 , 	151 , 	122 , 	97 , 	304 , 	147 , 	133 , 	26 , 	24 , 	15 , 	120 , 	152 , 	90 , 	123 , 	79 , 	36 , 	53 , 	92 , 	77 , 	73 , 	74 , 	36 , 	37 , 	94 , 	74 , 	454 , 	394 , 	790 , 	428 , 	231 , 	161 , 	65 , 	68 , 	56 , 	21 , 	14 , 	28 , 	18 , 	80 , 	14 , 	29 , 	81 , 	52 , 	12 , 	31 , 	-   ," 	5,334 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	26 , 	41 , 	29 , 	30 , 	106 , 	57 , 	40 , 	20 , 	16 , 	16 , 	148 , 	135 , 	165 , 	171 , 	57 , 	42 , 	50 , 	75 , 	13 , 	13 , 	11 , 	6 , 	7 , 	21 , 	32 , 	355 , 	335 , 	684 , 	354 , 	224 , 	140 , 	37 , 	44 , 	35 , 	6 , 	82 , 	92 , 	4 , 	14 , 	4 , 	8 , 	23 , 	10 , 	34 , 	16 , 	-   ," 	3,822 ",,,Dtwn SF," 	2,974 "," 	11,138 "," 	18,515 "," 	9,754 "," 	9,180 "," 	11,956 "," 	6,717 "," 	70,232 "
FV, 	89 , 	121 , 	49 , 	57 , 	227 , 	121 , 	145 , 	114 , 	127 , 	116 , 	17 , 	198 , 	168 , 	216 , 	144 , 	70 , 	56 , 	99 , 	42 , 	20 , 	30 , 	20 , 	20 , 	52 , 	93 , 	406 , 	372 , 	860 , 	446 , 	245 , 	193 , 	42 , 	68 , 	59 , 	8 , 	58 , 	89 , 	6 , 	65 , 	9 , 	22 , 	40 , 	20 , 	59 , 	9 , 	-   ," 	5,480 ",,,OAK," 	10,546 "," 	1,180 "," 	3,129 "," 	3,052 "," 	1,433 "," 	3,233 ", 	548 ," 	23,120 "
CL, 	54 , 	113 , 	38 , 	35 , 	146 , 	73 , 	113 , 	107 , 	179 , 	129 , 	196 , 	15 , 	141 , 	190 , 	159 , 	60 , 	115 , 	201 , 	39 , 	40 , 	42 , 	35 , 	19 , 	58 , 	75 , 	291 , 	197 , 	495 , 	238 , 	111 , 	108 , 	58 , 	62 , 	100 , 	16 , 	64 , 	165 , 	17 , 	63 , 	20 , 	23 , 	18 , 	30 , 	85 , 	20 , 	-   ," 	4,549 ",,,CM line," 	18,013 "," 	3,305 "," 	6,408 "," 	2,627 "," 	1,525 "," 	2,383 "," 	2,448 "," 	36,707 "
SL, 	30 , 	46 , 	20 , 	19 , 	114 , 	38 , 	49 , 	66 , 	103 , 	154 , 	161 , 	131 , 	12 , 	113 , 	110 , 	48 , 	40 , 	66 , 	15 , 	14 , 	13 , 	7 , 	5 , 	23 , 	27 , 	244 , 	220 , 	484 , 	173 , 	69 , 	65 , 	20 , 	30 , 	25 , 	9 , 	41 , 	42 , 	3 , 	22 , 	10 , 	8 , 	25 , 	9 , 	30 , 	7 , 	-   ," 	2,952 ",,,RM line," 	9,131 "," 	3,060 "," 	2,561 "," 	4,771 ", 	931 ," 	2,630 ", 	919 ," 	24,003 "
BF, 	21 , 	41 , 	22 , 	19 , 	124 , 	35 , 	65 , 	70 , 	134 , 	152 , 	228 , 	188 , 	115 , 	11 , 	136 , 	80 , 	81 , 	151 , 	18 , 	8 , 	13 , 	4 , 	5 , 	14 , 	39 , 	199 , 	207 , 	475 , 	157 , 	66 , 	53 , 	20 , 	34 , 	28 , 	9 , 	54 , 	92 , 	2 , 	23 , 	7 , 	13 , 	13 , 	4 , 	91 , 	7 , 	-   ," 	3,322 ",,,WP line," 	8,704 "," 	1,486 "," 	1,590 "," 	1,008 "," 	3,316 "," 	1,115 ", 	835 ," 	18,055 "
HY, 	24 , 	40 , 	13 , 	16 , 	83 , 	28 , 	49 , 	69 , 	71 , 	56 , 	145 , 	152 , 	103 , 	131 , 	20 , 	91 , 	89 , 	137 , 	9 , 	5 , 	13 , 	5 , 	2 , 	15 , 	25 , 	154 , 	119 , 	279 , 	90 , 	50 , 	45 , 	8 , 	19 , 	21 , 	7 , 	25 , 	42 , 	1 , 	25 , 	7 , 	13 , 	17 , 	8 , 	41 , 	13 , 	-   ," 	2,370 ",,,FT/ED line," 	11,517 "," 	3,292 "," 	2,439 "," 	2,784 "," 	1,116 "," 	8,483 ", 	563 ," 	30,193 "
SH, 	12 , 	24 , 	4 , 	6 , 	37 , 	16 , 	25 , 	30 , 	36 , 	35 , 	67 , 	60 , 	40 , 	74 , 	82 , 	8 , 	53 , 	104 , 	6 , 	4 , 	5 , 	2 , 	1 , 	5 , 	9 , 	84 , 	82 , 	181 , 	78 , 	28 , 	32 , 	9 , 	14 , 	22 , 	4 , 	15 , 	16 , 	-   , 	11 , 	4 , 	6 , 	9 , 	4 , 	19 , 	4 , 	-   ," 	1,366 ",,,SFIA," 	5,902 ", 	504 ," 	2,367 ", 	966 , 	735 , 	507 , 	963 ," 	11,943 "
UC, 	13 , 	26 , 	11 , 	12 , 	85 , 	20 , 	31 , 	53 , 	57 , 	48 , 	66 , 	109 , 	45 , 	83 , 	92 , 	53 , 	12 , 	102 , 	8 , 	5 , 	7 , 	4 , 	1 , 	5 , 	9 , 	193 , 	173 , 	311 , 	89 , 	36 , 	25 , 	10 , 	15 , 	22 , 	6 , 	20 , 	26 , 	2 , 	10 , 	3 , 	5 , 	16 , 	6 , 	23 , 	10 , 	-   ," 	1,954 ",,,Entries," 	66,787 "," 	23,964 "," 	37,008 "," 	24,961 "," 	18,235 "," 	30,306 "," 	12,992 "," 	214,253 "
FM, 	29 , 	51 , 	30 , 	28 , 	282 , 	39 , 	60 , 	81 , 	101 , 	77 , 	110 , 	196 , 	65 , 	144 , 	157 , 	115 , 	109 , 	25 , 	25 , 	19 , 	24 , 	6 , 	10 , 	28 , 	17 , 	381 , 	319 , 	616 , 	234 , 	85 , 	43 , 	18 , 	30 , 	39 , 	9 , 	24 , 	72 , 	5 , 	23 , 	6 , 	8 , 	36 , 	7 , 	36 , 	25 , 	-   ," 	3,836 ",,,,,,,,,,,
CN, 	19 , 	27 , 	11 , 	10 , 	73 , 	13 , 	53 , 	53 , 	79 , 	10 , 	41 , 	37 , 	13 , 	16 , 	12 , 	8 , 	7 , 	21 , 	14 , 	63 , 	194 , 	69 , 	24 , 	44 , 	11 , 	210 , 	174 , 	380 , 	181 , 	56 , 	56 , 	20 , 	22 , 	19 , 	8 , 	2 , 	6 , 	22 , 	227 , 	11 , 	11 , 	55 , 	22 , 	5 , 	14 , 	-   ," 	2,418 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	15 , 	9 , 	13 , 	74 , 	14 , 	38 , 	47 , 	64 , 	13 , 	19 , 	40 , 	12 , 	8 , 	4 , 	2 , 	4 , 	16 , 	64 , 	14 , 	100 , 	33 , 	15 , 	67 , 	11 , 	302 , 	244 , 	414 , 	192 , 	68 , 	39 , 	19 , 	12 , 	25 , 	8 , 	3 , 	6 , 	14 , 	74 , 	9 , 	8 , 	89 , 	12 , 	3 , 	21 , 	-   ," 	2,258 ",,,Dtwn SF," 	2,974 ",,,,,,,
WC, 	14 , 	24 , 	20 , 	22 , 	88 , 	20 , 	49 , 	68 , 	74 , 	14 , 	28 , 	47 , 	12 , 	14 , 	15 , 	5 , 	9 , 	22 , 	231 , 	117 , 	20 , 	53 , 	29 , 	112 , 	13 , 	396 , 	314 , 	539 , 	320 , 	89 , 	54 , 	28 , 	20 , 	30 , 	14 , 	9 , 	8 , 	23 , 	144 , 	9 , 	12 , 	121 , 	24 , 	3 , 	27 , 	-   ," 	3,298 ",,,OAK," 	21,684 "," 	1,180 ",,,,,,
LF, 	7 , 	4 , 	12 , 	13 , 	46 , 	8 , 	26 , 	47 , 	36 , 	7 , 	22 , 	38 , 	7 , 	4 , 	5 , 	2 , 	5 , 	7 , 	79 , 	40 , 	56 , 	11 , 	15 , 	62 , 	5 , 	235 , 	170 , 	289 , 	235 , 	42 , 	25 , 	12 , 	10 , 	12 , 	3 , 	-   , 	2 , 	5 , 	25 , 	2 , 	2 , 	61 , 	7 , 	0 , 	19 , 	-   ," 	1,715 ",,,CM line," 	36,528 "," 	6,433 "," 	6,408 ",,,,,
OR, 	6 , 	6 , 	8 , 	4 , 	43 , 	8 , 	30 , 	33 , 	39 , 	6 , 	19 , 	18 , 	4 , 	5 , 	2 , 	1 , 	3 , 	6 , 	19 , 	17 , 	33 , 	12 , 	8 , 	54 , 	4 , 	204 , 	159 , 	250 , 	167 , 	47 , 	26 , 	10 , 	8 , 	11 , 	4 , 	3 , 	1 , 	2 , 	15 , 	2 , 	3 , 	45 , 	8 , 	-   , 	7 , 	-   ," 	1,355 ",,,RM line," 	18,885 "," 	6,112 "," 	5,188 "," 	4,771 ",,,,
RR, 	17 , 	21 , 	37 , 	25 , 	60 , 	14 , 	53 , 	102 , 	106 , 	27 , 	52 , 	46 , 	22 , 	13 , 	15 , 	5 , 	7 , 	24 , 	43 , 	65 , 	105 , 	70 , 	54 , 	26 , 	31 , 	458 , 	389 , 	635 , 	446 , 	227 , 	132 , 	44 , 	21 , 	24 , 	5 , 	5 , 	8 , 	11 , 	35 , 	6 , 	7 , 	114 , 	23 , 	5 , 	28 , 	-   ," 	3,658 ",,,WP line," 	17,884 "," 	2,919 "," 	3,115 "," 	1,939 "," 	3,316 ",,,
OW, 	22 , 	27 , 	16 , 	13 , 	110 , 	40 , 	66 , 	52 , 	76 , 	27 , 	89 , 	67 , 	27 , 	35 , 	32 , 	12 , 	11 , 	15 , 	11 , 	11 , 	10 , 	5 , 	6 , 	25 , 	19 , 	660 , 	562 ," 	1,061 ", 	525 , 	305 , 	184 , 	38 , 	51 , 	30 , 	12 , 	10 , 	17 , 	2 , 	22 , 	6 , 	21 , 	51 , 	18 , 	9 , 	7 , 	-   ," 	4,406 ",,,FT/ED line," 	23,473 "," 	6,524 "," 	4,822 "," 	5,414 "," 	2,231 "," 	8,483 ",,
