Exit stations,Entry stations->,,SATURDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	10 , 	71 , 	74 , 	53 , 	252 , 	71 , 	91 , 	45 , 	67 , 	27 , 	75 , 	37 , 	22 , 	23 , 	20 , 	11 , 	12 , 	20 , 	15 , 	7 , 	13 , 	4 , 	8 , 	14 , 	22 , 	162 , 	118 , 	321 , 	127 , 	101 , 	112 , 	30 , 	47 , 	34 , 	12 , 	2 , 	9 , 	1 , 	29 , 	8 , 	15 , 	31 , 	17 , 	3 , 	6 , 	-   ," 	2,250 ",,,Eastbay," 	41,348 ",,SF CBD," 	114,146 ",60.2%,,,
EN, 	77 , 	15 , 	79 , 	60 , 	450 , 	112 , 	129 , 	111 , 	162 , 	46 , 	113 , 	87 , 	29 , 	37 , 	34 , 	13 , 	19 , 	40 , 	26 , 	13 , 	24 , 	12 , 	7 , 	22 , 	34 , 	339 , 	250 , 	732 , 	247 , 	127 , 	130 , 	44 , 	67 , 	49 , 	19 , 	6 , 	10 , 	4 , 	32 , 	14 , 	24 , 	77 , 	27 , 	5 , 	16 , 	-   ," 	3,973 ",,,Westbay," 	56,544 ",,non-CBD," 	68,831 ",36.3%,,,
EP, 	81 , 	74 , 	10 , 	59 , 	410 , 	76 , 	73 , 	82 , 	101 , 	29 , 	44 , 	54 , 	13 , 	12 , 	8 , 	6 , 	10 , 	23 , 	10 , 	8 , 	19 , 	10 , 	8 , 	27 , 	11 , 	177 , 	140 , 	346 , 	167 , 	66 , 	63 , 	21 , 	16 , 	20 , 	7 , 	5 , 	8 , 	2 , 	9 , 	3 , 	4 , 	54 , 	26 , 	4 , 	17 , 	-   ," 	2,414 ",,,Transbay," 	96,184 ",,,,,,,
NB, 	65 , 	61 , 	55 , 	15 , 	135 , 	54 , 	76 , 	99 , 	94 , 	31 , 	63 , 	52 , 	19 , 	16 , 	18 , 	7 , 	13 , 	32 , 	13 , 	16 , 	19 , 	7 , 	8 , 	15 , 	14 , 	273 , 	203 , 	375 , 	264 , 	152 , 	118 , 	38 , 	26 , 	27 , 	5 , 	5 , 	12 , 	3 , 	10 , 	3 , 	8 , 	74 , 	29 , 	4 , 	23 , 	-   ," 	2,651 ",,,,,,,,,,,
BK, 	260 , 	458 , 	418 , 	146 , 	40 , 	295 , 	268 , 	309 , 	330 , 	123 , 	214 , 	92 , 	76 , 	69 , 	75 , 	34 , 	61 , 	206 , 	53 , 	79 , 	84 , 	57 , 	51 , 	49 , 	82 , 	620 , 	394 ," 	1,058 ", 	488 , 	294 , 	219 , 	87 , 	73 , 	97 , 	13 , 	26 , 	77 , 	15 , 	58 , 	17 , 	17 , 	200 , 	119 , 	26 , 	84 , 	-   ," 	7,911 ",,,,,,,,,,,
AS, 	65 , 	109 , 	69 , 	47 , 	241 , 	15 , 	87 , 	148 , 	125 , 	52 , 	100 , 	64 , 	25 , 	23 , 	17 , 	6 , 	14 , 	30 , 	14 , 	10 , 	16 , 	9 , 	4 , 	9 , 	33 , 	241 , 	193 , 	390 , 	271 , 	205 , 	117 , 	31 , 	29 , 	19 , 	7 , 	4 , 	13 , 	2 , 	20 , 	5 , 	6 , 	53 , 	24 , 	6 , 	25 , 	-   ," 	2,993 ",,,,,,,,,,,
MA, 	98 , 	137 , 	68 , 	62 , 	259 , 	108 , 	16 , 	98 , 	124 , 	39 , 	131 , 	95 , 	40 , 	50 , 	39 , 	20 , 	19 , 	39 , 	49 , 	36 , 	51 , 	28 , 	19 , 	46 , 	58 , 	398 , 	296 , 	662 , 	477 , 	299 , 	210 , 	45 , 	45 , 	37 , 	13 , 	9 , 	19 , 	11 , 	88 , 	9 , 	17 , 	92 , 	41 , 	8 , 	23 , 	-   ," 	4,530 ",,,,,,,,,,,
19, 	55 , 	115 , 	77 , 	91 , 	303 , 	139 , 	87 , 	20 , 	22 , 	15 , 	94 , 	84 , 	41 , 	44 , 	36 , 	21 , 	23 , 	35 , 	38 , 	39 , 	53 , 	38 , 	30 , 	79 , 	49 , 	342 , 	275 , 	548 , 	396 , 	271 , 	191 , 	56 , 	40 , 	44 , 	16 , 	12 , 	24 , 	9 , 	53 , 	10 , 	15 , 	60 , 	34 , 	10 , 	15 , 	-   ," 	4,049 ",,,,,,,,,,,
12, 	60 , 	146 , 	99 , 	90 , 	308 , 	132 , 	120 , 	19 , 	24 , 	19 , 	115 , 	109 , 	60 , 	75 , 	55 , 	23 , 	33 , 	69 , 	63 , 	51 , 	66 , 	34 , 	28 , 	66 , 	78 , 	412 , 	290 , 	696 , 	390 , 	213 , 	156 , 	58 , 	76 , 	58 , 	15 , 	12 , 	25 , 	14 , 	70 , 	14 , 	24 , 	90 , 	58 , 	8 , 	18 , 	-   ," 	4,635 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	23 , 	39 , 	30 , 	37 , 	114 , 	53 , 	44 , 	14 , 	18 , 	13 , 	116 , 	109 , 	113 , 	113 , 	50 , 	23 , 	35 , 	62 , 	12 , 	15 , 	20 , 	8 , 	5 , 	21 , 	27 , 	330 , 	280 , 	639 , 	333 , 	203 , 	144 , 	43 , 	40 , 	41 , 	5 , 	50 , 	73 , 	3 , 	16 , 	5 , 	12 , 	28 , 	14 , 	27 , 	15 , 	-   ," 	3,418 ",,,Dtwn SF," 	2,185 "," 	10,064 "," 	16,060 "," 	8,299 "," 	8,142 "," 	8,921 "," 	5,850 "," 	59,522 "
FV, 	76 , 	101 , 	50 , 	62 , 	226 , 	112 , 	133 , 	103 , 	146 , 	95 , 	24 , 	128 , 	102 , 	136 , 	107 , 	47 , 	38 , 	64 , 	44 , 	14 , 	32 , 	15 , 	18 , 	43 , 	87 , 	487 , 	346 , 	921 , 	452 , 	247 , 	205 , 	48 , 	71 , 	78 , 	15 , 	25 , 	63 , 	7 , 	56 , 	11 , 	23 , 	68 , 	26 , 	35 , 	8 , 	-   ," 	5,194 ",,,OAK," 	9,379 "," 	1,114 "," 	2,969 "," 	2,821 "," 	1,254 "," 	2,446 ", 	644 ," 	20,625 "
CL, 	41 , 	88 , 	54 , 	56 , 	104 , 	71 , 	104 , 	87 , 	125 , 	96 , 	126 , 	17 , 	146 , 	204 , 	148 , 	68 , 	89 , 	166 , 	53 , 	49 , 	54 , 	28 , 	19 , 	36 , 	58 , 	172 , 	129 , 	299 , 	150 , 	64 , 	65 , 	27 , 	36 , 	35 , 	7 , 	85 , 	318 , 	31 , 	64 , 	8 , 	14 , 	16 , 	13 , 	115 , 	27 , 	-   ," 	3,761 ",,,CM line," 	15,525 "," 	3,167 "," 	5,957 "," 	2,503 "," 	1,615 "," 	2,064 "," 	2,542 "," 	33,374 "
SL, 	23 , 	28 , 	16 , 	19 , 	85 , 	29 , 	37 , 	42 , 	65 , 	114 , 	101 , 	139 , 	34 , 	106 , 	107 , 	38 , 	37 , 	54 , 	11 , 	6 , 	9 , 	4 , 	4 , 	13 , 	23 , 	155 , 	121 , 	303 , 	113 , 	50 , 	48 , 	15 , 	23 , 	22 , 	4 , 	36 , 	50 , 	2 , 	17 , 	4 , 	5 , 	24 , 	5 , 	38 , 	7 , 	-   ," 	2,182 ",,,RM line," 	7,897 "," 	2,901 "," 	2,522 "," 	4,584 ", 	945 ," 	2,267 ", 	856 ," 	21,972 "
BF, 	21 , 	36 , 	14 , 	15 , 	78 , 	20 , 	58 , 	51 , 	83 , 	104 , 	149 , 	202 , 	107 , 	26 , 	151 , 	91 , 	89 , 	165 , 	12 , 	9 , 	9 , 	3 , 	5 , 	11 , 	23 , 	175 , 	125 , 	345 , 	109 , 	53 , 	44 , 	16 , 	31 , 	32 , 	7 , 	56 , 	106 , 	4 , 	21 , 	7 , 	12 , 	18 , 	6 , 	94 , 	7 , 	-   ," 	2,804 ",,,WP line," 	7,974 "," 	1,347 "," 	1,650 "," 	1,005 "," 	3,264 ", 	989 ," 	1,018 "," 	17,246 "
HY, 	20 , 	36 , 	8 , 	14 , 	70 , 	22 , 	40 , 	42 , 	52 , 	45 , 	102 , 	132 , 	87 , 	138 , 	21 , 	77 , 	104 , 	149 , 	14 , 	4 , 	7 , 	3 , 	1 , 	11 , 	19 , 	114 , 	58 , 	196 , 	64 , 	30 , 	37 , 	8 , 	19 , 	24 , 	6 , 	28 , 	43 , 	2 , 	16 , 	5 , 	11 , 	17 , 	8 , 	46 , 	10 , 	-   ," 	1,961 ",,,FT/ED line," 	8,863 "," 	2,510 "," 	2,084 "," 	2,393 "," 	1,010 "," 	8,070 ", 	594 ," 	25,524 "
SH, 	10 , 	17 , 	6 , 	5 , 	33 , 	9 , 	17 , 	18 , 	22 , 	24 , 	41 , 	65 , 	42 , 	82 , 	69 , 	16 , 	40 , 	92 , 	7 , 	3 , 	5 , 	2 , 	0 , 	5 , 	6 , 	84 , 	49 , 	111 , 	43 , 	30 , 	23 , 	7 , 	14 , 	14 , 	3 , 	13 , 	16 , 	0 , 	13 , 	5 , 	5 , 	8 , 	4 , 	21 , 	6 , 	-   ," 	1,102 ",,,SFIA," 	4,987 ", 	642 ," 	2,421 ", 	949 , 	883 , 	487 ," 	1,017 "," 	11,384 "
UC, 	10 , 	15 , 	11 , 	13 , 	71 , 	12 , 	23 , 	27 , 	35 , 	34 , 	44 , 	100 , 	38 , 	87 , 	92 , 	40 , 	25 , 	102 , 	7 , 	6 , 	6 , 	4 , 	1 , 	8 , 	8 , 	148 , 	94 , 	221 , 	75 , 	32 , 	26 , 	8 , 	18 , 	20 , 	7 , 	16 , 	33 , 	2 , 	8 , 	3 , 	4 , 	20 , 	6 , 	18 , 	11 , 	-   ," 	1,589 ",,,Entries," 	56,809 "," 	21,744 "," 	33,663 "," 	22,554 "," 	17,112 "," 	25,244 "," 	12,521 "," 	189,647 "
FM, 	18 , 	45 , 	22 , 	31 , 	240 , 	31 , 	40 , 	46 , 	67 , 	60 , 	76 , 	175 , 	64 , 	147 , 	156 , 	93 , 	102 , 	36 , 	22 , 	18 , 	16 , 	6 , 	6 , 	20 , 	13 , 	289 , 	159 , 	417 , 	152 , 	60 , 	37 , 	12 , 	31 , 	36 , 	7 , 	30 , 	72 , 	3 , 	20 , 	5 , 	8 , 	44 , 	8 , 	40 , 	22 , 	-   ," 	3,004 ",,,,,,,,,,,
CN, 	16 , 	26 , 	15 , 	13 , 	55 , 	15 , 	46 , 	40 , 	74 , 	11 , 	35 , 	47 , 	13 , 	11 , 	15 , 	5 , 	5 , 	20 , 	18 , 	65 , 	204 , 	62 , 	24 , 	44 , 	9 , 	227 , 	145 , 	324 , 	134 , 	60 , 	45 , 	25 , 	23 , 	35 , 	11 , 	5 , 	6 , 	25 , 	231 , 	11 , 	11 , 	71 , 	21 , 	2 , 	18 , 	-   ," 	2,321 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
