Exit stations,Entry stations->,,SUNDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	7 , 	52 , 	58 , 	43 , 	155 , 	59 , 	59 , 	39 , 	46 , 	26 , 	63 , 	48 , 	13 , 	11 , 	13 , 	5 , 	6 , 	13 , 	13 , 	5 , 	8 , 	5 , 	6 , 	12 , 	13 , 	111 , 	74 , 	220 , 	108 , 	73 , 	84 , 	17 , 	28 , 	23 , 	10 , 	3 , 	6 , 	2 , 	23 , 	5 , 	9 , 	33 , 	12 , 	3 , 	11 , 	-   ," 	1,632 ",,,Eastbay," 	29,977 ",,SF CBD," 	87,958 ",59.1%,,,
EN, 	59 , 	10 , 	46 , 	43 , 	260 , 	75 , 	84 , 	64 , 	84 , 	38 , 	73 , 	105 , 	22 , 	22 , 	19 , 	10 , 	13 , 	29 , 	22 , 	9 , 	21 , 	6 , 	7 , 	15 , 	23 , 	249 , 	173 , 	457 , 	168 , 	106 , 	89 , 	27 , 	41 , 	32 , 	16 , 	4 , 	11 , 	3 , 	36 , 	8 , 	13 , 	72 , 	20 , 	3 , 	27 , 	-   ," 	2,715 ",,,Westbay," 	45,146 ",,non-CBD," 	54,294 ",36.5%,,,
EP, 	63 , 	46 , 	8 , 	42 , 	263 , 	49 , 	56 , 	44 , 	57 , 	27 , 	30 , 	57 , 	11 , 	9 , 	7 , 	4 , 	4 , 	21 , 	7 , 	6 , 	14 , 	8 , 	8 , 	22 , 	7 , 	151 , 	111 , 	223 , 	136 , 	67 , 	51 , 	20 , 	13 , 	11 , 	5 , 	5 , 	7 , 	2 , 	7 , 	2 , 	5 , 	66 , 	17 , 	3 , 	23 , 	-   ," 	1,798 ",,,Transbay," 	76,151 ",,,,,,,
NB, 	52 , 	40 , 	42 , 	13 , 	81 , 	40 , 	56 , 	69 , 	71 , 	30 , 	41 , 	49 , 	14 , 	11 , 	11 , 	3 , 	6 , 	26 , 	12 , 	7 , 	19 , 	5 , 	5 , 	13 , 	11 , 	222 , 	161 , 	283 , 	258 , 	140 , 	92 , 	31 , 	16 , 	22 , 	5 , 	3 , 	6 , 	4 , 	12 , 	4 , 	5 , 	98 , 	31 , 	2 , 	35 , 	-   ," 	2,158 ",,,,,,,,,,,
BK, 	174 , 	241 , 	260 , 	90 , 	37 , 	154 , 	178 , 	198 , 	189 , 	77 , 	116 , 	74 , 	47 , 	45 , 	36 , 	18 , 	42 , 	149 , 	32 , 	34 , 	51 , 	28 , 	25 , 	30 , 	58 , 	437 , 	257 , 	773 , 	426 , 	247 , 	147 , 	59 , 	41 , 	61 , 	13 , 	16 , 	52 , 	8 , 	30 , 	13 , 	13 , 	227 , 	100 , 	18 , 	114 , 	-   ," 	5,433 ",,,,,,,,,,,
AS, 	65 , 	64 , 	46 , 	35 , 	129 , 	15 , 	72 , 	95 , 	90 , 	46 , 	77 , 	51 , 	19 , 	17 , 	16 , 	7 , 	13 , 	25 , 	11 , 	10 , 	14 , 	7 , 	4 , 	10 , 	31 , 	191 , 	115 , 	282 , 	237 , 	168 , 	104 , 	22 , 	16 , 	19 , 	3 , 	3 , 	9 , 	3 , 	13 , 	5 , 	5 , 	69 , 	19 , 	5 , 	37 , 	-   ," 	2,292 ",,,,,,,,,,,
MA, 	69 , 	80 , 	52 , 	49 , 	170 , 	70 , 	19 , 	62 , 	91 , 	40 , 	99 , 	90 , 	26 , 	40 , 	25 , 	11 , 	13 , 	29 , 	42 , 	30 , 	47 , 	20 , 	15 , 	45 , 	45 , 	322 , 	199 , 	475 , 	393 , 	252 , 	150 , 	42 , 	30 , 	27 , 	10 , 	8 , 	12 , 	4 , 	69 , 	4 , 	9 , 	123 , 	25 , 	8 , 	42 , 	-   ," 	3,484 ",,,,,,,,,,,
19, 	37 , 	54 , 	47 , 	59 , 	171 , 	79 , 	57 , 	23 , 	16 , 	17 , 	59 , 	68 , 	24 , 	32 , 	27 , 	11 , 	15 , 	36 , 	33 , 	26 , 	34 , 	19 , 	17 , 	46 , 	37 , 	255 , 	202 , 	422 , 	336 , 	226 , 	157 , 	43 , 	32 , 	37 , 	9 , 	7 , 	15 , 	6 , 	32 , 	7 , 	10 , 	99 , 	25 , 	4 , 	32 , 	-   ," 	2,999 ",,,,,,,,,,,
12, 	42 , 	68 , 	51 , 	65 , 	169 , 	89 , 	70 , 	14 , 	24 , 	14 , 	81 , 	83 , 	43 , 	51 , 	35 , 	16 , 	21 , 	44 , 	45 , 	34 , 	44 , 	18 , 	17 , 	47 , 	44 , 	314 , 	223 , 	502 , 	293 , 	178 , 	117 , 	41 , 	47 , 	38 , 	13 , 	6 , 	13 , 	9 , 	42 , 	10 , 	16 , 	116 , 	36 , 	4 , 	30 , 	-   ," 	3,277 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	25 , 	43 , 	28 , 	30 , 	81 , 	53 , 	34 , 	15 , 	17 , 	11 , 	129 , 	113 , 	64 , 	70 , 	33 , 	18 , 	20 , 	51 , 	11 , 	9 , 	12 , 	7 , 	8 , 	20 , 	30 , 	266 , 	201 , 	471 , 	301 , 	207 , 	149 , 	37 , 	39 , 	40 , 	3 , 	24 , 	45 , 	1 , 	14 , 	3 , 	6 , 	40 , 	11 , 	24 , 	31 , 	-   ," 	2,847 ",,,Dtwn SF," 	1,696 "," 	7,415 "," 	11,962 "," 	5,895 "," 	6,486 "," 	6,900 "," 	4,674 "," 	45,028 "
