Exit stations,Entry stations->,,WEEKDAY,,,Jun 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	15 , 	125 , 	101 , 	90 , 	443 , 	111 , 	168 , 	183 , 	239 , 	60 , 	110 , 	88 , 	47 , 	36 , 	36 , 	26 , 	25 , 	36 , 	23 , 	12 , 	21 , 	9 , 	10 , 	18 , 	26 , 	354 , 	411 , 	476 , 	356 , 	189 , 	175 , 	40 , 	60 , 	50 , 	16 , 	7 , 	16 , 	5 , 	42 , 	17 , 	26 , 	50 , 	29 , 	5 , 	11 , 	-   ," 	4,391 ",,,Eastbay," 	92,171 ",,SF CBD," 	279,074 ",66.1%,,,
EN, 	145 , 	21 , 	111 , 	111 , 	927 , 	167 , 	298 , 	552 , 	702 , 	128 , 	155 , 	157 , 	71 , 	61 , 	72 , 	34 , 	42 , 	80 , 	36 , 	24 , 	45 , 	13 , 	11 , 	39 , 	49 , 	977 ," 	1,097 "," 	1,011 ", 	784 , 	253 , 	195 , 	73 , 	87 , 	85 , 	33 , 	11 , 	38 , 	8 , 	45 , 	32 , 	49 , 	108 , 	68 , 	16 , 	35 , 	-   ," 	9,055 ",,,Westbay," 	111,193 ",,non-CBD," 	133,217 ",31.5%,,,
EP, 	111 , 	98 , 	14 , 	75 , 	666 , 	93 , 	145 , 	303 , 	356 , 	77 , 	62 , 	61 , 	32 , 	21 , 	21 , 	8 , 	14 , 	44 , 	21 , 	19 , 	26 , 	13 , 	10 , 	32 , 	17 , 	567 , 	663 , 	454 , 	423 , 	120 , 	65 , 	38 , 	21 , 	28 , 	6 , 	7 , 	23 , 	5 , 	17 , 	12 , 	15 , 	67 , 	33 , 	10 , 	28 , 	-   ," 	4,943 ",,,Transbay," 	229,504 ",,,,,,,
NB, 	92 , 	97 , 	74 , 	17 , 	189 , 	84 , 	100 , 	276 , 	292 , 	60 , 	78 , 	65 , 	32 , 	20 , 	26 , 	12 , 	22 , 	42 , 	18 , 	23 , 	32 , 	12 , 	11 , 	23 , 	22 , 	740 , 	808 , 	489 , 	565 , 	185 , 	111 , 	40 , 	28 , 	23 , 	7 , 	11 , 	23 , 	6 , 	22 , 	6 , 	15 , 	102 , 	36 , 	10 , 	39 , 	-   ," 	4,985 ",,,,,,,,,,,
BK, 	483 , 	947 , 	682 , 	203 , 	44 , 	394 , 	441 , 	631 , 	667 , 	244 , 	319 , 	194 , 	192 , 	157 , 	146 , 	95 , 	165 , 	336 , 	152 , 	151 , 	163 , 	83 , 	68 , 	62 , 	113 ," 	1,432 "," 	1,260 "," 	1,184 ", 	914 , 	411 , 	280 , 	141 , 	119 , 	112 , 	42 , 	64 , 	156 , 	51 , 	132 , 	36 , 	51 , 	214 , 	205 , 	74 , 	105 , 	-   ," 	14,116 ",,,,,,,,,,,
AS, 	116 , 	146 , 	90 , 	82 , 	343 , 	19 , 	110 , 	296 , 	326 , 	80 , 	128 , 	103 , 	59 , 	39 , 	42 , 	26 , 	35 , 	65 , 	23 , 	28 , 	30 , 	11 , 	7 , 	18 , 	39 , 	775 , 	864 , 	557 , 	594 , 	292 , 	155 , 	36 , 	33 , 	33 , 	15 , 	13 , 	30 , 	7 , 	33 , 	9 , 	18 , 	73 , 	44 , 	12 , 	33 , 	-   ," 	5,888 ",,,,,,,,,,,
MA, 	180 , 	295 , 	127 , 	96 , 	418 , 	115 , 	26 , 	242 , 	291 , 	88 , 	187 , 	181 , 	121 , 	127 , 	129 , 	61 , 	83 , 	154 , 	147 , 	146 , 	128 , 	54 , 	41 , 	77 , 	70 ," 	1,104 "," 	1,279 ", 	963 , 	973 , 	453 , 	253 , 	83 , 	77 , 	75 , 	29 , 	28 , 	65 , 	50 , 	239 , 	20 , 	38 , 	121 , 	65 , 	24 , 	45 , 	-   ," 	9,568 ",,,,,,,,,,,
19, 	202 , 	572 , 	306 , 	300 , 	594 , 	306 , 	230 , 	32 , 	56 , 	45 , 	197 , 	208 , 	217 , 	211 , 	200 , 	168 , 	237 , 	382 , 	351 , 	381 , 	317 , 	166 , 	122 , 	209 , 	85 ," 	1,273 "," 	1,380 ", 	974 ," 	1,048 ", 	472 , 	342 , 	184 , 	133 , 	151 , 	73 , 	87 , 	218 , 	193 , 	298 , 	75 , 	67 , 	92 , 	147 , 	96 , 	41 , 	-   ," 	13,439 ",,,,,,,,,,,
12, 	256 , 	699 , 	345 , 	296 , 	585 , 	312 , 	276 , 	53 , 	44 , 	54 , 	285 , 	377 , 	363 , 	388 , 	342 , 	197 , 	286 , 	499 , 	406 , 	376 , 	298 , 	170 , 	141 , 	210 , 	125 ," 	1,290 "," 	1,316 "," 	1,038 "," 	1,025 ", 	387 , 	334 , 	202 , 	187 , 	197 , 	142 , 	131 , 	266 , 	207 , 	388 , 	112 , 	116 , 	135 , 	216 , 	137 , 	76 , 	-   ," 	15,285 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	60 , 	148 , 	89 , 	66 , 	223 , 	87 , 	90 , 	48 , 	63 , 	23 , 	253 , 	340 , 	380 , 	332 , 	224 , 	140 , 	216 , 	361 , 	51 , 	31 , 	42 , 	15 , 	14 , 	39 , 	58 , 	887 , 	983 , 	782 , 	651 , 	287 , 	160 , 	77 , 	95 , 	108 , 	18 , 	158 , 	313 , 	27 , 	70 , 	19 , 	23 , 	41 , 	33 , 	128 , 	35 , 	-   ," 	8,291 ",,,Dtwn SF,"5,835","22,086","33,788","17,200","24,170","28,426","12,026","143,530"
