Muni Fast Pass Adult/Clipper OD,,,,,,Jul 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,34,23,68,78,355,650,557,902,"2,666"
MT,26,38,41,78,416,822,761,"1,585","3,768"
PL,120,68,35,53,314,548,382,"1,086","2,606"
CC,70,73,52,22,159,325,332,672,"1,706"
16,305,350,380,176,9,73,105,305,"1,703"
24,511,606,638,332,83,14,78,236,"2,497"
GP,485,575,486,288,117,87,10,51,"2,100"
BP,785,990,"1,464",602,292,240,56,27,"4,456"
Entries,"2,336","2,723","3,164","1,630","1,745","2,760","2,280","4,865","21,503"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,28,15,117,164,98,273,715
MT,4,10,10,8,96,135,146,562,969
PL,42,12,39,19,239,374,274,828,"1,826"
CC,14,7,20,15,85,129,87,202,559
16,100,65,276,85,13,58,67,188,852
24,131,87,412,156,57,16,59,174,"1,090"
GP,90,91,316,72,69,62,11,25,736
BP,243,252,"1,051",188,155,162,28,23,"2,101"
Entries,641,528,"2,150",558,830,"1,099",768,"2,275","8,849"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,18,11,67,104,68,175,463
MT,6,8,8,7,66,103,100,366,662
PL,20,6,39,14,194,283,198,576,"1,328"
CC,11,6,17,15,76,105,83,187,499
16,83,50,211,82,18,40,52,142,676
24,105,62,340,128,46,24,42,135,881
GP,71,60,275,79,54,39,9,20,607
BP,188,172,856,179,139,111,18,26,"1,689"
Entries,499,368,"1,762",514,660,807,569,"1,625","6,803"
