Exit stations,Entry stations->,,SUNDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	8 , 	49 , 	51 , 	31 , 	142 , 	55 , 	63 , 	36 , 	40 , 	29 , 	56 , 	48 , 	21 , 	17 , 	12 , 	9 , 	7 , 	14 , 	13 , 	5 , 	8 , 	4 , 	6 , 	12 , 	16 , 	126 , 	80 , 	229 , 	95 , 	60 , 	55 , 	17 , 	24 , 	15 , 	6 , 	4 , 	5 , 	3 , 	28 , 	5 , 	13 , 	37 , 	15 , 	2 , 	12 , 	-   ," 	1,574 ",,,Eastbay," 	30,162 ",,SF CBD," 	87,145 ",60.4%,,,
EN, 	56 , 	11 , 	45 , 	42 , 	254 , 	80 , 	87 , 	57 , 	77 , 	40 , 	69 , 	103 , 	24 , 	28 , 	31 , 	11 , 	13 , 	40 , 	19 , 	10 , 	17 , 	9 , 	4 , 	14 , 	27 , 	266 , 	164 , 	447 , 	161 , 	83 , 	66 , 	32 , 	32 , 	31 , 	16 , 	6 , 	13 , 	5 , 	23 , 	12 , 	12 , 	81 , 	17 , 	6 , 	33 , 	-   ," 	2,670 ",,,Westbay," 	43,016 ",,non-CBD," 	50,383 ",34.9%,,,
EP, 	63 , 	44 , 	11 , 	32 , 	255 , 	50 , 	60 , 	43 , 	61 , 	20 , 	34 , 	42 , 	12 , 	15 , 	10 , 	6 , 	5 , 	28 , 	10 , 	7 , 	13 , 	5 , 	8 , 	20 , 	9 , 	187 , 	94 , 	218 , 	128 , 	50 , 	37 , 	17 , 	13 , 	13 , 	4 , 	4 , 	8 , 	1 , 	9 , 	4 , 	5 , 	61 , 	14 , 	2 , 	33 , 	-   ," 	1,761 ",,,Transbay," 	73,467 ",,,,,,,
NB, 	36 , 	36 , 	39 , 	12 , 	82 , 	31 , 	49 , 	58 , 	45 , 	27 , 	29 , 	44 , 	15 , 	12 , 	8 , 	5 , 	11 , 	33 , 	10 , 	6 , 	11 , 	9 , 	5 , 	9 , 	8 , 	240 , 	122 , 	262 , 	177 , 	94 , 	72 , 	25 , 	12 , 	12 , 	4 , 	2 , 	9 , 	1 , 	7 , 	3 , 	3 , 	98 , 	17 , 	3 , 	59 , 	-   ," 	1,848 ",,,,,,,,,,,
BK, 	187 , 	257 , 	258 , 	89 , 	53 , 	180 , 	177 , 	207 , 	181 , 	84 , 	122 , 	137 , 	58 , 	47 , 	37 , 	24 , 	47 , 	248 , 	36 , 	42 , 	69 , 	30 , 	29 , 	24 , 	69 , 	755 , 	306 , 	952 , 	441 , 	237 , 	145 , 	60 , 	54 , 	61 , 	10 , 	20 , 	100 , 	8 , 	33 , 	13 , 	12 , 	307 , 	125 , 	30 , 	186 , 	-   ," 	6,543 ",,,,,,,,,,,
AS, 	60 , 	73 , 	44 , 	35 , 	149 , 	15 , 	74 , 	88 , 	85 , 	45 , 	73 , 	65 , 	25 , 	32 , 	15 , 	9 , 	10 , 	32 , 	10 , 	8 , 	14 , 	9 , 	3 , 	8 , 	31 , 	245 , 	126 , 	271 , 	218 , 	138 , 	86 , 	31 , 	16 , 	20 , 	4 , 	6 , 	15 , 	3 , 	17 , 	4 , 	5 , 	75 , 	19 , 	8 , 	55 , 	-   ," 	2,368 ",,,,,,,,,,,
MA, 	76 , 	90 , 	61 , 	48 , 	175 , 	78 , 	16 , 	62 , 	94 , 	42 , 	87 , 	87 , 	40 , 	40 , 	37 , 	14 , 	22 , 	45 , 	33 , 	27 , 	48 , 	21 , 	16 , 	42 , 	42 , 	404 , 	186 , 	432 , 	383 , 	235 , 	168 , 	42 , 	37 , 	24 , 	11 , 	10 , 	19 , 	9 , 	74 , 	6 , 	18 , 	132 , 	31 , 	9 , 	67 , 	-   ," 	3,637 ",,,,,,,,,,,
19, 	40 , 	54 , 	45 , 	56 , 	175 , 	80 , 	63 , 	17 , 	14 , 	21 , 	55 , 	81 , 	32 , 	36 , 	31 , 	15 , 	12 , 	41 , 	19 , 	18 , 	38 , 	18 , 	12 , 	49 , 	34 , 	253 , 	160 , 	353 , 	293 , 	190 , 	125 , 	44 , 	33 , 	35 , 	9 , 	5 , 	11 , 	9 , 	32 , 	6 , 	12 , 	102 , 	21 , 	4 , 	54 , 	-   ," 	2,802 ",,,,,,,,,,,
12, 	49 , 	69 , 	50 , 	46 , 	158 , 	77 , 	76 , 	10 , 	19 , 	14 , 	76 , 	112 , 	49 , 	63 , 	42 , 	20 , 	28 , 	49 , 	47 , 	27 , 	40 , 	16 , 	13 , 	48 , 	51 , 	334 , 	214 , 	489 , 	253 , 	142 , 	90 , 	39 , 	47 , 	28 , 	19 , 	4 , 	19 , 	5 , 	42 , 	13 , 	12 , 	114 , 	29 , 	6 , 	49 , 	-   ," 	3,193 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	27 , 	42 , 	29 , 	30 , 	81 , 	49 , 	43 , 	16 , 	19 , 	13 , 	120 , 	117 , 	95 , 	96 , 	40 , 	24 , 	27 , 	57 , 	10 , 	7 , 	13 , 	6 , 	9 , 	19 , 	31 , 	255 , 	188 , 	464 , 	280 , 	144 , 	116 , 	41 , 	53 , 	32 , 	7 , 	37 , 	62 , 	3 , 	16 , 	5 , 	8 , 	37 , 	17 , 	23 , 	59 , 	-   ," 	2,861 ",,,Dtwn SF," 	1,721 "," 	6,924 "," 	10,896 "," 	6,255 "," 	5,967 "," 	7,443 "," 	4,908 "," 	44,114 "
FV, 	57 , 	65 , 	33 , 	38 , 	117 , 	78 , 	94 , 	75 , 	69 , 	116 , 	20 , 	153 , 	93 , 	141 , 	87 , 	42 , 	38 , 	74 , 	31 , 	8 , 	22 , 	7 , 	8 , 	33 , 	67 , 	294 , 	178 , 	517 , 	286 , 	159 , 	102 , 	24 , 	49 , 	32 , 	5 , 	31 , 	53 , 	4 , 	40 , 	6 , 	12 , 	58 , 	12 , 	34 , 	22 , 	-   ," 	3,478 ",,,OAK," 	6,772 ", 	850 ," 	2,167 "," 	1,800 ", 	853 ," 	2,072 ", 	665 ," 	15,178 "
