Exit stations,Entry stations->,,WEEKDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	15 , 	125 , 	105 , 	72 , 	437 , 	110 , 	154 , 	164 , 	220 , 	51 , 	110 , 	84 , 	48 , 	34 , 	35 , 	25 , 	24 , 	33 , 	25 , 	12 , 	21 , 	8 , 	13 , 	21 , 	28 , 	374 , 	421 , 	487 , 	352 , 	184 , 	169 , 	39 , 	62 , 	53 , 	14 , 	6 , 	16 , 	7 , 	40 , 	16 , 	30 , 	51 , 	31 , 	5 , 	13 , 	-   ," 	4,343 ",,,Eastbay," 	86,160 ",,SF CBD," 	279,953 ",67.1%,,,
EN, 	144 , 	23 , 	102 , 	98 , 	965 , 	170 , 	287 , 	498 , 	605 , 	119 , 	158 , 	139 , 	66 , 	61 , 	67 , 	36 , 	42 , 	78 , 	37 , 	22 , 	43 , 	14 , 	11 , 	35 , 	49 , 	995 ," 	1,113 "," 	1,044 ", 	788 , 	262 , 	206 , 	75 , 	92 , 	88 , 	35 , 	10 , 	36 , 	8 , 	45 , 	32 , 	50 , 	117 , 	66 , 	14 , 	35 , 	-   ," 	8,979 ",,,Westbay," 	111,813 ",,non-CBD," 	127,066 ",30.5%,,,
EP, 	113 , 	97 , 	12 , 	65 , 	700 , 	91 , 	144 , 	274 , 	326 , 	75 , 	57 , 	56 , 	30 , 	20 , 	21 , 	10 , 	12 , 	43 , 	19 , 	19 , 	27 , 	12 , 	11 , 	36 , 	19 , 	576 , 	662 , 	465 , 	406 , 	124 , 	66 , 	40 , 	23 , 	33 , 	8 , 	6 , 	23 , 	5 , 	17 , 	11 , 	14 , 	78 , 	32 , 	7 , 	30 , 	-   ," 	4,912 ",,,Transbay," 	229,494 ",,,,,,,
NB, 	79 , 	87 , 	64 , 	16 , 	186 , 	76 , 	92 , 	249 , 	265 , 	56 , 	65 , 	58 , 	26 , 	25 , 	24 , 	13 , 	20 , 	46 , 	20 , 	20 , 	27 , 	14 , 	12 , 	22 , 	20 , 	771 , 	807 , 	500 , 	522 , 	180 , 	111 , 	38 , 	23 , 	25 , 	6 , 	9 , 	21 , 	6 , 	20 , 	6 , 	14 , 	110 , 	41 , 	8 , 	36 , 	-   ," 	4,832 ",,,,,,,,,,,
BK, 	478 , 	994 , 	706 , 	198 , 	49 , 	407 , 	452 , 	615 , 	650 , 	265 , 	316 , 	194 , 	198 , 	172 , 	150 , 	102 , 	196 , 	408 , 	148 , 	175 , 	173 , 	105 , 	86 , 	66 , 	112 ," 	1,544 "," 	1,340 "," 	1,310 ", 	953 , 	440 , 	306 , 	160 , 	130 , 	125 , 	43 , 	72 , 	198 , 	57 , 	138 , 	38 , 	53 , 	195 , 	245 , 	88 , 	91 , 	-   ," 	14,944 ",,,,,,,,,,,
AS, 	113 , 	153 , 	90 , 	73 , 	343 , 	19 , 	109 , 	263 , 	290 , 	84 , 	119 , 	96 , 	62 , 	41 , 	37 , 	26 , 	38 , 	63 , 	27 , 	29 , 	31 , 	11 , 	10 , 	19 , 	37 , 	762 , 	856 , 	552 , 	562 , 	273 , 	148 , 	43 , 	35 , 	31 , 	15 , 	13 , 	28 , 	9 , 	31 , 	7 , 	17 , 	69 , 	45 , 	12 , 	34 , 	-   ," 	5,726 ",,,,,,,,,,,
MA, 	174 , 	291 , 	125 , 	90 , 	426 , 	110 , 	25 , 	200 , 	259 , 	77 , 	169 , 	167 , 	112 , 	114 , 	112 , 	57 , 	83 , 	153 , 	138 , 	152 , 	132 , 	55 , 	39 , 	76 , 	75 ," 	1,147 "," 	1,274 ", 	965 , 	937 , 	426 , 	244 , 	85 , 	75 , 	81 , 	26 , 	25 , 	70 , 	45 , 	242 , 	21 , 	37 , 	121 , 	67 , 	25 , 	44 , 	-   ," 	9,367 ",,,,,,,,,,,
19, 	174 , 	504 , 	276 , 	267 , 	581 , 	262 , 	188 , 	29 , 	50 , 	40 , 	172 , 	187 , 	201 , 	182 , 	186 , 	154 , 	211 , 	349 , 	314 , 	344 , 	283 , 	149 , 	98 , 	182 , 	80 ," 	1,263 "," 	1,360 ", 	957 ," 	1,001 ", 	462 , 	324 , 	172 , 	122 , 	137 , 	66 , 	75 , 	199 , 	162 , 	270 , 	71 , 	63 , 	95 , 	132 , 	76 , 	43 , 	-   ," 	12,511 ",,,,,,,,,,,
12, 	234 , 	609 , 	319 , 	274 , 	581 , 	274 , 	241 , 	47 , 	36 , 	54 , 	240 , 	315 , 	318 , 	330 , 	292 , 	165 , 	233 , 	382 , 	373 , 	346 , 	283 , 	154 , 	128 , 	183 , 	104 ," 	1,309 "," 	1,294 "," 	1,028 ", 	992 , 	370 , 	334 , 	189 , 	180 , 	171 , 	119 , 	113 , 	221 , 	173 , 	353 , 	91 , 	97 , 	137 , 	170 , 	116 , 	66 , 	-   ," 	14,036 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	50 , 	114 , 	75 , 	53 , 	245 , 	77 , 	79 , 	40 , 	52 , 	17 , 	162 , 	244 , 	280 , 	252 , 	160 , 	93 , 	129 , 	177 , 	39 , 	25 , 	33 , 	11 , 	12 , 	36 , 	48 , 	899 , 	983 , 	782 , 	620 , 	281 , 	145 , 	68 , 	78 , 	71 , 	12 , 	141 , 	195 , 	17 , 	51 , 	11 , 	18 , 	42 , 	25 , 	73 , 	36 , 	-   ," 	7,049 ",,,Dtwn SF,"5,800","22,035","33,883","17,605","24,447","27,909","12,202","143,879"
