Muni Fast Pass Adult/Clipper OD,,,,,,Aug 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,20,60,79,332,632,562,904,"2,628"
MT,21,44,40,78,427,835,780,"1,547","3,772"
PL,103,58,46,52,306,533,398,"1,072","2,569"
CC,67,72,51,24,145,317,328,657,"1,662"
16,290,350,371,157,15,71,107,311,"1,672"
24,495,611,616,329,84,19,78,253,"2,484"
GP,472,585,494,291,124,85,15,59,"2,125"
BP,768,994,"1,465",587,302,263,63,37,"4,480"
Entries,"2,253","2,736","3,143","1,598","1,734","2,755","2,332","4,840","21,392"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,23,16,106,158,100,262,687
MT,6,8,11,8,100,138,148,554,973
PL,28,16,29,19,236,366,266,811,"1,771"
CC,20,5,22,13,82,135,88,210,576
16,103,59,272,87,12,63,67,189,851
24,134,93,402,159,58,16,58,164,"1,083"
GP,86,89,333,82,72,52,9,26,748
BP,235,262,"1,078",187,178,147,31,26,"2,144"
Entries,628,537,"2,170",571,844,"1,075",767,"2,242","8,834"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,3,12,10,61,89,59,156,403
MT,3,6,7,7,58,98,88,332,597
PL,15,8,32,12,175,262,196,559,"1,260"
CC,11,6,11,21,73,101,74,186,482
16,69,40,202,74,9,41,53,127,614
24,99,64,317,111,46,14,46,119,817
GP,67,57,264,72,57,43,19,22,602
BP,174,176,831,173,133,107,21,47,"1,661"
Entries,449,361,"1,676",481,611,755,557,"1,547","6,438"
