Exit stations,Entry stations->,,SATURDAY,,,Aug 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	13 , 	74 , 	67 , 	47 , 	237 , 	75 , 	77 , 	77 , 	76 , 	21 , 	73 , 	54 , 	20 , 	22 , 	21 , 	15 , 	9 , 	23 , 	16 , 	4 , 	12 , 	3 , 	7 , 	11 , 	17 , 	143 , 	99 , 	277 , 	108 , 	71 , 	82 , 	16 , 	33 , 	28 , 	10 , 	4 , 	11 , 	4 , 	26 , 	5 , 	12 , 	37 , 	12 , 	2 , 	9 , 	-   ," 	2,057 ",,,Eastbay," 	46,343 ",,SF CBD," 	110,601 ",59.5%,,,
EN, 	79 , 	23 , 	82 , 	60 , 	440 , 	119 , 	135 , 	148 , 	209 , 	39 , 	108 , 	151 , 	40 , 	42 , 	32 , 	17 , 	21 , 	52 , 	27 , 	9 , 	22 , 	9 , 	5 , 	22 , 	25 , 	326 , 	236 , 	611 , 	224 , 	98 , 	102 , 	35 , 	53 , 	43 , 	15 , 	9 , 	15 , 	4 , 	34 , 	11 , 	19 , 	68 , 	19 , 	6 , 	20 , 	-   ," 	3,868 ",,,Westbay," 	58,249 ",,non-CBD," 	68,957 ",37.1%,,,
EP, 	71 , 	77 , 	10 , 	46 , 	399 , 	71 , 	71 , 	91 , 	119 , 	31 , 	43 , 	73 , 	20 , 	16 , 	7 , 	6 , 	9 , 	26 , 	8 , 	7 , 	14 , 	9 , 	7 , 	27 , 	13 , 	182 , 	121 , 	303 , 	137 , 	56 , 	46 , 	14 , 	15 , 	15 , 	3 , 	5 , 	8 , 	2 , 	8 , 	2 , 	4 , 	54 , 	14 , 	3 , 	28 , 	-   ," 	2,293 ",,,Transbay," 	86,255 ",,,,,,,
NB, 	46 , 	57 , 	49 , 	13 , 	129 , 	47 , 	63 , 	110 , 	94 , 	32 , 	52 , 	65 , 	24 , 	16 , 	14 , 	8 , 	11 , 	31 , 	12 , 	8 , 	15 , 	8 , 	8 , 	16 , 	10 , 	268 , 	158 , 	319 , 	229 , 	115 , 	77 , 	30 , 	18 , 	16 , 	4 , 	5 , 	15 , 	4 , 	12 , 	4 , 	5 , 	75 , 	16 , 	6 , 	29 , 	-   ," 	2,342 ",,,,,,,,,,,
BK, 	251 , 	461 , 	387 , 	139 , 	62 , 	267 , 	270 , 	398 , 	342 , 	125 , 	192 , 	122 , 	90 , 	87 , 	66 , 	34 , 	67 , 	241 , 	57 , 	67 , 	99 , 	50 , 	44 , 	47 , 	64 , 	699 , 	371 ," 	1,023 ", 	569 , 	274 , 	178 , 	77 , 	64 , 	79 , 	16 , 	27 , 	126 , 	20 , 	57 , 	12 , 	15 , 	194 , 	118 , 	35 , 	97 , 	-   ," 	8,079 ",,,,,,,,,,,
AS, 	79 , 	113 , 	66 , 	51 , 	210 , 	18 , 	89 , 	151 , 	144 , 	40 , 	81 , 	83 , 	34 , 	29 , 	22 , 	9 , 	13 , 	29 , 	14 , 	17 , 	20 , 	7 , 	4 , 	10 , 	25 , 	225 , 	147 , 	313 , 	235 , 	154 , 	106 , 	25 , 	24 , 	13 , 	6 , 	8 , 	12 , 	4 , 	23 , 	3 , 	6 , 	53 , 	16 , 	6 , 	24 , 	-   ," 	2,762 ",,,,,,,,,,,
MA, 	101 , 	151 , 	65 , 	63 , 	270 , 	94 , 	19 , 	129 , 	162 , 	42 , 	128 , 	135 , 	48 , 	58 , 	38 , 	16 , 	23 , 	53 , 	51 , 	34 , 	58 , 	23 , 	15 , 	52 , 	43 , 	366 , 	248 , 	544 , 	407 , 	246 , 	156 , 	42 , 	34 , 	30 , 	8 , 	11 , 	20 , 	12 , 	95 , 	6 , 	12 , 	84 , 	22 , 	11 , 	32 , 	-   ," 	4,256 ",,,,,,,,,,,
19, 	65 , 	151 , 	79 , 	103 , 	349 , 	160 , 	117 , 	22 , 	36 , 	29 , 	122 , 	135 , 	71 , 	71 , 	62 , 	33 , 	42 , 	54 , 	56 , 	63 , 	64 , 	40 , 	23 , 	106 , 	52 , 	296 , 	227 , 	449 , 	367 , 	226 , 	157 , 	53 , 	37 , 	37 , 	11 , 	18 , 	49 , 	14 , 	74 , 	8 , 	17 , 	57 , 	27 , 	11 , 	23 , 	-   ," 	4,263 ",,,,,,,,,,,
12, 	82 , 	189 , 	127 , 	111 , 	301 , 	158 , 	142 , 	28 , 	25 , 	23 , 	145 , 	177 , 	127 , 	123 , 	88 , 	41 , 	58 , 	105 , 	75 , 	66 , 	78 , 	39 , 	38 , 	114 , 	59 , 	363 , 	260 , 	567 , 	296 , 	161 , 	124 , 	38 , 	60 , 	47 , 	17 , 	24 , 	46 , 	23 , 	81 , 	16 , 	19 , 	80 , 	45 , 	13 , 	29 , 	-   ," 	4,830 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	25 , 	40 , 	28 , 	29 , 	121 , 	44 , 	37 , 	29 , 	24 , 	13 , 	106 , 	162 , 	152 , 	145 , 	58 , 	33 , 	46 , 	79 , 	12 , 	12 , 	17 , 	7 , 	10 , 	22 , 	26 , 	287 , 	230 , 	482 , 	270 , 	154 , 	104 , 	32 , 	37 , 	29 , 	6 , 	56 , 	85 , 	3 , 	17 , 	3 , 	6 , 	20 , 	10 , 	40 , 	24 , 	-   ," 	3,172 ",,,Dtwn SF," 	2,601 "," 	8,311 "," 	15,955 "," 	7,787 "," 	7,342 "," 	9,393 "," 	6,561 "," 	57,950 "
