Exit stations,Entry stations->,,SATURDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	12 , 	82 , 	72 , 	44 , 	321 , 	69 , 	86 , 	92 , 	77 , 	22 , 	63 , 	56 , 	25 , 	18 , 	20 , 	12 , 	12 , 	26 , 	14 , 	5 , 	10 , 	4 , 	5 , 	21 , 	16 , 	112 , 	104 , 	244 , 	93 , 	77 , 	81 , 	19 , 	32 , 	28 , 	8 , 	2 , 	11 , 	3 , 	29 , 	8 , 	13 , 	30 , 	11 , 	2 , 	6 , 	-   ," 	2,097 ",,,Eastbay," 	53,815 ",,SF CBD," 	104,888 ",55.9%,,,
EN, 	82 , 	17 , 	80 , 	70 , 	846 , 	122 , 	145 , 	169 , 	179 , 	38 , 	107 , 	183 , 	39 , 	43 , 	32 , 	16 , 	21 , 	48 , 	31 , 	7 , 	18 , 	12 , 	7 , 	26 , 	27 , 	274 , 	223 , 	568 , 	213 , 	90 , 	89 , 	26 , 	51 , 	40 , 	13 , 	7 , 	15 , 	4 , 	39 , 	9 , 	18 , 	67 , 	20 , 	6 , 	25 , 	-   ," 	4,156 ",,,Westbay," 	57,739 ",,non-CBD," 	76,734 ",40.9%,,,
EP, 	87 , 	75 , 	19 , 	50 , 	674 , 	63 , 	76 , 	112 , 	109 , 	28 , 	41 , 	74 , 	18 , 	16 , 	9 , 	6 , 	9 , 	26 , 	8 , 	10 , 	14 , 	11 , 	8 , 	29 , 	14 , 	163 , 	112 , 	265 , 	119 , 	59 , 	48 , 	14 , 	14 , 	22 , 	4 , 	8 , 	11 , 	3 , 	11 , 	2 , 	4 , 	46 , 	10 , 	4 , 	18 , 	-   ," 	2,516 ",,,Transbay," 	80,992 ",,,,,,,
NB, 	45 , 	58 , 	55 , 	12 , 	255 , 	48 , 	54 , 	129 , 	93 , 	31 , 	52 , 	73 , 	20 , 	21 , 	12 , 	9 , 	9 , 	32 , 	13 , 	8 , 	14 , 	11 , 	5 , 	14 , 	17 , 	225 , 	136 , 	300 , 	198 , 	114 , 	81 , 	24 , 	21 , 	15 , 	4 , 	4 , 	12 , 	2 , 	14 , 	4 , 	4 , 	61 , 	15 , 	6 , 	25 , 	-   ," 	2,349 ",,,,,,,,,,,
BK, 	324 , 	888 , 	685 , 	286 , 	67 , 	382 , 	401 , 	454 , 	411 , 	160 , 	287 , 	229 , 	205 , 	178 , 	142 , 	69 , 	115 , 	354 , 	87 , 	123 , 	194 , 	136 , 	120 , 	67 , 	65 , 	629 , 	377 , 	941 , 	488 , 	291 , 	174 , 	85 , 	66 , 	125 , 	16 , 	48 , 	162 , 	42 , 	105 , 	18 , 	22 , 	121 , 	107 , 	57 , 	92 , 	-   ," 	10,391 ",,,,,,,,,,,
AS, 	84 , 	117 , 	57 , 	48 , 	336 , 	19 , 	86 , 	172 , 	141 , 	45 , 	88 , 	78 , 	32 , 	32 , 	24 , 	12 , 	17 , 	37 , 	15 , 	15 , 	16 , 	11 , 	5 , 	12 , 	34 , 	192 , 	147 , 	300 , 	211 , 	187 , 	106 , 	24 , 	20 , 	15 , 	5 , 	7 , 	19 , 	3 , 	19 , 	3 , 	5 , 	43 , 	15 , 	4 , 	24 , 	-   ," 	2,877 ",,,,,,,,,,,
MA, 	93 , 	134 , 	59 , 	61 , 	384 , 	90 , 	24 , 	134 , 	125 , 	38 , 	110 , 	140 , 	46 , 	62 , 	42 , 	14 , 	25 , 	52 , 	57 , 	34 , 	50 , 	25 , 	22 , 	55 , 	46 , 	343 , 	233 , 	502 , 	332 , 	242 , 	164 , 	34 , 	34 , 	31 , 	10 , 	13 , 	20 , 	16 , 	95 , 	7 , 	12 , 	71 , 	18 , 	11 , 	32 , 	-   ," 	4,135 ",,,,,,,,,,,
19, 	78 , 	137 , 	107 , 	117 , 	443 , 	170 , 	122 , 	22 , 	33 , 	26 , 	131 , 	143 , 	82 , 	84 , 	56 , 	26 , 	44 , 	89 , 	64 , 	62 , 	81 , 	46 , 	37 , 	112 , 	53 , 	321 , 	251 , 	475 , 	450 , 	262 , 	196 , 	65 , 	45 , 	47 , 	17 , 	17 , 	49 , 	17 , 	77 , 	9 , 	17 , 	51 , 	26 , 	19 , 	21 , 	-   ," 	4,794 ",,,,,,,,,,,
12, 	66 , 	176 , 	119 , 	98 , 	382 , 	162 , 	121 , 	27 , 	27 , 	15 , 	117 , 	180 , 	92 , 	122 , 	78 , 	48 , 	57 , 	95 , 	63 , 	67 , 	69 , 	34 , 	33 , 	91 , 	69 , 	378 , 	252 , 	587 , 	320 , 	167 , 	145 , 	49 , 	61 , 	57 , 	21 , 	17 , 	32 , 	15 , 	67 , 	17 , 	21 , 	71 , 	41 , 	15 , 	43 , 	-   ," 	4,777 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	24 , 	39 , 	30 , 	33 , 	160 , 	50 , 	40 , 	33 , 	20 , 	18 , 	113 , 	182 , 	144 , 	162 , 	69 , 	31 , 	51 , 	93 , 	14 , 	10 , 	14 , 	7 , 	8 , 	24 , 	25 , 	254 , 	221 , 	489 , 	266 , 	165 , 	112 , 	33 , 	39 , 	38 , 	5 , 	64 , 	90 , 	4 , 	21 , 	3 , 	7 , 	21 , 	9 , 	39 , 	25 , 	-   ," 	3,290 ",,,Dtwn SF," 	2,440 "," 	8,066 "," 	15,973 "," 	6,992 "," 	6,530 "," 	8,525 "," 	6,531 "," 	55,057 "
