Exit stations,Entry stations->,,SUNDAY,,,Sep 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	9 , 	55 , 	51 , 	34 , 	171 , 	66 , 	59 , 	63 , 	48 , 	34 , 	52 , 	111 , 	14 , 	20 , 	13 , 	6 , 	6 , 	18 , 	17 , 	5 , 	12 , 	5 , 	4 , 	15 , 	10 , 	97 , 	65 , 	167 , 	80 , 	52 , 	55 , 	15 , 	21 , 	16 , 	8 , 	2 , 	9 , 	2 , 	23 , 	5 , 	7 , 	34 , 	10 , 	1 , 	11 , 	-   ," 	1,569 ",,,Eastbay," 	45,984 ",,SF CBD," 	75,484 ",52.1%,,,
EN, 	60 , 	17 , 	63 , 	42 , 	273 , 	87 , 	93 , 	123 , 	104 , 	37 , 	76 , 	369 , 	24 , 	27 , 	25 , 	13 , 	13 , 	37 , 	18 , 	8 , 	19 , 	11 , 	5 , 	17 , 	19 , 	176 , 	141 , 	361 , 	148 , 	69 , 	50 , 	27 , 	31 , 	31 , 	12 , 	2 , 	13 , 	3 , 	33 , 	8 , 	11 , 	73 , 	13 , 	4 , 	33 , 	-   ," 	2,814 ",,,Westbay," 	42,814 ",,non-CBD," 	63,367 ",43.7%,,,
EP, 	54 , 	58 , 	12 , 	44 , 	277 , 	59 , 	51 , 	83 , 	64 , 	29 , 	34 , 	170 , 	13 , 	13 , 	7 , 	6 , 	11 , 	31 , 	5 , 	6 , 	15 , 	7 , 	7 , 	20 , 	7 , 	106 , 	70 , 	158 , 	112 , 	45 , 	33 , 	12 , 	9 , 	10 , 	5 , 	2 , 	6 , 	2 , 	9 , 	3 , 	5 , 	59 , 	8 , 	4 , 	29 , 	-   ," 	1,762 ",,,Transbay," 	58,799 ",,,,,,,
NB, 	33 , 	40 , 	44 , 	15 , 	81 , 	47 , 	47 , 	121 , 	70 , 	32 , 	37 , 	99 , 	16 , 	17 , 	14 , 	7 , 	10 , 	37 , 	12 , 	10 , 	14 , 	9 , 	5 , 	13 , 	9 , 	154 , 	97 , 	190 , 	197 , 	92 , 	50 , 	20 , 	11 , 	12 , 	4 , 	5 , 	10 , 	3 , 	13 , 	2 , 	3 , 	87 , 	13 , 	3 , 	41 , 	-   ," 	1,837 ",,,,,,,,,,,
BK, 	181 , 	271 , 	266 , 	89 , 	40 , 	163 , 	166 , 	330 , 	216 , 	92 , 	132 , 	125 , 	56 , 	49 , 	55 , 	28 , 	65 , 	242 , 	37 , 	38 , 	69 , 	36 , 	32 , 	28 , 	45 , 	370 , 	225 , 	582 , 	347 , 	195 , 	113 , 	54 , 	41 , 	52 , 	11 , 	24 , 	60 , 	9 , 	29 , 	9 , 	12 , 	171 , 	89 , 	23 , 	114 , 	-   ," 	5,375 ",,,,,,,,,,,
AS, 	63 , 	78 , 	56 , 	48 , 	159 , 	14 , 	67 , 	162 , 	85 , 	49 , 	67 , 	122 , 	27 , 	24 , 	16 , 	6 , 	13 , 	25 , 	12 , 	8 , 	14 , 	5 , 	5 , 	12 , 	19 , 	132 , 	87 , 	197 , 	191 , 	105 , 	77 , 	16 , 	15 , 	13 , 	4 , 	4 , 	13 , 	4 , 	12 , 	5 , 	4 , 	65 , 	14 , 	5 , 	39 , 	-   ," 	2,153 ",,,,,,,,,,,
MA, 	70 , 	92 , 	54 , 	48 , 	160 , 	76 , 	20 , 	154 , 	97 , 	46 , 	78 , 	219 , 	36 , 	42 , 	33 , 	14 , 	19 , 	42 , 	43 , 	35 , 	48 , 	23 , 	14 , 	46 , 	39 , 	229 , 	134 , 	324 , 	331 , 	161 , 	109 , 	29 , 	24 , 	16 , 	8 , 	10 , 	17 , 	10 , 	68 , 	5 , 	9 , 	104 , 	18 , 	5 , 	44 , 	-   ," 	3,196 ",,,,,,,,,,,
19, 	61 , 	106 , 	68 , 	93 , 	247 , 	141 , 	137 , 	26 , 	28 , 	43 , 	140 , 	194 , 	76 , 	72 , 	53 , 	27 , 	27 , 	68 , 	54 , 	42 , 	55 , 	38 , 	28 , 	110 , 	45 , 	215 , 	159 , 	321 , 	343 , 	198 , 	131 , 	48 , 	35 , 	32 , 	10 , 	16 , 	42 , 	13 , 	59 , 	9 , 	12 , 	89 , 	26 , 	12 , 	49 , 	-   ," 	3,793 ",,,,,,,,,,,
12, 	48 , 	95 , 	65 , 	76 , 	190 , 	87 , 	87 , 	26 , 	23 , 	20 , 	97 , 	239 , 	65 , 	72 , 	52 , 	22 , 	42 , 	66 , 	48 , 	37 , 	46 , 	30 , 	21 , 	70 , 	51 , 	253 , 	170 , 	377 , 	246 , 	121 , 	81 , 	31 , 	43 , 	28 , 	12 , 	5 , 	21 , 	9 , 	54 , 	10 , 	14 , 	109 , 	30 , 	9 , 	38 , 	-   ," 	3,332 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	33 , 	48 , 	33 , 	37 , 	101 , 	54 , 	47 , 	47 , 	20 , 	17 , 	136 , 	306 , 	104 , 	109 , 	54 , 	26 , 	29 , 	65 , 	12 , 	8 , 	17 , 	5 , 	10 , 	20 , 	34 , 	196 , 	159 , 	348 , 	251 , 	148 , 	90 , 	30 , 	33 , 	33 , 	6 , 	43 , 	71 , 	3 , 	13 , 	4 , 	6 , 	35 , 	9 , 	33 , 	36 , 	-   ," 	2,913 ",,,Dtwn SF," 	1,710 "," 	5,593 "," 	10,795 "," 	4,448 "," 	4,480 "," 	6,474 "," 	4,769 "," 	38,269 "
