Muni Fast Pass Adult/Clipper OD,,,,,,Oct 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,21,67,76,334,643,549,920,"2,638"
MT,21,37,43,79,454,867,801,"1,642","3,945"
PL,105,65,34,60,319,554,404,"1,204","2,745"
CC,68,84,56,21,161,362,350,729,"1,832"
16,299,378,390,175,9,85,125,349,"1,811"
24,498,631,661,358,99,19,92,316,"2,674"
GP,470,610,514,325,132,99,15,67,"2,232"
BP,801,"1,040","1,615",675,335,327,71,52,"4,916"
Entries,"2,291","2,867","3,380","1,769","1,843","2,955","2,408","5,280","22,794"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,13,5,30,19,118,171,100,284,740
MT,3,10,16,13,111,148,156,622,"1,079"
PL,34,15,31,23,264,400,312,910,"1,991"
CC,17,12,25,15,110,156,108,245,687
16,106,63,305,105,10,74,82,208,953
24,127,100,433,179,69,18,68,178,"1,172"
GP,89,88,364,90,77,61,15,31,814
BP,248,279,"1,137",213,180,157,30,42,"2,286"
Entries,638,573,"2,340",658,939,"1,185",869,"2,520","9,722"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,2,15,12,66,101,70,187,471
MT,4,10,10,8,75,100,100,368,673
PL,22,9,36,18,197,290,203,610,"1,384"
CC,13,7,18,22,88,116,84,210,557
16,80,50,223,89,15,49,62,145,713
24,107,73,342,128,48,19,48,125,889
GP,68,68,288,84,71,45,12,19,655
BP,185,197,905,179,151,102,19,38,"1,776"
Entries,499,415,"1,837",537,710,823,598,"1,700","7,118"
