Exit stations,Entry stations->,,WEEKDAY,,,Oct 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	13 , 	146 , 	110 , 	108 , 	504 , 	111 , 	181 , 	157 , 	220 , 	64 , 	107 , 	79 , 	53 , 	40 , 	52 , 	25 , 	23 , 	39 , 	29 , 	14 , 	27 , 	7 , 	9 , 	25 , 	29 , 	349 , 	413 , 	508 , 	385 , 	206 , 	192 , 	46 , 	82 , 	107 , 	18 , 	6 , 	12 , 	6 , 	44 , 	19 , 	29 , 	51 , 	31 , 	5 , 	10 , 	-   ," 	4,693 ",,,Eastbay," 	92,702 ",,SF CBD," 	284,721 ",65.4%,,,
EN, 	165 , 	24 , 	126 , 	123 ," 	1,089 ", 	184 , 	319 , 	509 , 	656 , 	141 , 	157 , 	139 , 	80 , 	56 , 	98 , 	34 , 	40 , 	96 , 	41 , 	21 , 	37 , 	13 , 	10 , 	43 , 	46 , 	950 ," 	1,133 "," 	1,042 ", 	855 , 	281 , 	222 , 	86 , 	139 , 	194 , 	38 , 	10 , 	33 , 	7 , 	47 , 	33 , 	50 , 	115 , 	74 , 	15 , 	37 , 	-   ," 	9,606 ",,,Westbay," 	115,977 ",,non-CBD," 	140,532 ",32.3%,,,
EP, 	122 , 	108 , 	16 , 	70 , 	824 , 	95 , 	144 , 	327 , 	352 , 	102 , 	62 , 	44 , 	31 , 	21 , 	30 , 	12 , 	15 , 	54 , 	19 , 	18 , 	26 , 	11 , 	11 , 	41 , 	13 , 	556 , 	708 , 	461 , 	454 , 	127 , 	73 , 	41 , 	43 , 	71 , 	8 , 	6 , 	24 , 	4 , 	18 , 	8 , 	16 , 	75 , 	33 , 	8 , 	28 , 	-   ," 	5,333 ",,,Transbay," 	237,329 ",,,,,,,
NB, 	114 , 	109 , 	64 , 	18 , 	222 , 	82 , 	99 , 	265 , 	262 , 	85 , 	78 , 	45 , 	37 , 	22 , 	33 , 	11 , 	23 , 	48 , 	23 , 	21 , 	25 , 	9 , 	16 , 	25 , 	16 , 	698 , 	804 , 	487 , 	588 , 	180 , 	105 , 	46 , 	36 , 	53 , 	7 , 	10 , 	21 , 	7 , 	23 , 	6 , 	14 , 	110 , 	43 , 	7 , 	42 , 	-   ," 	5,038 ",,,,,,,,,,,
BK, 	553 ," 	1,134 ", 	834 , 	250 , 	51 , 	478 , 	512 , 	674 , 	683 , 	335 , 	372 , 	192 , 	211 , 	173 , 	179 , 	93 , 	167 , 	301 , 	161 , 	209 , 	157 , 	96 , 	69 , 	62 , 	124 ," 	1,203 "," 	1,184 "," 	1,061 ", 	969 , 	449 , 	342 , 	158 , 	152 , 	183 , 	40 , 	65 , 	129 , 	46 , 	132 , 	34 , 	54 , 	191 , 	191 , 	66 , 	110 , 	-   ," 	14,830 ",,,,,,,,,,,
AS, 	122 , 	154 , 	87 , 	81 , 	426 , 	21 , 	106 , 	271 , 	298 , 	92 , 	132 , 	77 , 	54 , 	47 , 	52 , 	25 , 	40 , 	66 , 	31 , 	22 , 	27 , 	13 , 	9 , 	19 , 	34 , 	748 , 	835 , 	558 , 	614 , 	283 , 	154 , 	46 , 	52 , 	62 , 	16 , 	11 , 	26 , 	7 , 	34 , 	9 , 	20 , 	66 , 	45 , 	11 , 	37 , 	-   ," 	5,940 ",,,,,,,,,,,
MA, 	187 , 	319 , 	129 , 	109 , 	475 , 	110 , 	30 , 	221 , 	270 , 	107 , 	205 , 	180 , 	128 , 	118 , 	134 , 	78 , 	90 , 	173 , 	167 , 	161 , 	137 , 	58 , 	58 , 	72 , 	70 ," 	1,120 "," 	1,328 ", 	977 ," 	1,030 ", 	437 , 	256 , 	92 , 	102 , 	126 , 	26 , 	28 , 	74 , 	65 , 	260 , 	24 , 	44 , 	125 , 	73 , 	31 , 	42 , 	-   ," 	10,045 ",,,,,,,,,,,
19, 	178 , 	521 , 	337 , 	274 , 	632 , 	273 , 	213 , 	32 , 	55 , 	50 , 	201 , 	182 , 	211 , 	194 , 	205 , 	176 , 	227 , 	378 , 	331 , 	378 , 	288 , 	150 , 	107 , 	186 , 	75 ," 	1,335 "," 	1,535 "," 	1,046 "," 	1,123 ", 	506 , 	364 , 	185 , 	156 , 	181 , 	75 , 	82 , 	207 , 	178 , 	291 , 	75 , 	66 , 	97 , 	143 , 	87 , 	44 , 	-   ," 	13,630 ",,,,,,,,,,,
12, 	236 , 	664 , 	347 , 	280 , 	596 , 	282 , 	255 , 	51 , 	38 , 	63 , 	259 , 	350 , 	352 , 	384 , 	326 , 	170 , 	254 , 	425 , 	372 , 	378 , 	289 , 	155 , 	127 , 	184 , 	105 ," 	1,294 "," 	1,350 "," 	1,095 "," 	1,052 ", 	387 , 	347 , 	190 , 	191 , 	211 , 	122 , 	120 , 	235 , 	187 , 	391 , 	91 , 	101 , 	144 , 	175 , 	131 , 	75 , 	-   ," 	14,831 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	73 , 	139 , 	100 , 	85 , 	340 , 	88 , 	95 , 	49 , 	56 , 	23 , 	219 , 	288 , 	336 , 	276 , 	194 , 	106 , 	146 , 	187 , 	42 , 	31 , 	35 , 	13 , 	12 , 	38 , 	56 , 	875 , 	994 , 	799 , 	702 , 	299 , 	165 , 	76 , 	95 , 	165 , 	14 , 	137 , 	200 , 	22 , 	63 , 	12 , 	20 , 	40 , 	24 , 	77 , 	30 , 	-   ," 	7,838 ",,,Dtwn SF,"5,705","23,006","35,067","16,781","24,518","28,924","12,237","146,237"
