Exit stations,Entry stations->,,SUNDAY,,,Nov 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	10 , 	49 , 	50 , 	36 , 	173 , 	53 , 	49 , 	31 , 	40 , 	23 , 	65 , 	81 , 	16 , 	15 , 	13 , 	11 , 	5 , 	15 , 	12 , 	4 , 	8 , 	3 , 	4 , 	11 , 	12 , 	88 , 	69 , 	201 , 	90 , 	62 , 	63 , 	15 , 	31 , 	17 , 	8 , 	3 , 	6 , 	2 , 	25 , 	7 , 	7 , 	39 , 	14 , 	3 , 	11 , 	-   ," 	1,547 ",,,Eastbay," 	36,412 ",,SF CBD," 	74,774 ",54.7%,,,
EN, 	55 , 	12 , 	48 , 	35 , 	290 , 	70 , 	82 , 	60 , 	85 , 	36 , 	84 , 	253 , 	24 , 	24 , 	20 , 	9 , 	14 , 	40 , 	17 , 	7 , 	21 , 	12 , 	6 , 	15 , 	20 , 	160 , 	136 , 	457 , 	144 , 	72 , 	67 , 	33 , 	38 , 	31 , 	15 , 	5 , 	10 , 	3 , 	19 , 	10 , 	9 , 	86 , 	16 , 	4 , 	37 , 	-   ," 	2,690 ",,,Westbay," 	39,308 ",,non-CBD," 	55,145 ",40.3%,,,
EP, 	54 , 	46 , 	9 , 	39 , 	301 , 	56 , 	47 , 	50 , 	60 , 	28 , 	35 , 	101 , 	13 , 	11 , 	9 , 	5 , 	10 , 	29 , 	6 , 	4 , 	11 , 	6 , 	6 , 	17 , 	5 , 	96 , 	76 , 	222 , 	121 , 	50 , 	37 , 	20 , 	10 , 	12 , 	6 , 	2 , 	7 , 	1 , 	10 , 	2 , 	5 , 	63 , 	17 , 	5 , 	41 , 	-   ," 	1,763 ",,,Transbay," 	63,519 ",,,,,,,
NB, 	33 , 	36 , 	38 , 	12 , 	93 , 	38 , 	39 , 	59 , 	60 , 	31 , 	45 , 	61 , 	15 , 	13 , 	12 , 	3 , 	7 , 	31 , 	9 , 	6 , 	10 , 	6 , 	3 , 	9 , 	9 , 	155 , 	111 , 	251 , 	187 , 	79 , 	62 , 	23 , 	24 , 	15 , 	4 , 	4 , 	8 , 	3 , 	11 , 	2 , 	3 , 	113 , 	20 , 	4 , 	60 , 	-   ," 	1,817 ",,,,,,,,,,,
BK, 	207 , 	271 , 	284 , 	95 , 	37 , 	164 , 	167 , 	193 , 	168 , 	92 , 	147 , 	104 , 	55 , 	49 , 	50 , 	27 , 	64 , 	272 , 	28 , 	33 , 	54 , 	36 , 	27 , 	30 , 	60 , 	367 , 	219 , 	674 , 	363 , 	192 , 	147 , 	66 , 	49 , 	72 , 	10 , 	19 , 	56 , 	3 , 	31 , 	11 , 	14 , 	410 , 	129 , 	18 , 	351 , 	-   ," 	5,917 ",,,,,,,,,,,
AS, 	60 , 	58 , 	51 , 	37 , 	156 , 	14 , 	63 , 	89 , 	69 , 	41 , 	82 , 	75 , 	23 , 	19 , 	16 , 	6 , 	10 , 	30 , 	10 , 	6 , 	14 , 	7 , 	3 , 	10 , 	23 , 	141 , 	114 , 	244 , 	174 , 	127 , 	88 , 	26 , 	14 , 	15 , 	7 , 	5 , 	14 , 	1 , 	13 , 	4 , 	2 , 	91 , 	12 , 	4 , 	50 , 	-   ," 	2,120 ",,,,,,,,,,,
MA, 	64 , 	81 , 	49 , 	44 , 	162 , 	66 , 	16 , 	55 , 	81 , 	39 , 	95 , 	149 , 	29 , 	34 , 	33 , 	13 , 	17 , 	50 , 	34 , 	22 , 	36 , 	15 , 	20 , 	40 , 	38 , 	217 , 	165 , 	400 , 	301 , 	183 , 	131 , 	36 , 	32 , 	19 , 	6 , 	11 , 	13 , 	8 , 	56 , 	8 , 	10 , 	130 , 	19 , 	6 , 	52 , 	-   ," 	3,086 ",,,,,,,,,,,
19, 	34 , 	49 , 	45 , 	56 , 	174 , 	82 , 	55 , 	14 , 	11 , 	16 , 	73 , 	113 , 	35 , 	35 , 	26 , 	13 , 	13 , 	38 , 	25 , 	25 , 	32 , 	17 , 	10 , 	50 , 	27 , 	205 , 	173 , 	385 , 	284 , 	180 , 	125 , 	43 , 	28 , 	25 , 	6 , 	5 , 	13 , 	6 , 	31 , 	6 , 	10 , 	118 , 	22 , 	5 , 	46 , 	-   ," 	2,783 ",,,,,,,,,,,
12, 	42 , 	68 , 	52 , 	52 , 	150 , 	66 , 	60 , 	14 , 	15 , 	16 , 	81 , 	180 , 	45 , 	54 , 	44 , 	20 , 	27 , 	54 , 	46 , 	32 , 	45 , 	23 , 	19 , 	45 , 	44 , 	232 , 	194 , 	460 , 	242 , 	122 , 	96 , 	40 , 	45 , 	39 , 	16 , 	6 , 	13 , 	10 , 	45 , 	10 , 	15 , 	131 , 	32 , 	6 , 	34 , 	-   ," 	3,079 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	23 , 	37 , 	26 , 	29 , 	87 , 	42 , 	35 , 	17 , 	23 , 	13 , 	140 , 	203 , 	90 , 	87 , 	42 , 	24 , 	26 , 	58 , 	13 , 	7 , 	8 , 	4 , 	6 , 	18 , 	25 , 	191 , 	177 , 	436 , 	247 , 	140 , 	105 , 	37 , 	43 , 	33 , 	5 , 	42 , 	64 , 	2 , 	10 , 	5 , 	6 , 	41 , 	9 , 	29 , 	43 , 	-   ," 	2,749 ",,,Dtwn SF," 	1,497 "," 	5,975 "," 	10,398 "," 	4,794 "," 	4,560 "," 	6,591 "," 	3,905 "," 	37,719 "
FV, 	74 , 	82 , 	34 , 	52 , 	147 , 	88 , 	106 , 	81 , 	83 , 	134 , 	15 , 	345 , 	138 , 	155 , 	108 , 	71 , 	52 , 	85 , 	29 , 	13 , 	19 , 	15 , 	12 , 	35 , 	73 , 	238 , 	175 , 	562 , 	274 , 	143 , 	126 , 	30 , 	40 , 	44 , 	6 , 	45 , 	60 , 	4 , 	43 , 	12 , 	12 , 	61 , 	15 , 	46 , 	19 , 	-   ," 	4,000 ",,,OAK," 	5,903 ", 	755 ," 	1,934 "," 	1,692 ", 	825 ," 	2,356 ", 	679 ," 	14,145 "
CL, 	86 , 	298 , 	101 , 	70 , 	95 , 	78 , 	149 , 	118 , 	195 , 	197 , 	357 , 	26 , 	421 , 	388 , 	252 , 	144 , 	182 , 	511 , 	92 , 	101 , 	121 , 	67 , 	63 , 	62 , 	88 , 	292 , 	184 , 	472 , 	220 , 	94 , 	74 , 	48 , 	43 , 	94 , 	16 , 	188 , 	862 , 	53 , 	146 , 	14 , 	24 , 	56 , 	32 , 	228 , 	194 , 	-   ," 	7,594 ",,,CM line," 	10,902 "," 	1,929 "," 	3,749 "," 	1,536 "," 	1,006 "," 	1,605 "," 	2,322 "," 	23,049 "
SL, 	23 , 	24 , 	11 , 	15 , 	53 , 	20 , 	36 , 	41 , 	53 , 	92 , 	147 , 	404 , 	11 , 	76 , 	69 , 	19 , 	21 , 	41 , 	10 , 	7 , 	6 , 	1 , 	5 , 	15 , 	17 , 	120 , 	105 , 	316 , 	119 , 	43 , 	40 , 	14 , 	20 , 	24 , 	6 , 	25 , 	29 , 	2 , 	20 , 	6 , 	5 , 	30 , 	6 , 	31 , 	15 , 	-   ," 	2,197 ",,,RM line," 	4,862 "," 	1,792 "," 	1,606 "," 	3,070 ", 	594 ," 	2,258 "," 	1,086 "," 	15,268 "
BF, 	16 , 	20 , 	10 , 	14 , 	53 , 	18 , 	41 , 	44 , 	66 , 	95 , 	162 , 	381 , 	71 , 	8 , 	88 , 	43 , 	49 , 	145 , 	9 , 	6 , 	8 , 	4 , 	3 , 	6 , 	16 , 	121 , 	109 , 	317 , 	112 , 	36 , 	27 , 	14 , 	20 , 	20 , 	6 , 	36 , 	88 , 	3 , 	18 , 	4 , 	7 , 	27 , 	6 , 	78 , 	14 , 	-   ," 	2,438 ",,,WP line," 	4,817 ", 	917 ," 	1,042 ", 	631 ," 	2,150 "," 	1,234 "," 	1,075 "," 	11,866 "
HY, 	19 , 	19 , 	5 , 	10 , 	49 , 	15 , 	34 , 	34 , 	53 , 	46 , 	109 , 	227 , 	61 , 	92 , 	8 , 	40 , 	59 , 	117 , 	9 , 	5 , 	9 , 	1 , 	3 , 	8 , 	14 , 	74 , 	47 , 	163 , 	41 , 	23 , 	18 , 	7 , 	15 , 	15 , 	4 , 	17 , 	28 , 	2 , 	21 , 	2 , 	5 , 	21 , 	6 , 	30 , 	25 , 	-   ," 	1,614 ",,,FT/ED line," 	6,860 "," 	2,498 "," 	1,646 "," 	2,232 "," 	1,293 "," 	10,718 ", 	659 ," 	25,905 "
SH, 	13 , 	10 , 	4 , 	4 , 	26 , 	7 , 	14 , 	15 , 	19 , 	25 , 	71 , 	133 , 	25 , 	47 , 	46 , 	6 , 	25 , 	70 , 	5 , 	6 , 	3 , 	1 , 	1 , 	4 , 	5 , 	35 , 	36 , 	104 , 	34 , 	16 , 	14 , 	6 , 	11 , 	15 , 	5 , 	8 , 	17 , 	1 , 	9 , 	2 , 	5 , 	14 , 	5 , 	14 , 	9 , 	-   , 	943 ,,,SFIA," 	3,711 ", 	467 ," 	1,750 ", 	614 , 	768 , 	476 ," 	1,075 "," 	8,862 "
UC, 	7 , 	16 , 	7 , 	4 , 	52 , 	9 , 	20 , 	13 , 	32 , 	29 , 	54 , 	169 , 	22 , 	58 , 	56 , 	30 , 	7 , 	74 , 	6 , 	4 , 	4 , 	2 , 	2 , 	5 , 	6 , 	85 , 	57 , 	160 , 	63 , 	20 , 	14 , 	8 , 	10 , 	11 , 	4 , 	10 , 	21 , 	1 , 	12 , 	2 , 	4 , 	29 , 	3 , 	12 , 	23 , 	-   ," 	1,236 ",,,Entries," 	38,552 "," 	14,333 "," 	22,125 "," 	14,570 "," 	11,196 "," 	25,238 "," 	10,800 "," 	136,814 "
FM, 	22 , 	40 , 	33 , 	28 , 	182 , 	29 , 	50 , 	43 , 	57 , 	52 , 	92 , 	479 , 	54 , 	122 , 	117 , 	58 , 	79 , 	27 , 	21 , 	16 , 	21 , 	7 , 	7 , 	20 , 	13 , 	163 , 	127 , 	356 , 	142 , 	44 , 	28 , 	18 , 	24 , 	30 , 	6 , 	15 , 	64 , 	7 , 	29 , 	4 , 	8 , 	58 , 	2 , 	30 , 	43 , 	-   ," 	2,864 ",,,,,,,,,,,
CN, 	11 , 	12 , 	6 , 	9 , 	31 , 	11 , 	38 , 	28 , 	51 , 	7 , 	24 , 	79 , 	10 , 	9 , 	9 , 	5 , 	7 , 	20 , 	11 , 	49 , 	132 , 	48 , 	15 , 	32 , 	9 , 	118 , 	74 , 	242 , 	84 , 	32 , 	28 , 	15 , 	17 , 	23 , 	6 , 	2 , 	8 , 	22 , 	139 , 	5 , 	9 , 	84 , 	12 , 	4 , 	30 , 	-   ," 	1,617 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
