Exit stations,Entry stations->,,SATURDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	10 , 	68 , 	65 , 	39 , 	250 , 	58 , 	61 , 	42 , 	60 , 	17 , 	60 , 	44 , 	17 , 	17 , 	15 , 	17 , 	11 , 	20 , 	15 , 	8 , 	8 , 	4 , 	5 , 	16 , 	20 , 	124 , 	113 , 	403 , 	109 , 	92 , 	113 , 	20 , 	40 , 	24 , 	8 , 	3 , 	11 , 	5 , 	27 , 	11 , 	15 , 	33 , 	13 , 	5 , 	7 , 	-   ," 	2,117 ",,,Eastbay," 	38,034 ",,SF CBD," 	128,026 ",65.1%,,,
EN, 	76 , 	16 , 	64 , 	54 , 	422 , 	87 , 	122 , 	96 , 	138 , 	30 , 	91 , 	66 , 	35 , 	38 , 	26 , 	18 , 	21 , 	46 , 	21 , 	11 , 	27 , 	11 , 	7 , 	18 , 	37 , 	310 , 	270 , 	933 , 	223 , 	107 , 	99 , 	38 , 	50 , 	48 , 	17 , 	7 , 	14 , 	3 , 	29 , 	12 , 	17 , 	84 , 	19 , 	5 , 	23 , 	-   ," 	3,881 ",,,Westbay," 	61,310 ",,non-CBD," 	62,534 ",31.8%,,,
EP, 	71 , 	72 , 	7 , 	39 , 	370 , 	65 , 	62 , 	95 , 	103 , 	29 , 	41 , 	24 , 	14 , 	12 , 	11 , 	7 , 	11 , 	35 , 	10 , 	11 , 	14 , 	7 , 	7 , 	28 , 	10 , 	175 , 	157 , 	514 , 	147 , 	65 , 	54 , 	25 , 	17 , 	17 , 	6 , 	3 , 	11 , 	3 , 	10 , 	5 , 	4 , 	49 , 	13 , 	6 , 	21 , 	-   ," 	2,446 ",,,Transbay," 	102,694 ",,,,,,,
NB, 	42 , 	52 , 	49 , 	13 , 	134 , 	45 , 	48 , 	85 , 	70 , 	23 , 	49 , 	21 , 	24 , 	18 , 	13 , 	5 , 	14 , 	24 , 	10 , 	10 , 	19 , 	10 , 	4 , 	10 , 	10 , 	242 , 	169 , 	493 , 	217 , 	116 , 	90 , 	36 , 	20 , 	17 , 	6 , 	8 , 	10 , 	3 , 	11 , 	4 , 	4 , 	75 , 	15 , 	4 , 	30 , 	-   ," 	2,367 ",,,,,,,,,,,
BK, 	264 , 	420 , 	387 , 	142 , 	42 , 	232 , 	230 , 	282 , 	251 , 	86 , 	183 , 	98 , 	89 , 	77 , 	68 , 	31 , 	55 , 	172 , 	43 , 	55 , 	84 , 	51 , 	47 , 	39 , 	71 , 	454 , 	336 ," 	1,113 ", 	424 , 	247 , 	168 , 	87 , 	56 , 	82 , 	12 , 	21 , 	61 , 	11 , 	48 , 	20 , 	17 , 	150 , 	73 , 	21 , 	59 , 	-   ," 	6,954 ",,,,,,,,,,,
AS, 	63 , 	85 , 	59 , 	36 , 	202 , 	12 , 	82 , 	131 , 	119 , 	32 , 	78 , 	40 , 	28 , 	28 , 	17 , 	11 , 	11 , 	27 , 	12 , 	11 , 	19 , 	10 , 	6 , 	12 , 	32 , 	201 , 	149 , 	414 , 	216 , 	161 , 	109 , 	32 , 	22 , 	17 , 	7 , 	5 , 	12 , 	4 , 	16 , 	5 , 	5 , 	50 , 	13 , 	9 , 	25 , 	-   ," 	2,625 ",,,,,,,,,,,
MA, 	86 , 	118 , 	52 , 	56 , 	233 , 	88 , 	18 , 	88 , 	102 , 	28 , 	116 , 	95 , 	45 , 	48 , 	37 , 	14 , 	21 , 	47 , 	45 , 	33 , 	46 , 	20 , 	22 , 	44 , 	49 , 	317 , 	289 , 	736 , 	391 , 	235 , 	186 , 	45 , 	34 , 	30 , 	13 , 	8 , 	15 , 	10 , 	71 , 	6 , 	17 , 	86 , 	23 , 	10 , 	28 , 	-   ," 	4,095 ",,,,,,,,,,,
19, 	50 , 	105 , 	94 , 	97 , 	291 , 	144 , 	87 , 	24 , 	19 , 	11 , 	87 , 	85 , 	67 , 	58 , 	45 , 	22 , 	29 , 	68 , 	48 , 	48 , 	77 , 	37 , 	31 , 	101 , 	51 , 	330 , 	295 , 	672 , 	411 , 	237 , 	195 , 	76 , 	54 , 	51 , 	14 , 	14 , 	30 , 	11 , 	50 , 	12 , 	13 , 	58 , 	29 , 	12 , 	23 , 	-   ," 	4,360 ",,,,,,,,,,,
12, 	66 , 	125 , 	99 , 	68 , 	221 , 	107 , 	98 , 	19 , 	25 , 	12 , 	95 , 	123 , 	79 , 	93 , 	65 , 	31 , 	48 , 	72 , 	70 , 	53 , 	66 , 	21 , 	25 , 	61 , 	80 , 	336 , 	277 , 	768 , 	320 , 	163 , 	125 , 	50 , 	66 , 	43 , 	17 , 	15 , 	28 , 	12 , 	63 , 	13 , 	22 , 	71 , 	41 , 	12 , 	29 , 	-   ," 	4,288 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	16 , 	37 , 	33 , 	27 , 	86 , 	29 , 	34 , 	13 , 	19 , 	18 , 	85 , 	101 , 	130 , 	137 , 	59 , 	24 , 	37 , 	75 , 	11 , 	9 , 	9 , 	6 , 	2 , 	13 , 	27 , 	273 , 	251 , 	766 , 	280 , 	167 , 	119 , 	43 , 	43 , 	39 , 	3 , 	52 , 	89 , 	4 , 	18 , 	3 , 	8 , 	26 , 	12 , 	37 , 	24 , 	-   ," 	3,292 ",,,Dtwn SF," 	2,885 "," 	10,271 "," 	17,858 "," 	8,570 "," 	9,407 "," 	12,045 "," 	6,554 "," 	67,590 "
