Exit stations,Entry stations->,,SUNDAY,,,Dec 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	9 , 	43 , 	40 , 	29 , 	145 , 	47 , 	47 , 	33 , 	37 , 	16 , 	43 , 	83 , 	15 , 	15 , 	10 , 	8 , 	6 , 	15 , 	11 , 	4 , 	9 , 	7 , 	4 , 	9 , 	9 , 	88 , 	57 , 	270 , 	80 , 	61 , 	59 , 	17 , 	23 , 	16 , 	8 , 	4 , 	9 , 	1 , 	21 , 	5 , 	8 , 	39 , 	9 , 	1 , 	9 , 	-   ," 	1,474 ",,,Eastbay," 	34,860 ",,SF CBD," 	79,256 ",57.9%,,,
EN, 	49 , 	18 , 	47 , 	38 , 	216 , 	60 , 	82 , 	61 , 	67 , 	31 , 	54 , 	255 , 	24 , 	23 , 	21 , 	9 , 	12 , 	35 , 	14 , 	4 , 	17 , 	10 , 	5 , 	19 , 	20 , 	153 , 	125 , 	520 , 	142 , 	68 , 	52 , 	34 , 	26 , 	30 , 	17 , 	5 , 	8 , 	2 , 	21 , 	6 , 	8 , 	80 , 	17 , 	6 , 	35 , 	-   ," 	2,543 ",,,Westbay," 	39,843 ",,non-CBD," 	51,843 ",37.9%,,,
EP, 	53 , 	41 , 	13 , 	28 , 	231 , 	40 , 	41 , 	68 , 	54 , 	28 , 	26 , 	108 , 	13 , 	8 , 	5 , 	7 , 	9 , 	25 , 	7 , 	5 , 	10 , 	5 , 	5 , 	18 , 	5 , 	96 , 	64 , 	310 , 	116 , 	35 , 	32 , 	20 , 	9 , 	13 , 	3 , 	2 , 	7 , 	1 , 	9 , 	4 , 	6 , 	61 , 	10 , 	4 , 	33 , 	-   ," 	1,681 ",,,Transbay," 	64,885 ",,,,,,,
NB, 	32 , 	42 , 	34 , 	14 , 	92 , 	32 , 	40 , 	59 , 	46 , 	19 , 	28 , 	88 , 	17 , 	12 , 	9 , 	5 , 	8 , 	26 , 	8 , 	6 , 	12 , 	7 , 	4 , 	8 , 	9 , 	133 , 	124 , 	322 , 	171 , 	64 , 	59 , 	27 , 	16 , 	18 , 	4 , 	2 , 	5 , 	2 , 	8 , 	3 , 	4 , 	92 , 	14 , 	3 , 	38 , 	-   ," 	1,757 ",,,,,,,,,,,
BK, 	154 , 	225 , 	227 , 	85 , 	34 , 	131 , 	118 , 	166 , 	141 , 	62 , 	105 , 	80 , 	44 , 	42 , 	36 , 	20 , 	43 , 	135 , 	25 , 	27 , 	49 , 	25 , 	22 , 	23 , 	42 , 	286 , 	164 , 	673 , 	251 , 	136 , 	110 , 	49 , 	31 , 	45 , 	8 , 	11 , 	33 , 	5 , 	24 , 	7 , 	9 , 	162 , 	57 , 	16 , 	73 , 	-   ," 	4,205 ",,,,,,,,,,,
AS, 	48 , 	51 , 	44 , 	30 , 	123 , 	15 , 	57 , 	85 , 	62 , 	26 , 	62 , 	74 , 	18 , 	18 , 	11 , 	10 , 	11 , 	33 , 	8 , 	8 , 	14 , 	6 , 	4 , 	10 , 	18 , 	109 , 	90 , 	271 , 	152 , 	107 , 	85 , 	25 , 	16 , 	10 , 	4 , 	3 , 	10 , 	1 , 	7 , 	4 , 	3 , 	60 , 	14 , 	4 , 	38 , 	-   ," 	1,852 ",,,,,,,,,,,
MA, 	58 , 	81 , 	37 , 	39 , 	126 , 	56 , 	22 , 	50 , 	71 , 	29 , 	85 , 	169 , 	33 , 	36 , 	30 , 	14 , 	15 , 	40 , 	29 , 	24 , 	35 , 	14 , 	13 , 	40 , 	39 , 	182 , 	152 , 	468 , 	264 , 	143 , 	123 , 	35 , 	25 , 	22 , 	6 , 	9 , 	13 , 	8 , 	55 , 	4 , 	10 , 	114 , 	21 , 	10 , 	48 , 	-   ," 	2,891 ",,,,,,,,,,,
19, 	35 , 	65 , 	62 , 	66 , 	150 , 	91 , 	50 , 	17 , 	17 , 	12 , 	61 , 	110 , 	39 , 	40 , 	31 , 	20 , 	21 , 	51 , 	29 , 	24 , 	45 , 	24 , 	21 , 	60 , 	28 , 	190 , 	163 , 	419 , 	250 , 	158 , 	117 , 	41 , 	35 , 	53 , 	8 , 	8 , 	17 , 	5 , 	38 , 	9 , 	13 , 	97 , 	26 , 	11 , 	41 , 	-   ," 	2,862 ",,,,,,,,,,,
12, 	37 , 	59 , 	51 , 	37 , 	119 , 	49 , 	61 , 	14 , 	25 , 	13 , 	56 , 	206 , 	46 , 	59 , 	33 , 	19 , 	27 , 	45 , 	43 , 	25 , 	35 , 	16 , 	17 , 	35 , 	44 , 	201 , 	188 , 	497 , 	217 , 	118 , 	83 , 	37 , 	43 , 	36 , 	16 , 	6 , 	16 , 	8 , 	36 , 	11 , 	10 , 	96 , 	27 , 	6 , 	31 , 	-   ," 	2,848 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	30 , 	23 , 	21 , 	62 , 	28 , 	22 , 	11 , 	16 , 	16 , 	76 , 	210 , 	66 , 	72 , 	27 , 	17 , 	22 , 	54 , 	7 , 	6 , 	8 , 	8 , 	4 , 	10 , 	24 , 	161 , 	147 , 	502 , 	190 , 	120 , 	85 , 	27 , 	35 , 	32 , 	4 , 	41 , 	62 , 	3 , 	13 , 	2 , 	7 , 	33 , 	7 , 	26 , 	44 , 	-   ," 	2,392 ",,,Dtwn SF," 	1,829 "," 	6,001 "," 	10,375 "," 	4,797 "," 	5,321 "," 	7,240 "," 	5,055 "," 	40,618 "
