Exit stations,Entry stations->,,SATURDAY,,,Jan 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	11 , 	71 , 	59 , 	35 , 	218 , 	48 , 	65 , 	46 , 	69 , 	14 , 	56 , 	41 , 	19 , 	21 , 	13 , 	12 , 	9 , 	19 , 	10 , 	6 , 	8 , 	3 , 	6 , 	13 , 	19 , 	156 , 	113 , 	327 , 	110 , 	96 , 	94 , 	22 , 	39 , 	20 , 	7 , 	2 , 	7 , 	3 , 	23 , 	7 , 	15 , 	38 , 	11 , 	2 , 	7 , 	-   ," 	1,991 ",,,Eastbay," 	38,853 ",,SF CBD," 	118,738 ",63.5%,,,
EN, 	76 , 	12 , 	76 , 	55 , 	417 , 	77 , 	109 , 	96 , 	144 , 	35 , 	79 , 	134 , 	36 , 	38 , 	32 , 	18 , 	18 , 	37 , 	24 , 	7 , 	19 , 	9 , 	8 , 	25 , 	29 , 	453 , 	286 , 	716 , 	203 , 	113 , 	98 , 	35 , 	45 , 	43 , 	15 , 	6 , 	9 , 	2 , 	25 , 	11 , 	18 , 	77 , 	22 , 	4 , 	21 , 	-   ," 	3,814 ",,,Westbay," 	57,863 ",,non-CBD," 	62,474 ",33.4%,,,
EP, 	73 , 	72 , 	11 , 	53 , 	404 , 	62 , 	55 , 	84 , 	109 , 	27 , 	40 , 	61 , 	18 , 	12 , 	11 , 	6 , 	8 , 	29 , 	8 , 	8 , 	12 , 	8 , 	8 , 	24 , 	10 , 	198 , 	126 , 	352 , 	147 , 	65 , 	49 , 	17 , 	17 , 	18 , 	4 , 	4 , 	6 , 	1 , 	8 , 	3 , 	7 , 	50 , 	13 , 	6 , 	24 , 	-   ," 	2,324 ",,,Transbay," 	95,166 ",,,,,,,
NB, 	40 , 	54 , 	57 , 	16 , 	147 , 	49 , 	54 , 	80 , 	89 , 	25 , 	57 , 	49 , 	18 , 	14 , 	13 , 	6 , 	9 , 	31 , 	11 , 	9 , 	19 , 	9 , 	5 , 	13 , 	11 , 	242 , 	200 , 	374 , 	249 , 	134 , 	100 , 	29 , 	20 , 	18 , 	7 , 	6 , 	12 , 	3 , 	9 , 	2 , 	6 , 	71 , 	16 , 	5 , 	35 , 	-   ," 	2,421 ",,,,,,,,,,,
BK, 	229 , 	417 , 	397 , 	171 , 	34 , 	246 , 	229 , 	293 , 	264 , 	88 , 	160 , 	94 , 	85 , 	66 , 	66 , 	46 , 	51 , 	157 , 	39 , 	56 , 	72 , 	48 , 	37 , 	39 , 	69 , 	518 , 	344 , 	904 , 	425 , 	281 , 	166 , 	63 , 	53 , 	69 , 	18 , 	19 , 	56 , 	8 , 	43 , 	11 , 	18 , 	249 , 	78 , 	21 , 	137 , 	-   ," 	6,936 ",,,,,,,,,,,
AS, 	50 , 	80 , 	58 , 	46 , 	215 , 	21 , 	74 , 	124 , 	109 , 	34 , 	64 , 	60 , 	26 , 	26 , 	20 , 	8 , 	15 , 	37 , 	13 , 	10 , 	15 , 	7 , 	5 , 	11 , 	27 , 	220 , 	152 , 	319 , 	227 , 	171 , 	100 , 	29 , 	21 , 	16 , 	6 , 	4 , 	13 , 	2 , 	11 , 	4 , 	3 , 	63 , 	14 , 	5 , 	30 , 	-   ," 	2,566 ",,,,,,,,,,,
MA, 	70 , 	103 , 	57 , 	59 , 	222 , 	76 , 	17 , 	95 , 	112 , 	29 , 	103 , 	99 , 	45 , 	46 , 	32 , 	15 , 	20 , 	39 , 	44 , 	32 , 	42 , 	18 , 	13 , 	45 , 	44 , 	385 , 	274 , 	591 , 	407 , 	247 , 	197 , 	42 , 	37 , 	31 , 	9 , 	10 , 	17 , 	10 , 	72 , 	8 , 	11 , 	81 , 	23 , 	10 , 	29 , 	-   ," 	3,966 ",,,,,,,,,,,
19, 	51 , 	105 , 	87 , 	89 , 	288 , 	137 , 	93 , 	26 , 	23 , 	17 , 	90 , 	82 , 	63 , 	53 , 	42 , 	20 , 	28 , 	54 , 	37 , 	41 , 	66 , 	27 , 	29 , 	104 , 	53 , 	350 , 	286 , 	583 , 	407 , 	303 , 	212 , 	63 , 	49 , 	45 , 	11 , 	13 , 	22 , 	10 , 	32 , 	9 , 	9 , 	69 , 	31 , 	9 , 	24 , 	-   ," 	4,243 ",,,,,,,,,,,
12, 	74 , 	148 , 	101 , 	90 , 	246 , 	112 , 	110 , 	26 , 	24 , 	16 , 	87 , 	123 , 	83 , 	99 , 	62 , 	34 , 	43 , 	89 , 	66 , 	52 , 	66 , 	34 , 	34 , 	76 , 	73 , 	384 , 	338 , 	694 , 	398 , 	224 , 	163 , 	58 , 	72 , 	54 , 	18 , 	16 , 	32 , 	16 , 	61 , 	18 , 	21 , 	78 , 	47 , 	11 , 	23 , 	-   ," 	4,696 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	12 , 	38 , 	27 , 	25 , 	96 , 	28 , 	34 , 	13 , 	17 , 	17 , 	98 , 	113 , 	133 , 	148 , 	64 , 	23 , 	35 , 	64 , 	14 , 	10 , 	10 , 	6 , 	5 , 	15 , 	28 , 	315 , 	255 , 	600 , 	282 , 	170 , 	129 , 	40 , 	35 , 	32 , 	7 , 	54 , 	77 , 	0 , 	13 , 	4 , 	7 , 	19 , 	15 , 	42 , 	20 , 	-   ," 	3,187 ",,,Dtwn SF," 	2,860 "," 	9,395 "," 	17,003 "," 	7,897 "," 	8,232 "," 	11,100 "," 	5,958 "," 	62,446 "
FV, 	63 , 	81 , 	33 , 	45 , 	162 , 	74 , 	101 , 	92 , 	95 , 	73 , 	22 , 	166 , 	131 , 	172 , 	106 , 	60 , 	43 , 	92 , 	31 , 	11 , 	23 , 	11 , 	10 , 	32 , 	74 , 	400 , 	311 , 	703 , 	352 , 	182 , 	160 , 	33 , 	50 , 	40 , 	7 , 	39 , 	64 , 	4 , 	42 , 	11 , 	15 , 	55 , 	18 , 	51 , 	16 , 	-   ," 	4,359 ",,,OAK," 	8,863 "," 	1,074 "," 	2,760 "," 	2,497 "," 	1,196 "," 	2,626 ", 	537 ," 	19,553 "
CL, 	53 , 	132 , 	52 , 	51 , 	85 , 	60 , 	107 , 	89 , 	145 , 	87 , 	184 , 	18 , 	145 , 	185 , 	126 , 	65 , 	96 , 	217 , 	61 , 	63 , 	75 , 	56 , 	37 , 	47 , 	71 , 	248 , 	145 , 	396 , 	177 , 	93 , 	86 , 	49 , 	47 , 	77 , 	18 , 	96 , 	349 , 	41 , 	93 , 	17 , 	24 , 	20 , 	25 , 	127 , 	23 , 	-   ," 	4,459 ",,,CM line," 	16,638 "," 	2,803 "," 	5,354 "," 	2,153 "," 	1,370 "," 	1,970 "," 	2,222 "," 	32,509 "
SL, 	22 , 	40 , 	16 , 	21 , 	86 , 	25 , 	47 , 	67 , 	87 , 	129 , 	123 , 	141 , 	10 , 	88 , 	86 , 	29 , 	32 , 	63 , 	15 , 	11 , 	9 , 	5 , 	3 , 	22 , 	27 , 	291 , 	192 , 	457 , 	157 , 	73 , 	56 , 	13 , 	27 , 	31 , 	5 , 	37 , 	41 , 	3 , 	24 , 	6 , 	6 , 	27 , 	5 , 	33 , 	7 , 	-   ," 	2,696 ",,,RM line," 	7,361 "," 	2,482 "," 	2,100 "," 	4,155 ", 	759 ," 	2,086 ", 	810 ," 	19,754 "
BF, 	15 , 	39 , 	12 , 	16 , 	71 , 	30 , 	51 , 	61 , 	110 , 	134 , 	166 , 	185 , 	88 , 	14 , 	118 , 	55 , 	68 , 	149 , 	11 , 	7 , 	9 , 	2 , 	4 , 	11 , 	27 , 	270 , 	176 , 	426 , 	131 , 	47 , 	49 , 	20 , 	27 , 	27 , 	8 , 	55 , 	98 , 	3 , 	22 , 	4 , 	13 , 	14 , 	10 , 	88 , 	5 , 	-   ," 	2,948 ",,,WP line," 	7,885 "," 	1,221 "," 	1,367 ", 	813 ," 	2,748 "," 	1,088 ", 	825 ," 	15,947 "
HY, 	16 , 	36 , 	9 , 	14 , 	68 , 	19 , 	32 , 	45 , 	57 , 	57 , 	106 , 	124 , 	82 , 	124 , 	12 , 	51 , 	87 , 	140 , 	9 , 	9 , 	8 , 	4 , 	2 , 	11 , 	17 , 	179 , 	85 , 	244 , 	81 , 	34 , 	28 , 	11 , 	16 , 	17 , 	5 , 	20 , 	32 , 	1 , 	22 , 	3 , 	11 , 	17 , 	5 , 	44 , 	11 , 	-   ," 	2,001 ",,,FT/ED line," 	10,630 "," 	2,647 "," 	1,971 "," 	2,156 "," 	1,118 "," 	7,802 ", 	553 ," 	26,876 "
SH, 	10 , 	16 , 	4 , 	7 , 	47 , 	9 , 	15 , 	19 , 	31 , 	25 , 	56 , 	58 , 	32 , 	64 , 	53 , 	5 , 	45 , 	83 , 	6 , 	5 , 	8 , 	3 , 	0 , 	6 , 	6 , 	133 , 	59 , 	162 , 	53 , 	22 , 	24 , 	7 , 	13 , 	11 , 	4 , 	14 , 	18 , 	1 , 	7 , 	2 , 	5 , 	8 , 	4 , 	17 , 	5 , 	-   ," 	1,181 ",,,SFIA," 	4,916 ", 	446 ," 	1,981 ", 	578 , 	705 , 	449 , 	930 ," 	10,005 "
UC, 	10 , 	20 , 	10 , 	8 , 	58 , 	14 , 	23 , 	27 , 	43 , 	38 , 	42 , 	102 , 	32 , 	72 , 	82 , 	43 , 	14 , 	87 , 	8 , 	3 , 	6 , 	2 , 	3 , 	9 , 	9 , 	258 , 	123 , 	274 , 	80 , 	25 , 	25 , 	8 , 	13 , 	21 , 	4 , 	15 , 	28 , 	0 , 	11 , 	5 , 	4 , 	16 , 	4 , 	18 , 	11 , 	-   ," 	1,705 ",,,Entries," 	59,153 "," 	20,068 "," 	32,536 "," 	20,249 "," 	16,127 "," 	27,121 "," 	11,836 "," 	187,091 "
FM, 	19 , 	45 , 	25 , 	28 , 	185 , 	37 , 	48 , 	61 , 	73 , 	59 , 	94 , 	207 , 	65 , 	116 , 	143 , 	80 , 	106 , 	26 , 	23 , 	16 , 	15 , 	8 , 	7 , 	17 , 	14 , 	557 , 	251 , 	497 , 	169 , 	60 , 	44 , 	17 , 	26 , 	29 , 	6 , 	23 , 	68 , 	3 , 	23 , 	3 , 	7 , 	46 , 	6 , 	31 , 	26 , 	-   ," 	3,408 ",,,,,,,,,,,
CN, 	14 , 	20 , 	11 , 	7 , 	43 , 	13 , 	44 , 	39 , 	69 , 	10 , 	26 , 	59 , 	11 , 	10 , 	9 , 	4 , 	6 , 	19 , 	13 , 	55 , 	167 , 	57 , 	21 , 	51 , 	12 , 	234 , 	137 , 	340 , 	131 , 	51 , 	35 , 	20 , 	23 , 	29 , 	10 , 	2 , 	7 , 	21 , 	191 , 	8 , 	12 , 	66 , 	16 , 	5 , 	15 , 	-   ," 	2,145 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	8 , 	8 , 	6 , 	53 , 	11 , 	30 , 	39 , 	48 , 	6 , 	13 , 	59 , 	10 , 	5 , 	5 , 	3 , 	5 , 	17 , 	63 , 	11 , 	80 , 	30 , 	13 , 	46 , 	6 , 	338 , 	198 , 	385 , 	145 , 	56 , 	43 , 	19 , 	10 , 	22 , 	7 , 	2 , 	5 , 	12 , 	62 , 	7 , 	7 , 	95 , 	14 , 	3 , 	28 , 	-   ," 	2,042 ",,,Dtwn SF," 	2,860 ",,,,,,,
WC, 	11 , 	15 , 	17 , 	22 , 	80 , 	17 , 	46 , 	71 , 	68 , 	12 , 	24 , 	69 , 	10 , 	7 , 	8 , 	8 , 	4 , 	22 , 	190 , 	101 , 	16 , 	41 , 	23 , 	81 , 	9 , 	476 , 	261 , 	461 , 	233 , 	63 , 	49 , 	25 , 	16 , 	25 , 	7 , 	4 , 	6 , 	18 , 	128 , 	4 , 	7 , 	113 , 	15 , 	3 , 	29 , 	-   ," 	2,917 ",,,OAK," 	18,258 "," 	1,074 ",,,,,,
LF, 	5 , 	7 , 	8 , 	6 , 	47 , 	9 , 	23 , 	34 , 	30 , 	5 , 	10 , 	47 , 	3 , 	3 , 	4 , 	3 , 	3 , 	8 , 	71 , 	31 , 	34 , 	8 , 	9 , 	45 , 	4 , 	289 , 	166 , 	243 , 	144 , 	40 , 	33 , 	10 , 	9 , 	7 , 	2 , 	1 , 	3 , 	3 , 	26 , 	1 , 	2 , 	61 , 	7 , 	2 , 	14 , 	-   ," 	1,519 ",,,CM line," 	33,641 "," 	5,562 "," 	5,354 ",,,,,
