Exit stations,Entry stations->,,WEEKDAY,,,Feb 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	13 , 	137 , 	106 , 	89 , 	483 , 	114 , 	160 , 	151 , 	224 , 	59 , 	105 , 	76 , 	42 , 	33 , 	39 , 	25 , 	20 , 	36 , 	27 , 	13 , 	27 , 	8 , 	9 , 	24 , 	26 , 	389 , 	397 , 	487 , 	381 , 	200 , 	195 , 	42 , 	82 , 	98 , 	18 , 	4 , 	13 , 	7 , 	37 , 	20 , 	28 , 	46 , 	30 , 	5 , 	10 , 	-   ," 	4,534 ",,,,,,,,,
EN, 	171 , 	23 , 	114 , 	107 ," 	1,086 ", 	181 , 	299 , 	500 , 	663 , 	155 , 	155 , 	123 , 	75 , 	60 , 	92 , 	30 , 	44 , 	93 , 	41 , 	21 , 	36 , 	10 , 	10 , 	37 , 	45 ," 	1,063 "," 	1,170 "," 	1,085 ", 	857 , 	279 , 	220 , 	65 , 	126 , 	187 , 	32 , 	9 , 	32 , 	7 , 	37 , 	44 , 	57 , 	101 , 	71 , 	15 , 	32 , 	-   ," 	9,661 ",,,,,,,,,
EP, 	118 , 	102 , 	15 , 	62 , 	863 , 	90 , 	141 , 	314 , 	359 , 	109 , 	66 , 	39 , 	30 , 	21 , 	30 , 	11 , 	15 , 	56 , 	18 , 	18 , 	28 , 	8 , 	10 , 	37 , 	16 , 	592 , 	702 , 	482 , 	468 , 	137 , 	70 , 	25 , 	44 , 	75 , 	8 , 	5 , 	25 , 	4 , 	16 , 	23 , 	15 , 	59 , 	35 , 	7 , 	25 , 	-   ," 	5,391 ",,,,,,,,,
NB, 	96 , 	104 , 	61 , 	15 , 	241 , 	88 , 	99 , 	269 , 	257 , 	87 , 	74 , 	33 , 	32 , 	21 , 	32 , 	9 , 	21 , 	41 , 	23 , 	20 , 	28 , 	9 , 	9 , 	25 , 	22 , 	730 , 	830 , 	481 , 	579 , 	188 , 	102 , 	27 , 	34 , 	54 , 	7 , 	9 , 	22 , 	5 , 	19 , 	22 , 	12 , 	78 , 	43 , 	8 , 	37 , 	-   ," 	5,003 ",,,,,,,,,
BK, 	523 ," 	1,145 ", 	880 , 	265 , 	45 , 	455 , 	495 , 	636 , 	690 , 	359 , 	368 , 	180 , 	214 , 	167 , 	186 , 	96 , 	174 , 	283 , 	154 , 	182 , 	158 , 	99 , 	67 , 	68 , 	115 ," 	1,109 "," 	1,152 "," 	1,019 ", 	915 , 	417 , 	306 , 	126 , 	149 , 	157 , 	37 , 	59 , 	120 , 	47 , 	121 , 	47 , 	56 , 	150 , 	176 , 	65 , 	90 , 	-   ," 	14,323 ",,,,,,,,,
AS, 	112 , 	152 , 	84 , 	80 , 	422 , 	18 , 	105 , 	261 , 	302 , 	92 , 	118 , 	64 , 	49 , 	35 , 	42 , 	22 , 	35 , 	61 , 	29 , 	21 , 	27 , 	10 , 	8 , 	18 , 	42 , 	754 , 	869 , 	566 , 	590 , 	294 , 	156 , 	32 , 	51 , 	52 , 	14 , 	10 , 	23 , 	7 , 	32 , 	16 , 	21 , 	57 , 	49 , 	12 , 	27 , 	-   ," 	5,839 ",,,,,,,,,
MA, 	170 , 	304 , 	126 , 	100 , 	476 , 	105 , 	31 , 	222 , 	260 , 	98 , 	197 , 	160 , 	128 , 	107 , 	127 , 	66 , 	80 , 	147 , 	164 , 	169 , 	136 , 	56 , 	38 , 	76 , 	66 ," 	1,152 "," 	1,347 ", 	952 ," 	1,008 ", 	430 , 	263 , 	69 , 	95 , 	119 , 	28 , 	30 , 	73 , 	55 , 	244 , 	42 , 	45 , 	93 , 	74 , 	28 , 	35 , 	-   ," 	9,789 ",,,,,,,,,
19, 	173 , 	503 , 	316 , 	285 , 	593 , 	258 , 	215 , 	29 , 	60 , 	51 , 	206 , 	183 , 	213 , 	189 , 	203 , 	164 , 	224 , 	391 , 	329 , 	379 , 	304 , 	156 , 	110 , 	191 , 	82 ," 	1,370 "," 	1,572 "," 	1,027 "," 	1,102 ", 	502 , 	346 , 	171 , 	146 , 	173 , 	78 , 	80 , 	210 , 	174 , 	278 , 	90 , 	67 , 	81 , 	146 , 	94 , 	41 , 	-   ," 	13,555 ",,,,,,,,,
12, 	231 , 	688 , 	355 , 	269 , 	610 , 	293 , 	247 , 	50 , 	39 , 	65 , 	246 , 	317 , 	350 , 	357 , 	319 , 	175 , 	253 , 	424 , 	365 , 	390 , 	297 , 	163 , 	120 , 	179 , 	108 ," 	1,356 "," 	1,398 "," 	1,089 "," 	1,097 ", 	382 , 	340 , 	188 , 	191 , 	217 , 	136 , 	121 , 	247 , 	186 , 	386 , 	97 , 	97 , 	110 , 	169 , 	135 , 	61 , 	-   ," 	14,912 ",,,,,,,,,
LM, 	65 , 	149 , 	107 , 	90 , 	351 , 	92 , 	99 , 	54 , 	69 , 	22 , 	243 , 	286 , 	322 , 	275 , 	187 , 	102 , 	136 , 	184 , 	45 , 	31 , 	34 , 	9 , 	11 , 	35 , 	61 , 	937 ," 	1,043 ", 	815 , 	709 , 	300 , 	163 , 	61 , 	98 , 	152 , 	13 , 	127 , 	216 , 	24 , 	60 , 	15 , 	22 , 	31 , 	28 , 	74 , 	26 , 	-   ," 	7,974 ",,,,,,,,,
FV, 	97 , 	150 , 	69 , 	73 , 	361 , 	118 , 	204 , 	217 , 	277 , 	224 , 	27 , 	250 , 	252 , 	265 , 	259 , 	105 , 	92 , 	170 , 	48 , 	28 , 	43 , 	20 , 	24 , 	56 , 	124 , 	984 ," 	1,082 "," 	1,004 ", 	966 , 	347 , 	247 , 	67 , 	109 , 	164 , 	13 , 	60 , 	126 , 	11 , 	58 , 	23 , 	32 , 	67 , 	34 , 	58 , 	12 , 	-   ," 	9,016 ",,,,,,,,,
CL, 	79 , 	131 , 	36 , 	35 , 	172 , 	74 , 	167 , 	200 , 	331 , 	249 , 	248 , 	20 , 	130 , 	179 , 	178 , 	76 , 	87 , 	130 , 	43 , 	33 , 	27 , 	14 , 	14 , 	34 , 	104 , 	518 , 	506 , 	477 , 	417 , 	155 , 	125 , 	53 , 	84 , 	120 , 	16 , 	51 , 	108 , 	17 , 	87 , 	22 , 	32 , 	31 , 	19 , 	44 , 	22 , 	-   ," 	5,695 ",,,,,,,,,
SL, 	49 , 	81 , 	33 , 	40 , 	209 , 	52 , 	138 , 	232 , 	362 , 	321 , 	255 , 	138 , 	16 , 	127 , 	208 , 	87 , 	87 , 	155 , 	31 , 	25 , 	24 , 	9 , 	9 , 	31 , 	46 , 	753 , 	791 , 	628 , 	517 , 	150 , 	102 , 	34 , 	74 , 	130 , 	11 , 	50 , 	104 , 	8 , 	54 , 	24 , 	17 , 	41 , 	13 , 	54 , 	10 , 	-   ," 	6,332 ",,,,,,,,,
BF, 	29 , 	51 , 	19 , 	22 , 	164 , 	37 , 	112 , 	204 , 	354 , 	257 , 	261 , 	185 , 	138 , 	17 , 	189 , 	91 , 	129 , 	295 , 	25 , 	16 , 	18 , 	5 , 	3 , 	11 , 	48 , 	762 , 	754 , 	611 , 	482 , 	142 , 	83 , 	32 , 	66 , 	103 , 	11 , 	76 , 	205 , 	8 , 	24 , 	15 , 	19 , 	27 , 	9 , 	102 , 	7 , 	-   ," 	6,216 ",,,,,,,,,
HY, 	44 , 	98 , 	29 , 	34 , 	182 , 	48 , 	130 , 	212 , 	309 , 	181 , 	260 , 	190 , 	205 , 	197 , 	23 , 	123 , 	236 , 	424 , 	37 , 	33 , 	26 , 	9 , 	6 , 	21 , 	37 , 	560 , 	587 , 	428 , 	329 , 	103 , 	67 , 	26 , 	47 , 	73 , 	9 , 	29 , 	76 , 	12 , 	67 , 	10 , 	19 , 	23 , 	9 , 	44 , 	12 , 	-   ," 	5,621 ",,,,,,,,,
SH, 	23 , 	32 , 	10 , 	11 , 	87 , 	23 , 	59 , 	165 , 	161 , 	98 , 	100 , 	75 , 	81 , 	82 , 	105 , 	12 , 	97 , 	205 , 	15 , 	8 , 	10 , 	1 , 	2 , 	9 , 	14 , 	431 , 	404 , 	280 , 	257 , 	76 , 	45 , 	10 , 	27 , 	56 , 	6 , 	16 , 	35 , 	2 , 	17 , 	8 , 	6 , 	13 , 	8 , 	21 , 	6 , 	-   ," 	3,208 ",,,,,,,,,
UC, 	24 , 	42 , 	17 , 	19 , 	173 , 	40 , 	80 , 	224 , 	252 , 	131 , 	91 , 	89 , 	92 , 	151 , 	234 , 	90 , 	20 , 	257 , 	14 , 	11 , 	15 , 	5 , 	6 , 	13 , 	13 ," 	1,030 ", 	939 , 	453 , 	350 , 	83 , 	35 , 	11 , 	26 , 	83 , 	4 , 	19 , 	68 , 	4 , 	20 , 	8 , 	6 , 	29 , 	8 , 	26 , 	18 , 	-   ," 	5,326 ",,,,,,,,,
FM, 	37 , 	101 , 	54 , 	45 , 	308 , 	66 , 	152 , 	396 , 	409 , 	190 , 	184 , 	142 , 	156 , 	292 , 	433 , 	222 , 	231 , 	58 , 	37 , 	33 , 	29 , 	14 , 	17 , 	30 , 	27 ," 	2,009 "," 	1,761 ", 	745 , 	530 , 	136 , 	60 , 	32 , 	43 , 	110 , 	11 , 	43 , 	119 , 	9 , 	47 , 	11 , 	12 , 	46 , 	7 , 	44 , 	35 , 	-   ," 	9,476 ",,,,,,,,,
