Exit stations,Entry stations->,,SATURDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	7 , 	77 , 	75 , 	38 , 	272 , 	60 , 	59 , 	50 , 	66 , 	22 , 	69 , 	69 , 	20 , 	11 , 	16 , 	12 , 	9 , 	19 , 	18 , 	4 , 	13 , 	5 , 	7 , 	10 , 	14 , 	138 , 	109 , 	287 , 	118 , 	101 , 	116 , 	25 , 	37 , 	34 , 	12 , 	3 , 	6 , 	3 , 	20 , 	8 , 	13 , 	31 , 	10 , 	3 , 	8 , 	-   ," 	2,106 ",,,,,,,,,,
EN, 	72 , 	15 , 	70 , 	59 , 	542 , 	94 , 	117 , 	113 , 	145 , 	40 , 	101 , 	204 , 	35 , 	21 , 	36 , 	12 , 	16 , 	41 , 	28 , 	7 , 	23 , 	12 , 	7 , 	28 , 	32 , 	303 , 	264 , 	665 , 	251 , 	107 , 	128 , 	34 , 	55 , 	58 , 	18 , 	5 , 	10 , 	3 , 	28 , 	13 , 	18 , 	81 , 	23 , 	5 , 	24 , 	-   ," 	3,963 ",,,,,,,,,,
EP, 	77 , 	70 , 	12 , 	39 , 	449 , 	66 , 	65 , 	91 , 	124 , 	27 , 	46 , 	118 , 	18 , 	10 , 	9 , 	4 , 	6 , 	22 , 	8 , 	10 , 	15 , 	9 , 	7 , 	19 , 	12 , 	173 , 	157 , 	338 , 	164 , 	74 , 	55 , 	27 , 	16 , 	22 , 	5 , 	3 , 	8 , 	2 , 	8 , 	4 , 	8 , 	58 , 	11 , 	4 , 	20 , 	-   ," 	2,493 ",,,,,,,,,,
NB, 	44 , 	54 , 	44 , 	17 , 	143 , 	47 , 	58 , 	101 , 	87 , 	31 , 	58 , 	87 , 	17 , 	10 , 	14 , 	6 , 	7 , 	21 , 	12 , 	10 , 	17 , 	7 , 	6 , 	13 , 	13 , 	261 , 	180 , 	353 , 	275 , 	130 , 	105 , 	28 , 	23 , 	24 , 	5 , 	5 , 	11 , 	3 , 	9 , 	4 , 	6 , 	80 , 	18 , 	4 , 	32 , 	-   ," 	2,478 ",,,,,,,,,,
BK, 	269 , 	554 , 	461 , 	158 , 	61 , 	283 , 	261 , 	306 , 	332 , 	130 , 	234 , 	159 , 	138 , 	64 , 	80 , 	37 , 	84 , 	268 , 	56 , 	87 , 	118 , 	61 , 	54 , 	46 , 	79 , 	688 , 	426 ," 	1,099 ", 	620 , 	372 , 	255 , 	119 , 	87 , 	141 , 	24 , 	30 , 	87 , 	16 , 	62 , 	23 , 	24 , 	131 , 	135 , 	35 , 	94 , 	-   ," 	8,850 ",,,,,,,,,,
AS, 	62 , 	101 , 	59 , 	50 , 	231 , 	19 , 	73 , 	136 , 	121 , 	44 , 	79 , 	92 , 	34 , 	19 , 	21 , 	12 , 	10 , 	32 , 	13 , 	6 , 	18 , 	7 , 	8 , 	11 , 	29 , 	210 , 	163 , 	349 , 	261 , 	181 , 	135 , 	31 , 	26 , 	18 , 	5 , 	4 , 	10 , 	6 , 	16 , 	4 , 	5 , 	45 , 	18 , 	3 , 	21 , 	-   ," 	2,799 ",,,,,,,,,,
MA, 	85 , 	112 , 	61 , 	66 , 	255 , 	76 , 	26 , 	100 , 	102 , 	34 , 	114 , 	170 , 	46 , 	29 , 	29 , 	11 , 	15 , 	37 , 	55 , 	27 , 	50 , 	27 , 	19 , 	51 , 	44 , 	354 , 	283 , 	580 , 	425 , 	297 , 	205 , 	46 , 	41 , 	36 , 	9 , 	7 , 	13 , 	13 , 	77 , 	6 , 	17 , 	80 , 	21 , 	7 , 	24 , 	-   ," 	4,181 ",,,,,,,,,,
19, 	58 , 	127 , 	88 , 	113 , 	318 , 	138 , 	97 , 	28 , 	20 , 	16 , 	102 , 	157 , 	71 , 	37 , 	36 , 	15 , 	22 , 	51 , 	56 , 	45 , 	73 , 	50 , 	35 , 	104 , 	65 , 	365 , 	284 , 	592 , 	477 , 	325 , 	254 , 	77 , 	54 , 	63 , 	12 , 	7 , 	27 , 	15 , 	39 , 	13 , 	11 , 	62 , 	36 , 	9 , 	20 , 	-   ," 	4,664 ",,,,,,,,,,
12, 	67 , 	153 , 	116 , 	83 , 	272 , 	129 , 	103 , 	21 , 	29 , 	21 , 	102 , 	176 , 	76 , 	55 , 	53 , 	22 , 	32 , 	72 , 	68 , 	62 , 	71 , 	35 , 	30 , 	68 , 	80 , 	387 , 	300 , 	675 , 	397 , 	208 , 	175 , 	70 , 	76 , 	61 , 	26 , 	14 , 	22 , 	12 , 	62 , 	20 , 	21 , 	73 , 	51 , 	8 , 	25 , 	-   ," 	4,678 ",,,,,,,,,,
LM, 	17 , 	46 , 	29 , 	34 , 	131 , 	50 , 	38 , 	18 , 	20 , 	19 , 	127 , 	254 , 	188 , 	98 , 	56 , 	29 , 	35 , 	75 , 	14 , 	13 , 	14 , 	5 , 	7 , 	20 , 	32 , 	301 , 	251 , 	571 , 	291 , 	194 , 	140 , 	40 , 	43 , 	39 , 	5 , 	51 , 	73 , 	4 , 	10 , 	4 , 	7 , 	31 , 	8 , 	30 , 	21 , 	-   ," 	3,483 ",,,,,,,,,,
FV, 	63 , 	101 , 	44 , 	53 , 	222 , 	80 , 	104 , 	92 , 	98 , 	93 , 	24 , 	297 , 	144 , 	131 , 	95 , 	50 , 	40 , 	78 , 	28 , 	19 , 	25 , 	13 , 	12 , 	39 , 	72 , 	363 , 	273 , 	726 , 	380 , 	199 , 	180 , 	38 , 	62 , 	58 , 	7 , 	46 , 	65 , 	5 , 	37 , 	10 , 	17 , 	43 , 	17 , 	45 , 	12 , 	-   ," 	4,599 ",,,,,,,,,,
CL, 	79 , 	240 , 	127 , 	97 , 	176 , 	109 , 	179 , 	153 , 	181 , 	186 , 	280 , 	19 , 	309 , 	258 , 	174 , 	104 , 	195 , 	426 , 	116 , 	123 , 	154 , 	107 , 	87 , 	105 , 	95 , 	296 , 	215 , 	464 , 	270 , 	106 , 	131 , 	66 , 	61 , 	117 , 	14 , 	164 , 	654 , 	78 , 	122 , 	23 , 	27 , 	29 , 	42 , 	207 , 	30 , 	-   ," 	7,193 ",,,,,,,,,,
SL, 	23 , 	41 , 	16 , 	20 , 	141 , 	33 , 	49 , 	85 , 	95 , 	151 , 	139 , 	312 , 	11 , 	59 , 	53 , 	19 , 	23 , 	39 , 	17 , 	10 , 	11 , 	3 , 	4 , 	22 , 	31 , 	338 , 	279 , 	595 , 	244 , 	89 , 	74 , 	25 , 	39 , 	46 , 	6 , 	23 , 	26 , 	3 , 	21 , 	8 , 	10 , 	49 , 	8 , 	27 , 	9 , 	-   ," 	3,326 ",,,,,,,,,,
BF, 	9 , 	24 , 	10 , 	12 , 	69 , 	20 , 	33 , 	45 , 	62 , 	95 , 	129 , 	261 , 	57 , 	17 , 	129 , 	52 , 	70 , 	161 , 	11 , 	5 , 	5 , 	2 , 	1 , 	8 , 	19 , 	112 , 	97 , 	265 , 	94 , 	38 , 	33 , 	12 , 	21 , 	18 , 	6 , 	57 , 	104 , 	2 , 	15 , 	6 , 	9 , 	15 , 	7 , 	94 , 	6 , 	-   ," 	2,316 ",,,,,,,,,,
HY, 	15 , 	30 , 	7 , 	14 , 	69 , 	19 , 	30 , 	43 , 	58 , 	42 , 	93 , 	177 , 	50 , 	136 , 	24 , 	64 , 	79 , 	155 , 	12 , 	5 , 	8 , 	1 , 	3 , 	7 , 	16 , 	103 , 	62 , 	187 , 	71 , 	38 , 	29 , 	11 , 	17 , 	18 , 	5 , 	21 , 	39 , 	2 , 	18 , 	3 , 	5 , 	11 , 	7 , 	45 , 	5 , 	-   ," 	1,853 ",,,,,,,,,,
SH, 	13 , 	16 , 	4 , 	5 , 	43 , 	11 , 	10 , 	21 , 	23 , 	23 , 	54 , 	103 , 	18 , 	62 , 	62 , 	13 , 	41 , 	80 , 	8 , 	2 , 	3 , 	1 , 	0 , 	4 , 	5 , 	59 , 	50 , 	115 , 	40 , 	24 , 	23 , 	5 , 	9 , 	16 , 	4 , 	14 , 	16 , 	1 , 	6 , 	3 , 	3 , 	9 , 	2 , 	16 , 	5 , 	-   ," 	1,043 ",,,,,,,,,,
UC, 	8 , 	18 , 	8 , 	5 , 	97 , 	13 , 	14 , 	27 , 	42 , 	30 , 	47 , 	181 , 	20 , 	73 , 	82 , 	36 , 	22 , 	96 , 	11 , 	5 , 	5 , 	1 , 	1 , 	8 , 	7 , 	136 , 	94 , 	192 , 	67 , 	25 , 	17 , 	7 , 	13 , 	24 , 	3 , 	15 , 	25 , 	2 , 	7 , 	3 , 	5 , 	10 , 	5 , 	16 , 	12 , 	-   ," 	1,535 ",,,,,,,,,,
