Exit stations,Entry stations->,,SUNDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	8 , 	51 , 	62 , 	33 , 	176 , 	47 , 	52 , 	27 , 	38 , 	19 , 	47 , 	51 , 	16 , 	7 , 	8 , 	7 , 	5 , 	11 , 	15 , 	5 , 	7 , 	4 , 	6 , 	13 , 	11 , 	101 , 	77 , 	209 , 	86 , 	64 , 	61 , 	18 , 	25 , 	22 , 	7 , 	1 , 	6 , 	2 , 	24 , 	5 , 	8 , 	35 , 	13 , 	1 , 	11 , 	-   ," 	1,496 ",,,,,,,,,,,
EN, 	58 , 	15 , 	53 , 	43 , 	294 , 	75 , 	93 , 	57 , 	86 , 	36 , 	63 , 	101 , 	33 , 	14 , 	14 , 	6 , 	10 , 	31 , 	21 , 	6 , 	17 , 	11 , 	6 , 	15 , 	25 , 	188 , 	160 , 	428 , 	158 , 	73 , 	68 , 	26 , 	41 , 	35 , 	16 , 	3 , 	9 , 	2 , 	12 , 	10 , 	11 , 	82 , 	15 , 	2 , 	26 , 	-   ," 	2,545 ",,,,,,,,,,,
EP, 	57 , 	48 , 	10 , 	38 , 	278 , 	50 , 	49 , 	51 , 	67 , 	28 , 	39 , 	80 , 	15 , 	8 , 	9 , 	3 , 	6 , 	20 , 	9 , 	6 , 	14 , 	8 , 	5 , 	18 , 	10 , 	102 , 	85 , 	209 , 	131 , 	46 , 	42 , 	18 , 	12 , 	14 , 	3 , 	1 , 	6 , 	2 , 	7 , 	4 , 	7 , 	68 , 	9 , 	3 , 	31 , 	-   ," 	1,720 ",,,,,,,,,,,
NB, 	36 , 	38 , 	36 , 	14 , 	86 , 	44 , 	47 , 	57 , 	58 , 	29 , 	40 , 	56 , 	16 , 	6 , 	8 , 	6 , 	6 , 	23 , 	6 , 	10 , 	16 , 	9 , 	7 , 	9 , 	11 , 	183 , 	114 , 	250 , 	205 , 	96 , 	81 , 	21 , 	15 , 	21 , 	2 , 	3 , 	5 , 	4 , 	9 , 	2 , 	6 , 	104 , 	15 , 	2 , 	47 , 	-   ," 	1,852 ",,,,,,,,,,,
BK, 	200 , 	300 , 	272 , 	92 , 	39 , 	168 , 	158 , 	202 , 	191 , 	87 , 	138 , 	94 , 	76 , 	21 , 	39 , 	15 , 	43 , 	170 , 	28 , 	40 , 	55 , 	32 , 	19 , 	31 , 	59 , 	388 , 	246 , 	648 , 	359 , 	236 , 	158 , 	66 , 	50 , 	77 , 	14 , 	13 , 	39 , 	11 , 	27 , 	12 , 	16 , 	184 , 	95 , 	20 , 	109 , 	-   ," 	5,332 ",,,,,,,,,,,
AS, 	54 , 	63 , 	49 , 	44 , 	154 , 	20 , 	62 , 	101 , 	78 , 	40 , 	65 , 	55 , 	26 , 	14 , 	9 , 	9 , 	11 , 	26 , 	11 , 	10 , 	11 , 	7 , 	6 , 	9 , 	24 , 	147 , 	94 , 	251 , 	193 , 	140 , 	85 , 	22 , 	18 , 	20 , 	4 , 	4 , 	8 , 	1 , 	9 , 	4 , 	3 , 	69 , 	14 , 	4 , 	35 , 	-   ," 	2,077 ",,,,,,,,,,,
MA, 	67 , 	89 , 	43 , 	44 , 	146 , 	56 , 	18 , 	57 , 	74 , 	29 , 	69 , 	99 , 	37 , 	22 , 	18 , 	9 , 	9 , 	29 , 	35 , 	22 , 	41 , 	20 , 	12 , 	40 , 	43 , 	251 , 	186 , 	404 , 	308 , 	204 , 	141 , 	37 , 	29 , 	24 , 	6 , 	6 , 	9 , 	7 , 	58 , 	5 , 	12 , 	128 , 	20 , 	7 , 	38 , 	-   ," 	3,001 ",,,,,,,,,,,
19, 	28 , 	53 , 	44 , 	69 , 	178 , 	91 , 	52 , 	17 , 	16 , 	14 , 	56 , 	77 , 	34 , 	23 , 	19 , 	11 , 	10 , 	28 , 	26 , 	20 , 	46 , 	19 , 	16 , 	62 , 	41 , 	251 , 	163 , 	366 , 	314 , 	181 , 	156 , 	38 , 	29 , 	31 , 	7 , 	5 , 	12 , 	7 , 	25 , 	6 , 	6 , 	99 , 	25 , 	5 , 	37 , 	-   ," 	2,810 ",,,,,,,,,,,
12, 	39 , 	77 , 	64 , 	55 , 	157 , 	70 , 	61 , 	14 , 	24 , 	15 , 	65 , 	104 , 	46 , 	32 , 	27 , 	13 , 	16 , 	28 , 	35 , 	33 , 	40 , 	21 , 	19 , 	42 , 	44 , 	264 , 	186 , 	456 , 	247 , 	145 , 	105 , 	43 , 	51 , 	34 , 	22 , 	4 , 	11 , 	10 , 	44 , 	15 , 	12 , 	119 , 	26 , 	4 , 	40 , 	-   ," 	2,977 ",,,,,,,,,,,
LM, 	21 , 	34 , 	29 , 	35 , 	78 , 	44 , 	33 , 	15 , 	15 , 	18 , 	132 , 	131 , 	121 , 	61 , 	38 , 	28 , 	22 , 	54 , 	13 , 	5 , 	8 , 	3 , 	9 , 	14 , 	32 , 	225 , 	189 , 	444 , 	247 , 	167 , 	127 , 	37 , 	42 , 	31 , 	6 , 	32 , 	60 , 	2 , 	9 , 	2 , 	5 , 	35 , 	6 , 	26 , 	36 , 	-   ," 	2,714 ",,,,,,,,,,,
