Exit stations,Entry stations->,,WEEKDAY,,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	12 , 	141 , 	110 , 	97 , 	441 , 	106 , 	156 , 	155 , 	196 , 	53 , 	107 , 	93 , 	44 , 	32 , 	39 , 	26 , 	24 , 	42 , 	30 , 	14 , 	25 , 	6 , 	10 , 	17 , 	26 , 	371 , 	393 , 	461 , 	358 , 	201 , 	209 , 	46 , 	80 , 	82 , 	20 , 	5 , 	16 , 	6 , 	34 , 	20 , 	28 , 	47 , 	27 , 	4 , 	14 , 	-   ," 	4,425 ",,,,,,,,,
EN, 	153 , 	20 , 	117 , 	106 , 	944 , 	178 , 	291 , 	493 , 	661 , 	133 , 	142 , 	167 , 	73 , 	55 , 	82 , 	28 , 	45 , 	93 , 	39 , 	24 , 	38 , 	10 , 	11 , 	35 , 	41 , 	987 ," 	1,132 "," 	1,003 ", 	817 , 	259 , 	241 , 	66 , 	116 , 	136 , 	33 , 	10 , 	26 , 	6 , 	32 , 	46 , 	47 , 	111 , 	69 , 	15 , 	43 , 	-   ," 	9,174 ",,,,,,,,,
EP, 	125 , 	109 , 	13 , 	65 , 	709 , 	89 , 	136 , 	325 , 	354 , 	81 , 	67 , 	78 , 	30 , 	16 , 	29 , 	12 , 	16 , 	47 , 	15 , 	19 , 	24 , 	11 , 	8 , 	39 , 	15 , 	589 , 	684 , 	456 , 	444 , 	133 , 	70 , 	26 , 	41 , 	53 , 	5 , 	5 , 	23 , 	4 , 	16 , 	22 , 	12 , 	65 , 	37 , 	7 , 	29 , 	-   ," 	5,152 ",,,,,,,,,
NB, 	95 , 	97 , 	60 , 	16 , 	208 , 	79 , 	106 , 	271 , 	245 , 	69 , 	74 , 	74 , 	30 , 	21 , 	28 , 	8 , 	17 , 	40 , 	21 , 	20 , 	30 , 	9 , 	11 , 	28 , 	21 , 	719 , 	791 , 	451 , 	541 , 	170 , 	98 , 	25 , 	35 , 	43 , 	8 , 	9 , 	21 , 	5 , 	18 , 	18 , 	10 , 	100 , 	41 , 	6 , 	38 , 	-   ," 	4,826 ",,,,,,,,,
BK, 	476 , 	990 , 	732 , 	219 , 	45 , 	395 , 	435 , 	587 , 	619 , 	281 , 	321 , 	188 , 	189 , 	150 , 	159 , 	77 , 	143 , 	287 , 	139 , 	166 , 	141 , 	84 , 	60 , 	53 , 	100 ," 	1,064 "," 	1,107 "," 	1,011 ", 	845 , 	387 , 	289 , 	124 , 	132 , 	123 , 	30 , 	57 , 	122 , 	48 , 	115 , 	45 , 	45 , 	200 , 	175 , 	58 , 	99 , 	-   ," 	13,111 ",,,,,,,,,
AS, 	105 , 	149 , 	89 , 	82 , 	364 , 	17 , 	105 , 	264 , 	279 , 	76 , 	108 , 	90 , 	56 , 	39 , 	41 , 	20 , 	37 , 	65 , 	29 , 	26 , 	23 , 	13 , 	7 , 	16 , 	32 , 	748 , 	849 , 	551 , 	575 , 	266 , 	156 , 	33 , 	50 , 	41 , 	13 , 	10 , 	20 , 	8 , 	28 , 	16 , 	17 , 	68 , 	51 , 	9 , 	32 , 	-   ," 	5,671 ",,,,,,,,,
MA, 	168 , 	291 , 	126 , 	109 , 	403 , 	105 , 	30 , 	203 , 	249 , 	87 , 	185 , 	200 , 	127 , 	98 , 	118 , 	67 , 	82 , 	149 , 	151 , 	163 , 	132 , 	63 , 	39 , 	70 , 	57 ," 	1,119 "," 	1,318 ", 	905 , 	939 , 	441 , 	256 , 	75 , 	91 , 	93 , 	25 , 	31 , 	65 , 	52 , 	227 , 	42 , 	31 , 	120 , 	70 , 	23 , 	37 , 	-   ," 	9,432 ",,,,,,,,,
19, 	184 , 	503 , 	328 , 	281 , 	545 , 	263 , 	203 , 	37 , 	57 , 	44 , 	194 , 	218 , 	201 , 	188 , 	202 , 	167 , 	211 , 	378 , 	330 , 	373 , 	304 , 	140 , 	111 , 	178 , 	71 ," 	1,344 "," 	1,516 ", 	958 ," 	1,084 ", 	477 , 	359 , 	176 , 	153 , 	168 , 	77 , 	81 , 	208 , 	161 , 	251 , 	85 , 	66 , 	96 , 	146 , 	89 , 	40 , 	-   ," 	13,246 ",,,,,,,,,
12, 	205 , 	689 , 	339 , 	262 , 	540 , 	278 , 	233 , 	50 , 	43 , 	52 , 	243 , 	351 , 	361 , 	365 , 	316 , 	172 , 	242 , 	403 , 	364 , 	407 , 	299 , 	162 , 	133 , 	171 , 	109 ," 	1,341 "," 	1,350 "," 	1,014 "," 	1,041 ", 	368 , 	329 , 	194 , 	178 , 	218 , 	139 , 	127 , 	241 , 	184 , 	372 , 	96 , 	99 , 	138 , 	163 , 	131 , 	61 , 	-   ," 	14,572 ",,,,,,,,,
LM, 	53 , 	124 , 	89 , 	76 , 	263 , 	76 , 	88 , 	41 , 	55 , 	19 , 	208 , 	320 , 	322 , 	270 , 	166 , 	91 , 	139 , 	188 , 	35 , 	29 , 	35 , 	12 , 	10 , 	36 , 	49 , 	905 ," 	1,027 ", 	781 , 	655 , 	284 , 	162 , 	59 , 	93 , 	115 , 	16 , 	130 , 	188 , 	19 , 	55 , 	15 , 	19 , 	40 , 	26 , 	78 , 	28 , 	-   ," 	7,489 ",,,,,,,,,
FV, 	101 , 	145 , 	68 , 	75 , 	319 , 	106 , 	201 , 	205 , 	263 , 	193 , 	26 , 	311 , 	245 , 	256 , 	233 , 	96 , 	96 , 	180 , 	51 , 	27 , 	43 , 	19 , 	25 , 	55 , 	122 , 	958 ," 	1,041 ", 	951 , 	902 , 	350 , 	257 , 	67 , 	100 , 	128 , 	13 , 	63 , 	136 , 	13 , 	57 , 	21 , 	30 , 	76 , 	30 , 	59 , 	14 , 	-   ," 	8,731 ",,,,,,,,,
CL, 	93 , 	174 , 	73 , 	78 , 	191 , 	102 , 	207 , 	242 , 	380 , 	279 , 	315 , 	28 , 	211 , 	245 , 	218 , 	109 , 	168 , 	341 , 	80 , 	82 , 	86 , 	56 , 	43 , 	72 , 	130 , 	715 , 	693 , 	631 , 	531 , 	173 , 	151 , 	86 , 	87 , 	146 , 	21 , 	106 , 	311 , 	30 , 	116 , 	30 , 	38 , 	44 , 	47 , 	151 , 	38 , 	-   ," 	8,150 ",,,,,,,,,
SL, 	48 , 	78 , 	33 , 	36 , 	185 , 	59 , 	147 , 	225 , 	371 , 	310 , 	258 , 	213 , 	18 , 	119 , 	194 , 	83 , 	86 , 	160 , 	31 , 	20 , 	23 , 	7 , 	9 , 	30 , 	41 , 	715 , 	764 , 	590 , 	501 , 	156 , 	101 , 	36 , 	76 , 	103 , 	11 , 	51 , 	93 , 	10 , 	44 , 	19 , 	18 , 	43 , 	14 , 	48 , 	9 , 	-   ," 	6,186 ",,,,,,,,,
BF, 	29 , 	53 , 	16 , 	25 , 	143 , 	37 , 	102 , 	197 , 	356 , 	260 , 	253 , 	251 , 	126 , 	19 , 	182 , 	88 , 	131 , 	283 , 	23 , 	10 , 	16 , 	5 , 	3 , 	13 , 	49 , 	701 , 	723 , 	566 , 	456 , 	139 , 	91 , 	31 , 	59 , 	78 , 	12 , 	71 , 	195 , 	7 , 	21 , 	18 , 	18 , 	30 , 	8 , 	94 , 	8 , 	-   ," 	5,997 ",,,,,,,,,
HY, 	43 , 	88 , 	31 , 	29 , 	152 , 	44 , 	120 , 	216 , 	302 , 	156 , 	245 , 	226 , 	189 , 	186 , 	20 , 	116 , 	233 , 	411 , 	32 , 	29 , 	21 , 	8 , 	5 , 	19 , 	36 , 	512 , 	557 , 	393 , 	310 , 	91 , 	64 , 	25 , 	43 , 	58 , 	7 , 	27 , 	80 , 	12 , 	58 , 	10 , 	15 , 	26 , 	8 , 	44 , 	16 , 	-   ," 	5,313 ",,,,,,,,,
SH, 	26 , 	30 , 	10 , 	11 , 	70 , 	22 , 	58 , 	164 , 	164 , 	91 , 	95 , 	112 , 	72 , 	79 , 	101 , 	10 , 	86 , 	192 , 	12 , 	6 , 	10 , 	3 , 	2 , 	7 , 	19 , 	396 , 	388 , 	249 , 	226 , 	70 , 	49 , 	13 , 	24 , 	41 , 	6 , 	16 , 	33 , 	2 , 	17 , 	6 , 	7 , 	15 , 	6 , 	18 , 	6 , 	-   ," 	3,040 ",,,,,,,,,
UC, 	27 , 	46 , 	17 , 	15 , 	147 , 	40 , 	82 , 	217 , 	241 , 	141 , 	96 , 	168 , 	90 , 	138 , 	233 , 	85 , 	23 , 	193 , 	14 , 	15 , 	16 , 	4 , 	7 , 	13 , 	11 ," 	1,008 ", 	910 , 	396 , 	325 , 	85 , 	39 , 	12 , 	23 , 	61 , 	7 , 	21 , 	66 , 	6 , 	21 , 	8 , 	8 , 	29 , 	7 , 	23 , 	19 , 	-   ," 	5,156 ",,,,,,,,,
