Exit stations,Entry stations->,,SATURDAY,,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	7 , 	73 , 	73 , 	33 , 	238 , 	65 , 	70 , 	51 , 	70 , 	15 , 	63 , 	50 , 	22 , 	17 , 	24 , 	14 , 	11 , 	18 , 	16 , 	6 , 	13 , 	6 , 	7 , 	14 , 	16 , 	150 , 	114 , 	289 , 	134 , 	107 , 	111 , 	21 , 	35 , 	26 , 	11 , 	3 , 	9 , 	2 , 	23 , 	9 , 	10 , 	34 , 	15 , 	4 , 	11 , 	-   ," 	2,099 ",,,,,,,,,,
EN, 	76 , 	19 , 	69 , 	64 , 	455 , 	116 , 	122 , 	100 , 	147 , 	42 , 	94 , 	101 , 	39 , 	39 , 	35 , 	18 , 	19 , 	57 , 	25 , 	10 , 	20 , 	11 , 	7 , 	20 , 	33 , 	362 , 	277 , 	683 , 	267 , 	150 , 	125 , 	38 , 	53 , 	42 , 	14 , 	9 , 	14 , 	2 , 	26 , 	14 , 	17 , 	79 , 	25 , 	6 , 	29 , 	-   ," 	3,967 ",,,,,,,,,,
EP, 	79 , 	63 , 	11 , 	46 , 	429 , 	66 , 	71 , 	84 , 	102 , 	20 , 	39 , 	35 , 	15 , 	14 , 	12 , 	6 , 	11 , 	25 , 	7 , 	8 , 	17 , 	10 , 	6 , 	25 , 	12 , 	204 , 	156 , 	314 , 	170 , 	97 , 	54 , 	19 , 	13 , 	17 , 	6 , 	5 , 	10 , 	2 , 	10 , 	4 , 	5 , 	53 , 	16 , 	5 , 	28 , 	-   ," 	2,396 ",,,,,,,,,,
NB, 	37 , 	62 , 	52 , 	15 , 	161 , 	50 , 	60 , 	87 , 	70 , 	29 , 	59 , 	39 , 	20 , 	17 , 	18 , 	7 , 	8 , 	33 , 	12 , 	10 , 	19 , 	12 , 	4 , 	13 , 	12 , 	323 , 	210 , 	318 , 	266 , 	201 , 	96 , 	35 , 	19 , 	18 , 	5 , 	4 , 	9 , 	4 , 	10 , 	2 , 	6 , 	82 , 	23 , 	8 , 	37 , 	-   ," 	2,576 ",,,,,,,,,,
BK, 	251 , 	471 , 	428 , 	182 , 	53 , 	246 , 	249 , 	290 , 	273 , 	113 , 	216 , 	98 , 	100 , 	76 , 	63 , 	38 , 	60 , 	213 , 	53 , 	65 , 	88 , 	68 , 	41 , 	57 , 	74 , 	813 , 	470 , 	991 , 	656 , 	433 , 	244 , 	110 , 	76 , 	88 , 	21 , 	31 , 	97 , 	13 , 	50 , 	17 , 	30 , 	188 , 	99 , 	34 , 	85 , 	-   ," 	8,407 ",,,,,,,,,,
AS, 	69 , 	110 , 	64 , 	45 , 	211 , 	21 , 	79 , 	116 , 	109 , 	37 , 	79 , 	50 , 	28 , 	27 , 	20 , 	10 , 	9 , 	33 , 	15 , 	8 , 	17 , 	8 , 	5 , 	12 , 	36 , 	245 , 	171 , 	328 , 	252 , 	224 , 	125 , 	28 , 	23 , 	18 , 	6 , 	7 , 	12 , 	3 , 	15 , 	4 , 	7 , 	59 , 	13 , 	6 , 	20 , 	-   ," 	2,782 ",,,,,,,,,,
MA, 	90 , 	128 , 	62 , 	58 , 	251 , 	81 , 	22 , 	87 , 	95 , 	35 , 	109 , 	97 , 	49 , 	49 , 	40 , 	14 , 	14 , 	47 , 	46 , 	39 , 	54 , 	25 , 	19 , 	43 , 	47 , 	446 , 	296 , 	650 , 	550 , 	448 , 	238 , 	57 , 	40 , 	35 , 	9 , 	11 , 	18 , 	10 , 	81 , 	6 , 	17 , 	95 , 	29 , 	10 , 	21 , 	-   ," 	4,662 ",,,,,,,,,,
19, 	58 , 	103 , 	87 , 	84 , 	283 , 	110 , 	87 , 	27 , 	16 , 	14 , 	83 , 	73 , 	66 , 	58 , 	39 , 	19 , 	26 , 	56 , 	44 , 	48 , 	65 , 	38 , 	29 , 	71 , 	56 , 	375 , 	299 , 	541 , 	455 , 	367 , 	255 , 	73 , 	54 , 	52 , 	11 , 	14 , 	21 , 	10 , 	45 , 	9 , 	12 , 	70 , 	33 , 	12 , 	16 , 	-   ," 	4,362 ",,,,,,,,,,
12, 	66 , 	137 , 	103 , 	77 , 	266 , 	118 , 	93 , 	16 , 	28 , 	13 , 	89 , 	101 , 	84 , 	89 , 	60 , 	30 , 	36 , 	64 , 	58 , 	53 , 	60 , 	34 , 	28 , 	70 , 	79 , 	406 , 	301 , 	618 , 	381 , 	235 , 	152 , 	54 , 	64 , 	53 , 	23 , 	15 , 	25 , 	14 , 	56 , 	12 , 	21 , 	89 , 	49 , 	9 , 	21 , 	-   ," 	4,444 ",,,,,,,,,,
LM, 	16 , 	39 , 	31 , 	28 , 	110 , 	32 , 	37 , 	13 , 	14 , 	16 , 	110 , 	133 , 	130 , 	128 , 	54 , 	32 , 	37 , 	68 , 	11 , 	10 , 	16 , 	7 , 	5 , 	14 , 	23 , 	322 , 	274 , 	568 , 	312 , 	249 , 	144 , 	39 , 	41 , 	38 , 	5 , 	52 , 	83 , 	2 , 	12 , 	4 , 	7 , 	29 , 	10 , 	40 , 	19 , 	-   ," 	3,356 ",,,,,,,,,,
FV, 	67 , 	97 , 	42 , 	52 , 	208 , 	80 , 	101 , 	86 , 	101 , 	79 , 	21 , 	158 , 	144 , 	180 , 	112 , 	51 , 	39 , 	98 , 	27 , 	14 , 	30 , 	14 , 	19 , 	36 , 	81 , 	406 , 	304 , 	713 , 	422 , 	282 , 	179 , 	43 , 	55 , 	52 , 	5 , 	57 , 	72 , 	6 , 	36 , 	5 , 	17 , 	59 , 	18 , 	50 , 	11 , 	-   ," 	4,726 ",,,,,,,,,,
