Exit stations,Entry stations->,,WEEKDAY,,,Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	12 , 	121 , 	94 , 	81 , 	429 , 	105 , 	157 , 	161 , 	194 , 	46 , 	97 , 	89 , 	39 , 	33 , 	27 , 	24 , 	19 , 	34 , 	27 , 	16 , 	26 , 	6 , 	8 , 	19 , 	29 , 	386 , 	385 , 	464 , 	347 , 	192 , 	198 , 	43 , 	78 , 	70 , 	16 , 	4 , 	16 , 	6 , 	39 , 	15 , 	25 , 	55 , 	27 , 	5 , 	13 , 	-   ," 	4,277 ",,,,,,,,,
EN, 	144 , 	21 , 	108 , 	92 , 	916 , 	159 , 	270 , 	482 , 	624 , 	115 , 	140 , 	135 , 	72 , 	53 , 	60 , 	28 , 	41 , 	83 , 	42 , 	23 , 	41 , 	15 , 	11 , 	39 , 	41 ," 	1,032 "," 	1,113 ", 	975 , 	852 , 	274 , 	233 , 	83 , 	112 , 	109 , 	33 , 	8 , 	31 , 	8 , 	34 , 	37 , 	48 , 	121 , 	69 , 	14 , 	37 , 	-   ," 	8,978 ",,,,,,,,,
EP, 	99 , 	101 , 	14 , 	64 , 	710 , 	91 , 	141 , 	294 , 	330 , 	65 , 	62 , 	54 , 	31 , 	17 , 	23 , 	10 , 	20 , 	49 , 	15 , 	17 , 	29 , 	12 , 	11 , 	34 , 	17 , 	618 , 	669 , 	452 , 	429 , 	143 , 	76 , 	34 , 	37 , 	41 , 	6 , 	7 , 	24 , 	4 , 	13 , 	11 , 	13 , 	83 , 	32 , 	9 , 	32 , 	-   ," 	5,045 ",,,,,,,,,
NB, 	78 , 	84 , 	61 , 	17 , 	180 , 	69 , 	86 , 	242 , 	232 , 	57 , 	65 , 	57 , 	27 , 	18 , 	21 , 	9 , 	17 , 	42 , 	23 , 	18 , 	27 , 	8 , 	9 , 	20 , 	19 , 	736 , 	764 , 	440 , 	508 , 	165 , 	100 , 	40 , 	35 , 	37 , 	6 , 	8 , 	23 , 	5 , 	18 , 	12 , 	10 , 	111 , 	42 , 	8 , 	42 , 	-   ," 	4,593 ",,,,,,,,,
BK, 	471 , 	994 , 	722 , 	198 , 	56 , 	371 , 	429 , 	592 , 	595 , 	257 , 	322 , 	179 , 	189 , 	146 , 	146 , 	91 , 	169 , 	335 , 	154 , 	181 , 	165 , 	102 , 	63 , 	56 , 	91 ," 	1,325 "," 	1,224 "," 	1,085 ", 	879 , 	389 , 	296 , 	149 , 	131 , 	125 , 	39 , 	64 , 	162 , 	41 , 	129 , 	39 , 	52 , 	227 , 	202 , 	75 , 	102 , 	-   ," 	13,810 ",,,,,,,,,
AS, 	109 , 	141 , 	96 , 	66 , 	322 , 	19 , 	97 , 	254 , 	282 , 	67 , 	106 , 	72 , 	51 , 	37 , 	32 , 	17 , 	37 , 	68 , 	29 , 	32 , 	29 , 	11 , 	7 , 	13 , 	33 , 	772 , 	828 , 	523 , 	553 , 	254 , 	138 , 	40 , 	48 , 	36 , 	11 , 	9 , 	23 , 	9 , 	28 , 	11 , 	18 , 	81 , 	52 , 	13 , 	31 , 	-   ," 	5,505 ",,,,,,,,,
MA, 	169 , 	275 , 	126 , 	89 , 	397 , 	101 , 	27 , 	193 , 	256 , 	80 , 	178 , 	163 , 	125 , 	100 , 	103 , 	64 , 	89 , 	149 , 	155 , 	176 , 	139 , 	63 , 	44 , 	66 , 	57 ," 	1,189 "," 	1,296 ", 	910 , 	927 , 	401 , 	253 , 	81 , 	88 , 	81 , 	28 , 	23 , 	68 , 	56 , 	247 , 	33 , 	38 , 	136 , 	71 , 	26 , 	38 , 	-   ," 	9,376 ",,,,,,,,,
19, 	171 , 	495 , 	299 , 	251 , 	559 , 	262 , 	191 , 	31 , 	52 , 	41 , 	179 , 	191 , 	212 , 	188 , 	197 , 	165 , 	213 , 	380 , 	329 , 	376 , 	288 , 	153 , 	104 , 	175 , 	70 ," 	1,381 "," 	1,526 ", 	965 ," 	1,071 ", 	480 , 	338 , 	191 , 	144 , 	140 , 	75 , 	78 , 	221 , 	168 , 	264 , 	76 , 	66 , 	105 , 	132 , 	96 , 	42 , 	-   ," 	13,130 ",,,,,,,,,
12, 	212 , 	657 , 	315 , 	250 , 	502 , 	269 , 	222 , 	52 , 	36 , 	45 , 	223 , 	317 , 	338 , 	337 , 	302 , 	175 , 	216 , 	381 , 	361 , 	383 , 	282 , 	153 , 	118 , 	165 , 	106 ," 	1,334 "," 	1,297 ", 	980 , 	985 , 	342 , 	321 , 	186 , 	173 , 	194 , 	139 , 	119 , 	249 , 	175 , 	361 , 	87 , 	94 , 	137 , 	164 , 	119 , 	58 , 	-   ," 	13,931 ",,,,,,,,,
LM, 	46 , 	107 , 	62 , 	54 , 	237 , 	68 , 	75 , 	41 , 	44 , 	17 , 	166 , 	255 , 	288 , 	259 , 	145 , 	86 , 	111 , 	185 , 	33 , 	27 , 	27 , 	9 , 	11 , 	29 , 	42 , 	909 ," 	1,028 ", 	740 , 	643 , 	264 , 	149 , 	65 , 	84 , 	84 , 	11 , 	129 , 	178 , 	12 , 	57 , 	11 , 	18 , 	43 , 	22 , 	73 , 	27 , 	-   ," 	6,973 ",,,,,,,,,
FV, 	96 , 	140 , 	61 , 	68 , 	307 , 	104 , 	179 , 	190 , 	241 , 	158 , 	28 , 	248 , 	253 , 	261 , 	217 , 	94 , 	91 , 	164 , 	48 , 	36 , 	48 , 	18 , 	22 , 	52 , 	113 , 	937 ," 	1,030 ", 	949 , 	880 , 	326 , 	233 , 	71 , 	109 , 	98 , 	12 , 	66 , 	133 , 	10 , 	58 , 	17 , 	26 , 	84 , 	28 , 	60 , 	16 , 	-   ," 	8,380 ",,,,,,,,,
CL, 	86 , 	142 , 	56 , 	61 , 	176 , 	81 , 	169 , 	218 , 	337 , 	213 , 	255 , 	30 , 	166 , 	209 , 	159 , 	91 , 	101 , 	204 , 	65 , 	61 , 	64 , 	31 , 	24 , 	46 , 	110 , 	604 , 	565 , 	548 , 	470 , 	161 , 	138 , 	64 , 	81 , 	109 , 	16 , 	66 , 	193 , 	22 , 	109 , 	19 , 	32 , 	48 , 	26 , 	91 , 	30 , 	-   ," 	6,547 ",,,,,,,,,
SL, 	44 , 	77 , 	37 , 	32 , 	191 , 	53 , 	133 , 	234 , 	354 , 	288 , 	243 , 	172 , 	18 , 	125 , 	180 , 	87 , 	92 , 	155 , 	33 , 	25 , 	29 , 	10 , 	9 , 	25 , 	47 , 	770 , 	776 , 	623 , 	523 , 	156 , 	102 , 	41 , 	77 , 	79 , 	9 , 	52 , 	95 , 	9 , 	51 , 	18 , 	19 , 	51 , 	12 , 	60 , 	11 , 	-   ," 	6,224 ",,,,,,,,,
BF, 	32 , 	49 , 	18 , 	22 , 	145 , 	41 , 	105 , 	199 , 	336 , 	245 , 	251 , 	223 , 	138 , 	23 , 	142 , 	80 , 	107 , 	248 , 	27 , 	12 , 	16 , 	7 , 	4 , 	12 , 	39 , 	729 , 	708 , 	591 , 	468 , 	131 , 	92 , 	37 , 	55 , 	60 , 	13 , 	64 , 	177 , 	7 , 	19 , 	14 , 	18 , 	35 , 	11 , 	104 , 	8 , 	-   ," 	5,864 ",,,,,,,,,
HY, 	32 , 	61 , 	25 , 	20 , 	138 , 	33 , 	104 , 	211 , 	293 , 	144 , 	209 , 	171 , 	184 , 	144 , 	20 , 	104 , 	181 , 	352 , 	24 , 	22 , 	18 , 	6 , 	6 , 	16 , 	27 , 	519 , 	544 , 	370 , 	325 , 	90 , 	64 , 	25 , 	37 , 	43 , 	5 , 	26 , 	74 , 	6 , 	37 , 	9 , 	16 , 	28 , 	9 , 	37 , 	15 , 	-   ," 	4,825 ",,,,,,,,,
SH, 	21 , 	32 , 	10 , 	11 , 	89 , 	20 , 	62 , 	161 , 	164 , 	84 , 	93 , 	94 , 	77 , 	76 , 	93 , 	11 , 	69 , 	180 , 	12 , 	8 , 	13 , 	2 , 	4 , 	9 , 	17 , 	432 , 	387 , 	259 , 	229 , 	72 , 	51 , 	13 , 	24 , 	34 , 	5 , 	14 , 	36 , 	2 , 	17 , 	6 , 	7 , 	20 , 	5 , 	17 , 	7 , 	-   ," 	3,051 ",,,,,,,,,
UC, 	22 , 	41 , 	20 , 	18 , 	168 , 	43 , 	83 , 	215 , 	209 , 	113 , 	95 , 	98 , 	92 , 	111 , 	182 , 	70 , 	30 , 	171 , 	13 , 	13 , 	13 , 	3 , 	6 , 	11 , 	11 ," 	1,042 ", 	900 , 	399 , 	328 , 	73 , 	34 , 	13 , 	26 , 	43 , 	6 , 	21 , 	61 , 	5 , 	26 , 	9 , 	6 , 	28 , 	7 , 	23 , 	20 , 	-   ," 	4,921 ",,,,,,,,,
