Exit stations,Entry stations->,,SUNDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	10 , 	47 , 	43 , 	25 , 	144 , 	40 , 	53 , 	36 , 	42 , 	22 , 	54 , 	80 , 	13 , 	11 , 	8 , 	8 , 	5 , 	17 , 	9 , 	2 , 	7 , 	3 , 	3 , 	8 , 	12 , 	126 , 	66 , 	199 , 	81 , 	69 , 	63 , 	14 , 	23 , 	18 , 	5 , 	3 , 	4 , 	3 , 	22 , 	5 , 	13 , 	39 , 	9 , 	3 , 	10 , 	-   ," 	1,478 ",,,,,,,,,,,
EN, 	49 , 	18 , 	42 , 	42 , 	274 , 	63 , 	91 , 	65 , 	83 , 	34 , 	76 , 	261 , 	32 , 	23 , 	19 , 	7 , 	12 , 	43 , 	18 , 	8 , 	14 , 	8 , 	6 , 	21 , 	22 , 	268 , 	165 , 	400 , 	166 , 	70 , 	68 , 	30 , 	37 , 	36 , 	16 , 	5 , 	12 , 	3 , 	15 , 	8 , 	16 , 	91 , 	19 , 	5 , 	36 , 	-   ," 	2,795 ",,,,,,,,,,,
EP, 	48 , 	43 , 	10 , 	28 , 	269 , 	41 , 	53 , 	53 , 	55 , 	27 , 	35 , 	110 , 	16 , 	12 , 	9 , 	4 , 	7 , 	28 , 	8 , 	5 , 	11 , 	6 , 	7 , 	19 , 	14 , 	142 , 	98 , 	213 , 	122 , 	52 , 	34 , 	14 , 	6 , 	11 , 	5 , 	2 , 	6 , 	2 , 	6 , 	2 , 	5 , 	72 , 	8 , 	4 , 	30 , 	-   ," 	1,751 ",,,,,,,,,,,
NB, 	31 , 	35 , 	31 , 	11 , 	93 , 	37 , 	39 , 	51 , 	44 , 	25 , 	39 , 	79 , 	15 , 	10 , 	9 , 	4 , 	8 , 	29 , 	6 , 	6 , 	13 , 	5 , 	3 , 	9 , 	17 , 	196 , 	126 , 	234 , 	189 , 	92 , 	65 , 	23 , 	19 , 	16 , 	5 , 	3 , 	5 , 	2 , 	8 , 	2 , 	3 , 	95 , 	11 , 	5 , 	47 , 	-   ," 	1,797 ",,,,,,,,,,,
BK, 	166 , 	269 , 	258 , 	96 , 	42 , 	148 , 	149 , 	171 , 	180 , 	73 , 	140 , 	180 , 	60 , 	54 , 	51 , 	33 , 	62 , 	273 , 	37 , 	34 , 	51 , 	31 , 	28 , 	28 , 	53 , 	440 , 	255 , 	574 , 	426 , 	192 , 	143 , 	68 , 	47 , 	67 , 	15 , 	17 , 	57 , 	8 , 	28 , 	14 , 	13 , 	218 , 	82 , 	20 , 	110 , 	-   ," 	5,459 ",,,,,,,,,,,
AS, 	47 , 	56 , 	40 , 	35 , 	174 , 	12 , 	41 , 	76 , 	58 , 	34 , 	47 , 	80 , 	18 , 	20 , 	13 , 	9 , 	8 , 	33 , 	11 , 	7 , 	11 , 	3 , 	4 , 	10 , 	27 , 	154 , 	105 , 	221 , 	188 , 	115 , 	73 , 	27 , 	14 , 	16 , 	4 , 	4 , 	13 , 	1 , 	11 , 	4 , 	4 , 	77 , 	11 , 	3 , 	38 , 	-   ," 	1,952 ",,,,,,,,,,,
MA, 	66 , 	87 , 	45 , 	33 , 	151 , 	54 , 	19 , 	53 , 	66 , 	31 , 	81 , 	157 , 	38 , 	37 , 	19 , 	13 , 	16 , 	43 , 	30 , 	22 , 	45 , 	15 , 	11 , 	43 , 	51 , 	288 , 	200 , 	411 , 	338 , 	177 , 	131 , 	35 , 	34 , 	30 , 	6 , 	5 , 	14 , 	6 , 	60 , 	6 , 	9 , 	149 , 	20 , 	4 , 	45 , 	-   ," 	3,192 ",,,,,,,,,,,
19, 	35 , 	57 , 	56 , 	52 , 	160 , 	80 , 	45 , 	23 , 	13 , 	16 , 	60 , 	127 , 	34 , 	28 , 	27 , 	11 , 	15 , 	40 , 	27 , 	27 , 	35 , 	21 , 	17 , 	62 , 	40 , 	258 , 	171 , 	355 , 	305 , 	172 , 	135 , 	38 , 	33 , 	31 , 	5 , 	6 , 	11 , 	8 , 	27 , 	7 , 	8 , 	107 , 	22 , 	6 , 	30 , 	-   ," 	2,847 ",,,,,,,,,,,
12, 	34 , 	72 , 	53 , 	40 , 	145 , 	57 , 	52 , 	16 , 	17 , 	15 , 	62 , 	175 , 	41 , 	51 , 	34 , 	13 , 	22 , 	44 , 	41 , 	25 , 	31 , 	21 , 	16 , 	46 , 	50 , 	290 , 	200 , 	439 , 	250 , 	110 , 	88 , 	37 , 	34 , 	32 , 	15 , 	3 , 	8 , 	6 , 	34 , 	12 , 	13 , 	127 , 	25 , 	5 , 	30 , 	-   ," 	2,931 ",,,,,,,,,,,
LM, 	23 , 	38 , 	24 , 	25 , 	73 , 	38 , 	26 , 	17 , 	12 , 	15 , 	114 , 	235 , 	83 , 	82 , 	47 , 	19 , 	30 , 	63 , 	10 , 	9 , 	13 , 	4 , 	6 , 	14 , 	22 , 	229 , 	186 , 	402 , 	240 , 	129 , 	105 , 	35 , 	35 , 	36 , 	5 , 	44 , 	63 , 	2 , 	9 , 	2 , 	7 , 	42 , 	11 , 	34 , 	38 , 	-   ," 	2,695 ",,,,,,,,,,,
