Exit stations,Entry stations->,,WEEKDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	13 , 	135 , 	97 , 	89 , 	496 , 	109 , 	156 , 	167 , 	186 , 	52 , 	103 , 	78 , 	36 , 	33 , 	42 , 	23 , 	21 , 	37 , 	23 , 	15 , 	20 , 	5 , 	8 , 	15 , 	27 , 	378 , 	409 , 	459 , 	358 , 	196 , 	203 , 	48 , 	83 , 	108 , 	16 , 	6 , 	16 , 	6 , 	37 , 	14 , 	29 , 	50 , 	24 , 	6 , 	14 , 	-   ," 	4,445 ",,,,,,,,,
EN, 	146 , 	24 , 	115 , 	110 ," 	1,069 ", 	164 , 	296 , 	502 , 	618 , 	130 , 	146 , 	127 , 	67 , 	50 , 	93 , 	30 , 	39 , 	92 , 	41 , 	20 , 	36 , 	13 , 	14 , 	38 , 	43 , 	972 ," 	1,133 "," 	1,004 ", 	887 , 	278 , 	235 , 	88 , 	121 , 	192 , 	30 , 	8 , 	28 , 	8 , 	40 , 	46 , 	52 , 	124 , 	80 , 	14 , 	44 , 	-   ," 	9,404 ",,,,,,,,,
EP, 	108 , 	106 , 	14 , 	66 , 	829 , 	89 , 	160 , 	323 , 	332 , 	89 , 	59 , 	45 , 	34 , 	15 , 	31 , 	8 , 	20 , 	54 , 	18 , 	18 , 	27 , 	13 , 	12 , 	36 , 	17 , 	606 , 	698 , 	442 , 	456 , 	136 , 	78 , 	41 , 	46 , 	75 , 	5 , 	5 , 	19 , 	4 , 	17 , 	9 , 	14 , 	71 , 	33 , 	9 , 	32 , 	-   ," 	5,320 ",,,,,,,,,
NB, 	92 , 	102 , 	61 , 	18 , 	232 , 	78 , 	101 , 	274 , 	234 , 	78 , 	58 , 	52 , 	32 , 	17 , 	30 , 	10 , 	20 , 	42 , 	20 , 	14 , 	23 , 	7 , 	9 , 	25 , 	18 , 	716 , 	803 , 	445 , 	561 , 	171 , 	104 , 	38 , 	38 , 	56 , 	7 , 	9 , 	17 , 	5 , 	15 , 	10 , 	10 , 	98 , 	42 , 	8 , 	42 , 	-   ," 	4,841 ",,,,,,,,,
BK, 	535 ," 	1,157 ", 	845 , 	257 , 	50 , 	418 , 	457 , 	645 , 	631 , 	320 , 	359 , 	196 , 	216 , 	183 , 	187 , 	99 , 	169 , 	353 , 	170 , 	202 , 	170 , 	106 , 	71 , 	60 , 	90 ," 	1,259 "," 	1,146 ", 	941 , 	927 , 	389 , 	312 , 	157 , 	152 , 	176 , 	41 , 	63 , 	138 , 	51 , 	145 , 	49 , 	50 , 	162 , 	200 , 	67 , 	90 , 	-   ," 	14,462 ",,,,,,,,,
AS, 	117 , 	141 , 	83 , 	73 , 	386 , 	17 , 	91 , 	276 , 	271 , 	82 , 	103 , 	67 , 	54 , 	39 , 	40 , 	20 , 	35 , 	67 , 	32 , 	28 , 	30 , 	10 , 	8 , 	19 , 	31 , 	735 , 	826 , 	542 , 	599 , 	256 , 	133 , 	37 , 	51 , 	51 , 	10 , 	10 , 	19 , 	9 , 	31 , 	10 , 	15 , 	70 , 	56 , 	10 , 	29 , 	-   ," 	5,623 ",,,,,,,,,
MA, 	173 , 	297 , 	137 , 	102 , 	430 , 	97 , 	31 , 	210 , 	247 , 	89 , 	190 , 	155 , 	128 , 	112 , 	120 , 	61 , 	89 , 	154 , 	173 , 	193 , 	152 , 	54 , 	54 , 	65 , 	61 ," 	1,153 "," 	1,353 ", 	936 , 	997 , 	417 , 	267 , 	91 , 	104 , 	106 , 	33 , 	26 , 	70 , 	66 , 	264 , 	36 , 	38 , 	127 , 	72 , 	25 , 	37 , 	-   ," 	9,793 ",,,,,,,,,
19, 	177 , 	518 , 	329 , 	278 , 	601 , 	283 , 	203 , 	38 , 	53 , 	52 , 	194 , 	191 , 	232 , 	207 , 	226 , 	169 , 	235 , 	400 , 	362 , 	400 , 	316 , 	169 , 	113 , 	184 , 	67 ," 	1,486 "," 	1,605 "," 	1,022 "," 	1,171 ", 	501 , 	364 , 	205 , 	149 , 	185 , 	79 , 	80 , 	234 , 	162 , 	285 , 	74 , 	69 , 	96 , 	163 , 	103 , 	46 , 	-   ," 	14,077 ",,,,,,,,,
12, 	213 , 	638 , 	318 , 	244 , 	543 , 	259 , 	234 , 	51 , 	42 , 	49 , 	240 , 	320 , 	344 , 	338 , 	320 , 	171 , 	218 , 	378 , 	358 , 	378 , 	282 , 	148 , 	114 , 	167 , 	105 ," 	1,327 "," 	1,336 "," 	1,041 "," 	1,019 ", 	356 , 	316 , 	181 , 	186 , 	227 , 	132 , 	120 , 	238 , 	180 , 	359 , 	86 , 	89 , 	143 , 	169 , 	117 , 	63 , 	-   ," 	14,158 ",,,,,,,,,
LM, 	57 , 	123 , 	89 , 	82 , 	326 , 	87 , 	87 , 	51 , 	50 , 	19 , 	190 , 	272 , 	321 , 	284 , 	184 , 	100 , 	122 , 	189 , 	39 , 	27 , 	25 , 	12 , 	10 , 	33 , 	45 , 	882 ," 	1,025 ", 	768 , 	682 , 	265 , 	166 , 	63 , 	92 , 	141 , 	12 , 	130 , 	186 , 	14 , 	63 , 	12 , 	18 , 	41 , 	22 , 	79 , 	28 , 	-   ," 	7,510 ",,,,,,,,,
FV, 	99 , 	137 , 	63 , 	61 , 	363 , 	104 , 	189 , 	211 , 	254 , 	194 , 	30 , 	262 , 	259 , 	272 , 	243 , 	94 , 	90 , 	179 , 	48 , 	35 , 	40 , 	17 , 	28 , 	58 , 	123 , 	954 ," 	1,081 ", 	959 , 	919 , 	345 , 	246 , 	77 , 	117 , 	161 , 	10 , 	63 , 	131 , 	11 , 	61 , 	17 , 	25 , 	79 , 	28 , 	63 , 	14 , 	-   ," 	8,813 ",,,,,,,,,
CL, 	79 , 	131 , 	47 , 	55 , 	186 , 	72 , 	159 , 	210 , 	343 , 	222 , 	264 , 	30 , 	151 , 	199 , 	190 , 	92 , 	107 , 	213 , 	50 , 	43 , 	52 , 	24 , 	23 , 	46 , 	108 , 	608 , 	596 , 	560 , 	488 , 	158 , 	137 , 	74 , 	85 , 	174 , 	20 , 	58 , 	141 , 	16 , 	107 , 	22 , 	34 , 	45 , 	28 , 	65 , 	30 , 	-   ," 	6,541 ",,,,,,,,,
SL, 	40 , 	72 , 	35 , 	36 , 	214 , 	56 , 	135 , 	258 , 	359 , 	328 , 	251 , 	159 , 	19 , 	135 , 	196 , 	81 , 	98 , 	167 , 	36 , 	26 , 	29 , 	8 , 	10 , 	27 , 	42 , 	735 , 	804 , 	627 , 	549 , 	150 , 	103 , 	49 , 	79 , 	127 , 	10 , 	43 , 	100 , 	10 , 	51 , 	21 , 	16 , 	50 , 	13 , 	52 , 	10 , 	-   ," 	6,413 ",,,,,,,,,
BF, 	33 , 	48 , 	16 , 	21 , 	187 , 	36 , 	115 , 	216 , 	336 , 	274 , 	252 , 	204 , 	145 , 	17 , 	155 , 	85 , 	125 , 	282 , 	24 , 	12 , 	13 , 	4 , 	4 , 	14 , 	39 , 	703 , 	736 , 	589 , 	487 , 	141 , 	96 , 	37 , 	62 , 	103 , 	10 , 	64 , 	175 , 	7 , 	20 , 	16 , 	20 , 	30 , 	11 , 	94 , 	7 , 	-   ," 	6,066 ",,,,,,,,,
HY, 	47 , 	102 , 	31 , 	33 , 	178 , 	39 , 	118 , 	236 , 	300 , 	175 , 	244 , 	207 , 	206 , 	158 , 	26 , 	120 , 	242 , 	415 , 	38 , 	25 , 	23 , 	7 , 	7 , 	20 , 	33 , 	538 , 	568 , 	396 , 	344 , 	93 , 	72 , 	30 , 	51 , 	79 , 	9 , 	23 , 	76 , 	14 , 	61 , 	9 , 	15 , 	28 , 	7 , 	37 , 	14 , 	-   ," 	5,492 ",,,,,,,,,
SH, 	19 , 	30 , 	9 , 	13 , 	90 , 	19 , 	61 , 	162 , 	166 , 	92 , 	94 , 	89 , 	80 , 	78 , 	107 , 	11 , 	70 , 	183 , 	11 , 	8 , 	16 , 	2 , 	3 , 	8 , 	16 , 	425 , 	389 , 	248 , 	240 , 	73 , 	46 , 	10 , 	26 , 	59 , 	4 , 	11 , 	32 , 	2 , 	14 , 	7 , 	7 , 	18 , 	6 , 	19 , 	7 , 	-   ," 	3,078 ",,,,,,,,,
UC, 	23 , 	46 , 	21 , 	21 , 	168 , 	41 , 	90 , 	244 , 	210 , 	120 , 	93 , 	108 , 	98 , 	127 , 	244 , 	80 , 	26 , 	228 , 	16 , 	18 , 	15 , 	3 , 	4 , 	13 , 	11 ," 	1,018 ", 	909 , 	416 , 	344 , 	78 , 	40 , 	12 , 	29 , 	83 , 	5 , 	18 , 	59 , 	3 , 	27 , 	8 , 	5 , 	26 , 	5 , 	23 , 	22 , 	-   ," 	5,197 ",,,,,,,,,
FM, 	41 , 	104 , 	50 , 	43 , 	375 , 	71 , 	158 , 	405 , 	375 , 	187 , 	194 , 	216 , 	172 , 	283 , 	423 , 	200 , 	242 , 	61 , 	35 , 	40 , 	29 , 	14 , 	19 , 	33 , 	28 ," 	2,019 "," 	1,757 ", 	717 , 	565 , 	133 , 	59 , 	32 , 	45 , 	108 , 	9 , 	51 , 	116 , 	11 , 	48 , 	7 , 	10 , 	55 , 	10 , 	42 , 	43 , 	-   ," 	9,633 ",,,,,,,,,
CN, 	25 , 	38 , 	18 , 	20 , 	169 , 	32 , 	178 , 	353 , 	360 , 	38 , 	45 , 	51 , 	37 , 	24 , 	38 , 	13 , 	15 , 	37 , 	34 , 	120 , 	294 , 	100 , 	49 , 	109 , 	19 , 	949 , 	975 , 	606 , 	550 , 	142 , 	91 , 	48 , 	58 , 	120 , 	25 , 	6 , 	10 , 	61 , 	357 , 	23 , 	30 , 	122 , 	32 , 	5 , 	34 , 	-   ," 	6,456 ",,,,,,,,,
PH, 	15 , 	21 , 	17 , 	18 , 	198 , 	25 , 	193 , 	388 , 	367 , 	24 , 	32 , 	45 , 	26 , 	9 , 	27 , 	8 , 	18 , 	38 , 	114 , 	25 , 	116 , 	54 , 	34 , 	133 , 	11 ," 	1,683 "," 	1,734 ", 	721 , 	609 , 	153 , 	80 , 	109 , 	56 , 	99 , 	15 , 	5 , 	6 , 	36 , 	153 , 	23 , 	28 , 	178 , 	24 , 	2 , 	54 , 	-   ," 	7,721 ",,,,,,,,,
WC, 	27 , 	40 , 	28 , 	26 , 	168 , 	28 , 	160 , 	325 , 	301 , 	23 , 	40 , 	50 , 	28 , 	17 , 	23 , 	18 , 	14 , 	32 , 	340 , 	130 , 	27 , 	61 , 	45 , 	155 , 	19 ," 	1,416 "," 	1,513 ", 	613 , 	529 , 	133 , 	76 , 	62 , 	54 , 	90 , 	23 , 	6 , 	8 , 	63 , 	259 , 	18 , 	27 , 	203 , 	30 , 	4 , 	57 , 	-   ," 	7,306 ",,,,,,,,,
LF, 	7 , 	11 , 	12 , 	5 , 	101 , 	12 , 	57 , 	171 , 	153 , 	13 , 	16 , 	24 , 	10 , 	4 , 	6 , 	1 , 	3 , 	13 , 	119 , 	65 , 	68 , 	16 , 	19 , 	79 , 	4 , 	929 , 	874 , 	321 , 	291 , 	70 , 	38 , 	24 , 	17 , 	23 , 	4 , 	2 , 	2 , 	12 , 	55 , 	7 , 	11 , 	101 , 	17 , 	2 , 	26 , 	-   ," 	3,816 ",,,,,,,,,
OR, 	8 , 	16 , 	9 , 	8 , 	73 , 	8 , 	57 , 	114 , 	116 , 	9 , 	23 , 	22 , 	8 , 	4 , 	8 , 	3 , 	5 , 	19 , 	50 , 	29 , 	41 , 	23 , 	12 , 	63 , 	3 , 	810 , 	752 , 	269 , 	252 , 	48 , 	30 , 	27 , 	16 , 	24 , 	4 , 	2 , 	2 , 	6 , 	29 , 	8 , 	10 , 	81 , 	13 , 	1 , 	18 , 	-   ," 	3,133 ",,,,,,,,,
RR, 	19 , 	44 , 	37 , 	24 , 	71 , 	18 , 	68 , 	206 , 	192 , 	33 , 	57 , 	43 , 	26 , 	18 , 	19 , 	11 , 	13 , 	35 , 	104 , 	127 , 	151 , 	76 , 	68 , 	21 , 	28 ," 	1,156 "," 	1,278 ", 	672 , 	712 , 	214 , 	121 , 	55 , 	51 , 	53 , 	5 , 	6 , 	13 , 	24 , 	61 , 	11 , 	19 , 	153 , 	33 , 	8 , 	27 , 	-   ," 	6,179 ",,,,,,,,,
OW, 	25 , 	37 , 	17 , 	13 , 	87 , 	32 , 	56 , 	67 , 	112 , 	36 , 	128 , 	108 , 	48 , 	45 , 	28 , 	13 , 	10 , 	25 , 	16 , 	11 , 	15 , 	4 , 	5 , 	28 , 	24 ," 	1,695 "," 	1,553 "," 	1,077 ", 	914 , 	379 , 	216 , 	61 , 	88 , 	66 , 	17 , 	12 , 	26 , 	5 , 	36 , 	13 , 	28 , 	87 , 	35 , 	11 , 	9 , 	-   ," 	7,317 ",,,,,,,,,
EM, 	483 ," 	1,115 ", 	749 , 	815 ," 	1,373 ", 	977 ," 	1,421 "," 	1,883 "," 	1,716 "," 	1,110 "," 	1,180 ", 	684 , 	942 , 	887 , 	671 , 	522 ," 	1,162 "," 	2,324 "," 	1,182 "," 	2,129 "," 	1,765 "," 	1,071 ", 	943 ," 	1,293 "," 	2,073 ", 	162 , 	122 , 	572 , 	595 ," 	1,164 "," 	1,801 "," 	1,276 "," 	1,556 "," 	1,416 ", 	917 , 	686 ," 	2,397 ", 	638 ," 	1,005 ", 	686 , 	646 , 	525 ," 	1,130 ", 	971 , 	174 , 	-   ," 	48,904 ",,,,,,,,,
MT, 	467 ," 	1,078 ", 	683 , 	718 ," 	1,008 ", 	872 ," 	1,331 "," 	1,494 "," 	1,247 "," 	1,079 "," 	1,124 ", 	600 , 	833 , 	777 , 	610 , 	427 , 	922 ," 	1,783 "," 	1,028 "," 	1,791 "," 	1,407 ", 	787 , 	688 ," 	1,122 "," 	1,716 ", 	146 , 	152 , 	212 , 	560 ," 	1,514 "," 	2,525 "," 	1,794 "," 	2,737 "," 	2,079 "," 	1,201 ", 	582 ," 	1,680 ", 	544 , 	926 , 	927 , 	861 , 	504 ," 	1,595 ", 	722 , 	115 , 	-   ," 	46,967 ",,,,,,,,,
PL, 	385 , 	747 , 	336 , 	380 , 	795 , 	453 , 	754 , 	897 , 	891 , 	631 , 	794 , 	483 , 	501 , 	479 , 	328 , 	203 , 	333 , 	609 , 	472 , 	561 , 	474 , 	239 , 	204 , 	513 , 	986 , 	809 , 	333 , 	135 , 	358 ," 	1,304 "," 	1,764 "," 	1,178 "," 	2,258 "," 	1,377 ", 	621 , 	245 , 	695 , 	255 , 	561 , 	475 , 	435 ," 	1,315 ", 	762 , 	301 , 	147 , 	-   ," 	28,775 ",,,,,,,,,
CC, 	334 , 	693 , 	391 , 	453 , 	693 , 	533 , 	851 , 	980 , 	795 , 	585 , 	809 , 	418 , 	458 , 	441 , 	317 , 	221 , 	315 , 	521 , 	466 , 	523 , 	421 , 	251 , 	206 , 	592 , 	898 , 	622 , 	581 , 	330 , 	83 , 	665 ," 	1,114 ", 	817 ," 	1,510 ", 	840 , 	529 , 	231 , 	610 , 	268 , 	570 , 	410 , 	398 , 	519 , 	670 , 	238 , 	73 , 	-   ," 	24,237 ",,,,,,,,,
16, 	175 , 	215 , 	120 , 	158 , 	345 , 	243 , 	382 , 	479 , 	315 , 	229 , 	317 , 	157 , 	137 , 	123 , 	85 , 	66 , 	64 , 	129 , 	115 , 	125 , 	110 , 	61 , 	42 , 	185 , 	387 ," 	1,179 "," 	1,562 "," 	1,549 ", 	734 , 	36 , 	241 , 	346 , 	700 , 	334 , 	159 , 	61 , 	151 , 	68 , 	167 , 	133 , 	134 , 	217 , 	266 , 	58 , 	22 , 	-   ," 	12,879 ",,,,,,,,,
24, 	179 , 	193 , 	67 , 	96 , 	294 , 	134 , 	254 , 	353 , 	288 , 	151 , 	220 , 	131 , 	92 , 	89 , 	62 , 	46 , 	38 , 	53 , 	71 , 	71 , 	66 , 	34 , 	27 , 	111 , 	230 ," 	1,559 "," 	2,150 "," 	2,063 "," 	1,140 ", 	242 , 	40 , 	269 , 	683 , 	289 , 	123 , 	30 , 	87 , 	45 , 	142 , 	106 , 	144 , 	187 , 	249 , 	34 , 	25 , 	-   ," 	12,953 ",,,,,,,,,
GP, 	41 , 	70 , 	32 , 	36 , 	141 , 	38 , 	81 , 	189 , 	166 , 	55 , 	79 , 	72 , 	45 , 	34 , 	24 , 	10 , 	13 , 	27 , 	42 , 	51 , 	53 , 	17 , 	16 , 	43 , 	65 ," 	1,146 "," 	1,446 "," 	1,324 ", 	749 , 	356 , 	286 , 	29 , 	129 , 	76 , 	58 , 	18 , 	52 , 	14 , 	61 , 	46 , 	69 , 	112 , 	146 , 	21 , 	15 , 	-   ," 	7,592 ",,,,,,,,,
BP, 	74 , 	100 , 	39 , 	39 , 	131 , 	49 , 	88 , 	137 , 	152 , 	79 , 	103 , 	69 , 	67 , 	49 , 	39 , 	23 , 	23 , 	42 , 	46 , 	47 , 	41 , 	15 , 	13 , 	46 , 	93 ," 	1,370 "," 	1,861 "," 	2,599 "," 	1,344 ", 	652 , 	653 , 	119 , 	54 , 	123 , 	100 , 	24 , 	60 , 	22 , 	74 , 	82 , 	114 , 	117 , 	171 , 	20 , 	8 , 	-   ," 	11,168 ",,,,,,,,,
DC, 	108 , 	195 , 	71 , 	61 , 	164 , 	54 , 	114 , 	177 , 	213 , 	155 , 	171 , 	184 , 	131 , 	110 , 	79 , 	65 , 	84 , 	106 , 	125 , 	106 , 	84 , 	23 , 	25 , 	51 , 	84 ," 	1,329 "," 	1,796 "," 	1,552 ", 	822 , 	333 , 	306 , 	76 , 	141 , 	33 , 	44 , 	44 , 	118 , 	82 , 	157 , 	97 , 	164 , 	193 , 	312 , 	64 , 	18 , 	-   ," 	10,424 ",,,,,,,,,
