Exit stations,Entry stations->,,WEEKDAY,,,Nov 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	11 , 	131 , 	109 , 	88 , 	483 , 	107 , 	158 , 	163 , 	193 , 	49 , 	104 , 	72 , 	38 , 	37 , 	42 , 	23 , 	19 , 	39 , 	26 , 	15 , 	24 , 	5 , 	7 , 	17 , 	31 , 	382 , 	404 , 	471 , 	350 , 	198 , 	193 , 	53 , 	82 , 	93 , 	19 , 	5 , 	14 , 	6 , 	37 , 	13 , 	25 , 	55 , 	24 , 	5 , 	14 , 	-   ," 	4,435 ",,,,,,,,,
EN, 	144 , 	21 , 	114 , 	111 ," 	1,046 ", 	166 , 	302 , 	510 , 	622 , 	133 , 	143 , 	123 , 	66 , 	52 , 	84 , 	30 , 	37 , 	92 , 	38 , 	22 , 	36 , 	11 , 	15 , 	35 , 	43 , 	979 ," 	1,110 "," 	1,013 ", 	889 , 	282 , 	251 , 	88 , 	125 , 	170 , 	30 , 	7 , 	32 , 	7 , 	39 , 	45 , 	52 , 	125 , 	78 , 	15 , 	41 , 	-   ," 	9,376 ",,,,,,,,,
EP, 	111 , 	104 , 	14 , 	67 , 	775 , 	87 , 	154 , 	315 , 	316 , 	87 , 	59 , 	44 , 	32 , 	16 , 	30 , 	9 , 	19 , 	56 , 	20 , 	17 , 	25 , 	12 , 	9 , 	34 , 	16 , 	583 , 	671 , 	445 , 	445 , 	136 , 	75 , 	39 , 	44 , 	66 , 	5 , 	4 , 	16 , 	4 , 	19 , 	11 , 	15 , 	74 , 	35 , 	10 , 	30 , 	-   ," 	5,152 ",,,,,,,,,
NB, 	93 , 	101 , 	64 , 	15 , 	215 , 	83 , 	100 , 	300 , 	243 , 	77 , 	61 , 	47 , 	36 , 	19 , 	27 , 	10 , 	20 , 	42 , 	18 , 	18 , 	24 , 	7 , 	8 , 	25 , 	20 , 	706 , 	807 , 	440 , 	547 , 	172 , 	104 , 	39 , 	37 , 	50 , 	6 , 	8 , 	16 , 	4 , 	14 , 	11 , 	12 , 	105 , 	42 , 	10 , 	45 , 	-   ," 	4,846 ",,,,,,,,,
BK, 	520 ," 	1,116 ", 	804 , 	232 , 	47 , 	408 , 	442 , 	640 , 	641 , 	292 , 	358 , 	189 , 	206 , 	172 , 	179 , 	101 , 	161 , 	321 , 	165 , 	195 , 	159 , 	89 , 	59 , 	54 , 	87 ," 	1,180 "," 	1,086 ", 	927 , 	869 , 	360 , 	296 , 	145 , 	144 , 	148 , 	40 , 	55 , 	127 , 	49 , 	136 , 	44 , 	46 , 	185 , 	186 , 	63 , 	109 , 	-   ," 	13,830 ",,,,,,,,,
AS, 	120 , 	140 , 	81 , 	69 , 	383 , 	15 , 	93 , 	299 , 	278 , 	75 , 	108 , 	68 , 	53 , 	38 , 	43 , 	21 , 	38 , 	65 , 	32 , 	29 , 	28 , 	11 , 	6 , 	20 , 	36 , 	731 , 	810 , 	533 , 	577 , 	243 , 	141 , 	39 , 	51 , 	49 , 	9 , 	10 , 	19 , 	10 , 	35 , 	10 , 	18 , 	67 , 	54 , 	9 , 	33 , 	-   ," 	5,599 ",,,,,,,,,
MA, 	171 , 	298 , 	140 , 	100 , 	430 , 	98 , 	28 , 	215 , 	261 , 	91 , 	185 , 	156 , 	130 , 	105 , 	126 , 	59 , 	86 , 	147 , 	180 , 	200 , 	150 , 	50 , 	38 , 	73 , 	59 ," 	1,125 "," 	1,303 ", 	905 , 	970 , 	406 , 	266 , 	88 , 	96 , 	106 , 	33 , 	27 , 	70 , 	67 , 	269 , 	33 , 	36 , 	127 , 	69 , 	25 , 	37 , 	-   ," 	9,637 ",,,,,,,,,
19, 	177 , 	526 , 	332 , 	308 , 	584 , 	288 , 	195 , 	29 , 	53 , 	51 , 	199 , 	182 , 	226 , 	207 , 	231 , 	171 , 	231 , 	403 , 	354 , 	407 , 	315 , 	168 , 	116 , 	191 , 	75 ," 	1,453 "," 	1,530 ", 	975 ," 	1,091 ", 	469 , 	353 , 	193 , 	137 , 	172 , 	81 , 	78 , 	238 , 	172 , 	285 , 	73 , 	73 , 	100 , 	158 , 	101 , 	41 , 	-   ," 	13,794 ",,,,,,,,,
12, 	213 , 	654 , 	312 , 	257 , 	548 , 	272 , 	244 , 	54 , 	39 , 	49 , 	249 , 	313 , 	336 , 	341 , 	317 , 	177 , 	217 , 	377 , 	354 , 	379 , 	285 , 	143 , 	118 , 	168 , 	111 ," 	1,309 "," 	1,291 "," 	1,007 "," 	1,032 ", 	356 , 	325 , 	186 , 	188 , 	224 , 	139 , 	117 , 	226 , 	176 , 	368 , 	86 , 	91 , 	134 , 	162 , 	115 , 	56 , 	-   ," 	14,114 ",,,,,,,,,
LM, 	52 , 	127 , 	86 , 	81 , 	288 , 	78 , 	94 , 	51 , 	53 , 	17 , 	187 , 	272 , 	338 , 	275 , 	183 , 	113 , 	127 , 	187 , 	37 , 	26 , 	29 , 	13 , 	11 , 	33 , 	43 , 	880 ," 	1,001 ", 	750 , 	651 , 	261 , 	163 , 	61 , 	88 , 	125 , 	11 , 	136 , 	188 , 	15 , 	61 , 	11 , 	18 , 	39 , 	25 , 	85 , 	26 , 	-   ," 	7,395 ",,,,,,,,,
FV, 	101 , 	135 , 	65 , 	66 , 	358 , 	106 , 	187 , 	213 , 	276 , 	186 , 	26 , 	263 , 	263 , 	264 , 	247 , 	94 , 	87 , 	190 , 	46 , 	31 , 	45 , 	20 , 	22 , 	56 , 	127 , 	943 ," 	1,074 ", 	961 , 	923 , 	336 , 	249 , 	76 , 	114 , 	149 , 	11 , 	59 , 	120 , 	11 , 	57 , 	21 , 	24 , 	77 , 	27 , 	57 , 	14 , 	-   ," 	8,777 ",,,,,,,,,
CL, 	74 , 	133 , 	47 , 	48 , 	184 , 	76 , 	165 , 	210 , 	338 , 	237 , 	262 , 	23 , 	152 , 	204 , 	187 , 	91 , 	112 , 	229 , 	54 , 	42 , 	47 , 	25 , 	24 , 	43 , 	111 , 	623 , 	593 , 	588 , 	492 , 	160 , 	140 , 	79 , 	78 , 	157 , 	18 , 	58 , 	145 , 	15 , 	102 , 	25 , 	33 , 	42 , 	31 , 	68 , 	39 , 	-   ," 	6,604 ",,,,,,,,,
SL, 	44 , 	70 , 	35 , 	34 , 	204 , 	58 , 	136 , 	255 , 	358 , 	330 , 	262 , 	165 , 	16 , 	142 , 	196 , 	75 , 	94 , 	165 , 	33 , 	24 , 	27 , 	8 , 	9 , 	27 , 	47 , 	732 , 	800 , 	624 , 	547 , 	155 , 	107 , 	47 , 	81 , 	112 , 	10 , 	45 , 	102 , 	11 , 	53 , 	22 , 	18 , 	49 , 	11 , 	65 , 	11 , 	-   ," 	6,416 ",,,,,,,,,
BF, 	36 , 	48 , 	18 , 	20 , 	167 , 	36 , 	104 , 	212 , 	332 , 	269 , 	251 , 	198 , 	141 , 	16 , 	155 , 	84 , 	124 , 	279 , 	23 , 	11 , 	13 , 	5 , 	4 , 	15 , 	35 , 	708 , 	731 , 	584 , 	488 , 	139 , 	95 , 	38 , 	60 , 	90 , 	10 , 	58 , 	183 , 	5 , 	20 , 	15 , 	19 , 	36 , 	10 , 	99 , 	8 , 	-   ," 	5,992 ",,,,,,,,,
HY, 	47 , 	94 , 	33 , 	30 , 	172 , 	43 , 	124 , 	239 , 	301 , 	182 , 	246 , 	200 , 	208 , 	162 , 	23 , 	118 , 	232 , 	405 , 	38 , 	25 , 	25 , 	6 , 	6 , 	18 , 	31 , 	549 , 	563 , 	397 , 	358 , 	90 , 	65 , 	32 , 	52 , 	71 , 	9 , 	24 , 	75 , 	14 , 	59 , 	9 , 	15 , 	27 , 	6 , 	36 , 	16 , 	-   ," 	5,475 ",,,,,,,,,
SH, 	20 , 	31 , 	9 , 	13 , 	93 , 	21 , 	55 , 	163 , 	172 , 	104 , 	97 , 	87 , 	75 , 	74 , 	105 , 	11 , 	65 , 	206 , 	9 , 	7 , 	13 , 	2 , 	3 , 	8 , 	17 , 	421 , 	378 , 	258 , 	243 , 	71 , 	50 , 	11 , 	27 , 	54 , 	5 , 	10 , 	37 , 	2 , 	12 , 	8 , 	8 , 	17 , 	7 , 	19 , 	7 , 	-   ," 	3,104 ",,,,,,,,,
UC, 	21 , 	40 , 	22 , 	20 , 	164 , 	43 , 	86 , 	243 , 	211 , 	124 , 	94 , 	118 , 	96 , 	121 , 	234 , 	75 , 	22 , 	215 , 	13 , 	16 , 	15 , 	3 , 	6 , 	14 , 	13 ," 	1,030 ", 	886 , 	409 , 	354 , 	76 , 	37 , 	13 , 	29 , 	81 , 	6 , 	18 , 	62 , 	5 , 	30 , 	10 , 	4 , 	31 , 	5 , 	22 , 	19 , 	-   ," 	5,158 ",,,,,,,,,
FM, 	46 , 	98 , 	47 , 	44 , 	372 , 	71 , 	154 , 	398 , 	365 , 	195 , 	193 , 	239 , 	171 , 	280 , 	430 , 	204 , 	248 , 	52 , 	39 , 	39 , 	29 , 	13 , 	18 , 	35 , 	27 ," 	2,006 "," 	1,720 ", 	683 , 	553 , 	137 , 	56 , 	34 , 	44 , 	94 , 	9 , 	49 , 	115 , 	11 , 	51 , 	11 , 	10 , 	60 , 	9 , 	39 , 	38 , 	-   ," 	9,535 ",,,,,,,,,
CN, 	26 , 	37 , 	18 , 	19 , 	161 , 	31 , 	190 , 	348 , 	360 , 	36 , 	42 , 	53 , 	34 , 	23 , 	41 , 	11 , 	14 , 	38 , 	28 , 	117 , 	301 , 	94 , 	46 , 	112 , 	17 , 	957 , 	973 , 	606 , 	542 , 	140 , 	92 , 	53 , 	59 , 	110 , 	21 , 	6 , 	10 , 	58 , 	342 , 	22 , 	30 , 	121 , 	30 , 	4 , 	33 , 	-   ," 	6,409 ",,,,,,,,,
PH, 	16 , 	20 , 	18 , 	21 , 	192 , 	26 , 	196 , 	390 , 	371 , 	23 , 	31 , 	40 , 	23 , 	10 , 	26 , 	8 , 	17 , 	36 , 	114 , 	25 , 	120 , 	49 , 	32 , 	135 , 	12 ," 	1,684 "," 	1,750 ", 	716 , 	617 , 	147 , 	82 , 	111 , 	52 , 	89 , 	13 , 	4 , 	7 , 	37 , 	153 , 	23 , 	30 , 	176 , 	28 , 	3 , 	56 , 	-   ," 	7,731 ",,,,,,,,,
WC, 	27 , 	41 , 	25 , 	29 , 	165 , 	29 , 	165 , 	329 , 	304 , 	27 , 	41 , 	47 , 	28 , 	15 , 	23 , 	16 , 	11 , 	32 , 	348 , 	131 , 	25 , 	66 , 	44 , 	158 , 	20 ," 	1,424 "," 	1,504 ", 	602 , 	520 , 	133 , 	79 , 	62 , 	52 , 	79 , 	24 , 	5 , 	7 , 	62 , 	269 , 	18 , 	30 , 	205 , 	32 , 	3 , 	55 , 	-   ," 	7,312 ",,,,,,,,,
LF, 	7 , 	10 , 	12 , 	7 , 	92 , 	10 , 	50 , 	172 , 	148 , 	13 , 	18 , 	24 , 	9 , 	4 , 	6 , 	1 , 	3 , 	12 , 	113 , 	65 , 	69 , 	13 , 	18 , 	77 , 	5 , 	917 , 	847 , 	333 , 	297 , 	67 , 	38 , 	23 , 	15 , 	24 , 	3 , 	2 , 	2 , 	12 , 	56 , 	6 , 	12 , 	107 , 	17 , 	1 , 	27 , 	-   ," 	3,763 ",,,,,,,,,
OR, 	7 , 	16 , 	8 , 	7 , 	62 , 	7 , 	42 , 	115 , 	121 , 	9 , 	17 , 	25 , 	8 , 	5 , 	6 , 	3 , 	5 , 	18 , 	52 , 	29 , 	43 , 	23 , 	9 , 	65 , 	5 , 	802 , 	743 , 	279 , 	255 , 	52 , 	28 , 	28 , 	16 , 	21 , 	4 , 	3 , 	2 , 	5 , 	26 , 	8 , 	9 , 	83 , 	14 , 	1 , 	17 , 	-   ," 	3,103 ",,,,,,,,,
RR, 	22 , 	43 , 	36 , 	26 , 	64 , 	19 , 	68 , 	215 , 	190 , 	34 , 	58 , 	39 , 	25 , 	18 , 	18 , 	10 , 	15 , 	34 , 	104 , 	128 , 	144 , 	76 , 	65 , 	20 , 	27 ," 	1,150 "," 	1,265 ", 	667 , 	710 , 	210 , 	124 , 	57 , 	48 , 	47 , 	5 , 	6 , 	14 , 	26 , 	59 , 	12 , 	16 , 	157 , 	34 , 	8 , 	25 , 	-   ," 	6,137 ",,,,,,,,,
OW, 	29 , 	40 , 	16 , 	13 , 	85 , 	32 , 	53 , 	73 , 	122 , 	41 , 	127 , 	106 , 	47 , 	43 , 	27 , 	16 , 	13 , 	27 , 	14 , 	10 , 	16 , 	4 , 	3 , 	27 , 	25 ," 	1,678 "," 	1,544 "," 	1,059 ", 	938 , 	363 , 	215 , 	62 , 	81 , 	57 , 	17 , 	12 , 	24 , 	5 , 	39 , 	13 , 	30 , 	96 , 	34 , 	10 , 	10 , 	-   ," 	7,295 ",,,,,,,,,
EM, 	491 ," 	1,116 ", 	736 , 	788 ," 	1,314 ", 	969 ," 	1,364 "," 	1,822 "," 	1,677 "," 	1,103 "," 	1,157 ", 	683 , 	941 , 	904 , 	692 , 	515 ," 	1,173 "," 	2,310 "," 	1,188 "," 	2,116 "," 	1,745 "," 	1,046 ", 	919 ," 	1,283 "," 	2,039 ", 	171 , 	117 , 	537 , 	574 ," 	1,121 "," 	1,791 "," 	1,271 "," 	1,542 "," 	1,401 ", 	893 , 	672 ," 	2,314 ", 	631 ," 	1,036 ", 	688 , 	637 , 	473 ," 	1,092 ", 	941 , 	166 , 	-   ," 	48,162 ",,,,,,,,,
MT, 	462 ," 	1,072 ", 	680 , 	729 , 	975 , 	868 ," 	1,270 "," 	1,451 "," 	1,211 "," 	1,080 "," 	1,117 ", 	599 , 	825 , 	773 , 	589 , 	424 , 	916 ," 	1,741 "," 	1,023 "," 	1,803 "," 	1,393 ", 	774 , 	678 ," 	1,105 "," 	1,705 ", 	146 , 	173 , 	206 , 	541 ," 	1,464 "," 	2,488 "," 	1,776 "," 	2,672 "," 	2,073 "," 	1,204 ", 	582 ," 	1,675 ", 	554 , 	932 , 	947 , 	857 , 	467 ," 	1,566 ", 	719 , 	124 , 	-   ," 	46,428 ",,,,,,,,,
PL, 	389 , 	752 , 	354 , 	353 , 	773 , 	434 , 	740 , 	861 , 	816 , 	600 , 	794 , 	503 , 	485 , 	473 , 	322 , 	207 , 	318 , 	565 , 	470 , 	544 , 	464 , 	245 , 	212 , 	495 , 	971 , 	788 , 	331 , 	144 , 	363 ," 	1,300 "," 	1,725 "," 	1,159 "," 	2,218 "," 	1,323 ", 	611 , 	249 , 	663 , 	252 , 	575 , 	445 , 	411 ," 	1,164 ", 	709 , 	292 , 	124 , 	-   ," 	27,984 ",,,,,,,,,
CC, 	333 , 	697 , 	392 , 	446 , 	663 , 	527 , 	835 , 	915 , 	795 , 	588 , 	832 , 	423 , 	463 , 	438 , 	334 , 	222 , 	322 , 	525 , 	458 , 	524 , 	419 , 	253 , 	217 , 	574 , 	920 , 	623 , 	572 , 	335 , 	83 , 	664 ," 	1,125 ", 	838 ," 	1,483 ", 	839 , 	535 , 	243 , 	606 , 	265 , 	582 , 	419 , 	380 , 	446 , 	658 , 	249 , 	65 , 	-   ," 	24,122 ",,,,,,,,,
16, 	173 , 	224 , 	123 , 	155 , 	331 , 	229 , 	370 , 	447 , 	309 , 	231 , 	298 , 	161 , 	141 , 	121 , 	88 , 	67 , 	64 , 	126 , 	122 , 	123 , 	106 , 	58 , 	46 , 	180 , 	373 ," 	1,148 "," 	1,505 "," 	1,514 ", 	740 , 	39 , 	247 , 	356 , 	725 , 	322 , 	151 , 	62 , 	152 , 	69 , 	181 , 	137 , 	134 , 	201 , 	268 , 	57 , 	23 , 	-   ," 	12,696 ",,,,,,,,,
24, 	170 , 	207 , 	69 , 	95 , 	282 , 	137 , 	235 , 	332 , 	288 , 	151 , 	227 , 	131 , 	93 , 	83 , 	59 , 	46 , 	36 , 	55 , 	76 , 	72 , 	64 , 	29 , 	26 , 	109 , 	225 ," 	1,553 "," 	2,129 "," 	2,015 "," 	1,178 ", 	249 , 	45 , 	274 , 	679 , 	296 , 	131 , 	26 , 	84 , 	45 , 	145 , 	100 , 	143 , 	187 , 	248 , 	32 , 	23 , 	-   ," 	12,879 ",,,,,,,,,
