Exit stations,Entry stations->,,WEEKDAY,,,Jan 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	17 , 	123 , 	90 , 	74 , 	415 , 	100 , 	145 , 	147 , 	188 , 	42 , 	87 , 	66 , 	33 , 	31 , 	35 , 	23 , 	18 , 	34 , 	27 , 	12 , 	20 , 	6 , 	7 , 	19 , 	28 , 	355 , 	399 , 	416 , 	327 , 	181 , 	189 , 	44 , 	68 , 	60 , 	16 , 	4 , 	13 , 	5 , 	35 , 	12 , 	18 , 	56 , 	27 , 	5 , 	12 , 	-   ," 	4,029 ",,,,,,,,,
EN, 	145 , 	28 , 	104 , 	97 , 	898 , 	155 , 	276 , 	480 , 	620 , 	95 , 	121 , 	118 , 	59 , 	49 , 	84 , 	28 , 	40 , 	80 , 	36 , 	21 , 	31 , 	10 , 	13 , 	39 , 	41 , 	974 ," 	1,084 ", 	912 , 	819 , 	268 , 	222 , 	89 , 	109 , 	109 , 	27 , 	7 , 	26 , 	7 , 	32 , 	40 , 	48 , 	109 , 	72 , 	12 , 	34 , 	-   ," 	8,668 ",,,,,,,,,
EP, 	101 , 	94 , 	21 , 	63 , 	689 , 	85 , 	146 , 	318 , 	340 , 	62 , 	55 , 	45 , 	32 , 	16 , 	27 , 	9 , 	19 , 	48 , 	22 , 	17 , 	22 , 	9 , 	6 , 	31 , 	17 , 	586 , 	681 , 	416 , 	451 , 	135 , 	71 , 	36 , 	39 , 	42 , 	7 , 	4 , 	19 , 	3 , 	16 , 	10 , 	14 , 	61 , 	35 , 	8 , 	25 , 	-   ," 	4,952 ",,,,,,,,,
NB, 	77 , 	91 , 	60 , 	18 , 	216 , 	78 , 	95 , 	267 , 	246 , 	55 , 	56 , 	45 , 	33 , 	19 , 	28 , 	10 , 	19 , 	42 , 	18 , 	20 , 	24 , 	8 , 	7 , 	22 , 	16 , 	681 , 	799 , 	405 , 	523 , 	165 , 	94 , 	37 , 	28 , 	34 , 	6 , 	6 , 	15 , 	4 , 	15 , 	9 , 	9 , 	85 , 	38 , 	10 , 	32 , 	-   ," 	4,563 ",,,,,,,,,
BK, 	448 , 	931 , 	688 , 	221 , 	41 , 	399 , 	405 , 	545 , 	556 , 	232 , 	272 , 	150 , 	167 , 	132 , 	154 , 	86 , 	145 , 	249 , 	138 , 	172 , 	145 , 	81 , 	50 , 	52 , 	79 , 	931 , 	968 , 	750 , 	740 , 	318 , 	250 , 	129 , 	112 , 	107 , 	37 , 	43 , 	107 , 	49 , 	134 , 	36 , 	39 , 	191 , 	148 , 	52 , 	82 , 	-   ," 	11,762 ",,,,,,,,,
AS, 	107 , 	130 , 	80 , 	68 , 	377 , 	20 , 	97 , 	274 , 	260 , 	60 , 	89 , 	60 , 	50 , 	30 , 	39 , 	20 , 	37 , 	63 , 	27 , 	24 , 	27 , 	11 , 	7 , 	18 , 	31 , 	725 , 	808 , 	512 , 	564 , 	232 , 	127 , 	36 , 	42 , 	36 , 	13 , 	9 , 	17 , 	11 , 	37 , 	8 , 	14 , 	63 , 	45 , 	10 , 	27 , 	-   ," 	5,341 ",,,,,,,,,
MA, 	163 , 	281 , 	131 , 	98 , 	393 , 	104 , 	39 , 	210 , 	255 , 	77 , 	166 , 	136 , 	122 , 	96 , 	119 , 	60 , 	82 , 	134 , 	156 , 	186 , 	157 , 	56 , 	40 , 	79 , 	55 ," 	1,090 "," 	1,293 ", 	842 , 	947 , 	414 , 	251 , 	83 , 	78 , 	78 , 	30 , 	21 , 	69 , 	69 , 	269 , 	34 , 	35 , 	111 , 	67 , 	24 , 	29 , 	-   ," 	9,228 ",,,,,,,,,
19, 	167 , 	487 , 	326 , 	278 , 	514 , 	276 , 	204 , 	47 , 	57 , 	42 , 	175 , 	167 , 	216 , 	208 , 	219 , 	164 , 	226 , 	377 , 	336 , 	395 , 	314 , 	162 , 	114 , 	179 , 	66 ," 	1,356 "," 	1,528 ", 	904 ," 	1,046 ", 	455 , 	336 , 	177 , 	127 , 	152 , 	78 , 	75 , 	216 , 	175 , 	261 , 	70 , 	66 , 	83 , 	148 , 	93 , 	33 , 	-   ," 	13,090 ",,,,,,,,,
12, 	205 , 	625 , 	315 , 	251 , 	468 , 	250 , 	247 , 	61 , 	47 , 	47 , 	231 , 	289 , 	370 , 	327 , 	309 , 	172 , 	211 , 	352 , 	344 , 	377 , 	273 , 	146 , 	114 , 	163 , 	105 ," 	1,254 "," 	1,307 ", 	929 , 	984 , 	337 , 	316 , 	172 , 	168 , 	187 , 	134 , 	115 , 	226 , 	175 , 	347 , 	87 , 	85 , 	108 , 	155 , 	117 , 	46 , 	-   ," 	13,547 ",,,,,,,,,
LM, 	38 , 	95 , 	63 , 	60 , 	219 , 	60 , 	76 , 	44 , 	48 , 	30 , 	152 , 	218 , 	279 , 	242 , 	158 , 	84 , 	111 , 	172 , 	33 , 	23 , 	27 , 	11 , 	11 , 	29 , 	38 , 	812 , 	997 , 	694 , 	633 , 	242 , 	146 , 	55 , 	75 , 	75 , 	10 , 	117 , 	182 , 	14 , 	46 , 	12 , 	15 , 	37 , 	22 , 	80 , 	19 , 	-   ," 	6,604 ",,,,,,,,,
