Exit stations,Entry stations->,,SATURDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	6 , 	55 , 	59 , 	28 , 	240 , 	52 , 	70 , 	38 , 	62 , 	22 , 	56 , 	74 , 	25 , 	20 , 	14 , 	10 , 	9 , 	26 , 	17 , 	5 , 	8 , 	4 , 	7 , 	17 , 	17 , 	138 , 	116 , 	289 , 	111 , 	95 , 	117 , 	21 , 	30 , 	23 , 	11 , 	2 , 	6 , 	2 , 	20 , 	7 , 	13 , 	29 , 	11 , 	3 , 	10 , 	-   ," 	1,993 ",,,,,,,,,,
EN, 	70 , 	16 , 	71 , 	57 , 	433 , 	88 , 	112 , 	94 , 	147 , 	38 , 	87 , 	155 , 	35 , 	33 , 	33 , 	15 , 	18 , 	40 , 	26 , 	12 , 	18 , 	7 , 	9 , 	26 , 	25 , 	309 , 	311 , 	707 , 	248 , 	127 , 	126 , 	34 , 	49 , 	40 , 	17 , 	5 , 	11 , 	3 , 	25 , 	10 , 	20 , 	66 , 	16 , 	5 , 	21 , 	-   ," 	3,808 ",,,,,,,,,,
EP, 	62 , 	64 , 	11 , 	41 , 	408 , 	57 , 	67 , 	78 , 	100 , 	35 , 	37 , 	60 , 	16 , 	14 , 	15 , 	6 , 	8 , 	27 , 	15 , 	7 , 	13 , 	7 , 	9 , 	29 , 	12 , 	199 , 	199 , 	387 , 	200 , 	64 , 	56 , 	16 , 	12 , 	22 , 	3 , 	5 , 	7 , 	3 , 	7 , 	5 , 	8 , 	50 , 	15 , 	7 , 	20 , 	-   ," 	2,476 ",,,,,,,,,,
NB, 	35 , 	51 , 	42 , 	14 , 	135 , 	43 , 	49 , 	70 , 	85 , 	33 , 	50 , 	46 , 	23 , 	18 , 	17 , 	9 , 	9 , 	34 , 	11 , 	13 , 	24 , 	8 , 	4 , 	17 , 	11 , 	240 , 	252 , 	409 , 	319 , 	128 , 	98 , 	30 , 	14 , 	22 , 	4 , 	4 , 	13 , 	3 , 	10 , 	4 , 	8 , 	56 , 	17 , 	6 , 	22 , 	-   ," 	2,505 ",,,,,,,,,,
BK, 	250 , 	474 , 	423 , 	163 , 	50 , 	257 , 	214 , 	266 , 	299 , 	109 , 	210 , 	101 , 	97 , 	74 , 	82 , 	45 , 	65 , 	169 , 	47 , 	55 , 	85 , 	42 , 	35 , 	37 , 	63 , 	640 , 	465 , 	978 , 	543 , 	296 , 	217 , 	82 , 	68 , 	87 , 	13 , 	26 , 	59 , 	11 , 	44 , 	17 , 	22 , 	109 , 	92 , 	29 , 	51 , 	-   ," 	7,552 ",,,,,,,,,,
AS, 	55 , 	80 , 	51 , 	42 , 	215 , 	14 , 	70 , 	107 , 	98 , 	31 , 	72 , 	69 , 	24 , 	21 , 	28 , 	14 , 	9 , 	28 , 	13 , 	8 , 	12 , 	7 , 	4 , 	11 , 	23 , 	218 , 	186 , 	339 , 	293 , 	160 , 	123 , 	24 , 	23 , 	19 , 	5 , 	5 , 	16 , 	2 , 	16 , 	4 , 	6 , 	33 , 	15 , 	4 , 	18 , 	-   ," 	2,608 ",,,,,,,,,,
MA, 	80 , 	113 , 	72 , 	44 , 	223 , 	66 , 	16 , 	98 , 	95 , 	33 , 	102 , 	111 , 	54 , 	43 , 	34 , 	21 , 	18 , 	45 , 	42 , 	38 , 	43 , 	22 , 	14 , 	52 , 	34 , 	353 , 	332 , 	643 , 	433 , 	257 , 	190 , 	43 , 	42 , 	34 , 	9 , 	10 , 	9 , 	10 , 	79 , 	4 , 	12 , 	66 , 	27 , 	8 , 	19 , 	-   ," 	4,088 ",,,,,,,,,,
19, 	45 , 	99 , 	91 , 	88 , 	276 , 	124 , 	86 , 	28 , 	23 , 	19 , 	87 , 	96 , 	68 , 	56 , 	58 , 	29 , 	34 , 	84 , 	38 , 	43 , 	60 , 	31 , 	24 , 	77 , 	46 , 	348 , 	335 , 	587 , 	448 , 	262 , 	220 , 	59 , 	43 , 	58 , 	10 , 	12 , 	26 , 	11 , 	40 , 	11 , 	13 , 	51 , 	35 , 	15 , 	16 , 	-   ," 	4,305 ",,,,,,,,,,
12, 	63 , 	134 , 	99 , 	88 , 	273 , 	93 , 	96 , 	20 , 	24 , 	15 , 	87 , 	146 , 	79 , 	111 , 	66 , 	40 , 	37 , 	92 , 	65 , 	58 , 	76 , 	39 , 	23 , 	63 , 	70 , 	372 , 	341 , 	643 , 	398 , 	179 , 	150 , 	54 , 	65 , 	58 , 	16 , 	17 , 	26 , 	13 , 	52 , 	19 , 	22 , 	61 , 	42 , 	7 , 	16 , 	-   ," 	4,502 ",,,,,,,,,,
LM, 	19 , 	52 , 	36 , 	38 , 	110 , 	41 , 	39 , 	21 , 	14 , 	14 , 	105 , 	153 , 	159 , 	149 , 	62 , 	31 , 	42 , 	73 , 	14 , 	7 , 	14 , 	5 , 	12 , 	17 , 	27 , 	332 , 	348 , 	603 , 	337 , 	182 , 	154 , 	41 , 	48 , 	46 , 	6 , 	63 , 	86 , 	2 , 	17 , 	4 , 	8 , 	17 , 	11 , 	46 , 	14 , 	-   ," 	3,613 ",,,,,,,,,,
FV, 	51 , 	95 , 	44 , 	49 , 	189 , 	76 , 	92 , 	93 , 	101 , 	80 , 	20 , 	245 , 	123 , 	195 , 	119 , 	55 , 	36 , 	99 , 	28 , 	16 , 	30 , 	10 , 	12 , 	34 , 	66 , 	362 , 	342 , 	793 , 	387 , 	182 , 	172 , 	35 , 	52 , 	46 , 	5 , 	45 , 	80 , 	5 , 	42 , 	12 , 	10 , 	34 , 	15 , 	52 , 	9 , 	-   ," 	4,632 ",,,,,,,,,,
CL, 	87 , 	157 , 	59 , 	49 , 	110 , 	65 , 	120 , 	118 , 	144 , 	127 , 	222 , 	18 , 	227 , 	236 , 	199 , 	126 , 	141 , 	305 , 	102 , 	95 , 	105 , 	83 , 	52 , 	48 , 	66 , 	249 , 	177 , 	461 , 	200 , 	105 , 	111 , 	76 , 	61 , 	118 , 	17 , 	147 , 	519 , 	55 , 	145 , 	26 , 	27 , 	25 , 	29 , 	165 , 	26 , 	-   ," 	5,795 ",,,,,,,,,,
