Exit stations,Entry stations->,,SATURDAY,,,May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	11 , 	57 , 	61 , 	33 , 	223 , 	56 , 	67 , 	59 , 	72 , 	5 , 	23 , 	34 , 	15 , 	14 , 	15 , 	9 , 	5 , 	12 , 	11 , 	3 , 	9 , 	5 , 	4 , 	14 , 	15 , 	133 , 	106 , 	281 , 	111 , 	103 , 	125 , 	22 , 	37 , 	30 , 	9 , 	2 , 	3 , 	2 , 	17 , 	9 , 	13 , 	36 , 	14 , 	2 , 	6 , 	4 ," 	1,891 ",,,,,,,,,,
EN, 	64 , 	29 , 	68 , 	60 , 	408 , 	93 , 	124 , 	118 , 	166 , 	10 , 	30 , 	81 , 	27 , 	22 , 	26 , 	6 , 	10 , 	29 , 	21 , 	12 , 	17 , 	6 , 	8 , 	17 , 	27 , 	308 , 	241 , 	606 , 	226 , 	111 , 	137 , 	38 , 	50 , 	48 , 	18 , 	7 , 	11 , 	3 , 	24 , 	9 , 	20 , 	69 , 	23 , 	4 , 	19 , 	11 ," 	3,456 ",,,,,,,,,,
EP, 	66 , 	62 , 	20 , 	46 , 	376 , 	50 , 	72 , 	100 , 	116 , 	7 , 	10 , 	35 , 	11 , 	8 , 	10 , 	6 , 	5 , 	17 , 	12 , 	7 , 	18 , 	9 , 	7 , 	21 , 	13 , 	199 , 	156 , 	312 , 	150 , 	79 , 	62 , 	24 , 	18 , 	19 , 	4 , 	5 , 	5 , 	2 , 	8 , 	2 , 	8 , 	46 , 	17 , 	4 , 	19 , 	6 ," 	2,248 ",,,,,,,,,,
NB, 	29 , 	57 , 	41 , 	28 , 	115 , 	36 , 	53 , 	93 , 	87 , 	8 , 	15 , 	34 , 	17 , 	12 , 	8 , 	5 , 	6 , 	17 , 	13 , 	14 , 	20 , 	6 , 	4 , 	12 , 	12 , 	229 , 	215 , 	329 , 	268 , 	135 , 	91 , 	33 , 	22 , 	20 , 	4 , 	2 , 	10 , 	3 , 	15 , 	4 , 	7 , 	68 , 	21 , 	2 , 	21 , 	6 ," 	2,239 ",,,,,,,,,,
BK, 	232 , 	457 , 	388 , 	130 , 	91 , 	218 , 	204 , 	246 , 	298 , 	24 , 	57 , 	68 , 	53 , 	50 , 	44 , 	21 , 	53 , 	94 , 	52 , 	60 , 	88 , 	51 , 	41 , 	30 , 	58 , 	521 , 	354 , 	795 , 	455 , 	251 , 	199 , 	97 , 	62 , 	89 , 	17 , 	16 , 	48 , 	10 , 	44 , 	16 , 	22 , 	164 , 	98 , 	17 , 	50 , 	46 ," 	6,475 ",,,,,,,,,,
AS, 	59 , 	88 , 	49 , 	36 , 	182 , 	23 , 	61 , 	118 , 	109 , 	8 , 	22 , 	40 , 	16 , 	14 , 	16 , 	6 , 	7 , 	12 , 	12 , 	12 , 	16 , 	8 , 	5 , 	8 , 	29 , 	218 , 	152 , 	293 , 	243 , 	154 , 	116 , 	29 , 	25 , 	17 , 	3 , 	3 , 	9 , 	1 , 	13 , 	4 , 	3 , 	46 , 	18 , 	2 , 	11 , 	5 ," 	2,317 ",,,,,,,,,,
MA, 	95 , 	142 , 	70 , 	50 , 	232 , 	68 , 	28 , 	92 , 	106 , 	8 , 	29 , 	89 , 	30 , 	34 , 	26 , 	7 , 	10 , 	17 , 	54 , 	37 , 	62 , 	20 , 	21 , 	46 , 	45 , 	403 , 	319 , 	600 , 	423 , 	267 , 	218 , 	52 , 	42 , 	30 , 	9 , 	8 , 	9 , 	11 , 	78 , 	6 , 	12 , 	89 , 	25 , 	6 , 	16 , 	10 ," 	4,047 ",,,,,,,,,,
19, 	63 , 	131 , 	96 , 	116 , 	301 , 	135 , 	104 , 	37 , 	31 , 	5 , 	25 , 	82 , 	30 , 	30 , 	25 , 	9 , 	13 , 	27 , 	47 , 	60 , 	79 , 	47 , 	45 , 	79 , 	46 , 	409 , 	356 , 	636 , 	451 , 	301 , 	231 , 	77 , 	58 , 	65 , 	14 , 	10 , 	17 , 	16 , 	67 , 	11 , 	15 , 	73 , 	38 , 	6 , 	9 , 	12 ," 	4,529 ",,,,,,,,,,
12, 	80 , 	146 , 	106 , 	87 , 	266 , 	102 , 	111 , 	16 , 	48 , 	4 , 	24 , 	51 , 	25 , 	36 , 	22 , 	11 , 	19 , 	25 , 	67 , 	60 , 	63 , 	36 , 	34 , 	69 , 	85 , 	596 , 	477 , 	992 , 	580 , 	313 , 	279 , 	85 , 	99 , 	89 , 	22 , 	6 , 	9 , 	14 , 	68 , 	20 , 	28 , 	112 , 	56 , 	2 , 	11 , 	9 ," 	5,454 ",,,,,,,,,,
LM, 	3 , 	11 , 	9 , 	10 , 	22 , 	12 , 	11 , 	5 , 	5 , 	5 , 	20 , 	85 , 	36 , 	37 , 	19 , 	9 , 	12 , 	14 , 	5 , 	4 , 	5 , 	4 , 	1 , 	3 , 	6 , 	94 , 	76 , 	133 , 	75 , 	48 , 	34 , 	11 , 	9 , 	7 , 	1 , 	13 , 	26 , 	1 , 	3 , 	0 , 	1 , 	3 , 	4 , 	10 , 	5 , 	8 , 	910 ,,,,,,,,,,
