Exit stations,Entry stations->,,WEEKDAY,,,May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
RM, 	12 , 	124 , 	103 , 	78 , 	423 , 	113 , 	152 , 	147 , 	180 , 	45 , 	91 , 	68 , 	35 , 	26 , 	37 , 	21 , 	21 , 	30 , 	20 , 	13 , 	21 , 	8 , 	6 , 	20 , 	26 , 	382 , 	395 , 	451 , 	338 , 	192 , 	203 , 	54 , 	69 , 	79 , 	16 , 	6 , 	12 , 	5 , 	37 , 	19 , 	18 , 	53 , 	27 , 	3 , 	12 , 	10 ," 	4,201 ",,,,,,,,,,,,,
EN, 	144 , 	23 , 	108 , 	100 , 	916 , 	167 , 	285 , 	489 , 	597 , 	110 , 	126 , 	130 , 	63 , 	48 , 	73 , 	26 , 	40 , 	73 , 	32 , 	22 , 	30 , 	10 , 	15 , 	31 , 	41 , 	958 ," 	1,088 ", 	920 , 	822 , 	280 , 	220 , 	80 , 	104 , 	139 , 	31 , 	9 , 	28 , 	7 , 	34 , 	38 , 	48 , 	122 , 	70 , 	13 , 	40 , 	19 ," 	8,771 ",,,,,,,,,,,,,
EP, 	105 , 	100 , 	15 , 	62 , 	690 , 	88 , 	137 , 	315 , 	333 , 	80 , 	55 , 	52 , 	35 , 	16 , 	30 , 	9 , 	16 , 	41 , 	21 , 	17 , 	25 , 	9 , 	7 , 	36 , 	17 , 	595 , 	694 , 	426 , 	438 , 	130 , 	74 , 	38 , 	39 , 	52 , 	4 , 	4 , 	16 , 	4 , 	16 , 	10 , 	12 , 	67 , 	33 , 	8 , 	29 , 	12 ," 	5,009 ",,,,,,,,,,,,,
NB, 	83 , 	91 , 	63 , 	19 , 	188 , 	75 , 	94 , 	271 , 	246 , 	61 , 	68 , 	55 , 	38 , 	16 , 	29 , 	9 , 	23 , 	32 , 	19 , 	23 , 	28 , 	8 , 	7 , 	24 , 	15 , 	680 , 	806 , 	413 , 	519 , 	166 , 	101 , 	40 , 	34 , 	47 , 	7 , 	8 , 	14 , 	3 , 	19 , 	7 , 	9 , 	100 , 	38 , 	11 , 	39 , 	12 ," 	4,657 ",,,,,,,,,,,,,
BK, 	463 , 	965 , 	706 , 	196 , 	42 , 	367 , 	401 , 	553 , 	563 , 	244 , 	311 , 	164 , 	179 , 	146 , 	142 , 	76 , 	148 , 	220 , 	135 , 	174 , 	136 , 	75 , 	44 , 	42 , 	83 ," 	1,041 "," 	1,047 ", 	862 , 	798 , 	337 , 	267 , 	136 , 	118 , 	120 , 	35 , 	54 , 	115 , 	46 , 	114 , 	31 , 	38 , 	186 , 	158 , 	49 , 	83 , 	79 ," 	12,286 ",,,,,,,,,,,,,
AS, 	121 , 	141 , 	86 , 	67 , 	326 , 	16 , 	95 , 	262 , 	263 , 	64 , 	100 , 	75 , 	59 , 	35 , 	41 , 	23 , 	40 , 	48 , 	27 , 	22 , 	26 , 	8 , 	7 , 	20 , 	30 , 	728 , 	818 , 	488 , 	569 , 	249 , 	134 , 	37 , 	45 , 	45 , 	10 , 	11 , 	19 , 	8 , 	31 , 	10 , 	17 , 	65 , 	48 , 	9 , 	29 , 	20 ," 	5,392 ",,,,,,,,,,,,,
MA, 	170 , 	300 , 	128 , 	93 , 	389 , 	99 , 	33 , 	209 , 	244 , 	80 , 	182 , 	161 , 	125 , 	105 , 	115 , 	59 , 	87 , 	120 , 	167 , 	185 , 	151 , 	59 , 	42 , 	67 , 	57 ," 	1,133 "," 	1,304 ", 	875 , 	944 , 	410 , 	241 , 	85 , 	83 , 	97 , 	28 , 	27 , 	67 , 	61 , 	269 , 	34 , 	37 , 	131 , 	69 , 	25 , 	35 , 	34 ," 	9,414 ",,,,,,,,,,,,,
19, 	163 , 	505 , 	325 , 	277 , 	509 , 	263 , 	208 , 	37 , 	50 , 	39 , 	181 , 	202 , 	241 , 	192 , 	225 , 	159 , 	226 , 	325 , 	328 , 	393 , 	307 , 	157 , 	106 , 	179 , 	61 ," 	1,365 "," 	1,537 ", 	949 ," 	1,058 ", 	477 , 	342 , 	181 , 	139 , 	161 , 	81 , 	73 , 	231 , 	171 , 	265 , 	67 , 	67 , 	99 , 	132 , 	93 , 	39 , 	103 ," 	13,288 ",,,,,,,,,,,,,
12, 	197 , 	615 , 	312 , 	252 , 	476 , 	238 , 	237 , 	52 , 	39 , 	45 , 	238 , 	299 , 	341 , 	324 , 	293 , 	170 , 	211 , 	308 , 	328 , 	393 , 	282 , 	151 , 	124 , 	156 , 	99 ," 	1,318 "," 	1,329 ", 	963 ," 	1,021 ", 	349 , 	325 , 	179 , 	172 , 	197 , 	136 , 	109 , 	225 , 	174 , 	346 , 	89 , 	83 , 	138 , 	154 , 	120 , 	57 , 	71 ," 	13,735 ",,,,,,,,,,,,,
LM, 	44 , 	106 , 	86 , 	66 , 	229 , 	64 , 	79 , 	47 , 	46 , 	22 , 	193 , 	256 , 	320 , 	279 , 	178 , 	97 , 	126 , 	136 , 	36 , 	27 , 	29 , 	10 , 	13 , 	34 , 	36 , 	864 ," 	1,037 ", 	714 , 	637 , 	251 , 	157 , 	60 , 	86 , 	99 , 	9 , 	126 , 	191 , 	15 , 	54 , 	12 , 	15 , 	35 , 	21 , 	73 , 	27 , 	71 ," 	7,109 ",,,,,,,,,,,,,
