Exit stations,Entry stations->,,SUNDAY,,,Aug 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	6 , 	46 , 	33 , 	26 , 	146 , 	41 , 	54 , 	23 , 	46 , 	20 , 	50 , 	45 , 	16 , 	13 , 	8 , 	6 , 	7 , 	10 , 	11 , 	3 , 	6 , 	1 , 	3 , 	8 , 	14 , 	112 , 	71 , 	188 , 	67 , 	62 , 	67 , 	18 , 	23 , 	16 , 	4 , 	3 , 	7 , 	2 , 	22 , 	5 , 	10 , 	40 , 	10 , 	2 , 	11 , 	5 ," 	1,383 ",,,,,,,,,,,
EN, 	49 , 	11 , 	41 , 	54 , 	282 , 	68 , 	80 , 	55 , 	113 , 	39 , 	53 , 	84 , 	18 , 	24 , 	20 , 	9 , 	13 , 	34 , 	15 , 	7 , 	20 , 	6 , 	8 , 	12 , 	15 , 	234 , 	153 , 	412 , 	150 , 	72 , 	66 , 	23 , 	35 , 	33 , 	13 , 	4 , 	10 , 	1 , 	16 , 	8 , 	11 , 	103 , 	18 , 	4 , 	33 , 	15 ," 	2,539 ",,,,,,,,,,,
EP, 	40 , 	36 , 	7 , 	30 , 	265 , 	44 , 	45 , 	48 , 	76 , 	26 , 	20 , 	30 , 	13 , 	12 , 	8 , 	5 , 	7 , 	20 , 	10 , 	6 , 	13 , 	3 , 	4 , 	13 , 	10 , 	143 , 	92 , 	188 , 	108 , 	42 , 	38 , 	19 , 	10 , 	15 , 	6 , 	1 , 	7 , 	0 , 	6 , 	3 , 	4 , 	72 , 	11 , 	4 , 	34 , 	13 ," 	1,600 ",,,,,,,,,,,
NB, 	28 , 	41 , 	32 , 	16 , 	107 , 	33 , 	37 , 	58 , 	63 , 	26 , 	34 , 	40 , 	16 , 	8 , 	8 , 	7 , 	8 , 	20 , 	7 , 	8 , 	12 , 	6 , 	4 , 	11 , 	9 , 	178 , 	143 , 	199 , 	151 , 	83 , 	65 , 	21 , 	15 , 	14 , 	3 , 	2 , 	9 , 	2 , 	10 , 	3 , 	4 , 	99 , 	17 , 	5 , 	45 , 	10 ," 	1,709 ",,,,,,,,,,,
BK, 	158 , 	292 , 	256 , 	126 , 	45 , 	198 , 	229 , 	177 , 	196 , 	127 , 	123 , 	77 , 	70 , 	51 , 	45 , 	19 , 	50 , 	136 , 	35 , 	48 , 	54 , 	25 , 	23 , 	33 , 	50 , 	499 , 	310 , 	612 , 	401 , 	215 , 	150 , 	76 , 	48 , 	56 , 	14 , 	21 , 	70 , 	12 , 	30 , 	10 , 	17 , 	219 , 	84 , 	22 , 	95 , 	104 ," 	5,705 ",,,,,,,,,,,
AS, 	43 , 	69 , 	40 , 	31 , 	215 , 	11 , 	48 , 	73 , 	95 , 	39 , 	54 , 	47 , 	17 , 	15 , 	15 , 	7 , 	11 , 	17 , 	10 , 	9 , 	13 , 	5 , 	2 , 	6 , 	24 , 	167 , 	102 , 	192 , 	174 , 	104 , 	83 , 	18 , 	14 , 	15 , 	2 , 	5 , 	8 , 	2 , 	10 , 	5 , 	2 , 	82 , 	17 , 	2 , 	33 , 	13 ," 	1,960 ",,,,,,,,,,,
MA, 	55 , 	73 , 	38 , 	46 , 	219 , 	61 , 	16 , 	57 , 	92 , 	30 , 	71 , 	85 , 	31 , 	36 , 	25 , 	12 , 	17 , 	25 , 	30 , 	23 , 	39 , 	15 , 	11 , 	24 , 	29 , 	297 , 	195 , 	384 , 	282 , 	166 , 	120 , 	35 , 	28 , 	28 , 	6 , 	6 , 	13 , 	10 , 	55 , 	4 , 	8 , 	148 , 	21 , 	7 , 	39 , 	14 ," 	3,020 ",,,,,,,,,,,
19, 	26 , 	51 , 	44 , 	53 , 	162 , 	74 , 	51 , 	16 , 	8 , 	13 , 	48 , 	63 , 	32 , 	34 , 	28 , 	15 , 	11 , 	24 , 	25 , 	28 , 	33 , 	14 , 	13 , 	47 , 	32 , 	239 , 	168 , 	332 , 	249 , 	188 , 	125 , 	42 , 	30 , 	20 , 	7 , 	5 , 	11 , 	4 , 	30 , 	5 , 	9 , 	104 , 	24 , 	4 , 	26 , 	21 ," 	2,582 ",,,,,,,,,,,
12, 	43 , 	114 , 	67 , 	66 , 	172 , 	97 , 	94 , 	10 , 	22 , 	19 , 	86 , 	115 , 	87 , 	76 , 	53 , 	30 , 	39 , 	43 , 	41 , 	34 , 	48 , 	26 , 	21 , 	74 , 	52 , 	289 , 	212 , 	465 , 	279 , 	129 , 	97 , 	52 , 	51 , 	54 , 	16 , 	12 , 	33 , 	16 , 	55 , 	12 , 	11 , 	146 , 	32 , 	6 , 	31 , 	19 ," 	3,545 ",,,,,,,,,,,
LM, 	21 , 	37 , 	29 , 	38 , 	127 , 	37 , 	33 , 	14 , 	15 , 	14 , 	118 , 	104 , 	95 , 	108 , 	39 , 	19 , 	30 , 	49 , 	11 , 	7 , 	17 , 	4 , 	7 , 	15 , 	25 , 	257 , 	191 , 	380 , 	225 , 	145 , 	105 , 	40 , 	44 , 	42 , 	1 , 	52 , 	71 , 	3 , 	13 , 	1 , 	9 , 	34 , 	8 , 	28 , 	41 , 	23 ," 	2,722 ",,,,,,,,,,,
