Exit stations,Entry stations->,,WEEKDAY,,,Sep 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
RM, 	14 , 	130 , 	85 , 	83 , 	450 , 	107 , 	151 , 	149 , 	187 , 	49 , 	95 , 	66 , 	36 , 	25 , 	30 , 	23 , 	17 , 	33 , 	22 , 	13 , 	20 , 	6 , 	9 , 	23 , 	24 , 	368 , 	408 , 	461 , 	340 , 	197 , 	196 , 	54 , 	75 , 	125 , 	13 , 	6 , 	15 , 	5 , 	37 , 	19 , 	20 , 	62 , 	28 , 	4 , 	14 , 	9 ," 	4,302 ",,,,,,,,,,,,,
EN, 	152 , 	23 , 	105 , 	100 ," 	1,011 ", 	153 , 	275 , 	503 , 	567 , 	114 , 	125 , 	119 , 	62 , 	47 , 	66 , 	28 , 	39 , 	73 , 	36 , 	17 , 	33 , 	7 , 	15 , 	34 , 	43 , 	968 ," 	1,097 ", 	942 , 	847 , 	278 , 	224 , 	88 , 	133 , 	221 , 	33 , 	10 , 	26 , 	7 , 	31 , 	42 , 	45 , 	126 , 	73 , 	11 , 	42 , 	19 ," 	9,010 ",,,,,,,,,,,,,
EP, 	87 , 	91 , 	15 , 	56 , 	794 , 	88 , 	134 , 	303 , 	326 , 	80 , 	62 , 	38 , 	29 , 	17 , 	28 , 	9 , 	15 , 	43 , 	20 , 	18 , 	25 , 	8 , 	8 , 	35 , 	16 , 	588 , 	680 , 	426 , 	447 , 	130 , 	80 , 	34 , 	44 , 	75 , 	6 , 	5 , 	15 , 	4 , 	12 , 	9 , 	13 , 	76 , 	37 , 	8 , 	30 , 	12 ," 	5,075 ",,,,,,,,,,,,,
NB, 	85 , 	95 , 	55 , 	16 , 	205 , 	71 , 	97 , 	270 , 	238 , 	57 , 	60 , 	40 , 	33 , 	18 , 	25 , 	9 , 	23 , 	33 , 	24 , 	22 , 	28 , 	7 , 	9 , 	20 , 	15 , 	653 , 	749 , 	405 , 	530 , 	162 , 	94 , 	35 , 	42 , 	59 , 	8 , 	6 , 	16 , 	4 , 	14 , 	9 , 	9 , 	93 , 	38 , 	10 , 	39 , 	15 ," 	4,546 ",,,,,,,,,,,,,
BK, 	507 ," 	1,103 ", 	808 , 	223 , 	48 , 	383 , 	420 , 	615 , 	565 , 	304 , 	341 , 	187 , 	213 , 	167 , 	157 , 	89 , 	170 , 	234 , 	142 , 	178 , 	141 , 	82 , 	55 , 	44 , 	88 ," 	1,061 "," 	1,048 ", 	796 , 	827 , 	354 , 	287 , 	150 , 	142 , 	151 , 	44 , 	62 , 	133 , 	56 , 	133 , 	35 , 	46 , 	144 , 	172 , 	54 , 	77 , 	103 ," 	13,139 ",,,,,,,,,,,,,
AS, 	116 , 	136 , 	85 , 	64 , 	357 , 	17 , 	92 , 	261 , 	251 , 	81 , 	104 , 	65 , 	54 , 	36 , 	39 , 	22 , 	34 , 	44 , 	24 , 	28 , 	24 , 	11 , 	6 , 	15 , 	35 , 	706 , 	783 , 	480 , 	564 , 	228 , 	136 , 	39 , 	48 , 	63 , 	9 , 	11 , 	21 , 	8 , 	30 , 	11 , 	16 , 	60 , 	45 , 	10 , 	27 , 	18 ," 	5,311 ",,,,,,,,,,,,,
MA, 	171 , 	293 , 	121 , 	86 , 	398 , 	94 , 	28 , 	196 , 	234 , 	83 , 	173 , 	148 , 	125 , 	103 , 	110 , 	55 , 	87 , 	114 , 	156 , 	184 , 	159 , 	51 , 	45 , 	62 , 	54 ," 	1,074 "," 	1,259 ", 	878 , 	952 , 	408 , 	233 , 	89 , 	98 , 	112 , 	25 , 	27 , 	70 , 	58 , 	280 , 	36 , 	38 , 	127 , 	68 , 	25 , 	33 , 	35 ," 	9,256 ",,,,,,,,,,,,,
19, 	172 , 	520 , 	312 , 	278 , 	560 , 	269 , 	197 , 	35 , 	50 , 	47 , 	187 , 	155 , 	239 , 	212 , 	203 , 	153 , 	220 , 	330 , 	332 , 	388 , 	332 , 	157 , 	119 , 	183 , 	64 ," 	1,368 "," 	1,551 ", 	953 ," 	1,088 ", 	457 , 	347 , 	180 , 	145 , 	171 , 	76 , 	66 , 	231 , 	171 , 	276 , 	75 , 	72 , 	99 , 	139 , 	99 , 	43 , 	110 ," 	13,431 ",,,,,,,,,,,,,
12, 	201 , 	581 , 	315 , 	242 , 	488 , 	237 , 	230 , 	50 , 	38 , 	44 , 	226 , 	282 , 	354 , 	326 , 	274 , 	176 , 	215 , 	297 , 	314 , 	420 , 	292 , 	144 , 	114 , 	143 , 	95 ," 	1,317 "," 	1,333 ", 	973 ," 	1,008 ", 	345 , 	318 , 	176 , 	186 , 	222 , 	128 , 	112 , 	230 , 	168 , 	358 , 	91 , 	86 , 	145 , 	151 , 	116 , 	63 , 	75 ," 	13,701 ",,,,,,,,,,,,,
LM, 	48 , 	112 , 	83 , 	55 , 	287 , 	80 , 	80 , 	49 , 	41 , 	24 , 	201 , 	247 , 	314 , 	285 , 	163 , 	93 , 	116 , 	134 , 	40 , 	31 , 	32 , 	11 , 	10 , 	34 , 	46 , 	858 ," 	1,017 ", 	730 , 	676 , 	250 , 	162 , 	64 , 	106 , 	140 , 	8 , 	126 , 	182 , 	15 , 	67 , 	15 , 	17 , 	37 , 	19 , 	74 , 	29 , 	94 ," 	7,300 ",,,,,,,,,,,,,
