Exit stations,Entry stations->,,SATURDAY,,,Oct 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	8 , 	59 , 	59 , 	42 , 	247 , 	49 , 	60 , 	48 , 	53 , 	19 , 	53 , 	44 , 	18 , 	19 , 	19 , 	10 , 	12 , 	16 , 	14 , 	5 , 	7 , 	4 , 	6 , 	12 , 	20 , 	142 , 	112 , 	305 , 	122 , 	95 , 	103 , 	26 , 	43 , 	38 , 	9 , 	4 , 	6 , 	1 , 	23 , 	8 , 	12 , 	36 , 	11 , 	2 , 	8 , 	4 ," 	2,006 ",,,,,,,,,,
EN, 	63 , 	12 , 	55 , 	52 , 	477 , 	86 , 	94 , 	88 , 	124 , 	28 , 	84 , 	80 , 	30 , 	34 , 	33 , 	11 , 	17 , 	31 , 	22 , 	8 , 	18 , 	6 , 	7 , 	19 , 	29 , 	333 , 	241 , 	621 , 	225 , 	111 , 	109 , 	38 , 	59 , 	46 , 	20 , 	6 , 	9 , 	2 , 	17 , 	14 , 	18 , 	84 , 	22 , 	6 , 	24 , 	11 ," 	3,521 ",,,,,,,,,,
EP, 	56 , 	53 , 	9 , 	39 , 	446 , 	58 , 	55 , 	83 , 	89 , 	23 , 	34 , 	31 , 	19 , 	11 , 	11 , 	4 , 	10 , 	23 , 	10 , 	9 , 	17 , 	7 , 	2 , 	18 , 	8 , 	190 , 	129 , 	285 , 	153 , 	73 , 	57 , 	22 , 	14 , 	20 , 	4 , 	6 , 	6 , 	1 , 	10 , 	2 , 	6 , 	57 , 	13 , 	5 , 	25 , 	7 ," 	2,203 ",,,,,,,,,,
NB, 	40 , 	51 , 	42 , 	17 , 	153 , 	34 , 	43 , 	77 , 	69 , 	24 , 	50 , 	39 , 	15 , 	13 , 	12 , 	6 , 	5 , 	24 , 	11 , 	9 , 	16 , 	4 , 	5 , 	10 , 	9 , 	226 , 	177 , 	275 , 	235 , 	139 , 	99 , 	30 , 	15 , 	19 , 	4 , 	3 , 	10 , 	3 , 	9 , 	4 , 	7 , 	82 , 	18 , 	3 , 	35 , 	12 ," 	2,177 ",,,,,,,,,,
BK, 	273 , 	514 , 	457 , 	169 , 	76 , 	233 , 	233 , 	270 , 	258 , 	119 , 	217 , 	152 , 	115 , 	100 , 	69 , 	33 , 	84 , 	175 , 	63 , 	83 , 	127 , 	71 , 	59 , 	44 , 	57 , 	760 , 	491 ," 	1,056 ", 	715 , 	365 , 	246 , 	138 , 	75 , 	152 , 	18 , 	42 , 	110 , 	18 , 	52 , 	27 , 	31 , 	130 , 	118 , 	38 , 	70 , 	124 ," 	8,821 ",,,,,,,,,,
AS, 	53 , 	78 , 	49 , 	35 , 	202 , 	14 , 	59 , 	95 , 	104 , 	32 , 	69 , 	52 , 	25 , 	22 , 	17 , 	14 , 	11 , 	22 , 	18 , 	9 , 	17 , 	8 , 	4 , 	7 , 	29 , 	222 , 	151 , 	285 , 	256 , 	160 , 	97 , 	28 , 	21 , 	23 , 	4 , 	4 , 	11 , 	2 , 	12 , 	4 , 	6 , 	54 , 	17 , 	5 , 	21 , 	10 ," 	2,430 ",,,,,,,,,,
MA, 	82 , 	92 , 	55 , 	49 , 	247 , 	72 , 	21 , 	77 , 	85 , 	25 , 	99 , 	94 , 	47 , 	37 , 	35 , 	13 , 	20 , 	31 , 	41 , 	33 , 	49 , 	21 , 	12 , 	34 , 	30 , 	369 , 	282 , 	530 , 	396 , 	255 , 	176 , 	47 , 	37 , 	32 , 	10 , 	9 , 	12 , 	10 , 	70 , 	6 , 	14 , 	93 , 	25 , 	4 , 	25 , 	12 ," 	3,811 ",,,,,,,,,,
19, 	54 , 	103 , 	78 , 	77 , 	268 , 	105 , 	80 , 	27 , 	18 , 	12 , 	76 , 	94 , 	70 , 	53 , 	39 , 	19 , 	30 , 	41 , 	38 , 	41 , 	74 , 	36 , 	23 , 	77 , 	41 , 	359 , 	274 , 	526 , 	439 , 	283 , 	207 , 	64 , 	48 , 	56 , 	15 , 	12 , 	26 , 	10 , 	50 , 	15 , 	13 , 	61 , 	40 , 	11 , 	21 , 	30 ," 	4,128 ",,,,,,,,,,
12, 	62 , 	121 , 	91 , 	66 , 	228 , 	97 , 	91 , 	19 , 	23 , 	13 , 	79 , 	115 , 	67 , 	89 , 	57 , 	33 , 	39 , 	51 , 	57 , 	48 , 	64 , 	30 , 	27 , 	55 , 	58 , 	352 , 	273 , 	578 , 	355 , 	183 , 	152 , 	55 , 	65 , 	55 , 	21 , 	12 , 	21 , 	12 , 	64 , 	15 , 	22 , 	94 , 	45 , 	5 , 	28 , 	32 ," 	4,112 ",,,,,,,,,,
LM, 	14 , 	33 , 	28 , 	27 , 	117 , 	30 , 	30 , 	10 , 	14 , 	18 , 	104 , 	159 , 	126 , 	142 , 	49 , 	25 , 	44 , 	67 , 	10 , 	10 , 	11 , 	8 , 	7 , 	14 , 	25 , 	311 , 	259 , 	495 , 	293 , 	184 , 	124 , 	46 , 	38 , 	39 , 	4 , 	55 , 	75 , 	3 , 	11 , 	4 , 	7 , 	23 , 	8 , 	43 , 	17 , 	25 ," 	3,177 ",,,,,,,,,,
FV, 	61 , 	83 , 	35 , 	48 , 	218 , 	69 , 	84 , 	71 , 	76 , 	69 , 	19 , 	173 , 	134 , 	183 , 	97 , 	51 , 	34 , 	81 , 	26 , 	17 , 	19 , 	13 , 	9 , 	28 , 	70 , 	368 , 	265 , 	637 , 	340 , 	174 , 	160 , 	35 , 	45 , 	52 , 	8 , 	42 , 	75 , 	6 , 	40 , 	10 , 	10 , 	56 , 	15 , 	51 , 	15 , 	25 ," 	4,192 ",,,,,,,,,,
CL, 	42 , 	77 , 	29 , 	38 , 	135 , 	62 , 	91 , 	105 , 	126 , 	149 , 	152 , 	14 , 	113 , 	145 , 	80 , 	42 , 	63 , 	88 , 	28 , 	20 , 	29 , 	12 , 	13 , 	30 , 	56 , 	263 , 	140 , 	375 , 	210 , 	108 , 	117 , 	58 , 	50 , 	65 , 	5 , 	25 , 	80 , 	9 , 	56 , 	10 , 	16 , 	28 , 	12 , 	43 , 	28 , 	56 ," 	3,488 ",,,,,,,,,,
SL, 	19 , 	34 , 	20 , 	16 , 	110 , 	31 , 	38 , 	60 , 	77 , 	119 , 	126 , 	127 , 	12 , 	86 , 	88 , 	36 , 	33 , 	55 , 	12 , 	9 , 	13 , 	2 , 	2 , 	16 , 	31 , 	274 , 	191 , 	404 , 	178 , 	70 , 	52 , 	19 , 	28 , 	35 , 	6 , 	21 , 	44 , 	4 , 	21 , 	6 , 	6 , 	30 , 	6 , 	43 , 	8 , 	14 ," 	2,629 ",,,,,,,,,,
BF, 	17 , 	32 , 	11 , 	13 , 	99 , 	26 , 	41 , 	54 , 	92 , 	143 , 	187 , 	149 , 	99 , 	7 , 	86 , 	42 , 	56 , 	82 , 	18 , 	8 , 	8 , 	3 , 	3 , 	14 , 	29 , 	250 , 	186 , 	363 , 	145 , 	49 , 	51 , 	19 , 	28 , 	24 , 	8 , 	39 , 	61 , 	2 , 	18 , 	8 , 	10 , 	22 , 	7 , 	72 , 	8 , 	18 ," 	2,702 ",,,,,,,,,,
HY, 	17 , 	38 , 	11 , 	13 , 	70 , 	21 , 	38 , 	43 , 	66 , 	46 , 	104 , 	94 , 	75 , 	84 , 	18 , 	55 , 	58 , 	119 , 	20 , 	7 , 	11 , 	4 , 	2 , 	11 , 	18 , 	157 , 	74 , 	217 , 	77 , 	38 , 	38 , 	10 , 	22 , 	22 , 	3 , 	15 , 	26 , 	1 , 	25 , 	5 , 	6 , 	17 , 	5 , 	31 , 	9 , 	21 ," 	1,856 ",,,,,,,,,,
SH, 	9 , 	10 , 	7 , 	5 , 	37 , 	11 , 	17 , 	16 , 	30 , 	24 , 	48 , 	43 , 	35 , 	49 , 	45 , 	4 , 	27 , 	67 , 	7 , 	4 , 	5 , 	1 , 	1 , 	3 , 	8 , 	97 , 	59 , 	130 , 	58 , 	23 , 	22 , 	9 , 	12 , 	16 , 	3 , 	6 , 	16 , 	1 , 	9 , 	8 , 	5 , 	16 , 	4 , 	16 , 	3 , 	15 ," 	1,035 ",,,,,,,,,,
UC, 	7 , 	17 , 	10 , 	7 , 	97 , 	15 , 	21 , 	38 , 	39 , 	40 , 	33 , 	71 , 	27 , 	55 , 	61 , 	32 , 	12 , 	64 , 	4 , 	5 , 	4 , 	3 , 	2 , 	3 , 	8 , 	200 , 	107 , 	234 , 	88 , 	34 , 	23 , 	9 , 	14 , 	21 , 	4 , 	6 , 	22 , 	1 , 	12 , 	5 , 	3 , 	21 , 	2 , 	16 , 	10 , 	11 ," 	1,512 ",,,,,,,,,,
FM, 	15 , 	34 , 	21 , 	20 , 	192 , 	27 , 	34 , 	48 , 	54 , 	51 , 	87 , 	94 , 	55 , 	87 , 	121 , 	64 , 	82 , 	27 , 	12 , 	11 , 	12 , 	3 , 	5 , 	15 , 	13 , 	397 , 	155 , 	347 , 	149 , 	58 , 	42 , 	16 , 	19 , 	40 , 	3 , 	17 , 	52 , 	4 , 	19 , 	6 , 	3 , 	36 , 	4 , 	20 , 	19 , 	15 ," 	2,601 ",,,,,,,,,,
CN, 	14 , 	24 , 	12 , 	13 , 	62 , 	18 , 	47 , 	40 , 	55 , 	10 , 	24 , 	27 , 	10 , 	14 , 	18 , 	7 , 	5 , 	13 , 	14 , 	51 , 	146 , 	39 , 	18 , 	46 , 	10 , 	218 , 	139 , 	304 , 	128 , 	60 , 	36 , 	20 , 	21 , 	31 , 	13 , 	3 , 	5 , 	18 , 	176 , 	11 , 	7 , 	97 , 	14 , 	4 , 	24 , 	5 ," 	2,064 ",,,,,,,,,,
PH, 	7 , 	12 , 	8 , 	9 , 	74 , 	7 , 	39 , 	43 , 	39 , 	7 , 	15 , 	21 , 	11 , 	7 , 	8 , 	2 , 	5 , 	11 , 	49 , 	14 , 	85 , 	21 , 	13 , 	56 , 	9 , 	305 , 	163 , 	314 , 	149 , 	51 , 	41 , 	20 , 	14 , 	20 , 	8 , 	6 , 	5 , 	12 , 	65 , 	6 , 	7 , 	125 , 	10 , 	1 , 	28 , 	5 ," 	1,923 ",,,,,,,,,,
WC, 	9 , 	21 , 	19 , 	14 , 	135 , 	15 , 	52 , 	70 , 	62 , 	12 , 	25 , 	31 , 	12 , 	7 , 	11 , 	4 , 	5 , 	16 , 	182 , 	80 , 	24 , 	43 , 	23 , 	99 , 	15 , 	429 , 	250 , 	346 , 	234 , 	68 , 	46 , 	21 , 	19 , 	32 , 	8 , 	2 , 	2 , 	22 , 	128 , 	8 , 	9 , 	135 , 	19 , 	1 , 	34 , 	6 ," 	2,800 ",,,,,,,,,,
LF, 	5 , 	6 , 	4 , 	5 , 	71 , 	8 , 	20 , 	31 , 	30 , 	7 , 	11 , 	12 , 	3 , 	1 , 	5 , 	0 , 	2 , 	4 , 	55 , 	24 , 	44 , 	10 , 	17 , 	48 , 	3 , 	236 , 	128 , 	174 , 	137 , 	31 , 	25 , 	13 , 	5 , 	12 , 	2 , 	1 , 	2 , 	8 , 	28 , 	2 , 	1 , 	71 , 	6 , 	-   , 	17 , 	2 ," 	1,319 ",,,,,,,,,,
OR, 	7 , 	7 , 	5 , 	5 , 	57 , 	4 , 	13 , 	25 , 	30 , 	5 , 	6 , 	14 , 	3 , 	2 , 	2 , 	1 , 	3 , 	3 , 	20 , 	13 , 	30 , 	16 , 	8 , 	36 , 	3 , 	233 , 	111 , 	164 , 	114 , 	42 , 	27 , 	12 , 	7 , 	4 , 	3 , 	1 , 	3 , 	2 , 	13 , 	3 , 	3 , 	63 , 	7 , 	0 , 	11 , 	2 ," 	1,134 ",,,,,,,,,,
RR, 	13 , 	21 , 	20 , 	13 , 	49 , 	6 , 	34 , 	80 , 	70 , 	17 , 	33 , 	38 , 	18 , 	8 , 	8 , 	3 , 	5 , 	11 , 	44 , 	65 , 	92 , 	58 , 	35 , 	20 , 	18 , 	376 , 	246 , 	470 , 	352 , 	190 , 	127 , 	43 , 	20 , 	27 , 	7 , 	3 , 	5 , 	13 , 	33 , 	6 , 	7 , 	95 , 	24 , 	3 , 	13 , 	6 ," 	2,840 ",,,,,,,,,,
OW, 	20 , 	28 , 	6 , 	9 , 	46 , 	23 , 	31 , 	31 , 	65 , 	17 , 	70 , 	53 , 	23 , 	24 , 	19 , 	7 , 	5 , 	13 , 	9 , 	6 , 	11 , 	4 , 	2 , 	20 , 	18 , 	618 , 	505 , 	986 , 	500 , 	298 , 	233 , 	58 , 	50 , 	38 , 	12 , 	8 , 	21 , 	1 , 	22 , 	7 , 	18 , 	81 , 	23 , 	8 , 	6 , 	3 ," 	4,047 ",,,,,,,,,,
EM, 	175 , 	429 , 	250 , 	338 , 	925 , 	317 , 	480 , 	510 , 	457 , 	368 , 	460 , 	342 , 	315 , 	315 , 	186 , 	123 , 	247 , 	440 , 	263 , 	393 , 	533 , 	305 , 	277 , 	507 , 	819 , 	83 , 	33 , 	290 , 	163 , 	456 , 	551 , 	319 , 	476 , 	480 , 	143 , 	213 , 	720 , 	123 , 	309 , 	143 , 	146 , 	453 , 	384 , 	269 , 	92 , 	184 ," 	15,796 ",,,,,,,,,,
MT, 	155 , 	304 , 	166 , 	227 , 	611 , 	256 , 	395 , 	385 , 	339 , 	310 , 	358 , 	189 , 	231 , 	213 , 	103 , 	74 , 	126 , 	198 , 	176 , 	216 , 	269 , 	142 , 	135 , 	331 , 	692 , 	45 , 	52 , 	54 , 	102 , 	397 , 	441 , 	354 , 	887 , 	421 , 	125 , 	133 , 	299 , 	75 , 	168 , 	97 , 	98 , 	268 , 	188 , 	124 , 	56 , 	81 ," 	11,062 ",,,,,,,,,,
PL, 	250 , 	517 , 	240 , 	287 , 	944 , 	260 , 	491 , 	480 , 	516 , 	415 , 	559 , 	323 , 	328 , 	327 , 	198 , 	118 , 	188 , 	288 , 	251 , 	292 , 	327 , 	179 , 	165 , 	408 , 	988 , 	326 , 	64 , 	137 , 	261 ," 	1,143 "," 	1,277 ", 	767 ," 	1,465 "," 	1,043 ", 	292 , 	169 , 	465 , 	97 , 	306 , 	235 , 	273 ," 	1,289 ", 	499 , 	190 , 	125 , 	119 ," 	19,876 ",,,,,,,,,,
CC, 	122 , 	194 , 	145 , 	234 , 	597 , 	242 , 	387 , 	401 , 	306 , 	233 , 	336 , 	193 , 	151 , 	129 , 	87 , 	50 , 	91 , 	146 , 	119 , 	143 , 	223 , 	124 , 	107 , 	347 , 	533 , 	128 , 	85 , 	272 , 	91 , 	393 , 	494 , 	281 , 	447 , 	379 , 	138 , 	82 , 	246 , 	53 , 	118 , 	116 , 	128 , 	390 , 	328 , 	77 , 	52 , 	71 ," 	10,003 ",,,,,,,,,,
16, 	83 , 	122 , 	67 , 	143 , 	369 , 	179 , 	290 , 	307 , 	200 , 	173 , 	197 , 	117 , 	75 , 	54 , 	36 , 	30 , 	35 , 	55 , 	61 , 	59 , 	81 , 	36 , 	47 , 	200 , 	355 , 	439 , 	368 ," 	1,266 ", 	467 , 	74 , 	189 , 	213 , 	364 , 	277 , 	82 , 	38 , 	79 , 	20 , 	50 , 	72 , 	89 , 	156 , 	196 , 	31 , 	20 , 	18 ," 	7,874 ",,,,,,,,,,
24, 	103 , 	106 , 	63 , 	94 , 	236 , 	115 , 	191 , 	227 , 	133 , 	128 , 	154 , 	122 , 	45 , 	49 , 	34 , 	20 , 	25 , 	30 , 	36 , 	36 , 	60 , 	26 , 	30 , 	121 , 	237 , 	458 , 	382 ," 	1,405 ", 	543 , 	152 , 	57 , 	196 , 	329 , 	243 , 	72 , 	22 , 	46 , 	11 , 	53 , 	72 , 	101 , 	136 , 	146 , 	22 , 	17 , 	12 ," 	6,890 ",,,,,,,,,,
GP, 	28 , 	38 , 	16 , 	29 , 	133 , 	27 , 	45 , 	68 , 	58 , 	35 , 	37 , 	63 , 	20 , 	18 , 	14 , 	11 , 	8 , 	15 , 	18 , 	20 , 	24 , 	10 , 	10 , 	38 , 	59 , 	246 , 	265 , 	875 , 	236 , 	201 , 	185 , 	37 , 	55 , 	37 , 	33 , 	11 , 	28 , 	4 , 	25 , 	19 , 	45 , 	93 , 	65 , 	4 , 	12 , 	7 ," 	3,321 ",,,,,,,,,,
BP, 	27 , 	39 , 	9 , 	11 , 	61 , 	17 , 	36 , 	43 , 	54 , 	33 , 	42 , 	49 , 	29 , 	20 , 	13 , 	8 , 	15 , 	20 , 	19 , 	13 , 	13 , 	3 , 	10 , 	18 , 	57 , 	361 , 	421 ," 	1,708 ", 	357 , 	281 , 	291 , 	54 , 	74 , 	49 , 	39 , 	6 , 	24 , 	7 , 	29 , 	29 , 	98 , 	85 , 	76 , 	11 , 	9 , 	3 ," 	4,665 ",,,,,,,,,,
DC, 	37 , 	51 , 	23 , 	20 , 	131 , 	17 , 	33 , 	47 , 	55 , 	35 , 	43 , 	72 , 	35 , 	25 , 	18 , 	13 , 	18 , 	31 , 	21 , 	21 , 	27 , 	11 , 	8 , 	28 , 	33 , 	386 , 	339 ," 	1,162 ", 	346 , 	263 , 	234 , 	34 , 	56 , 	38 , 	33 , 	17 , 	41 , 	10 , 	39 , 	30 , 	85 , 	196 , 	137 , 	15 , 	9 , 	10 ," 	4,326 ",,,,,,,,,,
CM, 	7 , 	20 , 	3 , 	5 , 	18 , 	2 , 	9 , 	13 , 	17 , 	5 , 	9 , 	6 , 	4 , 	7 , 	2 , 	1 , 	4 , 	2 , 	11 , 	8 , 	13 , 	1 , 	2 , 	7 , 	11 , 	119 , 	93 , 	329 , 	116 , 	69 , 	67 , 	32 , 	44 , 	27 , 	12 , 	1 , 	5 , 	2 , 	20 , 	8 , 	36 , 	119 , 	34 , 	2 , 	2 , 	1 ," 	1,320 ",,,,,,,,,,
CV, 	4 , 	5 , 	4 , 	3 , 	37 , 	6 , 	8 , 	13 , 	12 , 	54 , 	47 , 	32 , 	29 , 	42 , 	9 , 	10 , 	10 , 	20 , 	4 , 	3 , 	2 , 	1 , 	1 , 	4 , 	11 , 	171 , 	98 , 	188 , 	87 , 	30 , 	25 , 	9 , 	9 , 	18 , 	4 , 	6 , 	51 , 	1 , 	3 , 	1 , 	2 , 	19 , 	2 , 	66 , 	8 , 	7 ," 	1,169 ",,,,,,,,,,
ED, 	6 , 	15 , 	4 , 	10 , 	123 , 	18 , 	21 , 	23 , 	24 , 	67 , 	76 , 	86 , 	40 , 	73 , 	31 , 	15 , 	22 , 	52 , 	6 , 	3 , 	5 , 	2 , 	2 , 	7 , 	19 , 	583 , 	256 , 	485 , 	251 , 	80 , 	48 , 	30 , 	31 , 	49 , 	7 , 	46 , 	29 , 	1 , 	7 , 	6 , 	8 , 	103 , 	7 , 	33 , 	53 , 	12 ," 	2,869 ",,,,,,,,,,
NC, 	2 , 	5 , 	2 , 	2 , 	22 , 	2 , 	10 , 	14 , 	12 , 	3 , 	6 , 	8 , 	4 , 	1 , 	2 , 	2 , 	1 , 	6 , 	17 , 	11 , 	20 , 	8 , 	3 , 	11 , 	3 , 	115 , 	59 , 	101 , 	47 , 	20 , 	8 , 	7 , 	10 , 	15 , 	2 , 	1 , 	2 , 	5 , 	27 , 	4 , 	5 , 	36 , 	8 , 	-   , 	7 , 	3 , 	650 ,,,,,,,,,,
WP, 	26 , 	24 , 	7 , 	6 , 	51 , 	14 , 	87 , 	50 , 	65 , 	12 , 	50 , 	62 , 	20 , 	17 , 	24 , 	10 , 	11 , 	21 , 	181 , 	82 , 	117 , 	27 , 	12 , 	51 , 	22 , 	271 , 	144 , 	379 , 	148 , 	62 , 	70 , 	33 , 	40 , 	57 , 	26 , 	2 , 	5 , 	32 , 	28 , 	16 , 	23 , 	142 , 	22 , 	5 , 	29 , 	8 ," 	2,582 ",,,,,,,,,,
SS, 	7 , 	13 , 	3 , 	4 , 	26 , 	3 , 	9 , 	13 , 	11 , 	5 , 	11 , 	7 , 	5 , 	5 , 	4 , 	6 , 	1 , 	3 , 	7 , 	3 , 	10 , 	2 , 	2 , 	6 , 	12 , 	112 , 	74 , 	266 , 	99 , 	55 , 	63 , 	22 , 	26 , 	30 , 	10 , 	2 , 	5 , 	3 , 	19 , 	9 , 	28 , 	46 , 	15 , 	2 , 	2 , 	3 ," 	1,065 ",,,,,,,,,,
SB, 	13 , 	21 , 	6 , 	5 , 	31 , 	8 , 	13 , 	16 , 	17 , 	9 , 	15 , 	13 , 	6 , 	8 , 	6 , 	5 , 	3 , 	6 , 	8 , 	11 , 	11 , 	2 , 	4 , 	7 , 	18 , 	132 , 	88 , 	298 , 	131 , 	84 , 	110 , 	46 , 	96 , 	93 , 	34 , 	3 , 	5 , 	5 , 	17 , 	32 , 	17 , 	47 , 	21 , 	2 , 	6 , 	1 ," 	1,525 ",,,,,,,,,,
SO, 	42 , 	62 , 	49 , 	50 , 	107 , 	36 , 	78 , 	49 , 	86 , 	24 , 	33 , 	27 , 	28 , 	17 , 	15 , 	13 , 	9 , 	17 , 	79 , 	99 , 	92 , 	63 , 	50 , 	64 , 	81 , 	286 , 	181 , 	957 , 	307 , 	116 , 	102 , 	65 , 	97 , 	157 , 	94 , 	9 , 	72 , 	37 , 	107 , 	37 , 	48 , 	44 , 	200 , 	20 , 	19 , 	5 ," 	4,226 ",,,,,,,,,,
MB, 	12 , 	22 , 	15 , 	18 , 	143 , 	15 , 	22 , 	31 , 	37 , 	14 , 	20 , 	14 , 	6 , 	9 , 	5 , 	2 , 	2 , 	3 , 	14 , 	11 , 	16 , 	9 , 	6 , 	35 , 	23 , 	296 , 	165 , 	536 , 	261 , 	178 , 	141 , 	71 , 	89 , 	133 , 	34 , 	2 , 	9 , 	7 , 	19 , 	18 , 	16 , 	228 , 	32 , 	3 , 	4 , 	0 ," 	2,738 ",,,,,,,,,,
WD, 	2 , 	7 , 	7 , 	5 , 	42 , 	7 , 	9 , 	10 , 	7 , 	44 , 	53 , 	49 , 	47 , 	79 , 	32 , 	18 , 	15 , 	21 , 	3 , 	3 , 	1 , 	1 , 	0 , 	3 , 	10 , 	229 , 	102 , 	205 , 	98 , 	29 , 	19 , 	7 , 	11 , 	12 , 	1 , 	73 , 	36 , 	0 , 	3 , 	1 , 	2 , 	31 , 	4 , 	16 , 	20 , 	6 ," 	1,375 ",,,,,,,,,,
OA, 	6 , 	21 , 	18 , 	21 , 	54 , 	14 , 	13 , 	13 , 	29 , 	11 , 	9 , 	25 , 	6 , 	6 , 	6 , 	3 , 	9 , 	17 , 	12 , 	25 , 	24 , 	9 , 	5 , 	11 , 	6 , 	69 , 	45 , 	110 , 	48 , 	21 , 	14 , 	11 , 	6 , 	11 , 	1 , 	5 , 	37 , 	4 , 	16 , 	3 , 	3 , 	24 , 	4 , 	14 , 	4 , 	6 , 	822 ,,,,,,,,,,
WS, 	7 , 	15 , 	11 , 	11 , 	199 , 	15 , 	21 , 	28 , 	34 , 	28 , 	28 , 	59 , 	15 , 	17 , 	26 , 	15 , 	18 , 	19 , 	7 , 	4 , 	6 , 	4 , 	2 , 	12 , 	4 , 	145 , 	60 , 	131 , 	67 , 	17 , 	14 , 	5 , 	5 , 	8 , 	1 , 	6 , 	13 , 	3 , 	8 , 	3 , 	1 , 	7 , 	1 , 	8 , 	4 , 	10 ," 	1,116 ",,,,,,,,,,
Entries," 	2,079 "," 	3,583 "," 	2,242 "," 	2,318 "," 	8,770 "," 	2,684 "," 	4,009 "," 	4,283 "," 	4,215 "," 	3,030 "," 	4,343 "," 	3,674 "," 	2,594 "," 	2,705 "," 	1,851 "," 	1,057 "," 	1,520 "," 	2,538 "," 	2,091 "," 	2,036 "," 	2,802 "," 	1,388 "," 	1,179 "," 	2,943 "," 	4,601 "," 	12,678 "," 	8,477 "," 	21,569 "," 	10,269 "," 	7,258 "," 	6,802 "," 	3,442 "," 	5,379 "," 	4,490 "," 	1,373 "," 	1,189 "," 	2,917 ", 	662 ," 	2,350 "," 	1,143 "," 	1,493 "," 	5,511 "," 	2,838 "," 	1,343 "," 	1,050 "," 	1,032 "," 	177,793 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
